frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,907.3,912.3,918.6,925.1,930.9,942.4,948.3,954.1,959.8,963.7,348.8,345.1,344.1,344.9,347.1,346.8,344.6,343.9,345.1,348.7,937.0,376.2
2,0,0.033,0.98,1,908.3,913.3,919.5,925.7,931.4,943.4,949.2,954.8,960.3,964.2,348.9,345.4,344.6,345.4,347.4,347.2,345.1,344.4,345.5,348.9,937.6,376.0
3,0,0.067,0.98,1,909.0,914.0,920.2,926.4,932.1,944.1,949.9,955.5,961.0,964.9,349.0,345.5,344.6,345.3,347.4,347.1,345.1,344.4,345.5,348.9,938.3,376.0
4,0,0.1,0.98,1,909.5,914.5,920.7,927.0,932.7,944.8,950.5,956.2,961.7,965.6,349.0,345.5,344.6,345.4,347.5,347.2,345.1,344.4,345.5,348.9,939.1,376.0
5,0,0.133,0.98,1,910.3,915.3,921.5,927.8,933.5,945.5,951.2,956.8,962.3,966.2,349.0,345.5,344.6,345.5,347.5,347.3,345.2,344.6,345.6,348.9,939.8,376.1
6,0,0.167,0.98,1,910.8,915.9,922.1,928.4,934.1,946.1,951.9,957.5,963.1,967.0,348.9,345.5,344.6,345.5,347.6,347.4,345.3,344.7,345.8,349.2,940.2,376.3
7,0,0.2,0.98,1,911.3,916.4,922.6,928.9,934.6,946.6,952.4,958.0,963.5,967.4,349.0,345.5,344.7,345.5,347.6,347.5,345.4,344.8,345.8,349.3,940.7,376.3
8,0,0.233,0.98,1,911.8,916.8,923.0,929.3,935.1,947.2,952.9,958.5,964.0,967.8,349.1,345.6,344.7,345.6,347.7,347.6,345.5,344.9,346.0,349.4,941.2,376.5
9,0,0.267,0.98,1,912.2,917.3,923.5,929.8,935.5,947.6,953.3,958.9,964.4,968.2,349.0,345.6,344.8,345.6,347.7,347.6,345.5,344.9,346.0,349.4,941.7,376.4
10,0,0.3,0.98,1,912.6,917.7,923.9,930.2,935.9,947.9,953.6,959.2,964.6,968.5,349.0,345.6,344.8,345.7,347.8,347.7,345.6,345.0,346.0,349.5,942.0,376.5
11,0,0.333,0.98,1,912.9,918.0,924.2,930.5,936.2,948.3,954.0,959.6,965.1,968.9,349.0,345.6,344.8,345.7,347.8,347.7,345.6,345.0,346.1,349.5,942.1,376.6
12,0,0.367,0.98,1,913.1,918.1,924.4,930.7,936.4,948.5,954.3,959.9,965.4,969.2,349.1,345.7,344.9,345.8,347.9,347.7,345.6,345.0,346.1,349.5,942.5,376.7
13,0,0.4,0.98,1,913.3,918.4,924.7,931.0,936.8,948.9,954.7,960.3,965.8,969.6,349.2,345.7,344.9,345.8,347.8,347.7,345.6,345.0,346.0,349.5,942.9,376.8
14,0,0.433,0.98,1,913.8,918.9,925.2,931.5,937.3,949.3,955.1,960.7,966.2,970.0,349.2,345.8,344.9,345.8,347.8,347.7,345.6,344.9,346.0,349.5,943.5,376.8
15,0,0.467,0.98,1,914.1,919.2,925.5,931.8,937.6,949.7,955.5,961.0,966.5,970.3,349.2,345.8,345.0,345.8,347.9,347.8,345.7,345.0,346.0,349.4,943.8,376.9
16,0,0.5,0.98,1,914.6,919.7,925.9,932.2,938.0,950.1,955.8,961.3,966.7,970.5,349.2,345.8,345.0,345.9,347.9,347.8,345.7,345.1,346.1,349.5,944.1,376.9
17,0,0.533,0.98,1,915.1,920.2,926.4,932.7,938.3,950.4,956.1,961.6,966.9,970.7,349.2,345.9,345.1,346.0,348.1,348.0,345.9,345.3,346.3,349.7,944.4,376.9
18,0,0.567,0.93,1,915.5,920.6,926.7,933.0,938.6,950.9,956.4,961.8,967.0,970.8,349.7,346.3,345.5,346.3,348.4,348.4,346.3,345.8,346.8,350.1,944.7,377.2
19,0,0.6,0.93,1,916.0,921.0,927.1,933.3,938.9,951.2,956.7,962.0,967.2,970.9,349.8,346.4,345.6,346.4,348.5,348.4,346.4,345.9,347.0,350.3,944.9,377.2
20,0,0.633,0.93,1,916.1,921.1,927.2,933.5,939.1,951.3,956.8,962.1,967.3,971.0,350.0,346.5,345.7,346.5,348.6,348.5,346.5,346.0,347.1,350.4,945.1,377.3
21,0,0.667,0.93,1,915.9,921.0,927.3,933.6,939.3,951.5,957.1,962.5,967.8,971.5,349.7,346.3,345.5,346.4,348.5,348.4,346.4,345.8,346.9,350.3,945.3,377.2
22,0,0.7,0.98,1,916.0,921.2,927.5,933.8,939.5,951.6,957.3,962.7,968.0,971.7,349.5,346.1,345.3,346.2,348.4,348.4,346.4,345.8,346.9,350.3,945.4,377.2
23,0,0.733,0.98,1,916.1,921.3,927.6,933.9,939.6,951.8,957.4,962.8,968.1,971.8,349.4,346.0,345.3,346.2,348.3,348.3,346.3,345.7,346.8,350.2,945.5,377.2
24,0,0.767,0.98,1,916.2,921.4,927.7,934.0,939.7,951.7,957.4,962.8,968.1,971.8,349.4,346.0,345.2,346.1,348.3,348.3,346.2,345.7,346.7,350.2,945.6,377.2
25,0,0.8,0.98,1,916.2,921.4,927.7,934.0,939.7,951.8,957.5,962.9,968.2,971.9,349.4,346.0,345.3,346.2,348.3,348.3,346.2,345.6,346.7,350.1,945.7,377.2
26,0,0.833,0.98,1,916.3,921.5,927.7,934.0,939.7,951.9,957.5,962.9,968.2,971.9,349.4,346.0,345.3,346.2,348.3,348.2,346.2,345.6,346.6,350.0,945.8,377.2
27,0,0.867,0.98,1,916.5,921.7,928.0,934.3,939.9,952.1,957.7,963.1,968.4,972.1,349.4,346.0,345.3,346.2,348.3,348.2,346.2,345.6,346.7,350.0,946.0,377.2
28,0,0.9,0.98,1,916.5,921.7,928.0,934.4,940.1,952.3,958.0,963.4,968.8,972.4,349.4,346.0,345.2,346.2,348.3,348.3,346.2,345.6,346.7,350.1,946.1,377.3
29,0,0.933,0.98,1,916.7,922.0,928.3,934.7,940.4,952.4,958.1,963.5,968.9,972.5,349.3,346.0,345.3,346.2,348.4,348.3,346.2,345.6,346.7,350.0,946.4,377.3
30,0,0.967,0.98,1,916.9,922.2,928.5,934.8,940.6,952.5,958.1,963.6,968.9,972.6,349.4,346.0,345.3,346.3,348.4,348.3,346.2,345.6,346.6,349.9,946.7,377.3
31,0,1.0,0.98,1,917.1,922.4,928.7,935.1,940.8,952.8,958.4,963.9,969.2,972.9,349.3,346.0,345.3,346.2,348.3,348.2,346.2,345.5,346.5,349.9,946.9,377.2
32,0,1.033,0.98,1,917.3,922.6,928.9,935.3,941.0,953.0,958.6,964.0,969.3,973.0,349.2,345.9,345.3,346.2,348.3,348.2,346.1,345.5,346.5,349.9,947.0,377.2
33,0,1.067,0.98,1,917.4,922.7,929.0,935.4,941.1,953.2,958.8,964.2,969.6,973.3,349.1,345.9,345.2,346.2,348.3,348.2,346.1,345.5,346.5,349.8,947.1,377.2
34,0,1.1,0.98,1,917.5,922.8,929.2,935.5,941.3,953.3,958.9,964.4,969.7,973.4,349.2,345.9,345.2,346.1,348.2,348.1,346.1,345.4,346.5,349.8,947.3,377.1
35,0,1.133,0.98,1,917.7,923.0,929.3,935.7,941.4,953.4,959.0,964.5,969.8,973.5,349.1,345.8,345.2,346.1,348.2,348.1,346.1,345.4,346.5,349.8,947.4,377.1
36,0,1.167,0.98,1,917.7,923.0,929.4,935.8,941.5,953.4,959.1,964.5,969.9,973.6,349.2,345.8,345.1,346.0,348.1,348.0,346.0,345.3,346.4,349.7,947.5,377.0
