frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1012.5,1017.0,1023.3,1029.9,1036.1,1048.2,1054.9,1061.6,1068.3,1073.2,304.6,300.4,299.0,299.6,301.6,300.6,297.9,296.9,297.9,301.6,1043.4,331.9
2,0,0.033,0.98,1,1011.6,1016.2,1022.5,1029.0,1035.1,1048.0,1054.7,1061.2,1067.7,1072.6,304.3,300.5,299.2,299.8,301.6,300.7,298.2,297.2,298.1,301.6,1042.7,331.8
3,0,0.067,0.98,1,1010.8,1015.5,1021.7,1028.2,1034.3,1047.4,1054.0,1060.5,1067.0,1071.8,304.2,300.3,299.1,299.7,301.6,300.7,298.2,297.2,298.1,301.5,1041.9,331.9
4,0,0.1,0.98,1,1009.8,1014.5,1020.8,1027.3,1033.4,1046.4,1053.1,1059.6,1066.0,1070.8,304.1,300.3,299.1,299.7,301.6,300.7,298.2,297.2,298.1,301.5,1040.9,331.9
5,0,0.133,0.98,1,1008.9,1013.6,1019.9,1026.4,1032.5,1045.5,1052.1,1058.5,1064.9,1069.7,304.0,300.2,299.0,299.7,301.5,300.7,298.3,297.3,298.2,301.6,1039.9,331.9
6,0,0.167,0.98,1,1007.5,1012.2,1018.5,1025.0,1031.1,1044.0,1050.6,1057.1,1063.6,1068.3,304.1,300.3,299.0,299.7,301.6,300.8,298.3,297.3,298.3,301.7,1038.4,332.0
7,0,0.2,0.98,1,1006.3,1010.9,1017.2,1023.7,1029.8,1042.7,1049.3,1055.8,1062.2,1066.9,304.1,300.3,299.1,299.7,301.6,300.8,298.3,297.4,298.4,301.8,1037.0,332.1
8,0,0.233,0.98,1,1004.6,1009.3,1015.6,1022.1,1028.2,1041.1,1047.7,1054.2,1060.7,1065.4,304.2,300.3,299.1,299.7,301.6,300.8,298.4,297.4,298.4,301.9,1035.5,332.1
9,0,0.267,0.98,1,1003.3,1007.9,1014.2,1020.7,1026.8,1039.7,1046.4,1052.9,1059.3,1064.0,304.2,300.3,299.1,299.7,301.6,300.8,298.5,297.5,298.6,302.1,1034.0,332.1
10,0,0.3,0.98,1,1001.8,1006.5,1012.8,1019.2,1025.3,1038.3,1044.9,1051.5,1057.9,1062.6,304.1,300.3,299.0,299.7,301.6,300.9,298.5,297.6,298.6,302.1,1032.5,332.1
11,0,0.333,0.98,1,1000.3,1005.0,1011.3,1017.8,1023.9,1036.8,1043.4,1049.9,1056.3,1061.1,304.1,300.3,299.1,299.7,301.6,300.9,298.5,297.6,298.6,302.1,1031.0,332.1
12,0,0.367,0.98,1,998.7,1003.5,1009.8,1016.3,1022.4,1035.3,1041.9,1048.4,1054.8,1059.5,304.0,300.1,298.9,299.6,301.5,300.8,298.4,297.5,298.6,302.1,1029.5,332.0
13,0,0.4,0.98,1,997.1,1001.8,1008.2,1014.7,1020.8,1033.6,1040.3,1046.8,1053.3,1058.0,303.8,300.0,298.9,299.5,301.5,300.8,298.4,297.6,298.6,302.2,1027.8,332.0
14,0,0.433,0.98,1,995.4,1000.1,1006.4,1012.9,1019.0,1031.9,1038.5,1045.0,1051.4,1056.1,303.8,300.0,298.8,299.5,301.4,300.7,298.3,297.5,298.5,302.0,1026.1,331.9
15,0,0.467,0.98,1,993.5,998.2,1004.5,1011.0,1017.1,1030.0,1036.6,1043.1,1049.5,1054.3,303.9,300.0,298.8,299.5,301.4,300.6,298.3,297.3,298.3,301.9,1024.3,331.9
16,0,0.5,0.98,1,991.8,996.4,1002.8,1009.2,1015.4,1028.2,1034.8,1041.4,1047.8,1052.6,303.9,300.0,298.8,299.4,301.3,300.5,298.1,297.2,298.2,301.8,1022.5,331.7
17,0,0.533,0.98,1,990.2,994.8,1001.1,1007.6,1013.7,1026.6,1033.2,1039.7,1046.1,1050.9,303.7,299.8,298.5,299.1,301.0,300.3,297.9,297.0,298.1,301.6,1020.9,331.6
18,0,0.567,0.98,1,988.6,993.2,999.5,1006.0,1012.1,1025.0,1031.7,1038.2,1044.6,1049.3,303.8,299.8,298.5,299.1,300.9,300.1,297.7,296.8,297.8,301.4,1019.5,331.4
19,0,0.6,0.98,1,987.1,991.7,998.1,1004.6,1010.8,1023.6,1030.3,1036.8,1043.3,1048.0,303.7,299.7,298.3,298.9,300.7,299.8,297.4,296.5,297.5,301.0,1018.2,331.1
20,0,0.633,0.98,1,985.9,990.5,996.8,1003.3,1009.4,1022.3,1028.9,1035.4,1041.9,1046.7,303.5,299.5,298.1,298.6,300.4,299.5,297.1,296.1,297.1,300.7,1017.0,331.0
21,0,0.667,0.98,1,984.7,989.2,995.5,1002.0,1008.2,1021.2,1027.9,1034.4,1040.9,1045.7,303.4,299.4,298.0,298.5,300.3,299.3,296.9,295.9,296.8,300.3,1016.0,330.7
