frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,916.3,921.8,928.6,935.4,941.6,952.6,958.0,963.3,968.4,971.7,349.3,345.5,344.4,345.2,347.4,347.1,345.0,344.2,345.2,348.8,948.2,376.8
2,0,0.033,0.98,1,916.0,921.5,928.1,934.7,940.8,952.4,957.7,962.9,967.9,971.1,349.5,345.9,344.8,345.7,347.7,347.4,345.4,344.7,345.6,348.9,947.6,376.7
3,0,0.067,0.98,1,915.3,920.8,927.5,934.2,940.3,951.8,957.2,962.3,967.4,970.6,349.6,346.0,344.9,345.8,347.9,347.6,345.7,344.9,345.7,349.1,947.1,376.8
4,0,0.1,0.98,1,914.7,920.3,927.0,933.6,939.8,951.2,956.6,961.7,966.8,970.0,349.8,346.1,345.0,345.9,348.0,347.7,345.7,344.9,345.7,349.1,946.7,377.0
5,0,0.133,0.98,1,914.2,919.7,926.4,933.1,939.3,950.8,956.1,961.3,966.3,969.6,349.7,346.0,345.0,345.9,348.0,347.7,345.7,344.9,345.7,349.1,946.1,377.0
6,0,0.167,0.98,1,913.9,919.4,926.2,932.9,939.0,950.5,955.8,960.9,965.9,969.0,349.6,346.0,344.9,345.8,347.9,347.7,345.7,344.9,345.7,349.1,945.8,377.0
7,0,0.2,0.98,1,913.5,919.2,925.9,932.6,938.7,950.3,955.6,960.7,965.6,968.8,349.4,345.8,344.8,345.7,347.8,347.6,345.6,344.9,345.7,349.1,945.5,376.9
8,0,0.233,0.98,1,913.0,918.6,925.4,932.1,938.3,949.8,955.1,960.2,965.1,968.2,349.4,345.8,344.7,345.6,347.8,347.6,345.6,344.8,345.7,349.1,945.2,376.9
9,0,0.267,0.98,1,912.8,918.5,925.2,931.9,938.1,949.7,955.0,960.0,964.9,968.0,349.3,345.7,344.7,345.6,347.7,347.6,345.6,344.9,345.8,349.2,944.9,376.9
10,0,0.3,0.98,1,912.7,918.3,925.0,931.7,937.8,949.4,954.6,959.6,964.5,967.6,349.2,345.7,344.7,345.6,347.8,347.6,345.7,344.9,345.8,349.1,944.5,376.9
11,0,0.333,0.98,1,912.4,918.0,924.7,931.3,937.4,949.0,954.2,959.2,964.0,967.1,349.2,345.7,344.7,345.6,347.7,347.6,345.6,344.9,345.8,349.2,944.1,376.9
12,0,0.367,0.98,1,912.1,917.7,924.4,931.1,937.2,948.7,953.9,958.9,963.8,966.8,349.3,345.7,344.7,345.7,347.8,347.7,345.7,345.0,345.9,349.3,943.9,377.0
13,0,0.4,0.98,1,911.8,917.4,924.1,930.7,936.7,948.3,953.5,958.5,963.3,966.3,349.2,345.7,344.7,345.7,347.9,347.8,345.9,345.2,346.0,349.4,943.4,377.1
14,0,0.433,0.98,1,911.3,916.9,923.6,930.2,936.2,947.8,952.9,958.0,962.8,965.8,349.2,345.7,344.7,345.7,347.9,347.9,346.0,345.3,346.1,349.4,942.8,377.1
15,0,0.467,0.98,1,910.9,916.5,923.2,929.8,935.9,947.4,952.6,957.6,962.4,965.5,349.2,345.7,344.8,345.8,348.0,347.9,346.0,345.3,346.2,349.5,942.4,377.1
16,0,0.5,0.98,1,910.5,916.2,922.9,929.5,935.6,947.1,952.3,957.3,962.2,965.2,349.1,345.7,344.8,345.8,348.0,348.0,346.1,345.3,346.2,349.5,942.1,377.2
17,0,0.533,0.98,1,910.2,915.9,922.6,929.2,935.2,946.7,951.9,957.0,961.8,964.8,349.2,345.7,344.8,345.8,348.0,348.0,346.1,345.4,346.3,349.6,941.7,377.2
18,0,0.567,0.98,1,909.8,915.5,922.2,928.8,934.9,946.4,951.6,956.6,961.5,964.5,349.1,345.7,344.8,345.8,348.0,348.0,346.2,345.4,346.3,349.7,941.3,377.2
19,0,0.6,0.98,1,909.6,915.3,921.9,928.5,934.6,946.1,951.3,956.3,961.1,964.1,349.1,345.7,344.8,345.8,348.1,348.1,346.2,345.5,346.5,349.8,940.8,377.3
20,0,0.633,0.98,1,909.2,914.9,921.6,928.2,934.2,945.7,950.9,955.9,960.7,963.7,349.1,345.7,344.8,345.8,348.1,348.1,346.3,345.6,346.5,349.9,940.5,377.3
21,0,0.667,0.98,1,908.9,914.6,921.2,927.8,933.8,945.3,950.5,955.5,960.3,963.3,349.1,345.7,344.8,345.8,348.0,348.1,346.2,345.6,346.5,349.9,940.1,377.3
22,0,0.7,0.98,1,908.3,914.0,920.7,927.2,933.2,944.8,950.0,955.0,959.9,963.0,349.1,345.6,344.8,345.8,348.0,348.1,346.2,345.5,346.4,349.8,939.5,377.3
23,0,0.733,0.98,1,907.9,913.6,920.3,926.9,932.9,944.6,949.8,954.8,959.7,962.8,349.0,345.6,344.7,345.8,348.0,348.0,346.2,345.5,346.4,349.7,939.3,377.2
