frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1010.1,1014.5,1020.8,1027.4,1033.4,1046.0,1052.8,1059.7,1066.5,1071.5,260.8,256.4,255.0,255.4,257.3,256.3,253.6,252.5,253.5,257.3,1041.0,288.9
2,0,0.033,0.98,1,1010.0,1014.5,1020.7,1027.1,1033.1,1046.3,1053.1,1059.9,1066.6,1071.6,260.7,256.6,255.3,255.7,257.4,256.3,253.7,252.7,253.6,257.2,1040.9,288.7
3,0,0.067,0.98,1,1009.8,1014.3,1020.5,1026.9,1033.0,1046.2,1053.1,1059.8,1066.5,1071.6,260.8,256.6,255.2,255.6,257.3,256.2,253.7,252.7,253.6,257.2,1040.8,288.7
4,0,0.1,0.98,1,1009.6,1014.2,1020.4,1026.8,1032.9,1046.1,1052.9,1059.7,1066.4,1071.4,260.6,256.5,255.1,255.5,257.2,256.2,253.7,252.6,253.6,257.1,1040.7,288.6
5,0,0.133,0.98,1,1009.4,1014.0,1020.2,1026.6,1032.7,1046.1,1052.9,1059.6,1066.3,1071.3,260.5,256.4,255.0,255.4,257.1,256.1,253.6,252.6,253.6,257.1,1040.5,288.5
6,0,0.167,0.98,1,1009.3,1013.8,1020.1,1026.5,1032.6,1046.0,1052.8,1059.5,1066.2,1071.1,260.5,256.4,255.0,255.3,257.1,256.1,253.6,252.6,253.5,257.1,1040.5,288.5
7,0,0.2,0.98,1,1009.1,1013.7,1019.9,1026.4,1032.5,1045.8,1052.7,1059.3,1066.0,1070.9,260.6,256.4,255.0,255.4,257.1,256.1,253.7,252.7,253.6,257.2,1040.4,288.5
8,0,0.233,0.98,1,1008.8,1013.4,1019.7,1026.2,1032.3,1045.7,1052.5,1059.2,1065.8,1070.8,260.7,256.5,255.1,255.5,257.2,256.2,253.7,252.7,253.6,257.2,1040.2,288.7
9,0,0.267,0.98,1,1008.6,1013.2,1019.5,1026.0,1032.2,1045.5,1052.4,1059.1,1065.7,1070.6,260.7,256.6,255.2,255.6,257.3,256.3,253.8,252.7,253.7,257.3,1040.1,288.8
10,0,0.3,0.98,1,1008.4,1013.0,1019.3,1025.8,1032.0,1045.3,1052.1,1058.8,1065.5,1070.5,260.8,256.6,255.3,255.7,257.4,256.4,253.8,252.8,253.7,257.3,1040.0,288.9
11,0,0.333,0.98,1,1008.1,1012.8,1019.1,1025.6,1031.7,1045.1,1051.9,1058.5,1065.2,1070.2,261.0,256.8,255.4,255.8,257.5,256.4,253.9,252.8,253.7,257.3,1039.8,289.0
12,0,0.367,0.98,1,1007.9,1012.5,1018.8,1025.4,1031.6,1044.9,1051.7,1058.4,1065.0,1070.0,261.1,257.0,255.6,255.9,257.6,256.5,254.0,252.9,253.8,257.4,1039.7,289.1
13,0,0.4,0.98,1,1007.7,1012.2,1018.5,1025.0,1031.1,1044.5,1051.3,1058.0,1064.6,1069.6,261.4,257.3,255.8,256.1,257.7,256.6,254.0,252.9,253.8,257.3,1039.5,289.1
14,0,0.433,0.98,1,1007.5,1012.1,1018.3,1024.8,1030.9,1044.4,1051.2,1057.8,1064.4,1069.4,261.5,257.3,255.9,256.2,257.8,256.6,254.0,252.9,253.8,257.2,1039.4,289.2
15,0,0.467,0.98,1,1007.5,1012.0,1018.2,1024.7,1030.8,1044.3,1051.0,1057.7,1064.3,1069.2,261.4,257.3,255.8,256.0,257.6,256.4,253.8,252.7,253.6,257.1,1039.3,289.1
16,0,0.5,0.98,1,1007.3,1011.9,1018.1,1024.6,1030.7,1044.1,1050.9,1057.5,1064.1,1069.1,261.3,257.0,255.5,255.8,257.3,256.1,253.6,252.5,253.4,256.9,1039.1,288.8
17,0,0.533,0.98,1,1007.3,1011.9,1018.1,1024.6,1030.7,1044.1,1050.9,1057.5,1064.2,1069.2,261.0,256.7,255.2,255.5,257.1,255.9,253.4,252.3,253.2,256.8,1039.0,288.6
