frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,911.3,915.9,922.3,929.0,935.1,947.4,953.0,958.5,963.8,967.5,352.3,348.4,347.1,347.7,349.8,348.8,346.0,344.7,345.5,348.8,943.3,380.6
2,0,0.033,0.98,1,910.7,915.0,921.3,928.0,934.0,947.3,952.8,958.3,963.5,967.1,352.3,348.4,347.0,347.6,349.7,348.7,345.8,344.5,345.3,348.6,942.9,380.9
3,0,0.067,0.98,1,910.4,914.8,921.1,927.8,933.8,946.9,952.5,957.9,963.2,966.9,352.7,348.8,347.4,348.1,350.2,349.1,346.2,344.8,345.5,348.7,942.7,381.1
4,0,0.1,0.98,1,910.2,914.6,921.0,927.6,933.7,946.8,952.3,957.7,963.0,966.6,352.7,348.8,347.5,348.1,350.2,349.1,346.2,344.8,345.5,348.7,942.5,381.1
5,0,0.133,0.98,1,910.0,914.4,920.7,927.3,933.4,946.5,952.0,957.5,962.7,966.4,352.8,348.8,347.5,348.1,350.2,349.0,346.2,344.8,345.5,348.7,942.3,381.0
6,0,0.167,0.98,1,909.9,914.3,920.7,927.4,933.5,946.2,951.7,957.2,962.5,966.2,352.8,348.8,347.4,348.0,350.1,349.0,346.2,344.8,345.5,348.9,942.3,380.6
7,0,0.2,0.98,1,909.7,914.1,920.5,927.2,933.3,946.3,951.7,957.2,962.5,966.2,352.4,348.5,347.1,347.7,349.8,348.7,345.8,344.4,345.1,348.4,942.2,380.5
8,0,0.233,0.98,1,909.7,914.2,920.5,927.2,933.3,946.3,951.8,957.2,962.5,966.2,352.2,348.4,347.0,347.7,349.7,348.6,345.7,344.3,344.9,348.1,942.2,380.4
9,0,0.267,0.98,1,909.7,914.1,920.4,927.0,933.1,946.1,951.6,957.0,962.3,966.0,352.1,348.3,347.0,347.6,349.7,348.6,345.7,344.4,345.0,348.2,941.9,380.4
10,0,0.3,0.98,1,909.3,913.7,920.1,926.7,932.8,945.7,951.2,956.7,962.0,965.7,352.2,348.3,347.0,347.7,349.8,348.7,345.8,344.4,345.1,348.3,941.6,380.5
11,0,0.333,0.98,1,909.1,913.6,919.9,926.5,932.6,945.7,951.2,956.7,962.0,965.6,352.2,348.4,347.1,347.8,349.9,348.8,346.0,344.6,345.2,348.4,941.5,380.8
12,0,0.367,0.98,1,909.0,913.4,919.7,926.2,932.2,945.4,950.9,956.4,961.7,965.3,352.4,348.6,347.4,348.1,350.2,349.2,346.3,345.0,345.6,348.8,941.0,381.2
13,0,0.4,0.98,1,909.0,913.4,919.7,926.2,932.1,945.3,950.7,956.1,961.3,964.9,352.8,349.1,347.9,348.6,350.7,349.8,347.0,345.7,346.3,349.4,941.0,381.7
