frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,982.4,986.1,991.7,997.8,1003.6,1015.4,1021.9,1028.6,1035.4,1041.0,304.8,300.2,298.2,298.0,299.2,297.2,294.1,292.6,293.2,296.5,1012.7,328.9
2,0,0.033,0.98,1,983.1,986.8,992.4,998.3,1004.0,1016.4,1023.0,1029.7,1036.5,1042.1,304.5,300.0,298.0,297.7,298.6,296.5,293.6,292.2,292.7,295.8,1013.5,328.3
3,0,0.067,0.98,1,983.8,987.5,993.1,999.1,1004.8,1017.4,1024.0,1030.7,1037.4,1043.0,304.3,299.8,297.8,297.4,298.3,296.1,293.3,291.8,292.2,295.3,1014.5,327.9
4,0,0.1,0.98,1,984.9,988.6,994.2,1000.2,1005.9,1018.3,1025.0,1031.6,1038.4,1044.0,304.1,299.5,297.5,297.1,298.0,295.8,293.0,291.6,292.1,295.2,1015.4,327.5
5,0,0.133,0.98,1,986.0,989.7,995.3,1001.3,1007.1,1019.6,1026.2,1032.9,1039.6,1045.1,304.0,299.4,297.3,296.9,297.8,295.7,292.9,291.5,292.0,295.2,1016.6,327.2
6,0,0.167,0.98,1,986.9,990.6,996.2,1002.2,1008.0,1020.6,1027.2,1033.9,1040.6,1046.1,303.9,299.3,297.2,296.8,297.7,295.6,292.8,291.4,291.9,295.1,1017.5,327.1
7,0,0.2,0.98,1,987.7,991.5,997.1,1003.1,1008.9,1021.5,1028.1,1034.8,1041.5,1046.9,303.8,299.2,297.1,296.6,297.6,295.5,292.6,291.3,291.8,295.0,1018.6,327.0
8,0,0.233,0.98,1,988.5,992.3,997.9,1004.0,1009.8,1022.2,1028.9,1035.6,1042.4,1047.8,303.7,299.0,296.9,296.5,297.5,295.5,292.6,291.2,291.8,294.9,1019.4,327.0
9,0,0.267,0.98,1,989.3,993.1,998.7,1004.7,1010.6,1023.1,1029.7,1036.4,1043.2,1048.6,303.5,299.0,296.9,296.5,297.6,295.5,292.5,291.2,291.7,294.9,1020.2,327.0
10,0,0.3,0.98,1,990.1,993.9,999.5,1005.5,1011.3,1023.9,1030.5,1037.2,1044.0,1049.4,303.5,298.9,296.9,296.5,297.6,295.5,292.5,291.2,291.7,294.9,1021.0,327.1
11,0,0.333,0.98,1,990.8,994.6,1000.2,1006.2,1012.1,1024.6,1031.2,1037.9,1044.7,1050.1,303.5,298.9,296.9,296.5,297.5,295.4,292.5,291.1,291.7,294.8,1021.8,327.0
12,0,0.367,0.98,1,991.4,995.1,1000.8,1006.8,1012.7,1025.2,1031.9,1038.6,1045.4,1050.9,303.6,299.0,296.9,296.5,297.5,295.4,292.5,291.1,291.6,294.8,1022.5,326.9
13,0,0.4,0.98,1,992.1,995.9,1001.5,1007.5,1013.3,1026.0,1032.6,1039.3,1046.0,1051.4,303.4,298.8,296.7,296.3,297.3,295.2,292.3,290.9,291.4,294.5,1023.2,326.8
14,0,0.433,0.98,1,992.7,996.6,1002.2,1008.2,1014.0,1026.8,1033.4,1040.1,1046.8,1052.2,303.2,298.7,296.6,296.2,297.2,295.1,292.2,290.9,291.4,294.5,1023.9,326.7
15,0,0.467,0.98,1,993.5,997.4,1003.0,1009.1,1014.9,1027.6,1034.2,1040.9,1047.6,1053.0,303.0,298.5,296.4,296.1,297.2,295.1,292.2,290.9,291.4,294.6,1024.6,326.7
16,0,0.5,0.98,1,994.3,998.1,1003.7,1009.8,1015.6,1028.3,1034.9,1041.6,1048.4,1053.7,303.0,298.4,296.4,296.0,297.1,295.1,292.2,290.8,291.4,294.6,1025.2,326.6
17,0,0.533,0.98,1,995.1,998.9,1004.5,1010.6,1016.4,1029.1,1035.7,1042.3,1049.1,1054.4,302.9,298.3,296.3,296.0,297.1,295.0,292.2,290.9,291.5,294.6,1025.8,326.6
18,0,0.567,0.98,1,995.6,999.4,1005.1,1011.1,1016.9,1029.6,1036.2,1042.9,1049.7,1055.1,302.9,298.3,296.3,296.0,297.1,295.1,292.2,290.9,291.5,294.7,1026.4,326.6
19,0,0.6,0.98,1,996.4,1000.2,1005.8,1011.9,1017.7,1030.2,1036.9,1043.6,1050.4,1055.7,302.8,298.3,296.2,295.9,297.0,295.1,292.2,291.0,291.6,294.9,1026.9,326.7
20,0,0.633,0.98,1,996.9,1000.7,1006.4,1012.4,1018.2,1030.7,1037.4,1044.1,1050.9,1056.2,302.7,298.2,296.2,295.9,297.0,295.1,292.3,291.0,291.7,294.9,1027.4,326.7
21,0,0.667,0.98,1,997.3,1001.2,1006.8,1012.9,1018.7,1031.2,1037.9,1044.6,1051.3,1056.7,302.7,298.2,296.2,295.8,297.0,295.1,292.3,291.0,291.7,295.0,1027.9,326.7
22,0,0.7,0.98,1,998.0,1001.9,1007.5,1013.5,1019.3,1031.9,1038.5,1045.3,1052.0,1057.4,302.6,298.1,296.1,295.8,297.0,295.1,292.3,291.1,291.8,295.1,1028.4,326.7
23,0,0.733,0.98,1,998.5,1002.4,1008.0,1014.1,1019.9,1032.5,1039.1,1045.9,1052.6,1058.0,302.5,298.0,296.1,295.8,296.9,295.1,292.3,291.1,291.9,295.2,1028.9,326.7
24,0,0.767,0.98,1,999.0,1002.9,1008.6,1014.6,1020.4,1033.0,1039.7,1046.4,1053.2,1058.5,302.5,298.0,296.1,295.8,296.9,295.1,292.3,291.1,291.9,295.2,1029.4,326.7
25,0,0.8,0.98,1,999.5,1003.5,1009.1,1015.2,1021.0,1033.6,1040.3,1046.9,1053.7,1059.0,302.4,297.9,296.0,295.7,296.9,295.1,292.4,291.1,291.9,295.2,1030.0,326.7
26,0,0.833,0.98,1,1000.0,1004.0,1009.6,1015.7,1021.5,1034.1,1040.7,1047.4,1054.1,1059.4,302.4,297.9,296.0,295.7,296.9,295.1,292.4,291.1,291.9,295.2,1030.4,326.7
27,0,0.867,0.98,1,1000.4,1004.3,1009.9,1016.0,1021.8,1034.4,1041.1,1047.8,1054.5,1059.9,302.4,297.9,296.0,295.7,296.9,295.1,292.3,291.1,291.9,295.2,1030.7,326.6
28,0,0.9,0.98,1,1000.7,1004.6,1010.3,1016.4,1022.2,1034.8,1041.5,1048.2,1054.9,1060.2,302.6,298.0,296.1,295.7,296.9,295.0,292.3,291.1,291.8,295.1,1031.3,326.6
29,0,0.933,0.98,1,1001.1,1005.0,1010.7,1016.7,1022.5,1035.2,1041.8,1048.5,1055.2,1060.5,302.5,298.0,296.0,295.7,296.8,295.0,292.3,291.1,291.8,295.1,1031.5,326.5
30,0,0.967,0.98,1,1001.5,1005.4,1011.0,1017.1,1022.8,1035.5,1042.2,1048.8,1055.6,1060.9,302.5,298.0,296.0,295.7,296.8,294.9,292.2,291.0,291.7,295.1,1031.8,326.5
31,0,1.0,0.98,1,1001.7,1005.7,1011.3,1017.3,1023.0,1035.7,1042.4,1049.0,1055.8,1061.1,302.4,297.9,295.9,295.6,296.7,294.8,292.1,290.9,291.6,294.9,1032.0,326.4
32,0,1.033,0.98,1,1002.0,1005.9,1011.5,1017.4,1023.2,1035.9,1042.5,1049.2,1056.0,1061.3,302.5,298.0,296.0,295.6,296.7,294.8,292.0,290.8,291.5,294.7,1032.2,326.4
33,0,1.067,0.98,1,1002.3,1006.1,1011.7,1017.7,1023.4,1036.1,1042.7,1049.4,1056.1,1061.5,302.5,298.0,296.0,295.6,296.7,294.7,292.0,290.7,291.4,294.6,1032.5,326.3
34,0,1.1,0.98,1,1002.5,1006.3,1011.9,1017.8,1023.5,1036.3,1042.9,1049.5,1056.2,1061.6,302.5,298.0,296.0,295.6,296.6,294.7,291.9,290.7,291.3,294.5,1032.7,326.2
35,0,1.133,0.98,1,1002.7,1006.5,1012.0,1017.9,1023.6,1036.4,1043.0,1049.6,1056.4,1061.7,302.6,298.0,296.0,295.6,296.6,294.6,291.8,290.5,291.1,294.3,1032.9,326.2
36,0,1.167,0.98,1,1002.7,1006.5,1012.0,1018.0,1023.7,1036.4,1043.0,1049.7,1056.5,1061.9,302.6,298.1,296.0,295.6,296.5,294.5,291.7,290.4,291.0,294.2,1033.0,326.1
