frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,903.5,908.1,914.3,920.6,926.3,938.2,943.7,949.3,954.6,958.2,355.1,351.5,350.5,351.5,353.8,353.3,350.7,349.7,350.5,353.9,933.1,384.4
2,0,0.033,0.98,1,903.8,908.3,914.4,920.6,926.1,938.7,944.3,949.8,955.0,958.4,354.8,351.4,350.5,351.5,353.8,353.2,350.7,349.6,350.4,353.7,933.2,384.5
3,0,0.067,0.98,1,904.0,908.5,914.6,920.8,926.4,938.9,944.5,950.0,955.2,958.6,354.7,351.3,350.5,351.5,353.8,353.3,350.7,349.5,350.4,353.6,933.4,384.5
4,0,0.1,0.98,1,904.3,908.8,914.9,921.1,926.6,939.0,944.6,950.0,955.3,958.7,354.8,351.3,350.5,351.5,353.8,353.3,350.7,349.6,350.4,353.6,933.6,384.5
5,0,0.133,0.98,1,904.4,908.9,915.0,921.2,926.8,939.3,944.9,950.3,955.6,959.0,354.8,351.4,350.5,351.5,353.8,353.3,350.7,349.5,350.3,353.5,933.9,384.5
6,0,0.167,0.98,1,904.5,909.1,915.3,921.5,927.1,939.7,945.2,950.7,955.9,959.4,354.8,351.4,350.5,351.5,353.9,353.3,350.7,349.5,350.2,353.4,934.3,384.6
7,0,0.2,0.98,1,904.6,909.1,915.2,921.4,927.1,939.7,945.2,950.6,955.8,959.2,355.0,351.5,350.6,351.6,353.9,353.3,350.7,349.5,350.2,353.4,934.4,384.6
8,0,0.233,0.98,1,904.6,909.2,915.3,921.6,927.2,939.8,945.2,950.6,955.7,959.2,355.1,351.6,350.7,351.7,354.0,353.3,350.7,349.5,350.2,353.3,934.7,384.5
9,0,0.267,0.98,1,905.0,909.5,915.6,921.8,927.4,940.0,945.4,950.7,955.9,959.3,355.1,351.6,350.7,351.7,353.9,353.3,350.7,349.5,350.2,353.3,934.8,384.4
10,0,0.3,0.98,1,905.0,909.5,915.6,921.9,927.6,940.1,945.6,951.0,956.2,959.7,355.2,351.7,350.8,351.8,354.0,353.3,350.7,349.5,350.2,353.4,935.0,384.4
11,0,0.333,0.98,1,905.2,909.7,915.8,922.0,927.6,940.2,945.7,951.1,956.3,959.8,355.2,351.7,350.8,351.8,354.0,353.4,350.7,349.5,350.2,353.3,935.1,384.3
12,0,0.367,0.98,1,905.2,909.7,915.8,922.1,927.7,940.2,945.7,951.1,956.4,959.9,355.2,351.8,350.9,351.9,354.1,353.4,350.7,349.5,350.1,353.2,935.2,384.3
13,0,0.4,0.98,1,905.4,909.9,916.0,922.2,927.9,940.5,946.0,951.4,956.6,960.1,355.1,351.7,350.8,351.7,354.0,353.4,350.7,349.5,350.2,353.3,935.5,384.2
14,0,0.433,0.98,1,905.5,910.0,916.0,922.2,927.8,940.5,945.9,951.3,956.4,960.0,355.1,351.7,350.9,351.8,354.0,353.3,350.7,349.5,350.1,353.1,935.6,384.1
15,0,0.467,0.98,1,905.6,910.1,916.1,922.3,928.0,940.6,946.1,951.5,956.7,960.2,355.1,351.7,350.8,351.8,354.0,353.3,350.7,349.4,350.1,353.2,935.7,384.1
16,0,0.5,0.98,1,905.8,910.3,916.3,922.5,928.2,940.8,946.2,951.7,956.8,960.4,355.1,351.8,350.9,351.8,354.0,353.3,350.7,349.5,350.1,353.2,935.9,384.0
17,0,0.533,0.98,1,905.6,910.1,916.1,922.3,928.0,940.7,946.2,951.6,956.9,960.5,355.2,351.8,350.9,351.9,354.1,353.3,350.7,349.4,350.0,353.1,935.8,384.0
18,0,0.567,0.98,1,905.5,910.0,916.1,922.3,928.0,940.7,946.2,951.6,956.9,960.5,355.3,351.8,350.9,351.8,353.9,353.2,350.5,349.3,349.9,352.9,936.0,383.8
19,0,0.6,0.98,1,905.5,910.0,916.1,922.3,928.0,940.7,946.2,951.6,956.8,960.4,355.1,351.7,350.8,351.7,353.9,353.1,350.4,349.2,349.8,352.8,936.0,383.8
20,0,0.633,0.98,1,905.6,910.1,916.2,922.4,928.0,940.7,946.0,951.4,956.6,960.2,355.1,351.7,350.8,351.7,353.9,353.1,350.5,349.2,349.7,352.7,936.1,383.7
21,0,0.667,0.98,1,905.7,910.2,916.3,922.4,928.1,940.7,946.1,951.5,956.7,960.3,355.0,351.6,350.7,351.6,353.9,353.1,350.4,349.2,349.7,352.7,936.1,383.7
22,0,0.7,0.98,1,906.0,910.4,916.4,922.6,928.2,940.7,946.1,951.5,956.6,960.2,355.2,351.7,350.7,351.6,353.8,353.1,350.5,349.3,349.9,353.0,936.0,383.5
23,0,0.733,0.98,1,906.4,910.6,916.6,922.8,928.5,940.9,946.3,951.7,956.8,960.3,356.0,352.3,351.1,351.8,354.0,353.2,350.7,349.6,350.4,353.6,936.2,383.5
24,0,0.767,0.98,1,906.6,910.7,916.7,922.9,928.6,940.9,946.3,951.7,956.8,960.3,356.2,352.5,351.2,351.9,354.0,353.2,350.7,349.6,350.4,353.6,936.3,383.4
25,0,0.8,0.98,1,906.5,910.8,916.9,923.2,928.9,941.2,946.6,952.0,957.2,960.8,355.2,351.6,350.5,351.4,353.6,352.9,350.3,349.1,349.7,352.9,936.5,383.2
26,0,0.833,0.98,1,906.7,911.2,917.3,923.5,929.2,941.4,946.8,952.2,957.4,961.0,354.5,351.0,350.1,351.1,353.3,352.7,350.0,348.8,349.4,352.4,936.5,383.1
27,0,0.867,0.98,1,906.7,911.2,917.2,923.5,929.1,941.5,947.0,952.4,957.5,961.1,354.2,350.8,349.8,350.8,353.1,352.4,349.7,348.4,349.0,352.0,936.7,383.0
28,0,0.9,0.98,1,906.7,911.2,917.3,923.5,929.1,941.5,946.9,952.3,957.5,961.1,353.9,350.5,349.7,350.7,352.9,352.2,349.6,348.3,348.8,351.8,936.7,382.8
29,0,0.933,0.98,1,906.8,911.4,917.5,923.7,929.3,941.8,947.2,952.6,957.8,961.4,353.8,350.4,349.5,350.5,352.7,352.0,349.3,348.0,348.6,351.6,937.0,382.7
30,0,0.967,0.98,1,906.9,911.5,917.6,923.9,929.6,941.9,947.4,952.8,958.0,961.6,353.8,350.4,349.5,350.4,352.6,351.9,349.2,347.9,348.4,351.4,937.2,382.6
31,0,1.0,0.98,1,907.1,911.6,917.8,924.1,929.8,942.2,947.6,953.0,958.2,961.8,353.6,350.2,349.3,350.3,352.5,351.8,349.0,347.7,348.2,351.2,937.5,382.5
32,0,1.033,0.98,1,907.4,911.9,918.1,924.3,930.0,942.6,948.0,953.3,958.5,962.0,353.6,350.2,349.3,350.2,352.4,351.7,349.0,347.7,348.2,351.2,937.8,382.4
33,0,1.067,0.98,1,907.8,912.3,918.5,924.7,930.4,942.9,948.3,953.6,958.7,962.2,353.5,350.1,349.2,350.2,352.4,351.6,348.9,347.6,348.2,351.2,938.2,382.3
34,0,1.1,0.98,1,908.2,912.8,919.0,925.3,930.9,943.2,948.6,954.0,959.1,962.6,353.4,350.1,349.2,350.1,352.3,351.6,348.9,347.6,348.2,351.2,938.5,382.3
35,0,1.133,0.98,1,908.3,912.9,919.0,925.4,931.1,943.6,949.0,954.3,959.4,962.9,353.3,349.9,349.0,349.9,352.1,351.4,348.7,347.4,348.0,351.0,938.9,382.2
36,0,1.167,0.98,1,908.6,913.2,919.3,925.6,931.3,943.7,949.1,954.4,959.4,962.9,353.3,349.9,349.0,349.9,352.0,351.3,348.6,347.3,347.9,350.9,939.1,382.2
37,0,1.2,0.98,1,908.7,913.3,919.6,926.0,931.7,944.0,949.4,954.7,959.8,963.3,353.3,349.8,348.9,349.8,352.0,351.2,348.5,347.2,347.8,350.9,939.4,382.1
38,0,1.233,0.98,1,909.3,913.9,920.1,926.5,932.1,944.5,949.8,955.1,960.1,963.5,353.2,349.8,348.9,349.8,352.0,351.2,348.5,347.2,347.8,350.9,939.9,382.0
39,0,1.267,0.98,1,909.6,914.2,920.5,926.8,932.5,944.6,950.0,955.3,960.3,963.8,353.1,349.7,348.9,349.8,352.1,351.3,348.6,347.3,347.9,351.0,940.0,382.1
40,0,1.3,0.98,1,909.8,914.5,920.8,927.2,932.9,945.0,950.4,955.7,960.7,964.1,353.0,349.6,348.8,349.8,352.1,351.3,348.6,347.3,347.9,350.9,940.3,382.1
