frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1022.2,1026.7,1033.1,1039.6,1045.6,1059.0,1065.7,1072.4,1078.9,1083.2,269.6,265.9,265.3,266.7,269.6,269.7,267.2,266.2,267.3,271.1,1052.0,303.4
2,0,0.033,0.98,1,1021.8,1026.2,1032.5,1038.9,1044.9,1058.9,1065.5,1072.2,1078.6,1082.9,269.6,266.0,265.3,266.8,269.6,269.8,267.2,266.2,267.3,271.1,1051.7,303.7
3,0,0.067,0.98,1,1021.3,1025.7,1032.0,1038.4,1044.3,1058.5,1065.1,1071.8,1078.2,1082.5,269.2,265.6,264.9,266.4,269.3,269.4,266.9,265.8,266.8,270.5,1051.4,303.4
4,0,0.1,0.98,1,1021.3,1025.5,1031.8,1038.1,1044.1,1058.2,1064.8,1071.5,1077.9,1082.2,269.5,265.8,265.0,266.4,269.2,269.2,266.7,265.6,266.7,270.3,1051.3,303.3
5,0,0.133,0.98,1,1021.4,1025.5,1031.7,1038.1,1044.1,1058.0,1064.6,1071.2,1077.6,1081.9,269.6,265.8,264.9,266.3,269.2,269.2,266.5,265.5,266.5,270.2,1051.3,303.3
6,0,0.167,0.98,1,1021.3,1025.5,1031.7,1038.1,1044.0,1057.7,1064.3,1071.0,1077.4,1081.7,269.4,265.6,264.9,266.3,269.2,269.2,266.5,265.4,266.4,270.1,1051.2,303.2
7,0,0.2,0.98,1,1021.4,1025.5,1031.8,1038.1,1044.0,1057.8,1064.3,1071.0,1077.3,1081.6,269.2,265.5,264.8,266.2,269.1,269.1,266.5,265.3,266.3,269.9,1051.2,303.1
8,0,0.233,0.98,1,1021.5,1025.7,1032.0,1038.3,1044.2,1057.7,1064.2,1070.9,1077.3,1081.6,269.0,265.4,264.7,266.2,269.2,269.2,266.5,265.3,266.2,269.8,1051.2,303.1
9,0,0.267,0.98,1,1021.4,1025.7,1032.0,1038.4,1044.2,1057.8,1064.3,1071.0,1077.4,1081.8,268.7,265.2,264.6,266.1,269.2,269.2,266.5,265.3,266.1,269.7,1051.2,303.0
10,0,0.3,0.98,1,1021.3,1025.6,1031.9,1038.3,1044.1,1057.6,1064.1,1070.8,1077.3,1081.7,268.7,265.2,264.6,266.1,269.1,269.2,266.4,265.2,266.1,269.6,1051.1,302.8
11,0,0.333,0.98,1,1021.4,1025.7,1031.9,1038.2,1044.0,1057.7,1064.2,1070.9,1077.2,1081.6,268.7,265.1,264.5,266.0,269.0,269.0,266.4,265.2,266.1,269.7,1051.0,302.9
12,0,0.367,0.98,1,1021.2,1025.6,1031.8,1038.1,1043.9,1057.7,1064.3,1070.9,1077.3,1081.7,268.4,264.9,264.3,265.9,269.0,269.1,266.4,265.3,266.1,269.6,1050.9,303.0
13,0,0.4,0.98,1,1021.2,1025.5,1031.7,1038.1,1043.9,1057.9,1064.5,1071.1,1077.5,1081.9,268.4,264.9,264.2,265.8,268.7,268.9,266.2,265.1,266.1,269.7,1050.9,302.9
14,0,0.433,0.98,1,1021.2,1025.5,1031.7,1038.1,1043.9,1057.9,1064.5,1071.2,1077.6,1082.0,268.3,264.8,264.2,265.8,268.8,268.9,266.3,265.2,266.1,269.7,1050.8,303.0
15,0,0.467,0.98,1,1021.3,1025.6,1031.8,1038.1,1043.9,1057.8,1064.4,1071.0,1077.4,1081.8,268.4,264.9,264.3,265.8,268.8,268.9,266.3,265.2,266.1,269.7,1050.8,302.9
16,0,0.5,0.98,1,1021.3,1025.5,1031.6,1037.9,1043.7,1057.6,1064.2,1070.8,1077.2,1081.6,268.5,264.9,264.3,265.8,268.8,268.9,266.2,265.2,266.1,269.7,1050.7,302.9
17,0,0.533,0.98,1,1021.2,1025.4,1031.5,1037.8,1043.6,1057.4,1064.0,1070.7,1077.1,1081.5,268.5,264.9,264.3,265.8,268.8,268.9,266.3,265.2,266.2,269.8,1050.5,303.0
18,0,0.567,0.98,1,1021.1,1025.3,1031.5,1037.9,1043.7,1057.3,1063.9,1070.6,1077.1,1081.5,268.6,265.0,264.3,265.8,268.8,268.9,266.2,265.1,266.0,269.6,1050.7,302.7
19,0,0.6,0.98,1,1021.4,1025.5,1031.7,1038.0,1043.9,1057.2,1063.8,1070.5,1077.0,1081.3,268.7,264.9,264.1,265.5,268.5,268.5,265.9,264.8,265.9,269.7,1050.7,302.4
20,0,0.633,0.98,1,1021.4,1025.5,1031.7,1038.1,1044.0,1057.2,1063.8,1070.6,1077.1,1081.4,268.5,264.7,263.9,265.4,268.4,268.5,265.8,264.7,265.8,269.6,1050.8,302.3
21,0,0.667,0.98,1,1021.7,1025.9,1032.1,1038.4,1044.2,1057.6,1064.2,1070.9,1077.4,1081.8,268.2,264.6,263.9,265.4,268.4,268.4,265.8,264.7,265.7,269.5,1050.8,302.2
