frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,923.9,929.4,936.1,943.0,949.2,960.2,965.3,970.4,975.2,978.4,349.7,345.9,344.7,345.5,347.7,347.5,345.4,344.7,345.8,349.3,956.0,376.4
2,0,0.033,0.98,1,923.9,929.6,936.2,942.9,949.1,960.5,965.5,970.4,975.2,978.3,349.5,345.8,344.6,345.4,347.5,347.4,345.5,344.9,345.8,349.2,956.2,375.9
3,0,0.067,0.98,1,923.7,929.4,936.0,942.7,948.9,960.3,965.3,970.2,975.0,978.2,349.4,345.7,344.5,345.3,347.4,347.3,345.4,344.8,345.8,349.2,955.8,375.8
4,0,0.1,0.98,1,923.7,929.3,936.0,942.7,948.9,960.3,965.3,970.2,975.0,978.1,349.4,345.7,344.5,345.3,347.3,347.2,345.3,344.7,345.7,349.1,955.8,375.8
5,0,0.133,0.98,1,923.6,929.1,935.8,942.5,948.7,960.1,965.1,970.1,974.9,978.0,349.3,345.6,344.4,345.2,347.3,347.1,345.3,344.7,345.7,349.1,955.6,375.7
6,0,0.167,0.98,1,923.5,929.1,935.7,942.4,948.6,959.9,965.0,970.0,974.8,977.9,349.3,345.5,344.3,345.1,347.2,347.0,345.2,344.6,345.6,349.1,955.5,375.6
7,0,0.2,0.98,1,923.3,928.9,935.6,942.3,948.5,959.9,965.0,969.9,974.7,977.9,349.2,345.5,344.3,345.1,347.1,346.9,345.1,344.5,345.5,348.9,955.4,375.6
8,0,0.233,0.98,1,923.2,928.8,935.5,942.2,948.3,959.8,964.9,969.8,974.6,977.8,349.1,345.4,344.2,345.0,347.0,346.8,345.0,344.4,345.3,348.7,955.3,375.5
9,0,0.267,0.98,1,923.2,928.8,935.5,942.1,948.3,959.7,964.8,969.7,974.6,977.8,349.0,345.4,344.2,345.0,347.0,346.8,345.0,344.4,345.3,348.7,955.2,375.5
10,0,0.3,0.98,1,923.0,928.6,935.3,942.0,948.1,959.6,964.6,969.6,974.4,977.6,349.0,345.3,344.1,344.9,346.9,346.7,345.0,344.3,345.3,348.7,955.1,375.4
11,0,0.333,0.98,1,923.0,928.6,935.3,942.0,948.2,959.6,964.7,969.6,974.4,977.6,349.0,345.3,344.1,344.9,346.9,346.7,345.0,344.3,345.3,348.7,955.1,375.4
12,0,0.367,0.98,1,923.0,928.6,935.3,941.9,948.1,959.5,964.6,969.6,974.4,977.6,348.9,345.2,344.0,344.8,346.8,346.7,344.9,344.3,345.2,348.6,955.0,375.3
13,0,0.4,0.98,1,923.0,928.7,935.3,941.9,948.1,959.5,964.6,969.5,974.3,977.5,348.7,345.1,343.9,344.7,346.7,346.6,344.8,344.2,345.1,348.5,954.9,375.2
14,0,0.433,0.98,1,923.0,928.7,935.3,941.9,948.1,959.5,964.6,969.5,974.3,977.5,348.6,345.0,343.9,344.7,346.7,346.6,344.8,344.2,345.1,348.5,954.8,375.2
