frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.88,1,1050.8,1055.2,1061.3,1067.5,1073.2,1086.8,1093.3,1099.9,1106.2,1110.7,274.9,271.8,271.4,273.1,276.2,276.5,273.9,272.9,273.8,277.1,1079.6,308.9
2,0,0.033,0.98,1,1049.4,1053.8,1059.9,1066.2,1071.9,1085.8,1092.3,1098.9,1105.3,1109.7,274.5,271.5,271.2,272.8,275.9,276.2,273.5,272.5,273.4,276.7,1078.7,309.0
3,0,0.067,0.88,1,1047.8,1052.2,1058.4,1064.8,1070.7,1084.8,1091.5,1098.3,1104.8,1109.3,273.8,270.6,270.3,272.1,275.3,275.7,272.9,271.8,272.7,276.2,1077.5,308.9
4,0,0.1,0.98,1,1046.6,1051.0,1057.2,1063.6,1069.5,1084.0,1090.7,1097.4,1103.9,1108.3,273.7,270.5,270.2,271.9,275.1,275.4,272.6,271.5,272.4,275.8,1076.6,308.6
5,0,0.133,0.98,1,1045.4,1049.8,1055.9,1062.3,1068.1,1082.5,1089.2,1095.9,1102.3,1106.8,273.9,270.7,270.4,272.0,275.1,275.2,272.4,271.3,272.2,275.6,1075.4,308.5
6,0,0.167,0.98,1,1044.0,1048.3,1054.5,1060.9,1066.8,1081.1,1087.7,1094.4,1100.9,1105.4,273.5,270.2,269.7,271.4,274.5,274.7,271.9,270.8,271.7,275.1,1074.1,307.9
7,0,0.2,0.98,1,1042.7,1047.0,1053.1,1059.5,1065.4,1079.8,1086.4,1093.1,1099.5,1104.0,273.2,269.9,269.4,271.0,274.1,274.3,271.5,270.4,271.2,274.6,1072.9,307.6
8,0,0.233,0.98,1,1041.9,1046.1,1052.2,1058.5,1064.4,1078.5,1085.0,1091.7,1098.1,1102.5,273.0,269.6,269.0,270.5,273.4,273.4,270.6,269.5,270.3,273.7,1072.1,306.8
9,0,0.267,0.93,1,1040.8,1045.0,1051.0,1057.4,1063.3,1077.7,1084.2,1090.8,1097.2,1101.6,272.5,269.1,268.4,269.8,272.7,272.6,269.8,268.6,269.4,272.7,1071.3,306.1
10,0,0.3,0.93,1,1040.0,1044.2,1050.2,1056.5,1062.3,1076.8,1083.4,1090.0,1096.4,1100.9,271.6,268.2,267.7,269.1,272.0,271.9,269.0,267.8,268.6,271.9,1070.3,305.5
11,0,0.333,0.98,1,1039.4,1043.6,1049.6,1055.8,1061.6,1076.0,1082.6,1089.2,1095.7,1100.2,270.8,267.4,266.8,268.2,271.0,270.9,268.0,266.8,267.6,271.0,1069.6,304.2
12,0,0.367,0.98,1,1038.8,1042.9,1048.9,1055.1,1060.8,1075.4,1082.0,1088.5,1094.9,1099.4,269.9,266.5,265.7,267.0,269.8,269.6,266.8,265.7,266.5,269.9,1069.1,303.1
13,0,0.4,0.98,1,1038.4,1042.4,1048.3,1054.5,1060.3,1074.8,1081.4,1088.2,1094.7,1099.3,269.5,266.0,265.3,266.6,269.3,269.1,266.1,264.8,265.7,269.1,1068.7,302.7
14,0,0.433,0.98,1,1038.0,1042.0,1047.9,1054.1,1059.9,1074.5,1081.1,1087.9,1094.4,1099.0,269.2,265.7,265.0,266.3,269.0,268.7,265.7,264.4,265.3,268.7,1068.4,302.5
15,0,0.467,0.98,1,1038.1,1042.0,1047.9,1054.1,1059.8,1074.3,1080.9,1087.6,1094.2,1098.9,269.2,265.7,265.0,266.3,269.1,268.8,265.8,264.5,265.3,268.8,1068.3,302.5
16,0,0.5,0.98,1,1038.2,1042.1,1048.0,1054.1,1059.8,1074.4,1081.0,1087.7,1094.2,1098.8,269.2,265.7,264.9,266.2,269.0,268.7,265.8,264.6,265.4,268.8,1068.2,302.5
17,0,0.533,0.98,1,1038.5,1042.6,1048.4,1054.5,1060.2,1074.8,1081.4,1088.1,1094.6,1099.2,268.8,265.4,264.7,266.1,268.9,268.7,265.9,264.6,265.4,268.8,1068.5,302.4
18,0,0.567,0.98,1,1039.3,1043.3,1049.2,1055.2,1060.8,1075.4,1082.0,1088.6,1095.1,1099.8,268.5,265.1,264.5,265.9,268.8,268.7,265.9,264.7,265.5,269.0,1068.9,302.3
19,0,0.6,0.98,1,1039.8,1043.9,1049.8,1055.9,1061.5,1076.1,1082.7,1089.4,1095.9,1100.5,268.0,264.8,264.2,265.7,268.6,268.5,265.7,264.5,265.3,268.6,1069.5,302.0
20,0,0.633,0.98,1,1040.6,1044.7,1050.7,1056.7,1062.4,1076.9,1083.6,1090.2,1096.7,1101.2,267.6,264.3,263.7,265.2,268.1,268.1,265.4,264.3,265.2,268.7,1070.1,301.7
21,0,0.667,0.98,1,1041.0,1045.1,1051.0,1057.1,1062.8,1077.4,1084.0,1090.7,1097.2,1101.8,267.1,263.8,263.3,264.8,267.8,268.0,265.2,264.1,265.1,268.5,1070.4,301.6
22,0,0.7,0.98,1,1041.4,1045.5,1051.4,1057.5,1063.1,1077.7,1084.4,1091.2,1097.7,1102.2,266.6,263.4,262.9,264.5,267.5,267.8,265.1,264.0,265.0,268.5,1070.5,301.5
23,0,0.733,0.98,1,1041.6,1045.8,1051.7,1057.8,1063.5,1078.2,1084.9,1091.6,1098.1,1102.6,266.6,263.4,262.9,264.4,267.4,267.7,265.0,264.0,265.1,268.6,1070.8,301.3
24,0,0.767,0.98,1,1041.7,1045.9,1051.9,1058.1,1063.8,1078.6,1085.3,1092.1,1098.5,1102.9,266.4,263.1,262.7,264.3,267.4,267.8,265.1,264.1,265.2,268.7,1070.9,301.2
25,0,0.8,0.98,1,1041.5,1045.8,1051.8,1058.0,1063.7,1078.3,1084.9,1091.6,1098.0,1102.5,266.4,263.1,262.7,264.3,267.4,267.7,265.0,264.0,265.0,268.5,1070.7,301.2
26,0,0.833,0.98,1,1041.2,1045.5,1051.5,1057.7,1063.4,1077.7,1084.3,1091.0,1097.4,1101.9,266.4,263.1,262.7,264.4,267.5,267.8,265.1,264.1,265.1,268.6,1070.2,301.1
27,0,0.867,0.98,1,1040.5,1044.8,1050.9,1057.1,1062.8,1077.4,1084.1,1090.8,1097.2,1101.6,266.3,263.0,262.5,264.1,267.2,267.5,264.8,263.9,265.0,268.6,1069.7,300.8
28,0,0.9,0.98,1,1039.4,1043.8,1050.0,1056.3,1062.0,1076.4,1083.1,1089.8,1096.3,1100.8,266.1,262.8,262.4,264.0,267.1,267.4,264.7,263.7,264.7,268.3,1068.9,300.7
29,0,0.933,0.98,1,1038.7,1043.0,1049.2,1055.5,1061.3,1075.8,1082.5,1089.2,1095.6,1100.0,265.9,262.6,262.1,263.7,266.7,267.0,264.2,263.2,264.3,267.9,1068.2,300.3
30,0,0.967,0.98,1,1037.6,1041.9,1048.1,1054.4,1060.2,1074.6,1081.3,1088.0,1094.5,1099.0,265.8,262.4,261.9,263.4,266.4,266.6,263.8,262.7,263.8,267.4,1067.3,300.1
31,0,1.0,0.98,1,1036.5,1040.8,1046.9,1053.2,1059.0,1073.4,1080.1,1086.8,1093.3,1097.8,265.6,262.2,261.7,263.1,266.1,266.1,263.3,262.2,263.2,266.8,1066.3,299.6
32,0,1.033,0.98,1,1035.3,1039.6,1045.7,1052.0,1057.8,1072.0,1078.7,1085.4,1091.9,1096.4,265.5,262.0,261.5,262.9,265.9,265.9,263.1,262.0,263.0,266.7,1065.0,299.5
33,0,1.067,0.98,1,1034.5,1038.6,1044.7,1051.1,1056.9,1070.8,1077.4,1084.1,1090.5,1095.0,265.6,262.1,261.4,262.7,265.7,265.6,262.8,261.7,262.8,266.4,1064.2,299.2
34,0,1.1,0.98,1,1033.3,1037.4,1043.5,1049.9,1055.7,1069.6,1076.2,1082.9,1089.4,1093.8,265.3,261.7,260.9,262.3,265.2,265.2,262.3,261.2,262.3,266.0,1063.1,298.9
35,0,1.133,0.98,1,1032.1,1036.2,1042.3,1048.6,1054.4,1068.3,1074.9,1081.6,1088.1,1092.5,265.4,261.7,260.9,262.1,265.0,264.9,262.0,261.0,262.1,265.9,1061.9,298.6
36,0,1.167,0.98,1,1031.1,1035.1,1041.2,1047.5,1053.3,1066.9,1073.5,1080.3,1086.8,1091.2,265.5,261.8,261.0,262.2,265.1,264.9,261.9,260.8,261.9,265.7,1060.8,298.5
37,0,1.2,0.93,1,1029.0,1033.1,1039.2,1045.7,1051.6,1065.4,1072.1,1079.1,1085.8,1090.3,265.0,261.2,260.3,261.7,264.7,264.6,261.5,260.4,261.4,265.2,1059.4,298.4
38,0,1.233,0.98,1,1028.0,1032.0,1038.1,1044.5,1050.4,1064.7,1071.3,1078.2,1084.8,1089.3,264.5,260.7,259.9,261.2,264.2,264.1,261.1,259.9,260.9,264.6,1058.4,297.8
39,0,1.267,0.93,1,1027.2,1031.2,1037.2,1043.5,1049.4,1063.7,1070.4,1077.2,1083.7,1088.2,264.5,260.7,259.7,260.9,263.8,263.5,260.5,259.3,260.4,264.1,1057.6,297.4
40,0,1.3,0.98,1,1026.6,1030.6,1036.5,1042.8,1048.7,1063.0,1069.6,1076.4,1082.9,1087.4,264.3,260.4,259.4,260.6,263.3,263.0,260.0,258.9,259.9,263.6,1056.9,296.9
41,0,1.333,0.93,1,1026.1,1030.0,1035.9,1042.2,1048.0,1062.5,1069.1,1075.8,1082.3,1086.8,264.0,260.1,259.1,260.3,263.0,262.7,259.7,258.5,259.5,263.2,1056.5,296.8
42,0,1.367,0.98,1,1025.8,1029.7,1035.6,1041.9,1047.7,1062.2,1068.8,1075.5,1082.0,1086.5,263.8,260.0,259.0,260.1,262.9,262.5,259.4,258.2,259.2,262.8,1056.3,296.7
43,0,1.4,0.98,1,1025.9,1029.8,1035.7,1042.0,1047.8,1062.1,1068.7,1075.5,1082.0,1086.5,263.8,260.0,259.0,260.1,262.8,262.4,259.3,258.1,259.1,262.7,1056.3,296.4
44,0,1.433,0.98,1,1026.4,1030.2,1036.2,1042.4,1048.3,1062.4,1068.9,1075.6,1082.1,1086.6,263.7,259.8,258.7,259.8,262.5,262.0,258.9,257.7,258.6,262.3,1056.8,295.9
45,0,1.467,0.93,1,1026.8,1030.6,1036.6,1042.9,1048.7,1063.0,1069.4,1076.0,1082.5,1087.0,263.4,259.5,258.4,259.3,261.9,261.3,258.2,256.9,257.8,261.3,1057.7,295.1
46,0,1.5,0.98,1,1027.5,1031.3,1037.2,1043.5,1049.5,1064.1,1070.5,1077.2,1083.7,1088.2,263.0,258.9,257.7,258.7,261.2,260.5,257.4,256.1,256.9,260.4,1058.8,294.3
