frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,900.0,904.7,910.8,917.1,922.7,934.2,940.0,945.9,951.6,955.4,348.1,344.3,343.2,343.9,346.2,346.0,343.8,343.3,344.6,348.3,928.6,374.5
2,0,0.033,0.98,1,899.5,904.2,910.3,916.5,922.1,934.0,939.9,945.7,951.3,955.1,348.2,344.6,343.5,344.2,346.3,346.1,344.0,343.5,344.7,348.3,928.3,374.4
3,0,0.067,0.98,1,899.1,903.8,909.8,916.0,921.7,933.5,939.3,945.2,950.8,954.7,348.4,344.7,343.6,344.3,346.5,346.3,344.2,343.7,344.9,348.5,927.7,374.5
4,0,0.1,0.98,1,898.6,903.3,909.4,915.5,921.2,932.9,938.8,944.6,950.3,954.2,348.5,344.8,343.8,344.5,346.7,346.5,344.3,343.8,345.0,348.5,927.2,374.6
5,0,0.133,0.98,1,898.4,903.2,909.3,915.5,921.1,932.9,938.8,944.6,950.2,954.2,348.5,344.9,343.9,344.7,346.9,346.7,344.6,344.1,345.2,348.8,927.1,374.8
6,0,0.167,0.98,1,898.3,903.0,909.1,915.2,920.8,932.6,938.5,944.3,949.9,953.8,348.6,345.0,344.0,344.8,346.9,346.8,344.7,344.1,345.4,348.9,926.7,375.0
7,0,0.2,0.98,1,898.3,903.0,909.1,915.2,920.8,932.5,938.4,944.2,949.8,953.7,348.6,345.1,344.1,344.9,347.0,346.9,344.8,344.3,345.5,349.1,926.6,375.1
8,0,0.233,0.98,1,898.3,903.1,909.1,915.3,920.8,932.5,938.3,944.1,949.7,953.5,348.7,345.2,344.3,345.0,347.2,347.0,345.0,344.4,345.7,349.3,926.6,375.2
9,0,0.267,0.98,1,898.4,903.2,909.3,915.4,921.0,932.6,938.4,944.2,949.7,953.5,348.9,345.3,344.4,345.1,347.3,347.2,345.1,344.7,346.0,349.6,926.7,375.4
10,0,0.3,0.98,1,898.5,903.3,909.4,915.5,921.1,932.7,938.6,944.3,949.9,953.7,349.0,345.5,344.6,345.4,347.5,347.4,345.4,344.9,346.2,349.7,926.7,375.6
11,0,0.333,0.98,1,898.8,903.6,909.7,915.8,921.4,932.9,938.7,944.4,949.9,953.8,349.0,345.6,344.7,345.5,347.6,347.5,345.4,344.9,346.2,349.7,927.0,375.8
12,0,0.367,0.98,1,899.1,904.1,910.2,916.3,921.9,933.5,939.2,944.8,950.3,954.1,349.2,345.8,345.0,345.8,348.0,348.0,346.0,345.4,346.7,350.2,927.4,376.2
13,0,0.4,0.98,1,899.5,904.5,910.6,916.8,922.3,934.0,939.7,945.4,950.8,954.5,349.2,345.8,345.0,345.9,348.1,348.1,346.2,345.7,347.0,350.6,927.7,376.4
14,0,0.433,0.98,1,900.0,905.0,911.1,917.3,922.8,934.6,940.3,945.9,951.3,955.0,349.5,346.2,345.4,346.4,348.6,348.7,346.7,346.2,347.4,350.9,928.3,376.9
15,0,0.467,0.98,1,900.5,905.5,911.7,917.9,923.4,935.2,940.9,946.5,951.9,955.6,349.6,346.2,345.5,346.5,348.7,348.8,346.9,346.4,347.7,351.3,928.8,377.2
16,0,0.5,0.98,1,901.0,906.1,912.3,918.5,924.1,935.7,941.5,947.1,952.4,956.1,349.7,346.4,345.7,346.7,349.0,349.1,347.2,346.7,348.1,351.7,929.3,377.5
