frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1019.6,1023.7,1029.9,1036.3,1042.3,1055.3,1061.6,1068.2,1074.6,1079.2,258.5,254.3,253.0,253.9,256.3,255.5,252.5,251.1,251.9,255.5,1050.7,289.7
2,0,0.033,0.98,1,1019.4,1023.2,1029.2,1035.6,1041.5,1055.5,1061.8,1068.3,1074.6,1079.1,258.2,254.0,252.6,253.5,255.9,255.1,252.0,250.6,251.4,255.0,1050.8,289.6
3,0,0.067,0.98,1,1019.6,1023.5,1029.6,1035.9,1041.8,1056.0,1062.3,1068.7,1075.0,1079.4,257.9,253.7,252.4,253.2,255.7,254.9,251.9,250.6,251.3,254.9,1051.1,289.5
4,0,0.1,0.98,1,1019.6,1023.5,1029.5,1035.9,1041.8,1056.1,1062.4,1068.8,1075.1,1079.5,257.7,253.5,252.2,253.1,255.5,254.8,251.8,250.5,251.3,254.9,1051.1,289.4
5,0,0.133,0.98,1,1019.8,1023.8,1029.8,1036.2,1042.1,1056.1,1062.4,1068.9,1075.2,1079.5,257.7,253.4,252.1,253.0,255.5,254.8,251.8,250.5,251.3,255.0,1051.1,289.3
6,0,0.167,0.98,1,1020.1,1024.0,1030.0,1036.4,1042.3,1056.1,1062.4,1068.9,1075.2,1079.6,257.7,253.5,252.2,253.1,255.6,254.9,251.9,250.6,251.4,255.1,1051.2,289.3
7,0,0.2,0.98,1,1020.1,1024.0,1030.1,1036.4,1042.3,1056.0,1062.3,1068.8,1075.1,1079.5,257.8,253.5,252.2,253.1,255.6,254.9,251.9,250.6,251.4,255.1,1051.1,289.3
8,0,0.233,0.98,1,1020.1,1024.0,1030.0,1036.4,1042.2,1056.0,1062.3,1068.8,1075.0,1079.4,257.7,253.5,252.2,253.0,255.5,254.7,251.7,250.4,251.3,255.0,1051.1,289.2
9,0,0.267,0.98,1,1020.0,1024.0,1030.0,1036.3,1042.2,1055.9,1062.2,1068.7,1075.0,1079.4,257.6,253.4,252.1,253.0,255.5,254.7,251.7,250.4,251.2,254.9,1051.0,289.2
10,0,0.3,0.98,1,1020.0,1023.9,1030.0,1036.3,1042.2,1055.8,1062.1,1068.7,1075.0,1079.4,257.8,253.5,252.2,253.0,255.5,254.7,251.7,250.3,251.2,254.9,1051.1,289.1
11,0,0.333,0.98,1,1020.1,1024.0,1030.0,1036.4,1042.2,1055.8,1062.1,1068.6,1074.9,1079.3,257.7,253.5,252.2,253.0,255.5,254.7,251.6,250.3,251.2,254.8,1051.0,289.1
12,0,0.367,0.98,1,1020.0,1023.9,1029.9,1036.2,1042.1,1055.6,1061.9,1068.4,1074.7,1079.1,257.8,253.6,252.3,253.1,255.6,254.8,251.7,250.4,251.2,254.9,1051.0,289.1
13,0,0.4,0.98,1,1019.7,1023.6,1029.6,1035.9,1041.8,1055.3,1061.6,1068.2,1074.6,1079.1,258.3,254.0,252.7,253.5,256.0,255.1,252.0,250.6,251.3,255.0,1051.0,289.5
14,0,0.433,0.98,1,1019.6,1023.5,1029.5,1035.8,1041.7,1055.3,1061.6,1068.1,1074.5,1079.0,258.4,254.2,252.9,253.8,256.2,255.3,252.1,250.6,251.3,254.8,1051.2,289.7
15,0,0.467,0.98,1,1019.9,1023.7,1029.7,1036.0,1041.8,1055.7,1062.0,1068.5,1074.8,1079.4,258.6,254.4,253.0,253.9,256.3,255.3,252.2,250.8,251.4,255.0,1051.4,290.0
16,0,0.5,0.98,1,1020.2,1024.1,1030.0,1036.4,1042.3,1055.9,1062.2,1068.7,1075.1,1079.7,259.0,254.7,253.4,254.3,256.8,255.7,252.5,251.0,251.6,255.1,1051.9,290.2
17,0,0.533,0.98,1,1020.4,1024.2,1030.2,1036.5,1042.4,1056.3,1062.5,1069.0,1075.4,1080.0,259.1,254.8,253.5,254.3,256.8,255.8,252.5,251.0,251.5,255.0,1052.3,290.4
18,0,0.567,0.98,1,1020.9,1024.7,1030.6,1037.0,1043.0,1056.6,1062.9,1069.5,1076.0,1080.6,259.5,255.1,253.7,254.5,257.0,255.9,252.6,251.0,251.6,255.2,1052.9,290.6
19,0,0.6,0.98,1,1021.8,1025.5,1031.4,1037.7,1043.6,1057.5,1063.7,1070.2,1076.6,1081.2,259.6,255.2,253.8,254.5,257.0,255.8,252.6,251.0,251.6,255.2,1053.6,290.7
20,0,0.633,0.98,1,1022.3,1026.0,1032.0,1038.3,1044.3,1058.1,1064.3,1070.9,1077.3,1081.9,259.8,255.4,253.9,254.7,257.1,256.0,252.7,251.2,251.7,255.3,1054.4,290.9
21,0,0.667,0.98,1,1023.4,1027.1,1033.0,1039.3,1045.2,1059.3,1065.5,1072.0,1078.4,1082.9,259.8,255.4,254.0,254.8,257.2,256.1,252.9,251.4,251.9,255.4,1055.3,290.9
22,0,0.7,0.98,1,1024.4,1028.0,1033.9,1040.3,1046.2,1059.9,1066.1,1072.6,1078.9,1083.4,260.1,255.7,254.3,255.0,257.4,256.3,253.0,251.4,252.0,255.5,1056.2,291.0
23,0,0.733,0.98,1,1025.3,1029.1,1034.9,1041.2,1047.0,1061.0,1067.2,1073.7,1080.0,1084.5,259.8,255.5,254.1,254.9,257.3,256.2,253.0,251.5,252.1,255.6,1057.0,291.1
24,0,0.767,0.98,1,1026.3,1030.0,1035.9,1042.2,1048.1,1061.8,1068.0,1074.5,1080.9,1085.4,259.9,255.6,254.2,255.0,257.4,256.3,253.1,251.6,252.2,255.7,1057.9,291.2
25,0,0.8,0.98,1,1026.8,1030.6,1036.5,1042.7,1048.6,1062.5,1068.8,1075.3,1081.7,1086.2,259.8,255.5,254.1,255.0,257.5,256.4,253.2,251.7,252.2,255.8,1058.5,291.4
26,0,0.833,0.98,1,1027.7,1031.5,1037.4,1043.7,1049.5,1063.6,1069.9,1076.4,1082.7,1087.2,259.8,255.5,254.2,255.0,257.5,256.5,253.2,251.7,252.3,255.8,1059.5,291.5
27,0,0.867,0.98,1,1028.7,1032.4,1038.3,1044.6,1050.5,1064.7,1070.9,1077.4,1083.8,1088.2,260.2,255.8,254.4,255.3,257.8,256.8,253.6,252.0,252.6,256.1,1060.5,291.8
28,0,0.9,0.98,1,1029.8,1033.5,1039.3,1045.6,1051.4,1065.4,1071.6,1078.0,1084.4,1088.8,260.7,256.4,254.9,255.7,258.2,257.1,253.9,252.4,253.0,256.5,1061.4,292.1
29,0,0.933,0.98,1,1030.9,1034.6,1040.4,1046.7,1052.6,1066.6,1072.9,1079.4,1085.8,1090.2,261.2,256.9,255.4,256.2,258.7,257.6,254.4,252.8,253.4,257.0,1062.7,292.7
30,0,0.967,0.98,1,1032.3,1035.9,1041.8,1048.1,1054.0,1068.3,1074.6,1081.1,1087.4,1091.9,261.8,257.3,255.7,256.5,258.9,257.8,254.6,253.0,253.7,257.3,1064.2,293.0
31,0,1.0,0.98,1,1033.7,1037.5,1043.3,1049.5,1055.4,1069.7,1075.9,1082.4,1088.7,1093.1,261.5,257.2,255.9,256.6,259.0,257.9,254.7,253.1,253.7,257.2,1065.6,293.1
32,0,1.033,0.98,1,1035.1,1038.9,1044.7,1051.0,1056.8,1071.3,1077.5,1084.0,1090.3,1094.7,261.6,257.2,255.8,256.6,259.0,257.9,254.7,253.2,253.7,257.2,1067.2,293.1
33,0,1.067,0.98,1,1036.7,1040.5,1046.4,1052.6,1058.5,1072.8,1079.1,1085.5,1091.8,1096.4,261.4,257.1,255.8,256.6,259.0,257.9,254.7,253.2,253.7,257.2,1068.6,293.0
34,0,1.1,0.98,1,1038.1,1041.9,1047.9,1054.2,1060.1,1074.4,1080.6,1087.1,1093.5,1098.0,261.4,257.1,255.7,256.5,259.0,257.9,254.7,253.2,253.7,257.2,1070.1,293.1
35,0,1.133,0.98,1,1039.8,1043.6,1049.6,1055.9,1061.8,1075.8,1082.1,1088.6,1095.0,1099.5,261.4,257.0,255.6,256.4,258.9,257.9,254.7,253.2,253.7,257.3,1071.6,293.1
36,0,1.167,0.98,1,1041.3,1045.2,1051.2,1057.5,1063.4,1077.4,1083.7,1090.2,1096.6,1101.1,261.1,256.8,255.5,256.4,258.9,257.9,254.7,253.3,253.9,257.5,1072.9,293.1
37,0,1.2,0.98,1,1042.5,1046.4,1052.4,1058.7,1064.6,1078.8,1085.2,1091.7,1098.1,1102.6,261.1,256.7,255.4,256.3,258.8,257.9,254.7,253.3,253.9,257.6,1074.2,293.1
38,0,1.233,0.98,1,1043.8,1047.7,1053.7,1060.1,1066.1,1080.1,1086.5,1093.1,1099.6,1104.0,260.9,256.5,255.2,256.1,258.7,257.8,254.7,253.2,254.0,257.7,1075.4,293.1
39,0,1.267,0.98,1,1045.0,1048.8,1054.8,1061.2,1067.1,1081.2,1087.6,1094.2,1100.6,1105.1,261.0,256.5,255.2,256.0,258.5,257.7,254.5,253.2,254.0,257.8,1076.4,293.0
40,0,1.3,0.98,1,1046.3,1050.2,1056.2,1062.6,1068.4,1082.5,1088.9,1095.5,1101.9,1106.2,260.8,256.4,255.0,255.9,258.5,257.7,254.6,253.3,254.1,257.9,1077.6,293.1
41,0,1.333,0.98,1,1047.4,1051.3,1057.2,1063.6,1069.4,1083.6,1089.9,1096.6,1102.9,1107.3,260.9,256.5,255.1,256.0,258.6,257.8,254.7,253.4,254.3,258.1,1078.6,293.3
42,0,1.367,0.98,1,1048.6,1052.4,1058.4,1064.8,1070.6,1084.7,1091.1,1097.7,1104.1,1108.4,261.2,256.7,255.4,256.3,258.8,258.1,254.9,253.6,254.5,258.4,1079.8,293.6
43,0,1.4,0.98,1,1049.6,1053.4,1059.4,1065.8,1071.7,1085.8,1092.2,1098.8,1105.2,1109.5,261.6,257.2,255.8,256.7,259.3,258.6,255.5,254.2,255.1,259.0,1080.8,294.1
44,0,1.433,0.98,1,1051.0,1054.8,1060.8,1067.2,1073.1,1087.2,1093.6,1100.2,1106.6,1110.9,262.2,257.8,256.4,257.3,259.9,259.3,256.2,254.9,255.9,259.8,1082.0,294.7
45,0,1.467,0.98,1,1052.0,1055.9,1061.9,1068.2,1074.1,1088.4,1094.8,1101.4,1107.7,1112.0,262.3,258.0,256.7,257.7,260.4,259.9,256.9,255.6,256.5,260.4,1082.9,295.1
46,0,1.5,0.98,1,1053.5,1057.4,1063.4,1069.8,1075.7,1089.8,1096.2,1102.8,1109.1,1113.4,262.6,258.3,257.1,258.2,260.9,260.5,257.5,256.3,257.2,261.1,1084.1,295.5
47,0,1.533,0.98,1,1054.7,1058.6,1064.6,1071.0,1076.9,1090.8,1097.3,1103.9,1110.3,1114.5,262.7,258.3,257.1,258.2,260.9,260.5,257.6,256.4,257.5,261.5,1085.1,295.6
48,0,1.567,0.98,1,1055.6,1059.5,1065.6,1071.9,1077.8,1091.8,1098.3,1104.9,1111.3,1115.6,262.6,258.3,257.1,258.2,261.0,260.7,257.8,256.7,257.7,261.7,1085.8,295.8
49,0,1.6,0.98,1,1056.6,1060.6,1066.7,1073.0,1078.8,1092.6,1099.1,1105.8,1112.2,1116.5,262.3,258.1,257.0,258.2,261.1,261.0,258.1,257.1,258.2,262.3,1086.1,295.9
50,0,1.633,0.98,1,1057.2,1061.2,1067.3,1073.6,1079.4,1093.0,1099.6,1106.2,1112.6,1116.8,262.5,258.2,257.2,258.4,261.3,261.2,258.5,257.5,258.6,262.7,1086.6,295.9
51,0,1.667,0.98,1,1057.6,1061.7,1067.8,1074.1,1079.8,1093.5,1100.0,1106.7,1113.0,1117.2,262.3,258.1,257.2,258.5,261.3,261.4,258.7,257.7,258.9,263.0,1086.7,296.2
52,0,1.7,0.98,1,1058.7,1062.2,1068.0,1074.3,1080.1,1093.4,1099.9,1106.4,1112.5,1116.4,265.0,260.3,258.8,259.7,262.3,262.2,259.7,259.0,260.5,264.9,1086.9,296.4
53,0,1.733,0.93,1,1058.8,1062.3,1068.0,1074.3,1080.1,1093.1,1099.6,1106.1,1112.1,1116.0,265.9,261.2,259.5,260.3,262.8,262.7,260.3,259.7,261.5,265.9,1086.7,296.4
54,0,1.767,0.93,1,1058.5,1062.0,1067.8,1074.1,1079.8,1092.8,1099.2,1105.7,1111.7,1115.6,266.1,261.4,259.8,260.5,263.0,262.8,260.5,260.0,261.7,266.2,1086.3,296.4
55,0,1.8,0.93,1,1057.8,1061.3,1067.1,1073.3,1079.1,1091.7,1098.2,1104.8,1110.9,1114.7,266.0,261.2,259.4,260.2,262.6,262.5,260.2,259.7,261.6,266.2,1085.4,296.0
56,0,1.833,0.93,1,1056.9,1060.4,1066.3,1072.6,1078.3,1091.1,1097.6,1104.2,1110.3,1114.1,265.2,260.5,258.8,259.6,262.2,262.1,259.7,259.2,261.1,265.7,1084.5,296.0
57,0,1.867,0.98,1,1055.5,1059.1,1065.0,1071.2,1076.9,1090.0,1096.5,1103.1,1109.2,1113.1,263.9,259.4,258.0,259.1,261.7,261.7,259.3,258.6,260.3,264.7,1083.4,295.9
58,0,1.9,0.98,1,1054.0,1057.7,1063.6,1069.9,1075.6,1088.9,1095.4,1102.1,1108.3,1112.2,263.2,258.8,257.5,258.6,261.3,261.4,258.8,258.1,259.7,264.1,1082.2,295.7
59,0,1.933,0.98,1,1052.5,1056.3,1062.3,1068.5,1074.3,1088.0,1094.4,1101.0,1107.3,1111.4,262.6,258.4,257.3,258.4,261.2,261.2,258.6,257.7,259.1,263.1,1081.4,295.7
60,0,1.967,0.98,1,1051.2,1055.2,1061.2,1067.5,1073.2,1086.9,1093.4,1100.0,1106.3,1110.5,262.3,258.2,257.2,258.4,261.2,261.1,258.5,257.5,258.8,262.8,1080.4,295.6
61,0,2.0,0.98,1,1050.0,1053.9,1060.0,1066.3,1072.1,1085.9,1092.4,1099.0,1105.3,1109.6,262.4,258.3,257.3,258.5,261.3,261.1,258.4,257.3,258.4,262.4,1079.5,295.7
62,0,2.033,0.98,1,1048.8,1052.8,1058.9,1065.2,1070.9,1084.7,1091.2,1097.8,1104.1,1108.6,262.5,258.5,257.5,258.8,261.5,261.3,258.5,257.4,258.4,262.2,1078.5,295.8
63,0,2.067,0.98,1,1047.2,1051.3,1057.4,1063.7,1069.5,1083.5,1090.1,1096.7,1103.1,1107.7,262.4,258.4,257.6,258.8,261.6,261.3,258.4,257.2,258.1,261.8,1077.4,295.9
64,0,2.1,0.98,1,1046.4,1050.5,1056.5,1062.8,1068.5,1082.8,1089.3,1095.9,1102.3,1106.8,262.3,258.4,257.6,258.8,261.5,261.3,258.4,257.2,258.1,261.7,1076.5,296.1
65,0,2.133,0.98,1,1045.9,1049.9,1055.9,1062.1,1067.8,1082.0,1088.5,1095.0,1101.4,1105.9,262.2,258.3,257.4,258.6,261.3,261.1,258.4,257.2,258.1,261.8,1075.6,295.9
66,0,2.167,0.98,1,1044.6,1048.7,1054.8,1061.1,1066.9,1081.1,1087.7,1094.3,1100.7,1105.3,262.1,258.2,257.3,258.6,261.2,261.0,258.1,256.9,257.7,261.4,1074.9,295.8
67,0,2.2,0.98,1,1043.7,1047.8,1053.9,1060.2,1066.0,1080.2,1086.7,1093.4,1099.8,1104.3,261.7,257.8,256.9,258.2,260.9,260.6,257.7,256.5,257.3,260.9,1074.0,295.4
68,0,2.233,0.98,1,1043.1,1047.1,1053.1,1059.4,1065.2,1079.5,1086.0,1092.7,1099.1,1103.5,261.3,257.3,256.4,257.6,260.3,260.0,257.2,256.0,256.9,260.5,1073.3,294.9
69,0,2.267,0.98,1,1042.3,1046.4,1052.5,1058.7,1064.5,1078.8,1085.3,1091.8,1098.1,1102.6,260.7,256.9,255.9,257.1,259.8,259.5,256.7,255.4,256.3,260.0,1072.6,294.4
70,0,2.3,0.98,1,1041.6,1045.6,1051.7,1058.1,1063.9,1078.0,1084.5,1091.2,1097.5,1101.9,260.3,256.3,255.3,256.4,259.1,258.8,256.0,254.8,255.8,259.5,1071.9,293.8
71,0,2.333,0.98,1,1040.8,1044.8,1050.9,1057.3,1063.1,1076.9,1083.4,1090.0,1096.4,1100.8,259.8,255.7,254.7,255.9,258.5,258.3,255.4,254.3,255.3,259.1,1070.9,293.1
72,0,2.367,0.98,1,1039.7,1043.8,1049.9,1056.2,1062.0,1076.2,1082.6,1089.2,1095.5,1099.9,259.5,255.5,254.5,255.6,258.3,258.0,255.1,254.0,254.9,258.7,1070.0,292.9
73,0,2.4,0.98,1,1038.7,1042.8,1048.9,1055.2,1061.1,1075.4,1081.8,1088.4,1094.7,1099.1,259.5,255.5,254.4,255.6,258.2,257.8,255.0,253.8,254.7,258.5,1069.3,292.8
74,0,2.433,0.98,1,1038.0,1042.0,1048.1,1054.4,1060.2,1074.4,1080.8,1087.4,1093.6,1098.0,259.5,255.4,254.3,255.4,258.0,257.6,254.8,253.6,254.6,258.4,1068.3,292.7
75,0,2.467,0.98,1,1036.9,1040.9,1047.0,1053.3,1059.1,1073.4,1079.8,1086.4,1092.6,1097.0,259.5,255.4,254.4,255.4,258.0,257.6,254.7,253.5,254.4,258.2,1067.5,292.6
76,0,2.5,0.98,1,1035.9,1039.9,1046.1,1052.4,1058.3,1072.7,1079.2,1085.7,1092.0,1096.4,259.6,255.5,254.4,255.4,258.0,257.5,254.6,253.3,254.2,258.0,1066.9,292.6
77,0,2.533,0.98,1,1035.0,1039.1,1045.2,1051.6,1057.5,1071.6,1078.0,1084.6,1091.0,1095.4,260.0,255.9,254.8,255.8,258.4,257.9,254.8,253.5,254.4,258.1,1066.2,292.9
78,0,2.567,0.98,1,1034.3,1038.4,1044.6,1051.0,1056.9,1071.0,1077.5,1084.1,1090.4,1094.9,260.0,256.0,254.9,256.0,258.6,258.0,255.0,253.6,254.4,258.1,1065.6,293.0
79,0,2.6,0.98,1,1033.4,1037.4,1043.6,1050.1,1056.0,1070.2,1076.7,1083.3,1089.7,1094.1,260.2,256.1,255.1,256.2,258.8,258.2,255.1,253.7,254.5,258.1,1064.9,293.2
80,0,2.633,0.98,1,1032.5,1036.6,1042.8,1049.3,1055.2,1069.3,1075.8,1082.4,1088.9,1093.3,260.4,256.2,255.1,256.2,258.8,258.1,255.0,253.6,254.3,258.0,1064.3,293.2
81,0,2.667,0.98,1,1032.0,1036.0,1042.2,1048.7,1054.6,1068.6,1075.0,1081.6,1088.0,1092.4,260.6,256.4,255.2,256.2,258.7,258.0,254.9,253.5,254.3,258.1,1063.6,293.2
82,0,2.7,0.98,1,1031.4,1035.4,1041.7,1048.2,1054.2,1068.1,1074.5,1081.1,1087.5,1091.9,260.7,256.4,255.3,256.3,258.8,258.1,255.0,253.5,254.3,258.0,1063.2,293.2
83,0,2.733,0.98,1,1030.6,1034.7,1040.9,1047.4,1053.4,1067.6,1074.0,1080.6,1087.0,1091.5,260.7,256.5,255.3,256.3,258.9,258.1,254.9,253.5,254.2,257.8,1062.7,293.3
84,0,2.767,0.98,1,1030.2,1034.2,1040.4,1047.0,1053.0,1067.0,1073.4,1080.0,1086.4,1090.9,261.1,256.9,255.7,256.6,259.1,258.2,255.0,253.5,254.1,257.7,1062.4,293.4
85,0,2.8,0.98,1,1030.0,1034.0,1040.2,1046.8,1052.8,1066.7,1073.1,1079.7,1086.1,1090.6,261.2,256.9,255.7,256.6,259.2,258.2,255.0,253.5,254.1,257.7,1062.2,293.5
86,0,2.833,0.98,1,1030.0,1033.9,1040.2,1046.7,1052.8,1066.6,1073.0,1079.6,1086.0,1090.5,261.3,257.0,255.7,256.7,259.2,258.2,255.0,253.5,254.1,257.8,1062.2,293.5
87,0,2.867,0.98,1,1030.2,1034.1,1040.4,1046.9,1053.0,1066.9,1073.2,1079.8,1086.2,1090.8,261.5,257.2,255.8,256.8,259.2,258.2,255.0,253.4,254.0,257.6,1062.6,293.5
88,0,2.9,0.98,1,1030.2,1034.2,1040.4,1046.9,1053.0,1067.1,1073.5,1080.0,1086.5,1091.0,261.6,257.2,255.9,256.7,259.2,258.1,254.9,253.3,253.9,257.5,1062.9,293.5
89,0,2.933,0.98,1,1030.9,1034.7,1040.9,1047.4,1053.5,1067.6,1074.0,1080.6,1087.0,1091.5,261.7,257.4,256.0,256.8,259.2,258.0,254.8,253.2,253.8,257.4,1063.5,293.5
90,0,2.967,0.98,1,1031.4,1035.3,1041.5,1048.1,1054.2,1068.2,1074.5,1081.1,1087.5,1092.1,261.9,257.5,256.1,256.8,259.2,258.1,254.8,253.2,253.8,257.4,1064.2,293.6
91,0,3.0,0.98,1,1032.4,1036.4,1042.5,1049.0,1055.1,1069.1,1075.4,1082.0,1088.4,1093.0,261.9,257.5,256.1,256.9,259.4,258.2,254.9,253.3,253.9,257.5,1065.0,293.7
92,0,3.033,0.98,1,1033.2,1037.2,1043.3,1049.8,1055.9,1070.1,1076.4,1082.9,1089.3,1093.9,261.9,257.6,256.2,257.0,259.4,258.2,254.9,253.3,253.8,257.4,1066.0,293.7
93,0,3.067,0.98,1,1034.4,1038.3,1044.4,1050.9,1057.0,1071.1,1077.4,1083.9,1090.3,1094.8,261.9,257.5,256.1,256.9,259.3,258.2,254.9,253.4,254.0,257.5,1067.0,293.4
94,0,3.1,0.98,1,1035.2,1039.1,1045.2,1051.7,1057.8,1072.0,1078.3,1084.9,1091.3,1095.9,261.4,257.0,255.6,256.4,258.9,257.8,254.6,253.1,253.7,257.3,1067.7,293.1
95,0,3.133,0.98,1,1036.3,1040.3,1046.4,1052.9,1059.0,1073.0,1079.4,1086.0,1092.4,1096.9,260.8,256.4,255.0,255.9,258.4,257.4,254.3,252.8,253.5,257.2,1068.5,292.8
96,0,3.167,0.98,1,1036.9,1040.8,1046.9,1053.4,1059.4,1073.9,1080.3,1086.9,1093.3,1097.8,260.3,255.9,254.5,255.4,258.0,257.1,254.0,252.6,253.3,257.0,1069.1,292.8
97,0,3.2,0.98,1,1037.8,1041.9,1048.1,1054.6,1060.7,1074.6,1081.0,1087.7,1094.2,1098.7,259.9,255.5,254.2,255.2,257.7,257.0,253.9,252.5,253.3,257.0,1069.8,292.4
98,0,3.233,0.98,1,1038.3,1042.3,1048.5,1055.1,1061.2,1075.2,1081.7,1088.4,1094.9,1099.4,259.4,255.1,253.7,254.6,257.2,256.5,253.4,252.0,252.9,256.7,1070.4,292.2
99,0,3.267,0.98,1,1038.6,1042.6,1048.9,1055.4,1061.5,1075.7,1082.1,1088.8,1095.2,1099.7,259.0,254.6,253.3,254.3,256.9,256.2,253.1,251.8,252.6,256.4,1070.8,291.8
100,0,3.3,0.98,1,1039.1,1043.1,1049.3,1055.8,1061.9,1076.3,1082.7,1089.3,1095.7,1100.1,258.8,254.4,253.1,253.9,256.5,255.7,252.6,251.3,252.1,255.9,1071.3,291.3
