frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1028.1,1032.1,1038.2,1044.7,1050.6,1064.4,1070.9,1077.5,1083.8,1088.3,262.4,258.2,256.9,257.8,260.2,259.6,256.8,255.6,256.6,260.3,1059.0,294.9
2,0,0.033,0.98,1,1028.6,1032.5,1038.6,1045.1,1051.1,1065.6,1072.1,1078.7,1085.0,1089.3,262.2,258.0,256.8,257.8,260.4,259.9,256.9,255.7,256.6,260.4,1060.0,295.1
3,0,0.067,0.98,1,1029.6,1033.7,1039.9,1046.4,1052.4,1066.9,1073.3,1079.9,1086.2,1090.6,262.2,258.1,257.0,258.1,260.7,260.3,257.3,256.1,257.0,260.7,1060.9,295.5
4,0,0.1,0.98,1,1030.8,1034.9,1041.0,1047.5,1053.4,1067.9,1074.3,1080.8,1087.0,1091.3,262.5,258.4,257.4,258.4,261.0,260.5,257.6,256.4,257.2,260.9,1062.1,295.8
5,0,0.133,0.98,1,1031.7,1035.9,1042.1,1048.4,1054.3,1068.8,1075.2,1081.7,1087.9,1092.3,263.0,259.0,258.0,259.1,261.6,261.1,258.3,257.0,257.8,261.4,1063.0,296.1
6,0,0.167,0.98,1,1032.5,1036.7,1042.9,1049.4,1055.3,1069.6,1076.0,1082.6,1088.9,1093.3,263.3,259.3,258.3,259.4,262.1,261.6,258.7,257.4,258.2,261.8,1063.9,296.6
7,0,0.2,0.98,1,1033.6,1037.8,1044.1,1050.5,1056.5,1070.8,1077.2,1083.8,1090.1,1094.5,263.3,259.3,258.3,259.5,262.2,261.8,259.0,257.7,258.5,262.2,1064.8,296.7
8,0,0.233,0.98,1,1034.7,1038.8,1045.1,1051.5,1057.4,1071.6,1078.1,1084.6,1090.9,1095.2,263.4,259.4,258.4,259.5,262.2,261.9,259.1,257.9,258.8,262.5,1065.6,296.7
9,0,0.267,0.98,1,1035.0,1039.3,1045.6,1052.1,1058.1,1072.4,1078.9,1085.5,1091.8,1096.2,263.2,259.2,258.3,259.5,262.2,261.9,259.1,257.8,258.6,262.2,1066.4,296.7
10,0,0.3,0.98,1,1035.9,1040.2,1046.5,1053.0,1058.9,1073.4,1079.9,1086.5,1092.8,1097.1,263.1,259.1,258.1,259.4,262.1,261.9,259.1,258.0,258.8,262.6,1067.1,296.8
11,0,0.333,0.98,1,1036.6,1040.9,1047.2,1053.8,1059.9,1074.0,1080.5,1087.1,1093.5,1097.8,263.3,259.2,258.2,259.5,262.3,262.0,259.2,258.1,259.0,262.8,1067.7,296.8
12,0,0.367,0.98,1,1037.1,1041.4,1047.8,1054.3,1060.3,1074.7,1081.2,1087.8,1094.1,1098.3,263.3,259.3,258.3,259.6,262.3,262.2,259.4,258.3,259.3,263.1,1068.3,297.1
13,0,0.4,0.98,1,1037.7,1041.9,1048.3,1054.8,1060.7,1074.9,1081.4,1088.0,1094.3,1098.4,263.5,259.5,258.6,259.9,262.6,262.5,259.8,258.6,259.7,263.6,1068.4,297.3
14,0,0.433,0.98,1,1037.8,1042.1,1048.5,1055.1,1061.1,1074.9,1081.5,1088.2,1094.5,1098.7,263.7,259.7,258.8,260.1,263.0,262.9,260.1,259.0,260.1,264.0,1068.5,297.5
15,0,0.467,0.98,1,1037.8,1042.0,1048.4,1055.0,1060.9,1074.9,1081.4,1088.1,1094.4,1098.6,264.0,259.9,258.9,260.2,263.1,263.1,260.3,259.2,260.4,264.3,1068.4,297.9
16,0,0.5,0.98,1,1037.8,1042.0,1048.3,1054.8,1060.8,1074.7,1081.2,1087.9,1094.2,1098.3,264.2,260.0,259.1,260.4,263.3,263.3,260.6,259.5,260.7,264.7,1068.0,297.9
