frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,920.9,926.1,932.6,939.2,945.1,956.4,961.9,967.4,972.7,976.3,345.5,341.8,340.8,341.6,343.6,343.4,341.4,340.7,341.9,345.5,951.1,372.8
2,0,0.033,0.98,1,920.9,926.1,932.5,938.9,944.8,956.6,962.0,967.3,972.4,976.1,345.3,341.7,340.7,341.5,343.4,343.3,341.3,340.8,341.8,345.2,951.0,372.3
3,0,0.067,0.98,1,920.8,926.0,932.3,938.7,944.5,956.2,961.6,966.8,971.9,975.6,345.2,341.7,340.8,341.6,343.5,343.3,341.3,340.7,341.8,345.2,950.7,372.2
4,0,0.1,0.98,1,920.4,925.5,931.8,938.1,943.9,955.8,961.2,966.3,971.3,975.0,345.6,342.0,341.0,341.7,343.5,343.3,341.4,340.9,342.0,345.4,950.4,372.2
5,0,0.133,0.98,1,919.9,925.1,931.5,937.9,943.9,955.6,960.8,965.8,970.7,974.1,346.3,342.5,341.3,341.9,343.8,343.4,341.5,340.9,341.9,345.3,950.9,372.3
6,0,0.167,0.98,1,919.6,924.7,931.1,937.6,943.6,955.3,960.5,965.5,970.4,973.8,346.4,342.6,341.3,341.9,343.8,343.4,341.5,340.9,341.9,345.3,950.6,372.3
7,0,0.2,0.98,1,919.2,924.4,930.8,937.2,943.2,954.9,960.1,965.1,970.1,973.5,346.4,342.6,341.3,341.9,343.7,343.3,341.4,340.7,341.6,345.0,950.3,372.2
8,0,0.233,0.98,1,918.8,924.0,930.4,936.9,942.9,954.6,959.8,964.9,969.8,973.2,346.4,342.6,341.2,341.8,343.6,343.2,341.3,340.6,341.6,345.0,950.1,372.1
9,0,0.267,0.98,1,918.2,923.4,929.9,936.4,942.5,954.1,959.4,964.5,969.5,972.9,346.3,342.5,341.1,341.7,343.5,343.0,341.1,340.4,341.3,344.7,949.7,372.0
10,0,0.3,0.98,1,918.1,923.3,929.7,936.1,942.0,953.9,959.3,964.4,969.5,973.2,345.7,342.0,340.8,341.5,343.2,342.9,341.0,340.4,341.5,344.9,948.9,371.8
11,0,0.333,0.98,1,917.8,923.1,929.5,936.0,941.9,953.6,958.9,964.1,969.1,972.7,345.7,342.0,340.9,341.5,343.3,342.9,341.0,340.3,341.4,344.8,949.0,371.8
