frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,998.2,1002.1,1008.1,1014.4,1020.4,1032.7,1039.2,1045.9,1052.8,1058.4,259.7,254.7,252.6,252.2,253.2,251.0,247.9,246.4,247.0,250.4,1030.2,283.4
2,0,0.033,0.98,1,998.5,1002.5,1008.3,1014.5,1020.4,1033.4,1039.9,1046.5,1053.2,1058.8,260.4,255.7,253.6,253.1,253.9,251.4,248.4,246.9,247.2,250.3,1030.9,283.7
3,0,0.067,0.98,1,999.0,1002.8,1008.6,1014.9,1020.9,1033.6,1040.2,1046.7,1053.5,1059.1,261.3,256.6,254.4,253.9,254.7,252.1,249.1,247.4,247.7,250.8,1031.5,284.4
4,0,0.1,0.98,1,999.6,1003.4,1009.1,1015.3,1021.3,1033.9,1040.4,1047.0,1053.7,1059.3,262.2,257.5,255.3,254.8,255.6,252.9,249.7,248.0,248.2,251.2,1032.2,285.3
5,0,0.133,0.98,1,1000.3,1004.0,1009.7,1015.9,1021.9,1034.5,1041.0,1047.6,1054.3,1060.0,263.1,258.4,256.2,255.7,256.4,253.7,250.5,248.7,248.9,251.8,1033.0,286.2
6,0,0.167,0.98,1,1001.1,1004.8,1010.4,1016.6,1022.5,1035.0,1041.5,1048.1,1054.8,1060.5,263.9,259.3,257.1,256.6,257.4,254.6,251.4,249.6,249.8,252.6,1033.7,287.1
7,0,0.2,0.98,1,1001.9,1005.5,1011.2,1017.3,1023.3,1035.7,1042.1,1048.7,1055.5,1061.2,264.9,260.2,258.1,257.6,258.3,255.6,252.3,250.5,250.5,253.3,1034.4,288.0
8,0,0.233,0.98,1,1003.0,1006.6,1012.3,1018.4,1024.3,1036.6,1043.1,1049.7,1056.4,1062.1,265.4,260.8,258.6,258.2,258.9,256.2,252.9,251.0,251.1,253.9,1035.5,288.7
9,0,0.267,0.98,1,1004.3,1007.9,1013.5,1019.5,1025.4,1037.8,1044.2,1050.8,1057.6,1063.3,266.2,261.5,259.3,258.9,259.6,256.9,253.7,251.8,251.9,254.7,1036.5,289.4
10,0,0.3,0.98,1,1005.4,1009.0,1014.7,1020.7,1026.6,1039.0,1045.5,1052.1,1058.9,1064.5,266.7,262.2,260.0,259.6,260.5,257.8,254.5,252.6,252.7,255.5,1037.7,290.3
11,0,0.333,0.98,1,1006.8,1010.4,1016.0,1022.0,1027.9,1040.2,1046.7,1053.3,1060.1,1065.8,267.2,262.6,260.5,260.1,260.9,258.3,255.0,253.2,253.3,256.1,1038.8,290.7
12,0,0.367,0.98,1,1008.2,1011.7,1017.4,1023.4,1029.2,1041.5,1047.9,1054.5,1061.3,1067.0,267.2,262.6,260.5,260.2,261.1,258.5,255.3,253.5,253.6,256.5,1040.0,291.0
13,0,0.4,0.98,1,1009.5,1013.1,1018.7,1024.7,1030.5,1042.9,1049.4,1056.1,1062.9,1068.5,267.1,262.5,260.4,260.1,261.1,258.6,255.4,253.6,253.8,256.8,1041.1,291.0
14,0,0.433,0.98,1,1010.9,1014.4,1020.0,1026.0,1031.8,1044.1,1050.7,1057.4,1064.2,1069.8,266.9,262.4,260.3,260.1,261.0,258.6,255.4,253.7,253.9,256.9,1042.3,291.0
15,0,0.467,0.98,1,1012.3,1015.9,1021.5,1027.5,1033.3,1045.5,1052.1,1058.9,1065.7,1071.3,266.4,261.8,259.7,259.4,260.4,258.1,255.0,253.3,253.6,256.7,1043.4,290.5
16,0,0.5,0.98,1,1013.4,1016.9,1022.5,1028.5,1034.3,1046.8,1053.4,1060.1,1067.0,1072.6,265.7,261.2,259.1,258.8,259.8,257.5,254.4,252.8,253.1,256.2,1044.4,289.8
17,0,0.533,0.98,1,1014.7,1018.2,1023.8,1029.8,1035.6,1048.1,1054.8,1061.5,1068.4,1073.9,264.5,260.0,257.9,257.7,258.8,256.6,253.7,252.1,252.5,255.7,1045.3,288.8
18,0,0.567,0.98,1,1015.9,1019.5,1025.1,1031.1,1036.9,1049.3,1056.0,1062.8,1069.6,1075.1,263.4,258.9,256.9,256.8,257.9,255.8,253.0,251.5,251.9,255.1,1046.3,288.1
19,0,0.6,0.98,1,1016.9,1020.6,1026.2,1032.2,1038.0,1050.4,1057.1,1063.8,1070.7,1076.2,262.6,258.2,256.2,256.1,257.2,255.2,252.3,250.9,251.4,254.6,1047.2,287.4
20,0,0.633,0.98,1,1017.8,1021.6,1027.2,1033.2,1039.0,1051.6,1058.3,1065.0,1071.8,1077.3,261.8,257.3,255.4,255.3,256.5,254.6,251.9,250.6,251.2,254.5,1047.9,286.9
21,0,0.667,0.98,1,1018.4,1022.2,1027.9,1034.0,1039.8,1052.4,1059.1,1065.9,1072.7,1078.1,261.3,256.8,254.9,254.8,256.1,254.4,251.7,250.5,251.2,254.6,1048.3,286.7
22,0,0.7,0.98,1,1018.7,1022.7,1028.4,1034.5,1040.3,1053.0,1059.8,1066.5,1073.3,1078.7,260.8,256.3,254.5,254.5,255.8,254.2,251.6,250.4,251.1,254.4,1048.8,286.5
23,0,0.733,0.98,1,1018.8,1022.8,1028.6,1034.7,1040.5,1053.3,1060.1,1066.9,1073.6,1079.0,260.5,256.1,254.3,254.3,255.6,254.0,251.4,250.2,251.0,254.4,1049.0,286.3
24,0,0.767,0.98,1,1018.8,1022.8,1028.6,1034.6,1040.5,1053.3,1060.1,1066.9,1073.6,1079.0,260.4,256.0,254.2,254.2,255.5,254.0,251.4,250.2,250.9,254.3,1048.9,286.2
25,0,0.8,0.98,1,1018.6,1022.6,1028.3,1034.4,1040.2,1053.1,1059.9,1066.6,1073.4,1078.8,260.5,256.1,254.3,254.3,255.6,254.0,251.3,250.1,250.9,254.3,1048.7,286.3
26,0,0.833,0.98,1,1018.4,1022.4,1028.0,1034.1,1039.8,1052.7,1059.5,1066.3,1073.1,1078.4,260.9,256.4,254.5,254.4,255.7,254.0,251.3,250.1,250.8,254.3,1048.5,286.4
27,0,0.867,0.98,1,1018.3,1022.1,1027.7,1033.7,1039.5,1052.4,1059.2,1065.9,1072.8,1078.2,261.3,256.7,254.9,254.7,255.9,254.0,251.2,250.0,250.7,254.1,1048.3,286.5
28,0,0.9,0.93,1,1018.3,1022.1,1027.6,1033.6,1039.3,1052.1,1058.9,1065.7,1072.5,1078.0,261.5,256.9,255.0,254.8,255.9,254.0,251.2,249.9,250.6,254.0,1048.1,286.5
29,0,0.933,0.93,1,1018.7,1022.3,1027.7,1033.5,1039.0,1051.8,1058.6,1065.4,1072.3,1078.0,261.1,256.7,255.0,254.9,256.1,254.3,251.3,250.0,250.6,253.8,1047.5,286.7
30,0,0.967,0.93,1,1018.9,1022.5,1027.9,1033.7,1039.1,1051.9,1058.7,1065.5,1072.4,1078.1,260.9,256.5,255.0,254.9,256.0,254.3,251.3,250.0,250.7,253.9,1047.5,286.7
31,0,1.0,0.93,1,1019.1,1022.8,1028.1,1033.9,1039.3,1052.2,1058.9,1065.7,1072.6,1078.3,260.3,256.0,254.5,254.5,255.7,254.1,251.2,250.0,250.7,254.0,1047.4,286.6
32,0,1.033,0.93,1,1019.1,1022.8,1028.2,1034.0,1039.5,1052.5,1059.3,1066.1,1073.0,1078.8,259.6,255.3,253.8,253.9,255.2,253.7,250.9,249.7,250.5,253.8,1047.3,286.1
33,0,1.067,0.93,1,1019.1,1022.8,1028.2,1033.9,1039.3,1052.4,1059.3,1066.1,1073.0,1078.7,258.8,254.5,253.1,253.1,254.4,253.0,250.3,249.2,250.1,253.5,1046.8,285.5
34,0,1.1,0.93,1,1018.6,1022.3,1027.7,1033.4,1038.8,1052.0,1058.9,1065.8,1072.7,1078.4,258.0,253.7,252.4,252.4,253.7,252.4,249.7,248.7,249.6,253.1,1046.2,284.8
35,0,1.133,0.93,1,1018.1,1021.8,1027.2,1033.0,1038.4,1051.4,1058.3,1065.2,1072.1,1077.8,257.4,253.1,251.8,251.9,253.2,251.9,249.3,248.3,249.2,252.7,1045.4,284.3
36,0,1.167,0.93,1,1017.1,1020.8,1026.2,1032.0,1037.4,1050.3,1057.3,1064.2,1071.2,1076.9,256.9,252.5,251.1,251.3,252.6,251.4,248.8,247.8,248.8,252.4,1044.2,283.8
37,0,1.2,0.93,1,1016.2,1020.0,1025.4,1031.2,1036.5,1049.6,1056.6,1063.4,1070.3,1076.0,256.5,252.2,250.8,250.9,252.3,251.1,248.6,247.7,248.6,252.1,1043.2,283.5
38,0,1.233,0.93,1,1015.3,1019.1,1024.5,1030.3,1035.6,1048.7,1055.7,1062.5,1069.4,1075.1,256.4,252.1,250.6,250.7,252.1,250.9,248.4,247.5,248.4,252.0,1042.2,283.3
39,0,1.267,0.93,1,1014.6,1018.5,1023.8,1029.5,1034.9,1047.9,1054.8,1061.6,1068.4,1074.0,256.3,252.0,250.6,250.7,252.1,250.9,248.4,247.5,248.4,252.0,1041.2,283.3
40,0,1.3,0.93,1,1013.6,1017.4,1022.8,1028.6,1033.9,1047.0,1053.9,1060.7,1067.5,1073.1,256.4,252.0,250.6,250.7,252.0,250.9,248.4,247.5,248.4,251.9,1040.3,283.5
41,0,1.333,0.93,1,1012.6,1016.4,1021.8,1027.5,1032.8,1045.9,1052.8,1059.6,1066.4,1072.0,256.5,252.1,250.7,250.8,252.1,251.0,248.5,247.6,248.5,252.0,1039.1,283.5
42,0,1.367,0.93,1,1011.6,1015.5,1020.8,1026.5,1031.8,1044.9,1051.8,1058.6,1065.5,1071.0,256.6,252.2,250.7,250.8,252.1,251.0,248.5,247.6,248.6,252.1,1038.0,283.7
43,0,1.4,0.88,1,1010.6,1014.4,1019.7,1025.4,1030.7,1043.8,1050.7,1057.5,1064.4,1069.9,256.7,252.3,250.8,250.8,252.2,251.1,248.5,247.6,248.6,252.1,1036.9,283.7
44,0,1.433,0.93,1,1009.6,1013.3,1018.6,1024.3,1029.5,1042.7,1049.6,1056.4,1063.3,1068.8,256.7,252.3,250.9,250.9,252.2,251.1,248.6,247.7,248.6,252.1,1035.8,283.7
45,0,1.467,0.93,1,1008.4,1012.1,1017.4,1022.9,1028.1,1041.4,1048.3,1055.0,1061.9,1067.5,256.8,252.4,250.9,250.8,252.1,250.8,248.2,247.3,248.2,251.6,1034.6,283.4
46,0,1.5,0.93,1,1007.4,1011.1,1016.4,1021.9,1027.1,1040.4,1047.3,1054.1,1061.0,1066.6,256.5,252.1,250.5,250.4,251.7,250.4,247.8,246.9,247.8,251.3,1033.6,283.0
47,0,1.533,0.93,1,1006.3,1010.1,1015.4,1020.9,1026.1,1039.4,1046.4,1053.2,1060.0,1065.7,256.1,251.7,250.1,250.0,251.3,250.0,247.4,246.5,247.4,250.9,1032.6,282.7
48,0,1.567,0.93,1,1005.7,1009.5,1014.7,1020.2,1025.3,1038.5,1045.4,1052.3,1059.1,1064.8,256.1,251.7,250.1,250.0,251.2,249.8,247.2,246.3,247.2,250.7,1031.8,282.4
49,0,1.6,0.93,1,1005.0,1008.8,1014.0,1019.5,1024.7,1037.8,1044.7,1051.5,1058.4,1064.0,255.9,251.4,249.8,249.6,250.9,249.5,246.9,246.0,246.9,250.4,1031.1,282.1
50,0,1.633,0.93,1,1004.2,1007.9,1013.2,1018.7,1023.9,1037.0,1044.0,1050.8,1057.8,1063.4,255.6,251.0,249.4,249.3,250.5,249.2,246.6,245.7,246.6,250.1,1030.4,281.8
51,0,1.667,0.93,1,1003.4,1007.2,1012.5,1018.0,1023.2,1036.4,1043.3,1050.2,1057.0,1062.7,255.2,250.8,249.2,249.1,250.3,249.0,246.4,245.5,246.4,249.9,1029.7,281.8
52,0,1.7,0.93,1,1002.8,1006.6,1011.8,1017.4,1022.6,1035.7,1042.7,1049.6,1056.5,1062.2,254.9,250.5,249.0,248.9,250.1,248.8,246.2,245.3,246.2,249.7,1029.0,281.8
53,0,1.733,0.93,1,1002.4,1006.1,1011.4,1017.0,1022.3,1035.2,1042.1,1049.0,1055.9,1061.7,254.9,250.4,248.8,248.8,249.9,248.6,246.1,245.2,246.1,249.6,1028.7,281.7
54,0,1.767,0.93,1,1001.9,1005.6,1010.9,1016.5,1021.8,1034.6,1041.5,1048.4,1055.4,1061.2,254.8,250.3,248.8,248.8,249.9,248.6,246.2,245.2,246.1,249.6,1028.0,281.5
55,0,1.8,0.93,1,1001.4,1005.0,1010.4,1016.0,1021.3,1034.0,1041.0,1047.9,1054.8,1060.6,254.7,250.4,248.8,248.8,250.0,248.7,246.2,245.3,246.1,249.6,1027.7,281.3
