frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,908.7,913.2,919.5,926.0,931.9,944.0,949.5,955.1,960.5,964.5,351.0,347.2,345.9,346.5,348.5,347.3,344.3,342.9,343.4,346.6,940.6,378.2
2,0,0.033,0.98,1,909.2,913.6,919.7,926.1,931.9,944.7,950.1,955.6,960.9,964.7,350.9,347.2,346.0,346.6,348.5,347.2,344.3,342.9,343.4,346.4,941.1,378.6
3,0,0.067,0.98,1,909.3,913.7,919.8,926.3,932.2,944.9,950.3,955.8,961.2,965.0,351.1,347.4,346.1,346.6,348.6,347.3,344.3,342.9,343.4,346.4,941.4,378.5
4,0,0.1,0.98,1,909.3,913.7,919.9,926.5,932.5,945.1,950.6,956.1,961.5,965.3,351.3,347.5,346.1,346.7,348.7,347.3,344.3,342.9,343.4,346.5,941.8,378.5
5,0,0.133,0.98,1,909.7,914.0,920.2,926.7,932.7,945.3,950.7,956.2,961.6,965.3,351.3,347.5,346.1,346.7,348.7,347.3,344.4,342.9,343.4,346.5,942.1,378.5
6,0,0.167,0.98,1,910.0,914.4,920.6,927.1,933.0,945.7,951.1,956.5,961.8,965.5,351.3,347.5,346.1,346.7,348.7,347.4,344.5,343.1,343.5,346.6,942.2,378.5
7,0,0.2,0.98,1,910.2,914.6,920.8,927.3,933.3,945.9,951.3,956.7,962.0,965.7,351.3,347.5,346.1,346.7,348.7,347.4,344.4,343.0,343.5,346.5,942.7,378.6
8,0,0.233,0.98,1,910.3,914.7,921.0,927.5,933.5,946.0,951.4,956.9,962.2,966.0,351.4,347.5,346.2,346.8,348.8,347.5,344.6,343.1,343.6,346.7,942.8,378.6
9,0,0.267,0.98,1,910.6,915.0,921.3,927.8,933.7,946.2,951.7,957.1,962.4,966.1,351.5,347.6,346.3,346.9,348.9,347.7,344.8,343.4,343.9,347.0,942.9,379.0
10,0,0.3,0.98,1,910.7,915.1,921.4,927.9,933.8,946.3,951.8,957.3,962.6,966.3,351.5,347.7,346.4,347.0,349.0,347.8,344.9,343.5,344.0,347.2,942.9,379.1
11,0,0.333,0.98,1,910.8,915.2,921.4,927.9,933.8,946.3,951.8,957.3,962.6,966.3,351.6,347.8,346.5,347.1,349.2,348.0,345.0,343.6,344.2,347.3,942.9,379.2
12,0,0.367,0.98,1,910.8,915.3,921.5,928.0,933.9,946.5,951.9,957.3,962.6,966.3,351.7,347.9,346.7,347.4,349.4,348.3,345.3,343.9,344.4,347.5,942.9,379.5
13,0,0.4,0.98,1,910.7,915.1,921.3,927.8,933.7,946.4,951.8,957.2,962.4,966.1,351.8,348.1,346.8,347.5,349.5,348.3,345.3,343.9,344.4,347.5,942.8,379.7
14,0,0.433,0.98,1,910.5,914.9,921.1,927.6,933.4,946.1,951.5,956.9,962.1,965.8,351.8,348.1,346.9,347.6,349.6,348.4,345.4,344.0,344.5,347.6,942.5,379.7
15,0,0.467,0.98,1,910.1,914.6,920.8,927.3,933.2,945.9,951.3,956.7,962.0,965.7,351.8,348.1,346.9,347.6,349.6,348.4,345.5,344.1,344.6,347.7,942.2,379.7
16,0,0.5,0.98,1,909.7,914.2,920.4,926.9,932.8,945.5,950.9,956.4,961.7,965.4,351.9,348.1,346.9,347.6,349.6,348.4,345.5,344.1,344.7,347.8,941.9,379.7
17,0,0.533,0.98,1,909.4,913.9,920.1,926.6,932.5,945.1,950.6,956.1,961.4,965.1,351.7,347.9,346.7,347.4,349.5,348.4,345.5,344.2,344.8,348.0,941.2,379.7
18,0,0.567,0.98,1,908.9,913.4,919.7,926.2,932.1,944.6,950.1,955.7,961.0,964.7,351.6,347.8,346.6,347.3,349.5,348.5,345.6,344.3,344.9,348.2,940.7,379.6
19,0,0.6,0.98,1,908.4,912.8,919.1,925.6,931.5,944.0,949.5,955.0,960.3,964.0,351.7,347.8,346.5,347.2,349.4,348.4,345.5,344.2,344.9,348.1,940.1,379.5
20,0,0.633,0.98,1,907.9,912.2,918.4,924.9,930.9,943.3,948.7,954.2,959.5,963.2,352.1,348.2,346.8,347.4,349.5,348.4,345.6,344.3,344.9,348.1,939.6,379.5
