frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,911.2,916.3,922.7,929.1,934.7,946.3,951.9,957.4,962.6,965.7,357.5,353.9,353.2,354.4,357.1,357.5,355.6,355.1,356.5,360.4,939.4,387.5
2,0,0.033,0.93,1,911.6,916.5,922.9,929.2,934.7,946.7,952.3,957.8,962.8,965.8,356.9,353.7,353.2,354.6,357.4,357.9,356.0,355.4,356.8,360.6,939.2,387.7
3,0,0.067,0.93,1,911.7,916.6,923.0,929.3,934.8,947.1,952.8,958.3,963.2,966.3,356.3,353.3,353.0,354.5,357.3,357.9,355.9,355.2,356.5,360.1,939.3,387.6
4,0,0.1,0.93,1,911.9,916.9,923.3,929.6,935.0,947.4,953.1,958.6,963.6,966.7,355.9,353.1,352.9,354.5,357.3,357.9,355.8,355.1,356.3,359.7,939.4,387.5
5,0,0.133,0.93,1,912.2,917.2,923.6,929.9,935.4,947.8,953.4,958.9,963.8,966.9,355.9,353.1,352.9,354.5,357.3,357.9,355.8,355.1,356.3,359.7,939.7,387.5
6,0,0.167,0.93,1,912.2,917.3,923.6,930.0,935.5,948.0,953.7,959.1,964.0,967.1,355.9,353.1,352.9,354.5,357.3,357.9,355.8,355.1,356.2,359.6,940.0,387.5
7,0,0.2,0.93,1,912.3,917.5,923.9,930.2,935.7,948.2,953.8,959.2,964.1,967.1,356.0,353.1,352.9,354.5,357.3,357.9,355.8,355.1,356.2,359.6,940.2,387.5
8,0,0.233,0.93,1,912.5,917.7,924.2,930.6,936.1,948.3,953.9,959.2,964.1,967.1,355.9,353.0,352.9,354.5,357.3,357.9,355.8,355.1,356.2,359.6,940.5,387.4
9,0,0.267,0.93,1,912.7,917.9,924.3,930.7,936.3,948.5,954.0,959.3,964.2,967.1,356.0,353.1,352.8,354.5,357.3,357.9,355.8,355.0,356.1,359.5,940.7,387.5
10,0,0.3,0.93,1,912.9,918.1,924.5,930.9,936.5,948.7,954.2,959.5,964.4,967.3,356.1,353.1,352.9,354.5,357.3,357.8,355.7,355.0,356.1,359.5,941.0,387.4
11,0,0.333,0.98,1,912.8,918.1,924.8,931.5,937.3,948.9,954.3,959.5,964.3,967.1,356.7,353.6,353.3,354.9,357.8,358.2,355.9,355.0,356.0,359.4,941.9,387.7
12,0,0.367,0.98,1,913.0,918.3,925.1,931.9,937.8,949.1,954.5,959.6,964.3,967.0,357.3,354.0,353.6,355.2,358.2,358.4,355.9,354.9,355.8,359.2,942.8,387.9
13,0,0.4,0.98,1,913.3,918.5,925.3,932.1,938.0,949.3,954.5,959.6,964.2,966.8,357.7,354.4,353.9,355.4,358.3,358.5,356.0,355.0,355.9,359.2,943.2,388.1
14,0,0.433,0.98,1,913.6,918.9,925.7,932.6,938.4,949.7,954.9,960.0,964.5,967.1,357.9,354.6,354.1,355.6,358.5,358.7,356.2,355.2,356.0,359.4,943.7,388.4
15,0,0.467,0.88,1,913.9,919.2,926.0,932.8,938.7,950.1,955.2,960.1,964.6,967.2,358.1,354.9,354.3,355.8,358.7,358.8,356.3,355.3,356.0,359.3,944.1,388.6
16,0,0.5,0.88,1,914.0,919.3,926.2,933.0,938.9,950.2,955.3,960.2,964.6,967.2,358.5,355.1,354.6,356.0,358.9,358.9,356.4,355.3,356.1,359.5,944.4,388.7
17,0,0.533,0.88,1,914.4,919.7,926.6,933.3,939.2,950.3,955.3,960.1,964.5,967.0,358.6,355.4,354.9,356.3,359.1,359.2,356.7,355.6,356.3,359.5,944.6,388.7
18,0,0.567,0.88,1,914.6,919.9,926.7,933.5,939.4,950.4,955.4,960.2,964.6,967.1,358.8,355.5,354.9,356.4,359.2,359.3,356.9,355.9,356.7,360.1,944.7,388.7
