frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,906.0,910.7,917.1,923.8,929.8,942.2,947.7,953.1,958.3,961.8,354.9,351.3,350.3,351.2,353.4,352.5,349.7,348.3,348.9,352.1,937.6,384.6
2,0,0.033,0.98,1,906.1,910.7,917.0,923.5,929.4,942.7,948.1,953.4,958.4,961.8,354.8,351.3,350.2,351.1,353.2,352.3,349.5,348.2,348.8,351.8,937.7,384.6
3,0,0.067,0.98,1,906.2,910.8,917.1,923.6,929.5,942.8,948.3,953.7,958.7,962.2,354.8,351.2,350.2,351.0,353.2,352.2,349.4,348.1,348.7,351.8,937.9,384.5
4,0,0.1,0.98,1,906.4,911.0,917.3,923.9,929.8,943.1,948.5,953.9,959.0,962.4,354.8,351.2,350.1,351.0,353.2,352.3,349.5,348.1,348.7,351.8,938.2,384.5
5,0,0.133,0.98,1,906.9,911.5,917.9,924.4,930.4,943.6,949.0,954.4,959.5,962.9,354.6,351.1,350.0,350.9,353.1,352.2,349.4,348.0,348.6,351.6,938.7,384.4
6,0,0.167,0.98,1,907.5,912.1,918.4,924.9,930.8,944.1,949.6,954.9,960.0,963.4,354.5,351.0,350.0,350.9,353.1,352.2,349.4,348.0,348.6,351.6,939.0,384.3
7,0,0.2,0.98,1,907.7,912.3,918.6,925.2,931.1,944.4,949.9,955.3,960.4,963.9,354.4,350.9,349.9,350.8,353.0,352.0,349.2,347.8,348.3,351.3,939.4,384.1
8,0,0.233,0.98,1,908.0,912.6,919.0,925.6,931.5,945.0,950.5,956.0,961.1,964.6,354.3,350.8,349.7,350.6,352.8,351.8,349.0,347.6,348.1,351.2,939.9,384.0
9,0,0.267,0.98,1,908.6,913.1,919.4,925.9,931.9,945.3,950.8,956.2,961.3,964.8,354.4,350.8,349.8,350.6,352.8,351.8,348.9,347.5,348.1,351.2,940.3,384.0
10,0,0.3,0.98,1,909.0,913.4,919.7,926.2,932.2,945.6,951.1,956.4,961.5,964.9,354.7,351.0,349.8,350.6,352.7,351.8,348.9,347.6,348.2,351.3,940.9,383.9
11,0,0.333,0.98,1,909.6,914.1,920.4,926.9,932.9,946.2,951.6,957.0,962.1,965.5,354.8,351.2,350.0,350.8,353.0,352.0,349.2,347.9,348.5,351.6,941.3,384.0
12,0,0.367,0.98,1,910.1,914.6,920.9,927.4,933.4,946.7,952.1,957.5,962.6,965.9,354.8,351.2,350.1,350.9,353.1,352.1,349.3,347.9,348.5,351.6,941.8,384.0
13,0,0.4,0.98,1,910.6,915.0,921.2,927.8,933.8,947.1,952.5,957.8,962.9,966.3,355.5,351.8,350.6,351.4,353.6,352.6,349.8,348.5,349.2,352.3,942.1,384.3
14,0,0.433,0.98,1,911.1,915.5,921.7,928.2,934.2,947.2,952.7,958.0,963.0,966.3,355.6,351.9,350.6,351.4,353.6,352.7,350.0,348.7,349.5,352.7,942.3,384.2
15,0,0.467,0.98,1,911.2,915.7,921.9,928.4,934.3,947.4,952.8,958.2,963.2,966.6,355.4,351.8,350.6,351.4,353.6,352.7,350.0,348.7,349.3,352.4,942.4,384.1
16,0,0.5,0.98,1,911.5,915.9,922.1,928.6,934.5,947.4,952.8,958.2,963.3,966.7,355.3,351.7,350.5,351.4,353.6,352.8,350.0,348.8,349.4,352.6,942.6,384.0
17,0,0.533,0.98,1,911.4,915.9,922.1,928.6,934.5,947.5,953.0,958.3,963.4,966.8,355.3,351.7,350.5,351.4,353.6,352.8,350.0,348.7,349.3,352.4,942.6,384.0
18,0,0.567,0.98,1,911.7,916.2,922.3,928.8,934.8,948.0,953.4,958.7,963.8,967.2,354.9,351.3,350.2,351.0,353.2,352.3,349.6,348.3,349.0,352.1,942.8,383.7
19,0,0.6,0.98,1,911.6,916.0,922.2,928.7,934.7,948.0,953.5,958.8,963.9,967.3,354.9,351.3,350.1,350.9,353.1,352.2,349.4,348.1,348.8,351.9,942.9,383.6
20,0,0.633,0.98,1,911.7,916.1,922.3,928.9,934.9,948.1,953.6,959.0,964.1,967.5,354.8,351.1,349.9,350.7,352.9,352.0,349.2,348.0,348.6,351.7,943.0,383.3
21,0,0.667,0.98,1,911.9,916.3,922.5,929.0,935.0,948.3,953.7,959.1,964.2,967.7,354.7,351.1,349.9,350.7,352.9,352.0,349.2,348.0,348.6,351.7,943.2,383.2
22,0,0.7,0.98,1,912.1,916.6,922.7,929.2,935.2,948.4,953.8,959.1,964.2,967.7,354.5,350.9,349.7,350.5,352.7,351.9,349.1,347.8,348.4,351.5,943.3,383.1
23,0,0.733,0.98,1,912.3,916.8,923.0,929.4,935.4,948.5,953.9,959.2,964.3,967.9,354.5,350.9,349.8,350.6,352.8,352.0,349.2,347.9,348.5,351.5,943.5,383.0
24,0,0.767,0.98,1,912.8,917.4,923.5,930.0,935.8,949.0,954.4,959.7,964.8,968.3,354.1,350.6,349.6,350.5,352.7,351.9,349.1,347.9,348.4,351.4,943.8,383.0
25,0,0.8,0.98,1,913.0,917.6,923.8,930.3,936.2,949.3,954.8,960.2,965.3,968.8,353.9,350.5,349.5,350.4,352.7,351.9,349.1,347.8,348.4,351.4,944.1,382.9
26,0,0.833,0.98,1,913.3,918.0,924.2,930.6,936.5,949.5,954.9,960.3,965.4,968.9,353.8,350.4,349.5,350.4,352.7,351.8,349.1,347.7,348.3,351.2,944.3,382.8
27,0,0.867,0.98,1,913.5,918.2,924.4,930.9,936.8,949.6,955.1,960.5,965.7,969.2,353.6,350.2,349.3,350.3,352.6,351.8,349.0,347.7,348.2,351.2,944.5,382.7
28,0,0.9,0.98,1,913.5,918.1,924.4,930.9,936.8,949.8,955.3,960.7,965.9,969.4,353.7,350.3,349.3,350.2,352.5,351.7,348.9,347.6,348.2,351.2,944.7,382.7
29,0,0.933,0.98,1,913.5,918.2,924.4,931.0,937.0,950.1,955.6,961.0,966.1,969.6,353.7,350.2,349.2,350.1,352.4,351.6,348.8,347.5,348.0,351.0,945.0,382.6
30,0,0.967,0.98,1,913.6,918.2,924.5,931.1,937.1,950.3,955.8,961.2,966.4,969.8,353.6,350.1,349.1,350.0,352.3,351.5,348.7,347.4,348.0,351.1,945.1,382.5
31,0,1.0,0.98,1,913.9,918.6,924.9,931.5,937.5,950.4,955.8,961.2,966.4,969.9,353.5,350.1,349.1,350.0,352.4,351.6,348.8,347.4,348.0,351.0,945.3,382.4
32,0,1.033,0.98,1,914.1,918.9,925.2,931.8,937.7,950.6,956.1,961.4,966.6,970.0,353.4,350.0,349.1,350.1,352.4,351.6,348.8,347.5,348.0,351.0,945.6,382.3
33,0,1.067,0.98,1,914.2,918.9,925.3,931.9,937.8,950.7,956.2,961.5,966.7,970.1,353.4,350.0,349.0,349.9,352.2,351.4,348.6,347.3,347.9,351.0,945.7,382.1
34,0,1.1,0.98,1,914.3,919.0,925.4,932.0,938.0,950.7,956.2,961.6,966.7,970.1,353.4,349.8,348.8,349.7,352.0,351.2,348.4,347.1,347.8,350.9,945.9,381.9
35,0,1.133,0.98,1,914.5,919.1,925.5,932.1,938.1,950.8,956.3,961.6,966.8,970.2,353.4,349.9,348.8,349.7,352.0,351.2,348.4,347.2,347.8,350.9,946.0,381.9
36,0,1.167,0.98,1,914.9,919.5,925.8,932.4,938.3,951.0,956.5,961.8,966.9,970.3,353.2,349.7,348.7,349.6,351.9,351.2,348.4,347.2,347.9,351.0,946.1,381.8
37,0,1.2,0.93,1,915.1,919.8,926.1,932.6,938.5,951.2,956.6,961.9,967.0,970.4,353.2,349.6,348.6,349.5,351.8,351.1,348.4,347.1,347.8,351.0,946.3,381.8
38,0,1.233,0.93,1,915.2,919.8,926.1,932.7,938.6,951.3,956.7,962.1,967.2,970.5,353.2,349.7,348.6,349.5,351.8,351.1,348.4,347.2,348.0,351.1,946.4,381.8
39,0,1.267,0.98,1,915.4,920.1,926.4,933.0,938.9,951.6,957.1,962.4,967.6,970.9,353.2,349.7,348.6,349.6,351.9,351.3,348.6,347.4,348.2,351.4,946.5,381.8
40,0,1.3,0.98,1,915.6,920.4,926.8,933.4,939.4,952.0,957.5,962.9,968.0,971.4,353.1,349.6,348.7,349.7,352.0,351.4,348.8,347.6,348.4,351.6,946.8,382.0
41,0,1.333,0.93,1,915.8,920.5,926.9,933.5,939.5,952.1,957.6,963.1,968.2,971.6,353.2,349.7,348.7,349.7,352.0,351.5,348.8,347.6,348.4,351.6,946.8,382.0
42,0,1.367,0.98,1,916.1,920.8,927.2,933.8,939.8,952.4,957.9,963.3,968.3,971.6,353.1,349.6,348.6,349.6,352.0,351.5,348.9,347.8,348.6,351.8,947.0,382.0
43,0,1.4,0.93,1,916.5,921.1,927.5,934.0,940.0,952.8,958.2,963.5,968.5,971.8,353.5,349.9,348.9,349.8,352.2,351.8,349.2,348.2,349.1,352.3,947.2,382.0
44,0,1.433,0.93,1,916.8,921.4,927.7,934.4,940.3,952.9,958.3,963.7,968.6,971.9,353.8,350.2,349.0,349.9,352.4,351.9,349.5,348.5,349.5,352.9,947.3,382.0
45,0,1.467,0.93,1,916.9,921.5,927.8,934.5,940.4,953.1,958.5,963.8,968.8,972.1,353.7,350.1,348.9,349.9,352.3,351.9,349.4,348.4,349.4,352.8,947.4,382.0
46,0,1.5,0.93,1,917.1,921.7,928.0,934.7,940.7,953.3,958.8,964.1,969.1,972.3,353.7,350.0,348.8,349.8,352.3,351.9,349.4,348.5,349.5,353.0,947.6,382.0
47,0,1.533,0.93,1,917.1,921.7,928.1,934.7,940.7,953.3,958.8,964.1,969.1,972.4,353.6,350.0,348.9,349.8,352.3,351.9,349.4,348.4,349.4,352.8,947.6,382.0
48,0,1.567,0.93,1,917.2,921.9,928.2,934.8,940.7,953.3,958.8,964.1,969.1,972.4,353.6,350.0,348.9,349.9,352.4,352.0,349.5,348.5,349.5,352.8,947.6,382.0
