frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1002.5,1007.2,1013.8,1020.6,1027.0,1039.4,1046.0,1052.5,1059.0,1063.7,257.8,253.5,252.1,252.7,254.7,254.0,251.4,250.5,251.7,255.5,1034.1,286.0
2,0,0.033,0.98,1,1003.1,1007.8,1014.3,1020.9,1027.2,1040.3,1046.9,1053.3,1059.6,1064.4,257.6,253.4,252.1,252.6,254.3,253.5,251.2,250.3,251.3,255.0,1034.6,285.4
3,0,0.067,0.98,1,1003.6,1008.4,1014.9,1021.5,1027.8,1041.0,1047.6,1053.9,1060.3,1065.0,257.0,252.9,251.6,252.2,253.9,253.1,250.8,249.9,250.9,254.5,1035.2,285.0
4,0,0.1,0.98,1,1004.3,1009.1,1015.6,1022.3,1028.6,1041.7,1048.3,1054.7,1061.1,1065.8,257.0,252.8,251.4,251.9,253.7,253.0,250.6,249.7,250.8,254.4,1036.1,284.9
5,0,0.133,0.98,1,1005.0,1009.8,1016.3,1023.1,1029.4,1042.4,1049.0,1055.4,1061.8,1066.5,257.1,252.8,251.4,252.0,253.8,253.0,250.6,249.6,250.7,254.4,1037.0,285.0
6,0,0.167,0.98,1,1005.6,1010.4,1016.9,1023.7,1030.0,1043.0,1049.5,1056.0,1062.4,1067.1,257.2,253.0,251.6,252.1,253.8,253.0,250.5,249.6,250.6,254.3,1037.6,285.0
7,0,0.2,0.98,1,1006.3,1011.0,1017.6,1024.3,1030.6,1043.5,1050.1,1056.5,1062.9,1067.6,257.4,253.2,251.7,252.2,254.0,253.1,250.6,249.7,250.7,254.4,1038.3,285.2
8,0,0.233,0.98,1,1006.7,1011.4,1017.9,1024.7,1031.0,1043.9,1050.4,1056.9,1063.3,1068.0,257.7,253.4,252.0,252.4,254.2,253.2,250.7,249.7,250.7,254.4,1038.8,285.4
9,0,0.267,0.98,1,1007.2,1011.9,1018.4,1025.1,1031.5,1044.5,1051.1,1057.5,1063.9,1068.7,258.1,253.8,252.3,252.7,254.4,253.4,250.8,249.8,250.8,254.4,1039.5,285.5
10,0,0.3,0.98,1,1007.6,1012.3,1018.8,1025.6,1032.0,1044.8,1051.4,1057.9,1064.4,1069.2,258.5,254.1,252.6,253.0,254.6,253.5,250.9,249.9,250.9,254.5,1040.1,285.8
