frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,913.1,917.6,924.0,930.6,936.7,949.1,954.7,960.4,965.9,969.9,349.8,345.6,344.1,344.6,346.7,345.8,343.1,342.0,342.8,346.2,945.3,377.9
2,0,0.033,0.98,1,912.8,917.2,923.5,930.1,936.2,949.2,954.8,960.5,965.9,969.7,349.4,345.3,343.7,344.3,346.5,345.6,342.8,341.7,342.5,346.0,945.2,378.0
3,0,0.067,0.98,1,912.9,917.3,923.5,930.1,936.2,949.3,954.9,960.6,966.0,969.7,349.4,345.2,343.7,344.3,346.4,345.5,342.8,341.6,342.4,345.9,945.3,377.9
4,0,0.1,0.98,1,913.0,917.3,923.6,930.1,936.2,949.3,954.9,960.6,966.0,969.7,349.4,345.2,343.7,344.3,346.4,345.4,342.7,341.6,342.4,345.9,945.4,377.9
5,0,0.133,0.98,1,913.1,917.5,923.7,930.2,936.2,949.4,955.0,960.7,966.1,969.8,349.6,345.5,344.0,344.5,346.6,345.6,342.9,341.8,342.6,346.0,945.4,378.1
6,0,0.167,0.98,1,913.2,917.6,923.7,930.2,936.2,949.4,955.0,960.6,966.0,969.8,350.1,346.0,344.5,345.0,347.1,346.0,343.2,342.1,342.8,346.2,945.5,378.6
7,0,0.2,0.98,1,913.4,917.7,923.9,930.4,936.4,949.7,955.2,960.9,966.3,970.2,350.7,346.6,345.0,345.6,347.7,346.6,343.8,342.6,343.3,346.6,945.9,379.0
8,0,0.233,0.98,1,913.9,918.2,924.4,930.9,936.9,949.9,955.4,961.1,966.5,970.3,351.1,347.0,345.5,346.1,348.2,347.2,344.4,343.2,343.9,347.3,946.2,379.4
9,0,0.267,0.98,1,914.2,918.6,924.8,931.4,937.4,950.5,956.2,961.9,967.3,971.1,351.2,347.1,345.6,346.2,348.3,347.3,344.5,343.3,344.1,347.6,946.6,379.8
10,0,0.3,0.98,1,914.4,918.8,925.1,931.7,937.8,951.0,956.6,962.3,967.8,971.5,351.4,347.2,345.7,346.3,348.5,347.6,344.8,343.6,344.4,347.9,947.0,379.9
11,0,0.333,0.98,1,914.9,919.3,925.6,932.2,938.3,951.5,957.1,962.9,968.3,972.1,351.3,347.1,345.6,346.3,348.5,347.5,344.8,343.6,344.4,347.9,947.4,379.9
12,0,0.367,0.98,1,915.3,919.7,926.1,932.7,938.8,951.9,957.5,963.2,968.6,972.3,350.9,346.7,345.2,345.9,348.1,347.2,344.4,343.3,344.1,347.6,947.8,379.4
13,0,0.4,0.98,1,915.7,920.1,926.4,933.1,939.2,952.2,957.8,963.4,968.8,972.5,350.7,346.5,345.1,345.7,347.9,347.0,344.2,343.1,343.9,347.4,948.2,379.3
14,0,0.433,0.98,1,915.7,920.1,926.4,933.1,939.2,952.2,957.8,963.5,968.9,972.6,350.3,346.1,344.6,345.3,347.5,346.6,343.8,342.6,343.4,346.9,948.2,378.9
15,0,0.467,0.98,1,915.7,920.1,926.4,933.0,939.1,952.3,957.9,963.6,969.0,972.7,350.1,346.0,344.5,345.2,347.3,346.4,343.7,342.6,343.4,346.9,948.2,378.8
16,0,0.5,0.98,1,915.7,920.1,926.3,932.9,939.0,952.3,957.8,963.4,968.8,972.5,350.0,345.8,344.3,344.9,347.1,346.2,343.4,342.3,343.1,346.5,948.2,378.7
17,0,0.533,0.98,1,915.8,920.1,926.3,932.9,938.9,952.1,957.6,963.3,968.6,972.3,350.0,345.9,344.4,345.0,347.2,346.2,343.4,342.3,343.0,346.5,948.1,378.7
18,0,0.567,0.98,1,915.5,919.8,926.0,932.6,938.6,951.9,957.4,963.1,968.5,972.1,350.0,345.9,344.4,345.0,347.2,346.2,343.4,342.2,343.0,346.4,948.0,378.6
19,0,0.6,0.98,1,915.5,919.8,926.0,932.6,938.6,951.8,957.4,963.1,968.5,972.2,350.1,346.0,344.5,345.1,347.3,346.4,343.6,342.4,343.2,346.6,947.8,378.7
20,0,0.633,0.98,1,916.2,920.2,926.3,932.9,939.0,952.0,957.6,963.2,968.6,972.3,351.4,347.0,345.2,345.7,347.8,346.7,344.0,342.9,343.9,347.5,947.9,378.8
21,0,0.667,0.93,1,916.8,920.7,926.8,933.4,939.5,952.3,957.9,963.5,968.9,972.5,351.8,347.3,345.4,345.8,347.9,346.8,344.1,343.1,344.2,347.9,948.3,378.8
22,0,0.7,0.93,1,917.4,921.2,927.3,934.0,940.1,952.7,958.2,963.8,969.2,972.8,352.1,347.6,345.6,345.9,348.0,346.8,344.1,343.1,344.2,347.9,948.9,378.7
23,0,0.733,0.98,1,917.3,921.3,927.5,934.2,940.3,953.2,958.7,964.3,969.7,973.5,352.0,347.5,345.7,346.1,348.1,346.9,344.1,343.0,343.9,347.5,949.5,378.9
24,0,0.767,0.98,1,917.8,921.9,928.1,934.7,940.9,953.9,959.4,964.9,970.3,974.0,351.8,347.5,345.8,346.3,348.3,347.2,344.4,343.2,344.0,347.4,950.2,379.3
25,0,0.8,0.98,1,918.6,922.8,929.1,935.6,941.7,954.5,959.9,965.5,970.8,974.5,352.0,347.9,346.4,347.0,349.0,347.9,345.0,343.7,344.3,347.6,950.9,379.9
26,0,0.833,0.98,1,918.7,922.9,929.2,935.9,942.0,954.7,960.2,965.7,971.1,974.8,352.7,348.5,346.9,347.5,349.6,348.3,345.4,344.0,344.6,347.9,951.5,380.4
27,0,0.867,0.98,1,918.9,923.1,929.4,936.0,942.1,955.0,960.5,965.9,971.2,974.9,353.1,349.0,347.4,348.0,350.0,348.7,345.7,344.3,344.9,348.1,951.9,381.0
28,0,0.9,0.98,1,919.0,923.3,929.6,936.2,942.3,955.2,960.6,966.1,971.3,975.0,353.3,349.1,347.5,348.0,350.0,348.7,345.7,344.3,344.9,348.2,952.1,380.9
29,0,0.933,0.98,1,919.1,923.3,929.6,936.3,942.4,955.3,960.7,966.1,971.3,975.0,353.4,349.2,347.6,348.0,350.0,348.6,345.6,344.2,344.8,348.0,952.4,380.9
30,0,0.967,0.98,1,919.1,923.4,929.7,936.4,942.5,955.3,960.6,966.1,971.4,975.0,353.5,349.3,347.6,348.0,350.0,348.5,345.5,344.1,344.6,347.9,952.6,380.8
31,0,1.0,0.98,1,919.2,923.5,929.9,936.6,942.7,955.4,960.8,966.2,971.4,975.0,353.4,349.2,347.6,348.0,349.9,348.4,345.4,343.9,344.4,347.7,952.8,380.6
