frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.03,1,1049.9,1057.8,1067.1,1076.2,1083.9,1096.8,1102.7,1108.2,1113.1,1115.2,431.3,426.9,426.2,428.2,432.0,433.4,431.6,431.5,433.8,439.2,1088.8,470.3
2,0,0.033,0.03,0,1053.1,1061.2,1070.3,1079.1,1086.4,1099.0,1105.3,1111.1,1116.2,1118.6,429.3,425.8,426.0,428.7,433.1,434.9,433.1,433.0,435.2,440.2,1088.2,471.0
3,0,0.067,0.03,0,1053.2,1061.9,1071.5,1080.6,1088.2,1100.4,1106.8,1112.7,1117.7,1119.5,427.4,424.0,424.4,427.6,432.7,435.1,433.5,433.7,436.2,441.5,1088.2,471.3
4,0,0.1,0.03,0,1052.9,1062.0,1072.1,1081.4,1089.2,1100.8,1107.2,1113.0,1117.8,1119.3,425.6,422.1,422.5,426.1,431.6,434.4,433.1,433.7,436.5,442.1,1088.5,470.2
5,0,0.133,0.03,0,1053.2,1062.5,1072.6,1082.0,1089.7,1101.0,1107.2,1112.9,1117.6,1119.0,423.6,420.2,420.7,424.3,430.0,433.3,432.5,433.4,436.6,442.6,1089.2,467.8
6,0,0.167,0.03,0,1053.1,1062.4,1072.5,1081.8,1089.5,1100.7,1106.8,1112.5,1117.2,1118.6,421.8,418.4,418.9,422.7,428.4,432.1,431.7,433.1,436.7,442.9,1088.9,465.8
7,0,0.2,0.03,0,1053.1,1062.5,1072.8,1082.1,1089.8,1100.8,1106.9,1112.6,1117.2,1118.4,420.5,417.0,417.7,421.6,427.4,431.6,431.6,433.3,437.2,443.8,1088.8,464.5
8,0,0.233,0.03,0,1053.6,1063.1,1073.2,1082.4,1090.0,1100.9,1106.9,1112.5,1117.1,1118.3,419.9,416.6,417.5,421.5,427.4,431.8,432.0,433.9,437.9,444.5,1088.6,464.0
9,0,0.267,0.03,0,1054.1,1063.8,1074.0,1083.1,1090.7,1101.4,1107.4,1113.0,1117.6,1118.5,419.1,416.1,417.1,421.4,427.6,432.4,432.9,435.0,439.3,446.0,1088.6,464.2
10,0,0.3,0.03,0,1054.6,1064.2,1074.2,1083.2,1090.5,1101.3,1107.3,1112.8,1117.3,1118.3,418.7,415.8,417.0,421.3,427.5,432.7,433.4,435.8,440.2,447.0,1088.1,463.7
11,0,0.333,0.03,0,1055.4,1065.0,1074.9,1083.7,1090.9,1101.7,1107.7,1113.2,1117.6,1118.5,418.2,415.4,416.8,421.3,427.7,433.1,434.0,436.5,441.1,447.9,1087.8,463.5
12,0,0.367,0.03,0,1055.9,1065.6,1075.5,1084.3,1091.4,1102.1,1108.2,1113.6,1118.0,1118.8,417.1,414.6,416.3,421.0,427.5,433.1,434.1,436.8,441.5,448.4,1087.7,463.3
13,0,0.4,0.03,0,1056.1,1065.9,1075.9,1084.7,1091.8,1102.6,1108.5,1113.8,1117.8,1118.2,415.7,413.2,415.0,419.8,426.3,432.3,433.7,436.8,441.9,449.1,1087.6,462.2
14,0,0.433,0.03,0,1057.1,1066.9,1076.9,1085.6,1092.5,1103.1,1108.9,1114.0,1117.7,1117.8,414.3,411.9,413.9,418.9,425.6,432.2,433.8,437.2,442.7,450.1,1087.6,461.4
15,0,0.467,0.03,0,1058.5,1068.3,1078.1,1086.6,1093.3,1103.7,1109.0,1113.6,1116.8,1116.4,412.7,410.5,412.6,417.7,424.6,431.9,434.1,438.0,443.8,451.3,1088.4,460.0
16,0,0.5,0.03,0,1061.1,1070.4,1079.6,1087.5,1093.5,1103.7,1108.5,1112.4,1115.2,1114.8,410.2,408.5,411.2,416.4,423.2,431.9,435.0,439.7,446.1,453.8,1089.3,456.7
17,0,0.533,0.03,0,1062.9,1071.8,1080.5,1087.9,1093.5,1102.9,1107.4,1111.2,1114.0,1113.7,409.9,408.6,411.5,416.7,423.4,432.7,436.1,440.9,447.0,454.4,1089.4,455.0
18,0,0.567,0.03,0,1065.6,1073.7,1081.7,1088.6,1093.8,1103.0,1107.4,1111.1,1113.8,1113.7,412.6,411.4,414.0,418.6,424.6,433.5,436.7,441.1,446.8,453.6,1089.1,454.1
19,0,0.6,0.03,0,1067.5,1075.1,1082.7,1089.3,1094.2,1103.0,1107.6,1111.4,1114.2,1114.2,416.7,415.4,417.5,421.6,426.8,434.4,437.2,441.4,447.0,453.5,1088.1,453.4
20,0,0.633,0.03,0,1067.8,1075.0,1082.2,1088.6,1093.5,1102.1,1106.3,1109.6,1112.2,1112.2,418.6,417.4,419.5,423.3,428.2,435.5,438.2,442.3,447.6,453.9,1089.1,454.1
21,0,0.667,0.03,0,1067.9,1075.0,1082.0,1088.3,1093.2,1101.6,1105.6,1108.8,1111.2,1111.2,419.6,418.5,420.4,424.0,428.8,435.8,438.4,442.3,447.6,453.8,1089.3,454.3
22,0,0.7,0.03,0,1068.1,1075.3,1082.4,1088.6,1093.4,1102.2,1106.9,1110.8,1113.8,1114.1,421.0,419.6,421.4,424.8,429.2,436.0,438.7,442.8,448.1,454.4,1087.4,453.2
23,0,0.733,0.03,0,1068.1,1075.0,1081.9,1088.1,1092.8,1101.4,1105.7,1109.1,1111.8,1111.9,421.5,420.2,421.9,425.2,429.6,436.1,438.6,442.6,447.7,453.8,1088.3,453.7
24,0,0.767,0.03,0,1067.9,1074.8,1081.6,1087.7,1092.4,1100.9,1105.2,1108.7,1111.3,1111.5,421.9,420.6,422.2,425.4,429.7,436.1,438.5,442.3,447.4,453.4,1088.1,453.7
25,0,0.8,0.03,0,1067.6,1074.3,1081.1,1087.2,1092.0,1100.5,1104.7,1108.2,1110.9,1111.2,422.3,420.9,422.4,425.5,429.7,436.1,438.5,442.3,447.4,453.4,1088.2,453.2
26,0,0.833,0.03,0,1067.1,1073.8,1080.6,1086.8,1091.6,1100.3,1104.6,1108.1,1110.8,1111.3,422.6,421.1,422.6,425.6,429.6,435.9,438.4,442.3,447.4,453.4,1088.1,452.8
27,0,0.867,0.03,0,1066.9,1073.6,1080.4,1086.6,1091.4,1100.2,1104.5,1108.1,1110.9,1111.5,422.8,421.2,422.6,425.5,429.5,435.7,438.1,441.9,447.0,453.0,1088.0,452.7
28,0,0.9,0.98,1,1047.1,1051.0,1056.9,1063.0,1068.8,1081.2,1087.5,1094.1,1100.5,1105.0,315.6,311.8,310.9,312.1,314.7,314.4,311.5,310.3,311.2,314.8,1075.8,347.9
29,0,0.933,0.93,1,1048.0,1051.4,1057.0,1063.2,1068.9,1081.5,1087.8,1094.2,1100.4,1104.6,317.0,312.8,311.5,312.4,314.8,314.4,311.7,310.6,311.8,315.6,1076.2,347.6
30,0,0.967,0.98,1,1048.3,1051.8,1057.4,1063.5,1069.2,1081.6,1087.9,1094.5,1100.7,1104.9,316.6,312.4,311.1,312.0,314.4,314.0,311.4,310.4,311.7,315.6,1076.2,347.4
31,0,1.0,0.98,1,1048.4,1051.8,1057.4,1063.5,1069.2,1082.1,1088.4,1095.0,1101.2,1105.3,315.6,311.4,310.1,311.1,313.5,313.2,310.6,309.6,310.9,314.8,1076.3,346.8
32,0,1.033,0.98,1,1047.7,1051.3,1057.0,1063.0,1068.7,1082.0,1088.4,1094.9,1101.1,1105.3,314.6,310.5,309.3,310.3,312.8,312.5,309.8,308.9,310.1,314.0,1076.3,346.2
33,0,1.067,0.93,1,1047.5,1051.3,1057.0,1063.1,1068.7,1082.1,1088.5,1095.0,1101.3,1105.6,313.5,309.5,308.4,309.4,311.9,311.5,308.8,307.7,308.8,312.5,1076.4,345.4
34,0,1.1,0.98,1,1047.4,1051.1,1056.9,1063.0,1068.7,1082.2,1088.5,1095.1,1101.3,1105.7,312.6,308.7,307.6,308.8,311.4,311.1,308.3,307.2,308.2,311.8,1076.5,344.8
35,0,1.133,0.98,1,1047.2,1051.0,1056.8,1062.9,1068.6,1082.4,1088.9,1095.5,1101.8,1106.1,311.5,307.7,306.7,307.9,310.5,310.2,307.3,306.1,307.1,310.7,1076.6,344.2
36,0,1.167,0.98,1,1047.2,1051.0,1056.9,1062.9,1068.6,1082.4,1088.9,1095.5,1101.9,1106.4,310.5,306.7,305.8,307.1,309.7,309.5,306.7,305.5,306.4,310.0,1076.3,343.6
37,0,1.2,0.98,1,1047.0,1050.9,1056.7,1062.8,1068.3,1082.5,1089.0,1095.5,1101.9,1106.4,309.8,306.0,305.2,306.4,309.1,308.9,306.1,304.9,305.7,309.3,1076.2,343.2
38,0,1.233,0.98,1,1047.0,1050.8,1056.6,1062.7,1068.2,1082.3,1088.7,1095.3,1101.7,1106.2,309.3,305.5,304.7,305.9,308.5,308.2,305.4,304.3,305.1,308.7,1076.1,342.5
39,0,1.267,0.98,1,1046.8,1050.7,1056.5,1062.5,1068.0,1082.3,1088.8,1095.4,1101.8,1106.3,308.8,304.9,304.1,305.3,307.9,307.6,304.9,303.7,304.6,308.2,1075.9,342.0
40,0,1.3,0.98,1,1046.9,1050.8,1056.5,1062.5,1068.0,1082.2,1088.6,1095.2,1101.5,1106.1,308.5,304.6,303.7,304.8,307.4,307.1,304.4,303.3,304.2,307.8,1075.8,341.6
41,0,1.333,0.98,1,1046.9,1050.7,1056.4,1062.4,1067.9,1082.2,1088.7,1095.3,1101.7,1106.3,308.3,304.4,303.4,304.5,307.0,306.7,303.9,302.8,303.8,307.5,1075.9,341.1
42,0,1.367,0.98,1,1046.9,1050.7,1056.4,1062.4,1068.0,1082.0,1088.5,1095.2,1101.7,1106.3,308.3,304.2,303.2,304.2,306.7,306.4,303.6,302.4,303.4,307.2,1076.0,340.6
43,0,1.4,0.98,1,1047.1,1050.8,1056.5,1062.5,1068.0,1082.2,1088.7,1095.4,1101.8,1106.3,307.8,303.8,302.8,303.8,306.4,306.1,303.4,302.3,303.3,307.1,1075.9,340.4
44,0,1.433,0.98,1,1047.1,1050.8,1056.5,1062.5,1068.0,1082.1,1088.6,1095.3,1101.8,1106.4,307.6,303.6,302.6,303.6,306.2,305.9,303.0,301.9,303.0,306.8,1075.9,340.1
45,0,1.467,0.98,1,1047.4,1051.1,1056.8,1062.8,1068.3,1082.2,1088.7,1095.4,1101.9,1106.6,307.4,303.4,302.5,303.5,306.0,305.7,302.8,301.7,302.7,306.4,1076.2,339.9
46,0,1.5,0.98,1,1047.5,1051.3,1057.0,1062.9,1068.4,1082.3,1088.8,1095.4,1101.9,1106.6,307.0,303.2,302.2,303.3,305.8,305.4,302.6,301.5,302.4,306.1,1076.3,339.5
47,0,1.533,0.98,1,1047.7,1051.5,1057.2,1063.1,1068.6,1082.3,1088.8,1095.5,1102.0,1106.7,306.9,303.0,302.1,303.2,305.7,305.4,302.6,301.5,302.4,306.1,1076.4,339.4
48,0,1.567,0.98,1,1047.9,1051.7,1057.4,1063.4,1068.9,1082.4,1088.9,1095.6,1102.1,1106.9,306.8,302.9,302.0,303.1,305.7,305.3,302.5,301.3,302.2,305.9,1076.5,339.3
49,0,1.6,0.98,1,1048.1,1051.9,1057.6,1063.5,1069.0,1082.3,1088.8,1095.5,1102.0,1106.8,306.7,302.8,302.0,303.1,305.7,305.4,302.5,301.3,302.2,305.9,1076.6,339.2
50,0,1.633,0.98,1,1048.1,1051.9,1057.6,1063.5,1069.0,1082.3,1088.7,1095.4,1101.9,1106.7,306.8,302.9,302.0,303.1,305.8,305.5,302.6,301.4,302.3,305.9,1076.6,339.2
51,0,1.667,0.98,1,1048.2,1051.9,1057.6,1063.5,1069.0,1082.3,1088.7,1095.4,1101.9,1106.7,307.0,303.0,302.0,303.1,305.7,305.4,302.6,301.4,302.3,306.1,1076.6,339.2
52,0,1.7,0.98,1,1048.5,1052.2,1057.9,1063.9,1069.3,1082.3,1088.8,1095.5,1102.0,1106.7,307.0,303.0,302.0,303.1,305.8,305.4,302.6,301.4,302.4,306.2,1076.6,339.2
53,0,1.733,0.98,1,1048.4,1052.2,1057.8,1063.8,1069.3,1082.5,1089.0,1095.6,1102.1,1106.8,306.9,302.8,301.8,302.9,305.5,305.2,302.4,301.3,302.4,306.2,1076.7,339.1
54,0,1.767,0.98,1,1048.4,1052.1,1057.8,1063.7,1069.2,1082.5,1088.9,1095.6,1102.1,1106.7,306.9,302.8,301.8,302.9,305.4,305.2,302.4,301.3,302.3,306.1,1076.7,339.2
55,0,1.8,0.98,1,1048.3,1052.0,1057.7,1063.6,1069.1,1082.3,1088.8,1095.5,1102.0,1106.6,306.9,302.7,301.7,302.8,305.4,305.1,302.3,301.2,302.2,306.0,1076.6,339.1
