frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,937.7,943.2,949.8,956.3,962.0,973.2,979.1,984.7,990.0,993.2,350.4,347.4,347.3,348.9,351.8,352.8,351.3,351.1,352.8,356.7,964.8,381.4
2,0,0.033,0.98,1,937.5,943.1,949.5,955.7,961.3,973.1,978.9,984.4,989.5,992.9,350.3,347.5,347.5,349.1,351.8,352.9,351.5,351.4,352.9,356.7,964.3,381.1
3,0,0.067,0.98,1,937.1,942.6,949.0,955.3,960.9,972.7,978.5,984.0,989.1,992.4,350.2,347.4,347.3,349.0,351.7,352.8,351.3,351.3,352.8,356.6,963.8,381.0
4,0,0.1,0.98,1,936.7,942.2,948.6,954.8,960.3,972.0,977.8,983.2,988.4,991.7,350.0,347.3,347.3,348.9,351.6,352.7,351.3,351.2,352.8,356.5,963.2,380.8
5,0,0.133,0.98,1,935.8,941.4,947.7,953.9,959.5,971.3,977.1,982.5,987.7,991.0,349.9,347.3,347.2,348.9,351.6,352.7,351.2,351.1,352.6,356.3,962.4,380.9
6,0,0.167,0.98,1,935.0,940.6,947.0,953.2,958.7,970.4,976.2,981.7,986.8,990.1,350.0,347.2,347.2,348.8,351.5,352.6,351.1,350.9,352.5,356.2,961.7,380.8
7,0,0.2,0.98,1,934.1,939.7,946.1,952.4,957.9,969.6,975.4,980.9,986.1,989.4,350.1,347.3,347.2,348.8,351.5,352.6,351.1,351.0,352.5,356.3,960.8,380.8
8,0,0.233,0.98,1,933.2,938.8,945.3,951.6,957.2,968.8,974.6,980.1,985.2,988.5,350.0,347.2,347.1,348.8,351.5,352.6,351.1,351.0,352.6,356.3,960.1,380.8
9,0,0.267,0.98,1,932.3,937.8,944.3,950.6,956.2,967.9,973.7,979.2,984.4,987.7,350.0,347.2,347.1,348.8,351.5,352.5,351.0,350.9,352.5,356.3,959.2,380.8
10,0,0.3,0.98,1,931.3,936.9,943.4,949.7,955.4,967.1,972.9,978.4,983.6,986.9,350.0,347.2,347.1,348.7,351.4,352.5,351.0,350.9,352.4,356.2,958.5,380.8
11,0,0.333,0.98,1,930.4,936.0,942.4,948.8,954.4,966.1,972.0,977.4,982.6,986.0,350.0,347.2,347.2,348.8,351.4,352.5,351.0,350.8,352.4,356.1,957.6,380.8
12,0,0.367,0.98,1,929.6,935.2,941.6,947.9,953.6,965.3,971.2,976.6,981.8,985.2,350.1,347.3,347.2,348.8,351.4,352.4,350.9,350.8,352.3,356.0,956.8,380.8
13,0,0.4,0.98,1,928.5,934.1,940.6,946.9,952.6,964.4,970.2,975.6,980.8,984.2,350.2,347.4,347.3,348.9,351.5,352.5,351.0,350.9,352.4,356.1,955.8,380.9
14,0,0.433,0.98,1,927.5,933.1,939.5,945.8,951.5,963.3,969.1,974.5,979.7,983.0,350.3,347.6,347.5,349.0,351.7,352.6,351.1,350.9,352.3,356.0,954.9,381.0
15,0,0.467,0.98,1,926.1,931.8,938.3,944.6,950.3,962.0,967.8,973.1,978.3,981.7,350.5,347.7,347.6,349.2,351.8,352.7,351.2,350.9,352.3,355.9,953.8,381.0
16,0,0.5,0.98,1,925.1,930.8,937.2,943.6,949.3,961.0,966.7,972.1,977.2,980.5,350.6,347.9,347.7,349.3,351.9,352.8,351.2,351.0,352.4,356.0,952.8,381.2
17,0,0.533,0.98,1,924.0,929.7,936.1,942.5,948.1,959.8,965.5,970.8,975.8,979.1,350.6,347.9,347.7,349.3,351.9,352.8,351.2,351.0,352.4,356.0,951.7,381.2
18,0,0.567,0.98,1,922.9,928.5,935.0,941.3,947.0,958.8,964.4,969.7,974.8,978.1,350.6,347.8,347.7,349.3,351.8,352.7,351.2,350.9,352.3,355.9,950.5,381.2
19,0,0.6,0.98,1,921.4,927.1,933.6,940.0,945.7,957.4,963.1,968.5,973.5,976.8,350.7,347.9,347.7,349.2,351.8,352.6,351.0,350.7,352.2,355.8,949.4,381.2
20,0,0.633,0.98,1,920.6,926.2,932.7,939.0,944.6,956.4,962.0,967.3,972.3,975.5,350.5,347.8,347.6,349.1,351.7,352.5,350.9,350.7,352.0,355.6,948.3,381.0
21,0,0.667,0.98,1,919.6,925.2,931.7,938.0,943.7,955.4,961.0,966.3,971.3,974.5,350.4,347.6,347.4,348.9,351.4,352.2,350.6,350.3,351.7,355.3,947.5,380.8
22,0,0.7,0.98,1,918.5,924.1,930.6,936.9,942.6,954.3,959.9,965.1,970.1,973.4,350.3,347.5,347.3,348.7,351.2,352.0,350.4,350.1,351.4,354.9,946.6,380.5
23,0,0.733,0.98,1,917.5,923.2,929.6,935.9,941.6,953.2,958.8,964.0,969.0,972.3,350.0,347.2,347.0,348.4,351.0,351.7,350.1,349.8,351.1,354.7,945.4,380.3
24,0,0.767,0.98,1,916.5,922.3,928.9,935.2,940.9,952.3,957.8,963.0,968.0,971.2,349.8,347.1,346.9,348.4,351.0,351.6,349.9,349.5,350.7,354.2,945.0,380.1
25,0,0.8,0.98,1,915.4,921.2,927.8,934.2,940.0,951.4,956.8,962.0,967.0,970.1,349.8,347.0,346.6,348.1,350.7,351.3,349.6,349.2,350.3,353.7,944.3,379.8
26,0,0.833,0.98,1,914.6,920.3,926.8,933.1,938.8,950.4,955.9,961.1,966.1,969.4,349.5,346.6,346.3,347.8,350.3,351.0,349.3,349.0,350.2,353.7,943.0,379.6
27,0,0.867,0.98,1,914.0,919.8,926.4,932.7,938.5,949.9,955.3,960.4,965.4,968.6,349.2,346.4,346.2,347.7,350.2,350.9,349.2,348.8,350.0,353.5,942.7,379.4
28,0,0.9,0.98,1,913.2,919.0,925.5,931.8,937.6,948.9,954.3,959.4,964.3,967.4,349.3,346.4,346.1,347.5,350.1,350.7,349.1,348.7,349.8,353.3,941.9,379.2
29,0,0.933,0.98,1,912.4,918.3,924.8,931.2,937.0,948.5,953.9,959.0,963.9,967.0,349.0,346.2,345.9,347.4,349.9,350.6,349.0,348.6,349.8,353.3,941.3,379.0
