frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,902.1,906.8,913.1,919.4,925.1,937.3,943.0,948.6,954.0,957.6,351.3,347.9,347.2,348.4,350.9,350.8,348.4,347.6,348.6,352.0,930.9,381.2
2,0,0.033,0.98,1,902.4,907.0,913.2,919.5,925.1,938.1,943.8,949.3,954.5,957.8,351.2,347.9,347.1,348.3,350.9,351.0,348.7,347.8,348.9,352.3,931.2,381.7
3,0,0.067,0.98,1,902.6,907.3,913.4,919.7,925.3,938.1,943.7,949.2,954.4,957.7,351.0,347.8,347.1,348.3,350.9,350.9,348.6,347.7,348.7,352.0,931.3,381.6
4,0,0.1,0.93,1,902.6,907.3,913.5,919.8,925.5,938.4,944.0,949.5,954.7,958.1,350.5,347.3,346.7,347.9,350.5,350.5,348.2,347.2,348.2,351.5,931.6,381.1
5,0,0.133,0.98,1,902.5,907.3,913.5,919.9,925.6,938.6,944.3,949.8,955.0,958.3,349.8,346.6,346.0,347.3,349.9,350.0,347.6,346.7,347.6,350.9,931.6,380.5
6,0,0.167,0.98,1,902.8,907.5,913.7,920.1,925.8,938.7,944.4,949.9,955.1,958.4,349.3,346.1,345.5,346.9,349.5,349.6,347.2,346.3,347.2,350.5,931.7,380.1
7,0,0.2,0.98,1,902.9,907.7,913.9,920.2,925.9,939.0,944.6,950.1,955.2,958.5,349.1,346.0,345.4,346.7,349.3,349.4,347.0,346.0,347.0,350.2,932.0,380.0
8,0,0.233,0.98,1,903.3,908.0,914.2,920.5,926.1,939.1,944.7,950.2,955.2,958.5,349.0,345.9,345.3,346.6,349.2,349.2,346.8,345.9,346.9,350.1,932.2,379.9
9,0,0.267,0.98,1,903.5,908.2,914.5,920.9,926.6,939.6,945.2,950.6,955.6,958.9,349.1,345.9,345.3,346.6,349.2,349.2,346.8,345.8,346.8,350.0,932.6,379.8
10,0,0.3,0.98,1,903.9,908.6,914.9,921.3,927.0,939.9,945.5,950.9,955.9,959.2,349.3,346.1,345.4,346.7,349.3,349.3,346.8,345.9,346.8,350.1,933.1,379.8
11,0,0.333,0.98,1,904.5,909.3,915.5,921.8,927.5,940.6,946.2,951.5,956.4,959.7,349.2,346.1,345.5,346.8,349.3,349.3,346.9,345.9,346.7,349.9,933.7,379.9
12,0,0.367,0.98,1,904.8,909.5,915.8,922.3,928.0,940.9,946.4,951.7,956.6,959.8,349.7,346.4,345.7,347.0,349.6,349.5,347.1,346.1,347.0,350.2,934.2,380.0
13,0,0.4,0.98,1,905.2,910.0,916.3,922.7,928.4,941.0,946.5,951.8,956.7,959.9,349.9,346.6,345.9,347.2,349.8,349.8,347.4,346.4,347.3,350.6,934.3,380.2
14,0,0.433,0.98,1,905.3,910.1,916.4,922.9,928.6,940.9,946.4,951.7,956.7,959.9,349.8,346.6,345.9,347.2,349.8,349.8,347.4,346.5,347.4,350.7,934.3,380.2
15,0,0.467,0.98,1,905.4,910.2,916.5,922.9,928.6,941.1,946.6,951.9,956.8,960.0,349.7,346.5,345.8,347.1,349.7,349.8,347.4,346.4,347.4,350.7,934.3,380.1
16,0,0.5,0.98,1,905.2,910.0,916.3,922.8,928.5,941.2,946.7,952.0,957.0,960.1,349.3,346.1,345.5,346.8,349.4,349.4,347.0,346.0,347.0,350.2,934.4,379.7
17,0,0.533,0.98,1,905.5,910.4,916.7,923.1,928.8,941.5,947.0,952.3,957.2,960.3,348.6,345.5,344.8,346.1,348.7,348.7,346.3,345.4,346.3,349.6,934.7,379.2
18,0,0.567,0.98,1,906.0,910.9,917.1,923.5,929.1,941.9,947.3,952.6,957.4,960.5,347.8,344.6,343.9,345.2,347.7,347.8,345.4,344.6,345.6,348.9,935.0,378.2
19,0,0.6,0.98,1,906.4,911.2,917.5,923.9,929.5,942.2,947.7,952.9,957.7,960.8,347.1,344.0,343.3,344.6,347.2,347.3,344.9,344.1,345.1,348.4,935.3,377.6
20,0,0.633,0.98,1,907.1,911.9,918.2,924.5,930.1,942.7,948.2,953.4,958.2,961.3,346.7,343.5,342.9,344.1,346.7,346.8,344.5,343.7,344.7,348.1,935.7,377.3
21,0,0.667,0.98,1,907.5,912.4,918.7,925.0,930.6,943.1,948.5,953.8,958.6,961.6,346.7,343.5,342.9,344.2,346.8,346.9,344.6,343.8,344.9,348.3,936.1,377.2
22,0,0.7,0.98,1,908.0,912.9,919.1,925.4,931.0,943.6,949.0,954.2,959.0,962.1,346.6,343.4,342.9,344.2,346.8,347.0,344.8,344.0,345.1,348.5,936.3,377.5
23,0,0.733,0.98,1,908.1,913.0,919.2,925.6,931.1,943.9,949.3,954.6,959.4,962.6,346.6,343.5,342.9,344.2,346.8,347.0,344.7,343.9,344.9,348.3,936.6,377.7
24,0,0.767,0.98,1,908.3,913.2,919.6,926.0,931.6,944.3,949.8,955.1,960.0,963.2,346.8,343.7,343.2,344.5,347.2,347.3,345.0,344.2,345.2,348.6,937.2,378.0
25,0,0.8,0.98,1,908.4,913.3,919.7,926.2,931.9,944.5,950.0,955.4,960.5,963.7,346.9,343.8,343.2,344.6,347.2,347.3,345.0,344.1,345.2,348.6,937.5,378.0
26,0,0.833,0.98,1,908.8,913.7,920.2,926.7,932.4,944.9,950.5,955.9,960.9,964.1,347.1,343.8,343.2,344.5,347.1,347.3,345.0,344.1,345.2,348.7,938.0,378.0
27,0,0.867,0.98,1,909.0,914.0,920.5,927.0,932.7,945.4,951.0,956.4,961.4,964.6,346.9,343.6,343.0,344.3,346.9,346.9,344.6,343.7,344.8,348.2,938.5,377.9
28,0,0.9,0.98,1,909.6,914.6,921.1,927.6,933.3,946.0,951.6,956.9,961.9,965.1,346.8,343.6,343.0,344.3,346.9,346.9,344.6,343.7,344.7,348.1,939.1,377.9
29,0,0.933,0.98,1,910.3,915.3,921.7,928.2,933.9,946.6,952.2,957.5,962.4,965.6,346.8,343.6,343.0,344.3,346.8,346.9,344.6,343.7,344.8,348.1,939.6,377.8
30,0,0.967,0.98,1,910.7,915.7,922.2,928.7,934.5,947.1,952.6,958.0,962.9,966.1,346.8,343.6,343.0,344.3,346.8,346.9,344.6,343.8,344.9,348.3,940.0,377.8
31,0,1.0,0.98,1,910.4,915.5,922.3,929.0,935.0,947.2,952.6,957.9,962.9,966.0,347.3,343.9,343.2,344.5,347.2,347.2,344.8,343.8,344.7,348.1,941.0,377.9
32,0,1.033,0.98,1,910.0,915.3,922.1,929.0,935.1,947.1,952.5,957.8,962.7,965.7,348.0,344.4,343.5,344.8,347.5,347.4,345.0,343.9,344.7,348.2,941.3,378.2
33,0,1.067,0.98,1,910.1,915.3,922.1,929.0,935.2,947.1,952.4,957.7,962.7,965.6,348.4,344.7,343.7,344.9,347.7,347.6,345.2,344.1,345.0,348.5,941.4,378.2
34,0,1.1,0.98,1,910.6,915.5,922.2,929.0,935.2,947.0,952.2,957.4,962.2,965.1,349.4,345.6,344.4,345.5,348.2,348.0,345.6,344.6,345.6,349.1,941.4,378.4
35,0,1.133,0.93,1,910.5,915.4,922.1,928.8,934.9,946.9,952.0,957.1,961.9,964.9,349.9,346.0,344.8,345.9,348.5,348.3,345.9,344.9,345.8,349.3,941.3,378.7
36,0,1.167,0.98,1,910.1,915.1,921.8,928.6,934.8,946.7,951.8,956.9,961.8,964.7,349.8,346.0,344.8,345.8,348.5,348.2,345.8,344.8,345.6,349.1,941.2,378.7
37,0,1.2,0.98,1,909.6,914.6,921.4,928.2,934.4,946.3,951.5,956.8,961.7,964.6,349.7,345.8,344.7,345.8,348.4,348.2,345.8,344.7,345.6,349.2,940.8,378.8
38,0,1.233,0.98,1,909.0,914.1,920.9,927.8,934.0,945.9,951.1,956.4,961.3,964.3,349.7,345.9,344.8,345.9,348.6,348.3,345.8,344.8,345.6,349.1,940.6,378.9
39,0,1.267,0.98,1,908.7,913.8,920.7,927.6,933.8,945.7,951.0,956.3,961.3,964.2,349.8,346.0,345.0,346.1,348.8,348.5,346.0,344.9,345.8,349.4,940.2,379.2
40,0,1.3,0.98,1,908.3,913.5,920.4,927.3,933.6,945.4,950.7,956.0,961.0,964.0,349.8,346.0,345.0,346.2,348.9,348.7,346.1,345.0,345.8,349.2,940.0,379.4
41,0,1.333,0.98,1,907.8,912.9,919.8,926.8,933.1,945.0,950.4,955.6,960.6,963.6,349.9,346.1,345.1,346.3,349.0,348.8,346.2,345.1,345.8,349.3,939.6,379.5
42,0,1.367,0.98,1,907.4,912.5,919.5,926.4,932.7,944.5,949.8,955.1,960.1,963.1,350.0,346.3,345.3,346.5,349.2,348.9,346.3,345.2,345.9,349.4,939.2,379.7
43,0,1.4,0.98,1,906.9,912.1,919.1,926.0,932.3,944.0,949.4,954.7,959.7,962.7,350.3,346.5,345.6,346.7,349.4,349.2,346.6,345.4,346.2,349.7,938.8,379.9
44,0,1.433,0.98,1,906.5,911.7,918.6,925.5,931.8,943.7,949.0,954.3,959.2,962.2,350.2,346.5,345.5,346.7,349.5,349.2,346.6,345.5,346.2,349.6,938.3,380.1
45,0,1.467,0.98,1,906.1,911.3,918.2,925.1,931.4,943.3,948.6,953.8,958.8,961.8,350.3,346.6,345.6,346.8,349.5,349.3,346.7,345.6,346.3,349.7,937.9,380.1
46,0,1.5,0.98,1,905.8,910.9,917.8,924.7,930.9,942.8,948.0,953.2,958.2,961.1,350.4,346.7,345.8,347.0,349.7,349.5,346.8,345.6,346.3,349.6,937.6,380.1
47,0,1.533,0.98,1,905.6,910.7,917.5,924.5,930.7,942.6,947.8,953.1,958.0,960.8,350.5,346.8,345.8,347.0,349.7,349.5,346.9,345.8,346.6,350.0,937.2,380.3
48,0,1.567,0.98,1,905.0,910.1,917.0,924.0,930.2,942.0,947.3,952.5,957.4,960.3,350.6,346.9,345.9,347.1,349.8,349.5,347.0,345.8,346.6,350.0,936.8,380.4
