frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1052.9,1057.0,1063.3,1069.9,1076.0,1089.7,1096.0,1102.4,1108.8,1113.4,305.0,300.9,299.6,300.4,302.8,301.7,298.5,297.0,297.5,300.9,1085.5,336.1
2,0,0.033,0.98,1,1053.0,1056.8,1062.9,1069.4,1075.5,1090.2,1096.4,1102.9,1109.2,1113.6,304.4,300.1,298.7,299.4,301.7,300.5,297.3,295.8,296.6,300.1,1085.6,335.5
3,0,0.067,0.98,1,1052.9,1056.8,1062.9,1069.4,1075.5,1090.1,1096.4,1102.9,1109.2,1113.7,303.1,298.9,297.5,298.3,300.7,299.6,296.5,295.0,295.8,299.3,1085.4,334.5
4,0,0.1,0.98,1,1052.9,1056.9,1063.0,1069.5,1075.6,1090.1,1096.5,1103.1,1109.5,1114.0,301.9,297.6,296.3,297.2,299.7,298.7,295.6,294.1,294.9,298.5,1085.3,333.5
5,0,0.133,0.98,1,1053.0,1056.9,1063.1,1069.7,1075.8,1090.2,1096.6,1103.2,1109.6,1114.1,301.0,296.8,295.4,296.3,298.8,297.9,294.7,293.3,294.0,297.7,1085.4,332.7
6,0,0.167,0.98,1,1053.2,1057.1,1063.2,1069.8,1076.0,1089.9,1096.2,1102.7,1109.1,1113.6,300.7,296.4,294.9,295.7,298.1,297.2,294.0,292.5,293.4,297.1,1085.4,331.7
7,0,0.2,0.98,1,1052.9,1056.8,1063.0,1069.5,1075.7,1089.8,1096.1,1102.7,1109.1,1113.6,299.7,295.4,294.0,294.8,297.3,296.3,293.1,291.6,292.3,295.9,1085.4,331.0
8,0,0.233,0.98,1,1052.8,1056.7,1062.9,1069.5,1075.7,1090.0,1096.4,1102.9,1109.3,1113.8,298.5,294.3,292.9,293.8,296.2,295.2,292.0,290.5,291.2,294.8,1085.5,330.0
9,0,0.267,0.98,1,1053.0,1056.9,1063.2,1069.9,1076.1,1090.0,1096.3,1102.9,1109.4,1113.8,297.8,293.5,292.0,292.8,295.3,294.3,291.0,289.5,290.3,294.0,1085.6,328.8
10,0,0.3,0.98,1,1053.0,1057.1,1063.4,1070.0,1076.2,1090.3,1096.7,1103.3,1109.7,1114.1,296.0,291.7,290.4,291.3,293.8,292.9,289.7,288.3,289.0,292.7,1085.6,327.5
11,0,0.333,0.98,1,1052.9,1057.0,1063.3,1069.9,1076.1,1090.3,1096.7,1103.3,1109.7,1114.1,294.9,290.6,289.3,290.2,292.8,291.8,288.6,287.1,287.8,291.5,1085.6,326.6
12,0,0.367,0.98,1,1053.3,1057.4,1063.7,1070.3,1076.4,1090.5,1096.8,1103.4,1109.8,1114.3,293.6,289.5,288.3,289.2,291.8,291.0,287.8,286.3,287.0,290.5,1085.6,325.6
13,0,0.4,0.98,1,1053.3,1057.4,1063.6,1070.1,1076.2,1090.6,1096.9,1103.5,1109.9,1114.4,292.8,288.8,287.6,288.6,291.2,290.3,287.2,285.7,286.4,289.9,1085.4,325.2
14,0,0.433,0.98,1,1053.4,1057.5,1063.8,1070.3,1076.3,1090.6,1097.0,1103.7,1110.1,1114.6,292.3,288.3,287.2,288.3,290.9,290.2,287.1,285.7,286.4,290.0,1085.3,324.9
15,0,0.467,0.98,1,1053.5,1057.6,1064.0,1070.5,1076.6,1090.6,1097.1,1103.8,1110.2,1114.7,292.4,288.4,287.3,288.4,291.1,290.3,287.2,285.8,286.6,290.2,1085.3,325.1
16,0,0.5,0.98,1,1053.2,1057.4,1063.7,1070.2,1076.2,1090.2,1096.7,1103.3,1109.8,1114.3,292.9,288.9,287.8,288.9,291.6,290.8,287.7,286.3,287.0,290.6,1085.0,325.4
17,0,0.533,0.98,1,1053.1,1057.3,1063.6,1070.1,1076.1,1090.2,1096.6,1103.2,1109.6,1114.1,293.6,289.6,288.5,289.6,292.1,291.3,288.3,286.9,287.6,291.2,1085.0,326.1
18,0,0.567,0.98,1,1053.3,1057.5,1063.7,1070.2,1076.2,1090.0,1096.4,1103.1,1109.5,1114.1,294.2,290.2,289.2,290.3,292.9,292.2,289.1,287.7,288.5,292.1,1084.9,326.8
19,0,0.6,0.98,1,1053.1,1057.4,1063.7,1070.1,1076.1,1089.9,1096.3,1102.9,1109.3,1113.9,295.1,291.2,290.2,291.3,293.9,293.2,290.1,288.7,289.3,292.9,1084.8,327.6
20,0,0.633,0.98,1,1053.0,1057.2,1063.5,1069.9,1075.9,1089.6,1096.0,1102.6,1109.1,1113.6,296.1,292.2,291.2,292.3,294.9,294.1,291.1,289.7,290.4,294.0,1084.4,328.6
21,0,0.667,0.98,1,1052.6,1056.9,1063.1,1069.5,1075.3,1089.3,1095.7,1102.1,1108.5,1113.0,297.0,293.2,292.3,293.4,296.0,295.2,292.2,290.8,291.4,294.9,1084.0,330.0
22,0,0.7,0.98,1,1052.4,1056.6,1062.8,1069.2,1075.1,1089.2,1095.5,1102.0,1108.3,1112.8,299.0,295.1,294.1,295.2,297.8,297.1,294.2,292.8,293.4,296.9,1083.8,331.8
23,0,0.733,0.98,1,1053.5,1057.3,1063.1,1069.3,1075.1,1089.0,1095.2,1101.5,1107.6,1111.9,302.6,298.4,297.1,298.0,300.4,299.7,296.8,295.6,296.5,300.1,1083.7,333.9
24,0,0.767,0.98,1,1053.5,1057.0,1062.9,1069.2,1075.1,1088.5,1094.7,1101.1,1107.2,1111.4,305.7,301.2,299.7,300.5,302.9,302.1,299.2,298.0,299.0,302.9,1083.7,336.3
25,0,0.8,0.98,1,1053.5,1057.1,1062.9,1069.2,1075.1,1088.7,1094.9,1101.3,1107.4,1111.5,307.4,303.1,301.6,302.4,304.9,304.1,301.2,299.9,301.0,304.8,1083.7,338.5
26,0,0.833,0.98,1,1053.0,1056.7,1062.7,1069.1,1075.0,1088.7,1095.0,1101.4,1107.7,1111.8,308.5,304.2,302.9,303.8,306.3,305.6,302.7,301.4,302.4,306.2,1083.6,340.0
27,0,0.867,0.98,1,1053.4,1057.2,1063.2,1069.5,1075.4,1089.1,1095.4,1101.8,1108.0,1112.2,308.5,304.3,303.0,304.0,306.5,305.9,303.0,301.8,302.8,306.6,1083.7,340.4
28,0,0.9,0.98,1,1053.2,1057.2,1063.4,1069.9,1075.8,1089.2,1095.6,1102.1,1108.4,1112.7,308.3,304.1,303.0,304.0,306.7,306.1,303.1,301.8,302.7,306.5,1083.9,340.2
29,0,0.933,0.98,1,1053.3,1057.3,1063.5,1070.0,1075.9,1089.3,1095.7,1102.2,1108.5,1112.8,307.8,303.6,302.5,303.5,306.2,305.6,302.6,301.4,302.3,306.1,1084.0,339.7
30,0,0.967,0.98,1,1053.3,1057.4,1063.6,1070.2,1076.1,1089.5,1095.9,1102.5,1108.9,1113.2,307.1,303.0,301.9,303.0,305.7,305.2,302.2,300.9,301.8,305.5,1084.1,339.2
31,0,1.0,0.98,1,1053.4,1057.4,1063.7,1070.2,1076.2,1089.6,1096.0,1102.6,1108.9,1113.2,306.8,302.7,301.7,302.9,305.6,305.1,302.1,300.8,301.7,305.4,1084.2,339.0
32,0,1.033,0.98,1,1053.3,1057.4,1063.7,1070.2,1076.1,1089.8,1096.1,1102.7,1109.0,1113.3,307.0,302.9,301.8,302.9,305.6,305.0,302.1,300.8,301.6,305.3,1084.3,339.0
33,0,1.067,0.98,1,1053.4,1057.5,1063.7,1070.2,1076.1,1089.8,1096.1,1102.7,1109.0,1113.3,306.7,302.7,301.7,302.9,305.6,305.1,302.1,300.7,301.5,305.2,1084.3,339.1
34,0,1.1,0.98,1,1053.6,1057.6,1063.8,1070.3,1076.2,1089.8,1096.1,1102.6,1108.9,1113.3,306.9,302.8,301.8,302.9,305.6,305.1,302.1,300.7,301.5,305.2,1084.4,339.1
35,0,1.133,0.98,1,1053.6,1057.7,1063.9,1070.3,1076.2,1089.8,1096.1,1102.6,1108.9,1113.2,306.9,302.9,301.8,302.9,305.6,305.1,302.1,300.7,301.6,305.2,1084.4,339.0
36,0,1.167,0.98,1,1053.9,1057.9,1064.0,1070.5,1076.4,1089.9,1096.2,1102.6,1108.9,1113.3,306.6,302.6,301.5,302.6,305.2,304.6,301.6,300.3,301.2,304.8,1084.5,338.4
37,0,1.2,0.98,1,1054.1,1058.1,1064.3,1070.8,1076.7,1090.3,1096.6,1103.1,1109.4,1113.7,306.3,302.2,301.2,302.2,304.9,304.3,301.2,299.9,300.7,304.4,1085.0,338.1
38,0,1.233,0.98,1,1053.8,1057.9,1064.1,1070.5,1076.4,1090.4,1096.8,1103.3,1109.5,1113.9,305.5,301.5,300.5,301.6,304.2,303.6,300.6,299.2,299.9,303.5,1085.0,337.7
39,0,1.267,0.98,1,1054.1,1058.2,1064.3,1070.7,1076.6,1090.5,1096.9,1103.4,1109.6,1113.9,305.4,301.3,300.3,301.3,303.9,303.2,300.2,298.9,299.7,303.3,1085.2,337.3
40,0,1.3,0.98,1,1054.3,1058.4,1064.6,1071.1,1077.0,1090.5,1096.9,1103.4,1109.7,1114.1,305.0,301.0,300.0,301.1,303.8,303.1,300.1,298.7,299.5,303.1,1085.3,337.0
