frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,1078.2,1083.6,1090.5,1097.7,1104.0,1116.7,1121.7,1126.5,1130.9,1133.4,257.2,253.1,251.7,252.5,255.2,254.8,252.4,251.6,252.8,256.5,1110.9,287.7
2,0,0.033,0.98,1,1079.0,1084.3,1091.2,1098.4,1104.6,1117.6,1122.4,1127.0,1131.3,1133.8,257.1,252.9,251.5,252.4,255.1,254.7,252.0,251.1,252.0,255.5,1111.7,287.9
3,0,0.067,0.98,1,1079.6,1085.0,1091.9,1099.0,1105.3,1118.4,1123.1,1127.7,1131.9,1134.3,257.1,252.9,251.4,252.3,254.9,254.3,251.7,250.6,251.4,254.8,1112.9,287.9
4,0,0.1,0.98,1,1080.4,1085.8,1092.8,1100.1,1106.4,1119.3,1124.0,1128.5,1132.7,1135.2,257.2,252.9,251.4,252.3,254.8,254.1,251.3,250.1,250.8,254.2,1114.1,288.1
5,0,0.133,0.98,1,1081.5,1087.0,1094.0,1101.3,1107.5,1120.5,1125.1,1129.5,1133.6,1136.0,257.0,252.8,251.4,252.3,254.9,254.1,251.3,250.0,250.6,253.9,1115.4,288.5
6,0,0.167,0.98,1,1082.2,1087.8,1095.0,1102.4,1108.8,1121.5,1126.1,1130.6,1134.6,1137.0,257.3,253.1,251.6,252.5,255.1,254.3,251.4,250.1,250.6,253.9,1116.7,288.9
7,0,0.2,0.98,1,1083.5,1089.2,1096.4,1103.8,1110.1,1123.0,1127.5,1131.9,1135.8,1138.2,257.3,253.1,251.7,252.6,255.2,254.3,251.4,250.0,250.5,253.7,1118.1,289.1
8,0,0.233,0.98,1,1084.5,1090.2,1097.5,1104.9,1111.2,1123.9,1128.4,1132.8,1136.8,1139.1,257.5,253.3,251.8,252.7,255.3,254.4,251.5,250.1,250.5,253.8,1119.2,289.1
9,0,0.267,0.98,1,1085.7,1091.4,1098.7,1106.2,1112.6,1124.8,1129.4,1133.8,1137.8,1140.1,257.7,253.4,252.0,252.9,255.5,254.6,251.6,250.2,250.7,254.0,1120.4,289.2
10,0,0.3,0.98,1,1086.5,1092.2,1099.5,1107.0,1113.3,1125.7,1130.3,1134.6,1138.6,1140.8,257.9,253.5,252.1,252.9,255.6,254.6,251.6,250.3,250.7,254.1,1121.2,289.5
11,0,0.333,0.98,1,1087.3,1093.1,1100.5,1108.0,1114.3,1126.5,1131.0,1135.4,1139.3,1141.5,258.1,253.8,252.3,253.2,255.9,255.0,252.0,250.6,251.1,254.5,1122.1,289.7
