frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,923.8,929.1,935.6,942.0,947.7,959.1,964.6,969.9,975.0,978.4,346.9,343.4,342.6,343.6,346.0,346.5,345.0,345.0,346.6,350.6,952.2,374.4
2,0,0.033,0.98,1,922.0,927.3,933.6,939.8,945.4,957.4,962.9,968.1,973.1,976.6,346.8,343.5,342.8,343.8,345.9,346.4,344.9,344.8,346.2,349.9,950.4,374.3
3,0,0.067,0.98,1,920.0,925.4,931.8,938.0,943.7,955.6,961.1,966.3,971.4,974.9,346.5,343.2,342.6,343.6,345.8,346.3,344.8,344.7,346.1,349.8,948.6,374.2
4,0,0.1,0.98,1,918.3,923.7,930.0,936.2,941.8,953.5,959.0,964.2,969.3,972.8,346.4,343.2,342.5,343.6,345.7,346.1,344.6,344.4,345.7,349.4,946.6,374.1
5,0,0.133,0.98,1,915.9,921.4,927.7,934.0,939.6,951.4,956.9,962.2,967.3,970.9,346.2,343.0,342.4,343.4,345.6,346.0,344.5,344.2,345.6,349.2,944.5,374.1
6,0,0.167,0.98,1,913.7,919.2,925.6,931.9,937.5,949.4,955.0,960.2,965.4,968.9,346.1,342.8,342.2,343.2,345.3,345.6,344.1,343.9,345.3,349.0,942.6,373.8
7,0,0.2,0.98,1,911.6,917.0,923.4,929.7,935.4,947.3,952.8,958.1,963.3,966.9,346.3,342.9,342.3,343.2,345.3,345.6,344.0,343.8,345.2,348.8,940.5,373.7
8,0,0.233,0.98,1,909.6,915.0,921.4,927.7,933.3,945.3,950.8,956.1,961.3,964.9,346.0,342.6,341.9,342.9,345.0,345.3,343.7,343.5,344.9,348.5,938.6,373.4
9,0,0.267,0.98,1,907.6,912.9,919.3,925.6,931.3,943.2,948.7,954.0,959.2,962.8,346.0,342.6,341.9,342.8,344.9,345.2,343.6,343.3,344.7,348.3,936.6,373.4
10,0,0.3,0.98,1,905.5,910.8,917.1,923.4,929.1,941.0,946.6,951.9,957.1,960.7,346.0,342.6,341.8,342.7,344.8,345.0,343.3,343.0,344.3,347.9,934.7,373.1
11,0,0.333,0.98,1,903.8,909.0,915.3,921.7,927.4,939.1,944.6,949.9,955.1,958.8,346.3,342.8,342.0,342.8,344.8,345.0,343.2,342.9,344.2,347.9,933.2,373.0
