frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,904.5,909.5,915.7,921.9,927.4,939.2,944.8,950.2,955.3,958.5,348.9,345.6,345.1,346.4,349.1,349.6,347.5,346.9,348.2,351.8,932.1,379.0
2,0,0.033,0.98,1,904.5,909.4,915.5,921.7,927.1,939.5,945.1,950.6,955.7,958.8,348.4,345.3,344.8,346.2,349.0,349.6,347.5,347.0,348.3,351.9,932.0,379.0
3,0,0.067,0.98,1,904.4,909.3,915.3,921.5,926.9,939.4,945.0,950.5,955.6,958.7,348.4,345.4,344.9,346.2,349.0,349.6,347.4,346.9,348.2,351.7,931.9,379.0
4,0,0.1,0.98,1,904.6,909.5,915.6,921.7,927.1,939.4,945.1,950.6,955.6,958.7,348.2,345.3,344.8,346.2,349.0,349.6,347.4,346.9,348.2,351.6,931.9,379.0
5,0,0.133,0.98,1,904.7,909.5,915.6,921.7,927.1,939.6,945.2,950.6,955.7,958.8,348.2,345.2,344.8,346.2,349.0,349.5,347.4,346.8,348.1,351.6,932.0,378.9
6,0,0.167,0.98,1,905.0,909.8,915.9,922.1,927.4,939.7,945.3,950.8,955.8,959.0,348.2,345.2,344.8,346.2,349.1,349.6,347.5,346.9,348.2,351.7,932.2,378.9
7,0,0.2,0.98,1,905.0,909.9,916.0,922.2,927.5,939.8,945.4,950.9,955.9,959.1,348.1,345.2,344.8,346.3,349.1,349.7,347.5,346.9,348.2,351.6,932.2,378.9
8,0,0.233,0.98,1,905.2,910.0,916.1,922.4,927.7,939.9,945.5,951.0,956.1,959.2,348.2,345.2,344.9,346.3,349.2,349.7,347.5,346.9,348.2,351.7,932.5,378.9
9,0,0.267,0.98,1,905.2,910.1,916.2,922.3,927.7,939.9,945.5,950.9,956.0,959.1,348.2,345.3,344.9,346.3,349.1,349.7,347.5,346.9,348.1,351.5,932.6,378.8
10,0,0.3,0.98,1,905.3,910.1,916.2,922.4,927.8,939.9,945.5,951.0,956.0,959.1,348.3,345.3,344.9,346.3,349.1,349.7,347.5,347.0,348.2,351.7,932.7,378.8
11,0,0.333,0.98,1,905.3,910.1,916.2,922.4,927.7,939.9,945.5,950.9,956.0,959.1,348.2,345.3,344.8,346.2,349.1,349.6,347.5,346.9,348.2,351.6,932.6,378.8
12,0,0.367,0.98,1,905.4,910.2,916.3,922.4,927.7,940.0,945.5,950.9,956.0,959.1,348.1,345.2,344.8,346.2,349.0,349.6,347.4,346.9,348.1,351.5,932.6,378.7
13,0,0.4,0.98,1,905.5,910.3,916.4,922.5,927.8,940.1,945.7,951.1,956.1,959.3,348.0,345.1,344.7,346.1,348.9,349.4,347.3,346.7,347.9,351.3,932.7,378.6
14,0,0.433,0.98,1,905.5,910.3,916.4,922.5,927.8,940.1,945.7,951.1,956.1,959.2,348.0,345.1,344.7,346.1,348.9,349.4,347.2,346.7,347.9,351.3,932.7,378.6
15,0,0.467,0.98,1,905.2,910.0,916.1,922.3,927.7,939.9,945.5,951.0,956.1,959.3,348.1,345.1,344.6,346.0,348.8,349.3,347.1,346.5,347.8,351.2,932.7,378.4
16,0,0.5,0.98,1,905.5,910.3,916.4,922.5,927.8,939.9,945.5,950.9,956.0,959.2,347.7,344.7,344.3,345.7,348.5,349.1,347.0,346.4,347.7,351.1,932.6,378.2
17,0,0.533,0.98,1,905.4,910.3,916.3,922.4,927.7,939.8,945.4,950.9,956.0,959.2,347.5,344.6,344.2,345.6,348.4,348.9,346.8,346.2,347.5,350.9,932.6,378.0
18,0,0.567,0.98,1,905.5,910.4,916.4,922.5,927.8,939.9,945.4,950.9,955.9,959.1,347.2,344.3,343.9,345.3,348.1,348.7,346.6,346.1,347.4,350.8,932.6,377.7
19,0,0.6,0.98,1,905.4,910.2,916.3,922.5,927.8,939.8,945.4,950.9,956.0,959.1,347.1,344.1,343.7,345.1,347.9,348.4,346.2,345.7,347.0,350.5,932.7,377.4
20,0,0.633,0.98,1,905.3,910.1,916.1,922.3,927.6,940.0,945.6,951.0,956.1,959.2,346.8,343.8,343.4,344.7,347.5,348.1,346.0,345.5,346.8,350.3,932.6,377.3
21,0,0.667,0.98,1,905.2,910.0,916.0,922.2,927.5,939.9,945.5,950.9,956.0,959.1,346.7,343.6,343.2,344.6,347.4,348.0,345.9,345.4,346.7,350.2,932.5,377.1
22,0,0.7,0.98,1,905.5,910.3,916.4,922.5,927.8,939.8,945.4,950.8,955.8,958.9,346.4,343.4,343.0,344.4,347.3,347.9,345.8,345.3,346.6,350.1,932.5,376.9
23,0,0.733,0.98,1,905.5,910.3,916.3,922.4,927.7,939.8,945.4,950.8,955.8,958.9,346.3,343.3,342.9,344.3,347.1,347.8,345.7,345.2,346.5,350.0,932.5,376.6
24,0,0.767,0.98,1,905.7,910.5,916.5,922.6,927.9,940.1,945.6,951.0,956.0,959.2,346.3,343.3,342.8,344.2,347.0,347.6,345.5,345.0,346.3,349.8,932.7,376.5
25,0,0.8,0.98,1,906.3,911.0,917.0,923.1,928.4,940.5,946.0,951.4,956.3,959.5,346.6,343.4,342.8,344.2,347.0,347.6,345.6,345.3,346.7,350.3,932.9,376.3
