frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.93,1,1041.2,1045.2,1051.3,1057.6,1063.5,1076.2,1082.4,1088.8,1095.0,1099.4,310.3,306.3,305.1,306.0,308.2,307.5,304.8,303.5,304.5,308.1,1071.2,341.3
2,0,0.033,0.93,1,1041.3,1045.1,1051.1,1057.3,1063.1,1076.9,1083.2,1089.5,1095.6,1099.9,309.9,306.0,304.9,305.8,308.1,307.5,304.7,303.4,304.3,307.9,1071.4,341.5
3,0,0.067,0.93,1,1041.1,1045.1,1051.2,1057.5,1063.3,1077.3,1083.6,1089.9,1096.1,1100.5,309.5,305.6,304.7,305.7,308.1,307.5,304.6,303.3,304.0,307.5,1071.7,341.5
4,0,0.1,0.93,1,1041.5,1045.6,1051.6,1057.9,1063.6,1077.7,1083.9,1090.2,1096.3,1100.7,309.1,305.4,304.5,305.6,308.1,307.5,304.7,303.4,304.1,307.5,1072.0,341.4
5,0,0.133,0.93,1,1041.4,1045.5,1051.6,1057.9,1063.7,1077.6,1083.8,1090.1,1096.2,1100.6,309.0,305.2,304.3,305.5,307.9,307.3,304.4,303.1,303.7,307.1,1072.2,341.2
6,0,0.167,0.93,1,1041.7,1045.8,1051.9,1058.2,1064.0,1077.8,1084.0,1090.2,1096.4,1100.8,309.0,305.2,304.3,305.4,307.7,307.1,304.2,302.8,303.5,306.9,1072.6,341.0
7,0,0.2,0.98,1,1041.8,1045.9,1052.0,1058.4,1064.2,1077.8,1084.0,1090.3,1096.5,1100.9,308.9,305.1,304.2,305.3,307.8,307.1,304.2,302.8,303.4,306.8,1072.7,341.0
8,0,0.233,0.93,1,1041.9,1046.0,1052.2,1058.6,1064.4,1077.9,1084.2,1090.5,1096.7,1101.2,308.6,304.9,304.1,305.3,307.8,307.2,304.3,302.9,303.4,306.8,1072.7,340.9
9,0,0.267,0.93,1,1042.4,1046.5,1052.7,1059.1,1064.9,1078.2,1084.5,1090.9,1097.1,1101.5,308.6,304.8,304.0,305.1,307.6,307.1,304.2,302.8,303.5,306.9,1073.0,340.8
10,0,0.3,0.93,1,1042.6,1046.7,1052.9,1059.2,1065.0,1078.3,1084.6,1091.0,1097.2,1101.6,308.5,304.8,303.9,305.1,307.6,307.1,304.2,302.9,303.5,307.0,1073.0,340.7
11,0,0.333,0.98,1,1042.9,1047.0,1053.2,1059.5,1065.3,1078.5,1084.8,1091.2,1097.4,1101.9,308.5,304.8,304.0,305.1,307.6,307.1,304.3,303.0,303.7,307.1,1073.0,340.7
12,0,0.367,0.98,1,1043.2,1047.4,1053.6,1059.9,1065.7,1078.7,1085.0,1091.4,1097.7,1102.1,308.3,304.6,303.8,305.0,307.6,307.1,304.3,303.0,303.7,307.3,1073.2,340.6
13,0,0.4,0.93,1,1043.2,1047.4,1053.7,1060.1,1065.9,1079.0,1085.4,1091.9,1098.2,1102.6,308.5,304.7,303.8,305.0,307.6,307.2,304.4,303.1,303.9,307.5,1073.4,340.6
14,0,0.433,0.93,1,1043.2,1047.4,1053.6,1060.0,1065.9,1079.2,1085.5,1092.0,1098.3,1102.7,308.5,304.6,303.7,304.9,307.5,307.0,304.3,303.0,303.8,307.5,1073.4,340.6
15,0,0.467,0.93,1,1043.3,1047.4,1053.7,1060.1,1066.0,1079.2,1085.6,1092.2,1098.5,1102.9,308.6,304.7,303.8,305.0,307.6,307.2,304.4,303.1,304.0,307.7,1073.6,340.6
16,0,0.5,0.93,1,1043.7,1047.9,1054.1,1060.5,1066.4,1079.3,1085.7,1092.2,1098.5,1102.9,308.7,304.9,304.0,305.2,307.7,307.3,304.5,303.2,304.0,307.7,1073.8,340.6
17,0,0.533,0.93,1,1043.7,1047.8,1054.1,1060.6,1066.4,1079.6,1085.9,1092.5,1098.8,1103.2,308.7,304.9,304.0,305.2,307.8,307.3,304.5,303.2,304.0,307.6,1074.1,340.8
18,0,0.567,0.93,1,1043.9,1048.0,1054.2,1060.6,1066.5,1079.7,1086.1,1092.6,1098.8,1103.3,309.0,305.1,304.2,305.4,308.0,307.5,304.6,303.3,304.1,307.7,1074.2,341.2
19,0,0.6,0.93,1,1044.0,1048.0,1054.2,1060.5,1066.3,1079.7,1086.0,1092.5,1098.8,1103.3,309.3,305.5,304.6,305.8,308.3,307.8,305.0,303.7,304.5,308.0,1074.1,341.4
20,0,0.633,0.93,1,1043.9,1047.9,1054.1,1060.4,1066.3,1079.5,1085.9,1092.4,1098.8,1103.3,309.6,305.7,304.8,306.0,308.6,308.1,305.2,303.9,304.7,308.3,1074.1,341.6
21,0,0.667,0.93,1,1043.9,1048.0,1054.1,1060.5,1066.3,1079.6,1085.9,1092.5,1098.9,1103.4,309.6,305.7,304.9,306.0,308.6,308.1,305.2,303.9,304.7,308.2,1074.1,341.7
22,0,0.7,0.93,1,1044.1,1048.2,1054.3,1060.6,1066.3,1079.8,1086.1,1092.6,1099.0,1103.5,309.6,305.8,304.9,306.0,308.6,308.1,305.2,303.9,304.7,308.3,1074.2,341.8
23,0,0.733,0.93,1,1044.1,1048.1,1054.2,1060.5,1066.4,1079.7,1086.1,1092.6,1099.0,1103.6,309.7,305.8,304.9,306.1,308.6,308.1,305.2,303.9,304.7,308.2,1074.3,341.8
24,0,0.767,0.93,1,1044.6,1048.6,1054.7,1060.9,1066.7,1079.9,1086.2,1092.8,1099.1,1103.7,309.7,305.8,304.9,306.1,308.6,308.1,305.2,303.9,304.6,308.2,1074.6,341.8
25,0,0.8,0.98,1,1045.0,1049.0,1055.1,1061.4,1067.2,1080.4,1086.7,1093.2,1099.6,1104.2,309.5,305.5,304.6,305.7,308.2,307.7,304.8,303.5,304.2,307.9,1075.1,341.5
26,0,0.833,0.98,1,1045.5,1049.5,1055.6,1061.9,1067.8,1080.8,1087.2,1093.8,1100.2,1104.8,309.4,305.3,304.3,305.4,308.0,307.4,304.5,303.1,303.9,307.6,1075.7,341.3
27,0,0.867,0.98,1,1046.1,1050.1,1056.2,1062.5,1068.3,1081.4,1087.8,1094.4,1100.8,1105.4,309.1,305.1,304.1,305.2,307.8,307.3,304.3,303.0,303.8,307.5,1076.2,341.2
28,0,0.9,0.98,1,1046.4,1050.4,1056.5,1062.8,1068.7,1081.8,1088.2,1094.8,1101.3,1105.9,309.0,304.9,303.9,305.0,307.6,307.1,304.1,302.8,303.5,307.1,1076.7,341.0
29,0,0.933,0.98,1,1047.2,1051.1,1057.2,1063.5,1069.4,1082.4,1088.7,1095.3,1101.8,1106.4,308.9,304.8,303.8,304.9,307.6,307.0,304.0,302.7,303.4,307.0,1077.3,341.0
30,0,0.967,0.98,1,1047.6,1051.6,1057.7,1064.0,1069.9,1083.0,1089.3,1096.0,1102.5,1107.1,308.8,304.7,303.7,304.9,307.5,307.0,304.0,302.6,303.3,306.9,1077.9,341.0
