frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
1,0,0.0,0.98,1,901.6,906.5,912.7,918.9,924.6,935.8,941.7,947.4,953.0,956.9,346.2,342.6,341.8,342.7,344.9,344.8,342.7,342.1,343.2,346.8,930.1,373.9
2,0,0.033,0.98,1,901.6,906.5,912.6,918.7,924.3,936.2,942.0,947.6,953.1,956.9,345.8,342.5,341.7,342.7,344.7,344.7,342.8,342.2,343.3,346.7,930.0,373.6
3,0,0.067,0.98,1,901.7,906.6,912.7,918.8,924.3,936.2,942.0,947.6,953.0,956.8,345.7,342.4,341.6,342.5,344.5,344.4,342.5,341.9,342.9,346.3,930.2,373.5
4,0,0.1,0.98,1,901.9,906.9,913.0,919.1,924.6,936.7,942.3,947.9,953.2,957.0,345.6,342.2,341.5,342.4,344.4,344.3,342.4,341.8,342.8,346.2,930.6,373.1
5,0,0.133,0.98,1,902.2,907.2,913.3,919.4,925.0,936.9,942.6,948.1,953.4,957.1,345.4,342.0,341.2,342.1,344.1,344.1,342.2,341.6,342.7,346.1,930.9,372.8
6,0,0.167,0.98,1,902.3,907.2,913.4,919.6,925.3,937.1,942.8,948.3,953.7,957.4,345.6,342.1,341.1,342.0,344.0,343.9,342.0,341.4,342.5,346.0,931.4,372.6
7,0,0.2,0.98,1,902.3,907.2,913.4,919.6,925.3,937.3,942.9,948.4,953.8,957.5,345.5,341.9,341.0,341.8,343.7,343.6,341.7,341.2,342.3,345.8,931.5,372.2
8,0,0.233,0.98,1,902.4,907.2,913.4,919.6,925.4,937.3,943.0,948.5,953.8,957.5,345.5,341.9,340.9,341.6,343.6,343.5,341.6,341.1,342.2,345.7,931.6,372.2
9,0,0.267,0.98,1,902.4,907.3,913.5,919.8,925.5,937.4,943.0,948.5,953.8,957.5,345.4,341.9,340.9,341.6,343.5,343.4,341.5,340.9,342.0,345.5,931.9,372.0
10,0,0.3,0.98,1,902.3,907.2,913.4,919.6,925.3,937.3,942.9,948.3,953.6,957.3,345.4,341.8,340.9,341.6,343.5,343.3,341.4,340.8,341.9,345.3,931.8,372.0
11,0,0.333,0.98,1,902.1,907.0,913.2,919.4,925.1,937.1,942.8,948.2,953.5,957.3,345.3,341.8,340.8,341.5,343.4,343.3,341.4,340.8,341.8,345.2,931.7,372.0
12,0,0.367,0.98,1,902.0,906.9,913.1,919.2,924.9,937.0,942.6,948.1,953.4,957.2,345.4,341.8,340.8,341.5,343.4,343.2,341.3,340.7,341.8,345.1,931.5,371.9
13,0,0.4,0.98,1,902.0,906.8,913.0,919.2,925.0,936.9,942.6,948.1,953.5,957.2,345.4,341.9,340.8,341.6,343.5,343.3,341.3,340.7,341.8,345.2,931.5,372.0
14,0,0.433,0.98,1,902.0,906.9,913.0,919.2,924.9,936.8,942.5,948.0,953.4,957.2,345.4,341.8,340.8,341.6,343.5,343.3,341.3,340.7,341.8,345.2,931.4,372.0
15,0,0.467,0.98,1,902.0,906.9,913.0,919.3,925.0,936.9,942.5,948.1,953.5,957.3,345.4,341.8,340.8,341.6,343.5,343.3,341.3,340.7,341.8,345.2,931.4,372.1
16,0,0.5,0.98,1,902.1,906.9,913.1,919.3,925.0,936.8,942.5,948.1,953.5,957.3,345.4,341.8,340.8,341.6,343.5,343.3,341.4,340.7,341.8,345.2,931.3,372.1
17,0,0.533,0.98,1,902.3,907.2,913.3,919.5,925.2,937.0,942.7,948.2,953.6,957.4,345.3,341.8,340.8,341.6,343.6,343.4,341.4,340.8,341.8,345.3,931.5,372.1
18,0,0.567,0.98,1,902.4,907.3,913.4,919.6,925.3,937.2,942.8,948.3,953.7,957.5,345.4,341.9,340.9,341.7,343.6,343.4,341.4,340.8,341.8,345.2,931.8,372.1
19,0,0.6,0.98,1,902.5,907.4,913.6,919.7,925.4,937.3,942.9,948.4,953.8,957.6,345.3,341.9,340.9,341.7,343.6,343.4,341.4,340.8,341.8,345.2,931.8,372.1
20,0,0.633,0.98,1,902.7,907.6,913.6,919.8,925.4,937.4,943.1,948.6,954.0,957.7,345.3,341.8,340.8,341.6,343.5,343.3,341.3,340.7,341.8,345.2,931.8,372.1
21,0,0.667,0.98,1,902.8,907.7,913.8,920.0,925.6,937.5,943.2,948.7,954.1,957.8,345.2,341.7,340.7,341.5,343.4,343.2,341.3,340.6,341.7,345.1,932.0,372.0
22,0,0.7,0.98,1,902.9,907.7,913.8,920.0,925.7,937.6,943.3,948.8,954.2,958.0,345.3,341.8,340.8,341.5,343.5,343.2,341.3,340.6,341.7,345.1,932.2,372.0
23,0,0.733,0.98,1,902.9,907.7,913.8,920.0,925.7,937.7,943.3,948.9,954.3,958.1,345.3,341.8,340.8,341.5,343.4,343.2,341.2,340.6,341.6,345.0,932.3,372.0
24,0,0.767,0.98,1,902.9,907.8,913.9,920.1,925.8,937.8,943.5,949.0,954.4,958.1,345.4,341.8,340.8,341.5,343.4,343.1,341.1,340.4,341.5,344.9,932.5,371.9
25,0,0.8,0.98,1,903.2,908.1,914.3,920.5,926.1,938.0,943.6,949.1,954.5,958.3,345.1,341.6,340.7,341.4,343.3,343.0,341.1,340.4,341.4,344.9,932.7,371.8
26,0,0.833,0.98,1,903.2,908.1,914.3,920.5,926.1,938.0,943.6,949.1,954.5,958.3,345.1,341.6,340.7,341.4,343.3,343.0,341.0,340.4,341.4,344.9,932.7,371.8
27,0,0.867,0.98,1,903.2,908.1,914.3,920.5,926.1,938.1,943.7,949.2,954.6,958.4,345.2,341.6,340.7,341.4,343.3,343.0,341.0,340.3,341.4,344.8,932.9,371.8
28,0,0.9,0.98,1,903.2,908.2,914.4,920.6,926.2,938.2,943.8,949.3,954.7,958.5,345.1,341.6,340.7,341.4,343.3,343.0,341.0,340.3,341.3,344.7,933.0,371.8
29,0,0.933,0.98,1,903.4,908.3,914.4,920.6,926.3,938.2,943.8,949.3,954.7,958.5,345.5,342.0,341.0,341.7,343.6,343.2,341.2,340.5,341.5,344.9,933.1,372.0
30,0,0.967,0.98,1,903.8,908.7,914.8,921.0,926.7,938.7,944.3,949.7,955.0,958.8,345.9,342.3,341.2,342.0,343.8,343.6,341.6,341.0,342.0,345.4,933.3,372.1
31,0,1.0,0.93,1,904.5,909.2,915.3,921.5,927.1,939.0,944.6,949.9,955.2,959.0,345.9,342.3,341.2,342.0,343.9,343.6,341.7,341.1,342.2,345.6,933.4,372.2
32,0,1.033,0.93,1,904.7,909.5,915.5,921.7,927.3,939.2,944.7,950.0,955.3,959.1,345.8,342.2,341.2,342.0,343.9,343.7,341.8,341.2,342.3,345.7,933.4,372.3
33,0,1.067,0.93,1,904.8,909.5,915.6,921.7,927.4,939.4,944.8,950.1,955.3,959.1,345.9,342.3,341.2,342.0,343.9,343.7,341.8,341.3,342.4,345.8,933.6,372.2
34,0,1.1,0.93,1,904.9,909.6,915.7,921.8,927.4,939.4,944.9,950.2,955.4,959.2,345.9,342.3,341.3,342.1,344.0,343.8,341.9,341.3,342.4,345.8,933.6,372.3
35,0,1.133,0.98,1,904.8,909.7,915.8,921.9,927.6,939.5,945.0,950.4,955.6,959.4,345.7,342.1,341.2,341.9,343.9,343.7,341.8,341.2,342.3,345.7,933.7,372.3
36,0,1.167,0.98,1,905.0,909.9,916.0,922.1,927.7,939.6,945.1,950.4,955.7,959.4,345.4,341.9,340.9,341.8,343.7,343.6,341.7,341.1,342.2,345.6,933.7,372.2
37,0,1.2,0.98,1,905.0,909.8,915.9,922.1,927.7,939.5,945.1,950.4,955.7,959.4,345.6,341.9,340.9,341.7,343.7,343.5,341.6,341.0,342.1,345.6,933.8,372.2
38,0,1.233,0.98,1,905.0,909.8,915.9,922.1,927.7,939.5,945.0,950.4,955.7,959.4,345.6,342.0,341.0,341.8,343.7,343.5,341.6,341.0,342.1,345.5,933.8,372.2
39,0,1.267,0.98,1,904.8,909.6,915.8,922.0,927.7,939.4,945.0,950.4,955.7,959.5,345.4,341.8,340.8,341.6,343.5,343.4,341.4,340.8,341.9,345.3,933.8,372.1
40,0,1.3,0.98,1,904.7,909.5,915.6,921.9,927.6,939.3,944.8,950.3,955.6,959.4,345.4,341.8,340.8,341.5,343.5,343.3,341.3,340.7,341.7,345.2,933.8,372.0
41,0,1.333,0.98,1,904.8,909.6,915.7,922.0,927.7,939.4,945.0,950.5,955.8,959.6,345.3,341.7,340.7,341.4,343.3,343.2,341.2,340.6,341.7,345.1,933.8,372.0
42,0,1.367,0.98,1,904.8,909.6,915.8,922.0,927.7,939.5,945.2,950.6,956.0,959.8,345.3,341.6,340.6,341.4,343.3,343.1,341.1,340.5,341.5,345.0,933.9,372.0
43,0,1.4,0.98,1,904.9,909.7,915.8,922.1,927.9,939.6,945.2,950.7,956.1,959.9,345.3,341.7,340.6,341.4,343.3,343.1,341.1,340.5,341.5,345.0,934.1,372.0
44,0,1.433,0.98,1,904.9,909.7,915.9,922.1,927.9,939.7,945.3,950.8,956.2,960.0,345.3,341.7,340.7,341.4,343.4,343.2,341.1,340.5,341.6,345.1,934.1,372.0
45,0,1.467,0.98,1,904.9,909.6,915.8,922.1,927.9,939.7,945.4,950.8,956.2,960.0,345.4,341.7,340.7,341.5,343.4,343.2,341.2,340.5,341.6,345.1,934.1,372.1
46,0,1.5,0.98,1,904.9,909.7,915.9,922.2,927.9,939.8,945.4,950.9,956.3,960.0,345.3,341.7,340.7,341.5,343.4,343.2,341.2,340.5,341.6,345.0,934.1,372.2
47,0,1.533,0.98,1,905.0,909.8,916.0,922.2,928.0,939.8,945.4,950.9,956.2,960.0,345.4,341.8,340.8,341.6,343.6,343.3,341.3,340.6,341.6,345.0,934.2,372.2
48,0,1.567,0.98,1,905.0,909.9,916.0,922.2,927.9,939.8,945.4,950.8,956.2,960.0,345.4,341.8,340.9,341.7,343.6,343.4,341.3,340.7,341.7,345.1,934.2,372.3
49,0,1.6,0.98,1,904.9,909.7,915.9,922.2,928.0,939.8,945.4,950.9,956.2,960.0,345.8,342.2,341.1,341.9,343.8,343.6,341.5,340.8,341.8,345.3,934.4,372.4
50,0,1.633,0.98,1,904.9,909.7,915.9,922.2,928.0,939.8,945.4,950.9,956.2,960.0,345.9,342.2,341.2,341.9,343.9,343.6,341.5,340.8,341.8,345.3,934.4,372.4
51,0,1.667,0.98,1,904.9,909.7,915.9,922.2,928.0,939.9,945.4,950.9,956.2,960.0,345.9,342.2,341.2,342.0,343.9,343.6,341.6,340.9,341.9,345.3,934.4,372.5
52,0,1.7,0.98,1,904.9,909.7,915.9,922.2,927.9,939.8,945.4,950.8,956.2,959.9,345.9,342.3,341.3,342.1,344.1,343.8,341.8,341.0,342.0,345.4,934.4,372.7
53,0,1.733,0.98,1,905.0,909.8,916.0,922.3,928.0,939.9,945.5,950.9,956.2,960.0,346.0,342.4,341.4,342.2,344.2,343.9,341.8,341.1,342.0,345.4,934.5,372.7
54,0,1.767,0.98,1,905.0,909.9,916.1,922.4,928.2,940.1,945.7,951.1,956.5,960.3,346.1,342.4,341.5,342.3,344.2,344.0,341.9,341.2,342.2,345.6,934.6,372.7
55,0,1.8,0.98,1,905.2,910.1,916.3,922.5,928.3,940.1,945.7,951.2,956.5,960.3,346.1,342.5,341.6,342.4,344.4,344.1,342.0,341.3,342.3,345.7,934.6,372.8
56,0,1.833,0.98,1,905.2,910.1,916.3,922.5,928.3,940.2,945.8,951.2,956.6,960.4,346.0,342.4,341.5,342.3,344.3,344.0,342.0,341.3,342.3,345.7,934.6,372.8
57,0,1.867,0.98,1,905.4,910.2,916.4,922.7,928.4,940.2,945.8,951.2,956.6,960.4,346.0,342.4,341.5,342.4,344.3,344.1,342.0,341.3,342.3,345.7,934.5,372.9
58,0,1.9,0.98,1,905.5,910.3,916.5,922.7,928.4,940.3,945.9,951.3,956.7,960.4,345.9,342.3,341.4,342.3,344.2,344.0,342.0,341.3,342.4,345.8,934.4,372.9
59,0,1.933,0.98,1,905.5,910.3,916.5,922.7,928.4,940.3,945.9,951.3,956.6,960.4,345.9,342.3,341.4,342.3,344.2,344.0,342.0,341.4,342.4,345.8,934.4,372.8
60,0,1.967,0.98,1,905.6,910.5,916.7,922.9,928.5,940.4,946.0,951.3,956.7,960.5,345.8,342.3,341.4,342.3,344.2,344.0,342.0,341.3,342.3,345.6,934.6,372.8
61,0,2.0,0.98,1,906.0,911.0,917.1,923.2,928.8,940.7,946.1,951.4,956.7,960.5,345.6,342.2,341.4,342.2,344.2,344.0,342.0,341.4,342.3,345.6,934.9,372.7
62,0,2.033,0.98,1,906.0,911.0,917.1,923.2,928.8,940.7,946.1,951.4,956.7,960.5,345.6,342.2,341.4,342.2,344.2,344.0,342.0,341.4,342.3,345.6,935.0,372.7
63,0,2.067,0.98,1,906.2,911.1,917.2,923.3,928.8,940.7,946.2,951.5,956.7,960.5,345.7,342.3,341.4,342.3,344.2,344.0,342.0,341.3,342.3,345.6,935.1,372.7
64,0,2.1,0.98,1,906.1,910.9,917.0,923.2,928.8,940.7,946.2,951.6,956.8,960.6,346.0,342.4,341.5,342.3,344.3,344.0,342.0,341.3,342.3,345.7,935.2,372.8
65,0,2.133,0.98,1,906.1,911.0,917.1,923.3,928.9,940.8,946.3,951.6,956.8,960.5,346.0,342.5,341.5,342.4,344.3,344.0,342.0,341.3,342.3,345.6,935.3,372.8
66,0,2.167,0.98,1,906.2,911.1,917.2,923.3,929.0,940.9,946.4,951.7,957.0,960.8,346.0,342.5,341.6,342.4,344.3,344.0,341.9,341.2,342.2,345.5,935.5,372.7
