,0
0,-0.9451179413111913
1,-0.9451179413111913
2,-0.7977678227140413
3,-0.7486511165149914
4,-0.20836734832474357
5,-0.3557174669220331
6,-0.5276259386189872
7,-0.5521842917185122
8,-0.9942346475102413
9,-0.8960012351121414
10,-1.0924680599084808
11,-0.6258593510170872
12,-0.5521842917183727
13,-0.6258593510173664
14,-0.6504177041166123
15,-0.5521842917183727
16,-0.45395087932027267
17,-0.25748405452393314
18,-0.3311591138225081
19,-0.6749760572161372
20,-0.6749760572161372
21,-0.47850923241979765
22,-0.9451179413111913
23,-0.8714428820126163
24,-0.6749760572161372
25,-0.5767426448180373
26,-0.8223261758135664
27,-1.2152598254062454
28,-1.0924680599084808
29,-1.0679097068089558
30,-1.2643765316052955
31,-1.0187930006097663
32,-1.1415847661076703
33,-0.9942346475102413
34,-1.264376531605435
35,-0.9942346475102413
36,-1.0433513537094308
37,-0.9205595882116663
38,-1.2152598254062454
39,-0.8468845289128122
40,-0.6013009979175622
41,-0.47850923241993726
42,-0.3802758200216977
43,-0.8223261758135664
44,-0.8468845289130913
45,-0.8223261758134267
46,-0.6749760572161372
47,-0.7486511165147122
48,-1.0924680599084808
49,-0.8960012351121414
50,-0.6995344103156622
51,-0.18380899522521857
52,-0.47850923241979765
53,-0.3557174669221727
54,-0.20836734832460396
55,-0.5276259386189872
56,-0.7240927634153268
57,-0.8960012351120017
58,-0.7732094696143768
59,-0.7732094696143768
60,-1.0433513537094308
61,-0.3557174669223123
62,-0.8714428820126163
63,-0.7977678227139018
64,-0.8223261758134267
65,-1.411726650202585
66,-2.3449440679853724
67,-2.2958273617863223
68,-2.639644305179951
69,-2.1730355962884182
70,-2.1730355962885577
71,-2.025685477691268
72,-1.8292186528949286
73,-1.8783353590939786
74,-2.2712690086867973
75,-2.492294186582662
76,-2.6396443051798117
77,-2.271269008686658
78,-2.123918890089368
79,-1.5345184157003495
80,-1.8537770059944536
81,-2.0502438307909325
82,-1.3871682971030599
83,-1.3871682971031996
84,-0.7977678227139018
85,-0.6504177041166123
86,-0.3802758200218373
87,-0.6013009979174226
88,-0.08557558282697901
89,-0.6504177041168914
90,-0.7486511165148518
91,-0.45395087932013306
92,-0.2820424076234581
93,-0.30660076072298315
94,0.1600079481685501
95,-0.011900523528404027
96,0.061774535770170946
97,0.28279971366617507
98,0.13544959506874593
99,0.08633288886983553
100,0.30735806676570004
101,0.38103312606427503
102,0.35647477296475005
103,0.4792665384625146
104,0.28279971366617507
105,0.7739667756570937
106,0.7985251287566187
107,0.7248500694579041
108,0.4792665384625146
109,0.2582413605665105
110,-0.110133935926504
111,0.11089124196950013
112,-0.25748405452407275
113,0.06177453577003135
114,-0.4785092324196581
115,-1.5345184157003495
116,-1.9028937121935037
117,-1.3134932378043453
118,-1.28893488470496
119,-0.8223261758134267
120,-0.7486511165148518
121,-0.5276259386188477
122,-0.47850923241993726
123,-0.6013009979175622
124,-0.5767426448180373
125,-0.3802758200214185
126,-0.8468845289129517
127,-0.7732094696143768
128,-0.5521842917183727
129,-0.8223261758134267
130,-0.8714428820124768
131,-0.7732094696143768
132,-0.8714428820126163
133,-0.7240927634153268
134,-0.6749760572161372
135,-0.9696762944108559
136,-0.6258593510169477
137,-0.38027582002155813
138,-0.4293925262206081
139,-0.45395087932013306
140,-0.47850923241979765
141,-0.8223261758135664
142,-0.6504177041166123
143,-0.7977678227139018
144,-0.7240927634153268
145,-0.6504177041166123
146,-0.3802758200218373
147,-0.23292570142454774
148,-0.23292570142426855
149,-0.2574840545237935
150,-0.47850923241979765
151,-0.23292570142440816
152,-0.15925064212569356
153,-0.3311591138225081
154,-0.4048341731210831
155,-0.45395087932027267
156,-0.1346922890261686
157,-0.1101339359266436
158,-0.2820424076234581
159,-0.2820424076234581
160,-0.30660076072298315
161,-0.45395087932013306
162,-0.5276259386188477
163,-0.45395087932027267
164,-0.552184291718233
165,-0.15925064212555398
166,-0.6504177041166123
167,-0.7240927634153268
168,-0.7977678227139018
169,-0.8960012351121414
170,-0.6258593510172268
171,-0.7977678227137621
172,-0.8714428820126163
173,-0.8960012351120017
174,-0.9696762944108559
175,-0.7977678227140413
176,-0.47850923241979765
177,-0.5521842917183727
178,-0.7977678227137621
179,-0.7732094696145164
180,-1.2152598254062454
181,-0.9696762944108559
182,-0.8960012351121414
183,-0.7732094696142372
184,-0.8223261758134267
185,-0.7240927634153268
186,-0.5030675855193226
187,-0.23292570142440816
188,-0.3557174669218935
189,-0.23292570142426855
190,-0.4785092324196581
191,-0.4048341731210831
192,-0.5521842917183727
193,-0.3802758200216977
194,-0.3802758200216977
195,-0.7240927634151871
196,-0.8714428820126163
197,-1.0433513537094308
198,-1.0433513537092913
199,-0.8468845289129517
200,-1.0433513537094308
201,-0.7977678227139018
202,-0.6013009979175622
203,-0.5276259386188477
204,-0.47850923241993726
205,-0.4293925262207477
206,-0.3311591138225081
207,-0.3557174669220331
208,-0.5767426448180373
209,-0.5767426448180373
210,-0.5030675855193226
211,-0.47850923241979765
212,-0.4048341731212227
213,-0.3311591138225081
214,-0.3557174669220331
215,-0.30660076072298315
216,0.1845663012677959
217,0.13544959506888551
218,0.13544959506888551
219,0.43014983226332504
220,0.13544959506874593
221,0.061774535770170946
222,0.08633288886969594
223,0.2091246543674605
224,-0.110133935926504
225,-0.15925064212583318
226,0.35647477296488966
227,-0.45395087932027267
228,-0.8960012351120017
229,-0.8714428820126163
230,-0.33115911382264773
231,0.38103312606427503
232,0.43014983226332504
233,0.7002917163585187
234,0.7248500694579041
235,0.7002917163585187
236,0.6266166570598042
237,1.0686670128515332
238,1.0441086597520082
239,0.9949919535529582
240,0.9704336004535729
241,0.6266166570598042
242,0.5774999508607542
243,0.7985251287564791
244,0.9213168942543832
245,0.4792665384625146
246,0.5529415977610895
247,0.6757333632588541
248,0.7985251287566187
249,1.0441086597521478
250,0.7494084225574291
251,0.9704336004535729
252,1.412483956245302
253,1.6580674872409706
254,1.805417605837981
255,1.633509134141306
256,1.1177837190505833
257,0.9704336004534333
258,0.8967585411548583
259,1.0441086597520082
260,0.7985251287566187
261,0.9949919535532374
262,0.9458752473540478
263,0.8967585411548583
264,0.7248500694580438
265,0.9704336004535729
266,1.2160171314489623
267,1.510717368643402
268,1.4370423093449665
269,1.5352757217430664
270,1.3388088969468666
271,0.8722001880551937
272,0.6757333632589937
273,0.35647477296475005
274,0.5529415977610895
275,0.5038248915620396
276,0.5038248915621792
277,0.5038248915620396
278,0.8967585411547186
279,0.9704336004535729
280,1.1423420721503874
281,1.0686670128516729
282,1.2160171314488228
283,1.1669004252499124
284,0.5529415977612292
285,0.43014983226346465
286,0.2091246543676001
287,0.5283832446615646
288,0.4792665384626542
289,0.5038248915620396
290,0.4055914791639396
291,0.5038248915620396
292,0.5529415977610895
293,0.5529415977612292
294,0.7985251287567583
295,0.8476418349558082
296,0.6511750101593291
297,0.7985251287567583
298,0.6020583039602792
299,0.6266166570598042
300,0.2091246543673209
301,0.037216182670645956
302,0.2336830074669855
303,0.2336830074669855
304,0.4055914791639396
305,0.43014983226346465
306,0.6266166570598042
307,0.4055914791638
308,0.6266166570598042
309,0.5774999508607542
310,0.6757333632588541
311,0.5529415977612292
312,0.7739667756569542
313,0.8967585411547186
314,0.7494084225575687
315,1.0441086597521478
316,0.8722001880553333
317,0.9458752473540478
318,1.1669004252499124
319,1.387925603145777
320,1.265133837648152
321,0.9949919535530979
322,1.0195503066526228
323,1.1914587783494375
324,1.1423420721502477
325,1.0195503066526228
326,1.1177837190507227
327,0.8476418349558082
328,0.6511750101593291
329,0.5774999508606146
330,0.6511750101593291
331,0.7002917163583792
332,0.8476418349558082
333,0.8722001880553333
334,0.7985251287567583
335,1.1177837190507227
336,0.8967585411547186
337,0.9213168942543832
338,1.0195503066526228
339,1.0686670128518123
340,0.8476418349558082
341,0.7739667756570937
342,0.7248500694580438
343,1.0932253659510582
344,1.2896921907476768
345,1.4124839562454414
346,1.9036510182363602
347,1.4370423093448268
348,1.363367250046252
349,1.1177837190507227
350,1.2651338376480123
351,0.9458752473539083
352,0.9704336004535729
353,1.0441086597521478
354,1.216017131449102
355,1.1914587783492978
356,1.1669004252499124
357,0.9949919535532374
358,0.9458752473541875
359,0.9949919535528187
360,1.1914587783494375
361,1.265133837648152
362,1.363367250046531
363,1.3142505438472019
364,1.363367250046252
365,1.6089507810417811
