,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.399999999999977,-23.899999999999977,-17.199999999999932,-10.5,-4.599999999999909,7.300000000000068,13.100000000000023,18.700000000000045,23.90000000000009,27.100000000000023,-31.80000000000001,-35.69999999999999,-36.60000000000002,-35.400000000000034,-32.80000000000001,-32.5,-34.5,-34.900000000000034,-33.400000000000034,-29.30000000000001,936.8,323.8
1,2,0,0.033,0.98,1,-28.699999999999932,-23.199999999999932,-16.699999999999932,-10.299999999999955,-4.599999999999909,8.0,13.600000000000023,18.90000000000009,23.800000000000068,26.90000000000009,-32.5,-36.10000000000002,-36.900000000000034,-35.69999999999999,-33.30000000000001,-32.900000000000034,-34.69999999999999,-35.10000000000002,-33.60000000000002,-29.80000000000001,936.8,324.3
2,3,0,0.067,0.98,1,-28.5,-23.09999999999991,-16.59999999999991,-10.199999999999932,-4.5,8.100000000000023,13.700000000000045,19.0,23.90000000000009,26.90000000000009,-32.5,-36.099999999999966,-36.89999999999998,-35.599999999999966,-33.19999999999999,-32.80000000000001,-34.599999999999966,-34.89999999999998,-33.39999999999998,-29.5,936.8,324.2
3,4,0,0.1,0.98,1,-28.799999999999955,-23.399999999999977,-16.899999999999977,-10.5,-4.7999999999999545,7.900000000000091,13.5,18.700000000000045,23.600000000000023,26.700000000000045,-32.39999999999998,-36.0,-36.89999999999998,-35.69999999999999,-33.299999999999955,-32.89999999999998,-34.69999999999999,-35.0,-33.39999999999998,-29.399999999999977,936.8,324.4
4,5,0,0.133,0.98,1,-28.399999999999977,-23.0,-16.5,-10.100000000000023,-4.5,8.200000000000045,13.799999999999955,19.100000000000023,24.0,27.0,-32.69999999999999,-36.30000000000001,-37.099999999999966,-35.89999999999998,-33.39999999999998,-32.89999999999998,-34.69999999999999,-34.89999999999998,-33.30000000000001,-29.30000000000001,936.5,324.7
5,6,0,0.167,0.98,1,-28.5,-23.0,-16.5,-10.200000000000045,-4.5,8.399999999999977,14.0,19.299999999999955,24.200000000000045,27.299999999999955,-32.60000000000002,-36.19999999999999,-37.0,-35.69999999999999,-33.39999999999998,-32.89999999999998,-34.69999999999999,-34.89999999999998,-33.39999999999998,-29.399999999999977,936.0,325.0
6,7,0,0.2,0.98,1,-28.59999999999991,-23.199999999999932,-16.699999999999932,-10.299999999999955,-4.599999999999909,8.200000000000045,13.800000000000068,19.100000000000023,24.0,27.200000000000045,-32.30000000000001,-36.0,-36.80000000000001,-35.599999999999966,-33.19999999999999,-32.80000000000001,-34.599999999999966,-34.89999999999998,-33.30000000000001,-29.30000000000001,935.8,325.7
7,8,0,0.233,0.98,1,-29.0,-23.600000000000023,-17.100000000000023,-10.5,-4.800000000000068,7.7999999999999545,13.5,18.899999999999977,23.899999999999977,27.100000000000023,-32.0,-35.80000000000001,-36.69999999999999,-35.5,-33.19999999999999,-32.80000000000001,-34.69999999999999,-34.89999999999998,-33.30000000000001,-29.19999999999999,935.6,326.5
8,9,0,0.267,0.98,1,-29.0,-23.600000000000023,-17.0,-10.5,-4.699999999999932,7.899999999999977,13.600000000000023,19.0,24.0,27.200000000000045,-31.900000000000034,-35.700000000000045,-36.5,-35.400000000000034,-33.10000000000002,-32.700000000000045,-34.5,-34.700000000000045,-33.10000000000002,-28.900000000000034,935.4,327.1
9,10,0,0.3,0.98,1,-29.100000000000023,-23.700000000000045,-17.0,-10.5,-4.7000000000000455,7.899999999999977,13.699999999999932,19.0,24.09999999999991,27.299999999999955,-31.899999999999977,-35.69999999999999,-36.5,-35.39999999999998,-33.0,-32.69999999999999,-34.5,-34.69999999999999,-33.0,-28.799999999999955,935.2,327.9
10,11,0,0.333,0.98,1,-29.100000000000023,-23.700000000000045,-17.100000000000023,-10.600000000000023,-4.899999999999977,7.7999999999999545,13.5,18.799999999999955,23.799999999999955,27.0,-31.700000000000045,-35.5,-36.30000000000001,-35.200000000000045,-32.900000000000034,-32.60000000000002,-34.5,-34.700000000000045,-33.0,-28.80000000000001,935.1,328.1
11,12,0,0.367,0.98,1,-30.399999999999977,-24.899999999999977,-18.200000000000045,-11.5,-5.600000000000023,7.0,12.600000000000023,17.899999999999977,22.899999999999977,25.799999999999955,-30.900000000000034,-34.80000000000001,-35.900000000000034,-34.80000000000001,-32.400000000000034,-32.10000000000002,-34.0,-34.19999999999999,-32.60000000000002,-28.5,935.6,328.3
12,13,0,0.4,0.98,1,-29.700000000000045,-24.300000000000068,-17.600000000000023,-11.100000000000023,-5.300000000000068,7.399999999999977,13.0,18.199999999999932,23.199999999999932,26.399999999999977,-31.0,-34.900000000000034,-35.900000000000034,-34.900000000000034,-32.700000000000045,-32.5,-34.30000000000001,-34.60000000000002,-33.0,-28.80000000000001,934.7,328.1
13,14,0,0.433,0.98,1,-29.600000000000023,-24.299999999999955,-17.699999999999932,-11.199999999999932,-5.399999999999977,7.399999999999977,13.0,18.300000000000068,23.300000000000068,26.5,-30.899999999999977,-34.799999999999955,-35.799999999999955,-34.799999999999955,-32.69999999999999,-32.5,-34.39999999999998,-34.599999999999966,-32.89999999999998,-28.69999999999999,934.4,327.9
14,15,0,0.467,0.98,1,-30.600000000000023,-25.100000000000023,-18.399999999999977,-11.899999999999977,-6.0,6.7999999999999545,12.200000000000045,17.399999999999977,22.399999999999977,25.399999999999977,-31.0,-34.80000000000001,-35.80000000000001,-34.80000000000001,-32.5,-32.30000000000001,-34.099999999999966,-34.5,-33.0,-29.0,935.0,327.7
