,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.299999999999955,-25.100000000000136,-19.200000000000045,-13.0,-7.400000000000091,5.7000000000000455,12.200000000000045,19.0,25.59999999999991,30.299999999999955,-31.900000000000006,-36.0,-37.099999999999994,-36.19999999999999,-33.69999999999999,-34.099999999999994,-36.79999999999998,-37.79999999999998,-36.79999999999998,-33.099999999999994,1084.7,250.1
1,2,0,0.033,0.98,1,-29.200000000000045,-25.100000000000136,-19.200000000000045,-13.200000000000045,-7.600000000000136,5.599999999999909,12.099999999999909,18.799999999999955,25.399999999999864,30.199999999999818,-32.099999999999994,-36.19999999999999,-37.29999999999998,-36.29999999999998,-33.79999999999998,-34.29999999999998,-37.0,-38.099999999999994,-37.099999999999994,-33.5,1083.4,250.7
2,3,0,0.067,0.98,1,-29.0,-25.100000000000136,-19.40000000000009,-13.400000000000091,-7.900000000000091,5.5,12.099999999999909,18.799999999999955,25.399999999999864,30.200000000000045,-31.80000000000001,-35.80000000000001,-37.0,-36.20000000000002,-33.70000000000002,-34.400000000000006,-37.099999999999994,-38.099999999999994,-37.099999999999994,-33.400000000000006,1082.2,250.9
3,4,0,0.1,0.98,1,-28.40000000000009,-24.5,-18.800000000000182,-12.900000000000091,-7.5,5.199999999999818,11.899999999999864,18.799999999999955,25.59999999999991,30.799999999999955,-31.30000000000001,-35.19999999999999,-36.30000000000001,-35.400000000000006,-33.0,-33.80000000000001,-36.599999999999994,-37.69999999999999,-36.69999999999999,-33.19999999999999,1080.4,251.0
4,5,0,0.133,0.98,1,-27.200000000000045,-23.40000000000009,-17.90000000000009,-12.100000000000136,-6.900000000000091,5.7000000000000455,12.399999999999864,19.299999999999955,26.09999999999991,31.5,-31.599999999999994,-35.39999999999998,-36.29999999999998,-35.39999999999998,-33.099999999999994,-33.69999999999999,-36.5,-37.599999999999994,-36.5,-32.79999999999998,1078.7,251.2
5,6,0,0.167,0.98,1,-27.0,-23.200000000000045,-17.799999999999955,-12.100000000000136,-6.900000000000091,5.7000000000000455,12.299999999999955,19.200000000000045,26.0,31.399999999999864,-32.0,-35.70000000000002,-36.5,-35.5,-33.20000000000002,-33.80000000000001,-36.70000000000002,-37.70000000000002,-36.70000000000002,-33.10000000000002,1077.7,251.3
6,7,0,0.2,0.98,1,-27.0,-23.299999999999955,-17.799999999999955,-12.099999999999909,-7.0,5.7000000000000455,12.400000000000091,19.300000000000182,26.200000000000045,31.600000000000136,-32.19999999999999,-35.900000000000006,-36.599999999999994,-35.599999999999994,-33.30000000000001,-33.900000000000006,-36.80000000000001,-37.900000000000006,-36.900000000000006,-33.400000000000006,1076.6,251.5
7,8,0,0.233,0.98,1,-27.09999999999991,-23.299999999999955,-17.799999999999955,-12.099999999999909,-6.900000000000091,5.5,12.200000000000045,19.200000000000045,26.200000000000045,31.700000000000045,-32.099999999999994,-35.79999999999998,-36.5,-35.599999999999994,-33.19999999999999,-33.900000000000006,-36.79999999999998,-37.900000000000006,-36.900000000000006,-33.29999999999998,1075.5,251.6
8,9,0,0.267,0.98,1,-27.0,-23.299999999999955,-17.899999999999864,-12.199999999999818,-7.0,5.400000000000091,12.100000000000136,19.100000000000136,26.100000000000136,31.600000000000136,-32.099999999999994,-35.79999999999998,-36.5,-35.5,-33.19999999999999,-33.79999999999998,-36.79999999999998,-38.0,-37.0,-33.5,1074.6,251.7
9,10,0,0.3,0.98,1,-27.100000000000136,-23.40000000000009,-18.0,-12.300000000000182,-7.2000000000000455,5.2999999999999545,11.899999999999864,18.899999999999864,25.799999999999955,31.399999999999864,-32.0,-35.70000000000002,-36.400000000000006,-35.400000000000006,-33.10000000000002,-33.80000000000001,-36.80000000000001,-38.0,-37.10000000000002,-33.60000000000002,1073.9,251.8
