,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-25.0,-20.5,-14.5,-8.799999999999955,-3.5,8.5,14.799999999999955,21.200000000000045,27.200000000000045,31.299999999999955,-33.5,-36.30000000000001,-36.400000000000034,-34.5,-31.400000000000034,-30.5,-32.400000000000034,-32.900000000000034,-31.600000000000023,-28.0,955.5,352.6
1,2,0,0.033,0.98,1,-24.699999999999932,-20.199999999999932,-14.299999999999955,-8.600000000000023,-3.5,8.800000000000068,15.100000000000023,21.399999999999977,27.399999999999977,31.399999999999977,-33.80000000000001,-36.5,-36.60000000000002,-34.69999999999999,-31.600000000000023,-30.600000000000023,-32.39999999999998,-32.80000000000001,-31.5,-27.80000000000001,955.4,352.0
2,3,0,0.067,0.98,1,-24.800000000000068,-20.300000000000068,-14.399999999999977,-8.700000000000045,-3.5,8.699999999999932,15.100000000000023,21.399999999999977,27.5,31.5,-34.0,-36.69999999999999,-36.69999999999999,-34.80000000000001,-31.69999999999999,-30.600000000000023,-32.400000000000034,-32.900000000000034,-31.600000000000023,-28.0,955.6,351.3
3,4,0,0.1,0.98,1,-24.699999999999932,-20.199999999999932,-14.199999999999932,-8.5,-3.2999999999999545,8.700000000000045,15.100000000000023,21.5,27.5,31.600000000000023,-33.799999999999955,-36.599999999999966,-36.599999999999966,-34.599999999999966,-31.5,-30.5,-32.299999999999955,-32.799999999999955,-31.5,-27.899999999999977,955.9,350.4
4,5,0,0.133,0.98,1,-24.799999999999955,-20.200000000000045,-14.399999999999977,-8.600000000000023,-3.3999999999999773,8.700000000000045,15.0,21.299999999999955,27.299999999999955,31.399999999999977,-33.69999999999999,-36.5,-36.5,-34.69999999999999,-31.599999999999966,-30.69999999999999,-32.5,-32.89999999999998,-31.599999999999966,-28.0,956.5,349.4
5,6,0,0.167,0.98,1,-25.299999999999955,-20.700000000000045,-14.799999999999955,-9.0,-3.7999999999999545,8.5,14.799999999999955,21.100000000000023,27.0,31.0,-33.5,-36.400000000000034,-36.5,-34.69999999999999,-31.80000000000001,-30.80000000000001,-32.60000000000002,-33.10000000000002,-31.80000000000001,-28.19999999999999,957.5,348.8
6,7,0,0.2,0.98,1,-25.600000000000023,-21.100000000000023,-15.200000000000045,-9.300000000000068,-4.0,8.399999999999977,14.799999999999955,21.199999999999932,27.09999999999991,31.199999999999932,-33.39999999999998,-36.299999999999955,-36.5,-34.799999999999955,-31.799999999999955,-31.0,-32.799999999999955,-33.299999999999955,-31.899999999999977,-28.299999999999955,958.2,348.4
7,8,0,0.233,0.98,1,-25.399999999999977,-20.899999999999977,-14.899999999999977,-9.100000000000023,-3.800000000000068,8.600000000000023,14.899999999999977,21.199999999999932,27.100000000000023,31.199999999999932,-33.400000000000034,-36.400000000000034,-36.60000000000002,-34.80000000000001,-31.900000000000034,-31.0,-32.80000000000001,-33.30000000000001,-32.0,-28.400000000000034,958.6,348.1
8,9,0,0.267,0.98,1,-25.600000000000023,-21.100000000000023,-15.100000000000023,-9.200000000000045,-3.900000000000091,8.5,14.899999999999977,21.199999999999932,27.199999999999932,31.299999999999955,-33.299999999999955,-36.299999999999955,-36.5,-34.799999999999955,-31.799999999999955,-31.099999999999966,-32.89999999999998,-33.39999999999998,-32.0,-28.299999999999955,959.2,347.9
9,10,0,0.3,0.98,1,-25.699999999999932,-21.199999999999932,-15.199999999999932,-9.199999999999932,-3.7999999999999545,8.200000000000045,14.700000000000045,21.100000000000023,27.200000000000045,31.200000000000045,-33.19999999999999,-36.30000000000001,-36.5,-34.80000000000001,-31.80000000000001,-31.0,-32.89999999999998,-33.39999999999998,-32.0,-28.19999999999999,959.8,347.7
