,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-28.200000000000045,-24.0,-18.0,-11.900000000000091,-6.2000000000000455,6.900000000000091,13.700000000000045,20.700000000000045,27.59999999999991,32.5,-30.80000000000001,-35.400000000000006,-37.0,-36.30000000000001,-33.900000000000006,-34.30000000000001,-36.80000000000001,-37.400000000000006,-36.0,-31.700000000000017,1084.5,239.3
1,2,0,0.033,0.98,1,-26.700000000000045,-22.600000000000136,-16.90000000000009,-10.900000000000091,-5.5,7.5,14.299999999999955,21.299999999999955,28.09999999999991,33.399999999999864,-31.5,-35.89999999999998,-37.0,-36.19999999999999,-33.89999999999998,-34.099999999999994,-36.599999999999994,-37.19999999999999,-35.89999999999998,-31.899999999999977,1084.4,239.2
2,3,0,0.067,0.98,1,-26.299999999999955,-22.200000000000045,-16.5,-10.600000000000136,-5.2000000000000455,7.7999999999999545,14.599999999999909,21.59999999999991,28.399999999999864,33.700000000000045,-31.900000000000006,-36.20000000000002,-37.20000000000002,-36.400000000000006,-34.099999999999994,-34.20000000000002,-36.599999999999994,-37.099999999999994,-35.80000000000001,-31.700000000000017,1085.2,238.9
3,4,0,0.1,0.98,1,-26.0,-21.899999999999864,-16.199999999999818,-10.299999999999955,-5.0,8.0,14.900000000000091,21.90000000000009,28.800000000000182,34.100000000000136,-32.099999999999994,-36.400000000000006,-37.400000000000006,-36.5,-34.19999999999999,-34.29999999999998,-36.69999999999999,-37.19999999999999,-35.599999999999994,-31.5,1086.1,238.6
4,5,0,0.133,0.98,1,-25.699999999999818,-21.59999999999991,-15.899999999999864,-10.0,-4.699999999999818,8.200000000000045,15.100000000000136,22.100000000000136,28.90000000000009,34.200000000000045,-32.19999999999999,-36.5,-37.39999999999998,-36.599999999999994,-34.19999999999999,-34.099999999999994,-36.5,-36.89999999999998,-35.39999999999998,-31.099999999999994,1087.1,238.2
5,6,0,0.167,0.98,1,-25.5,-21.299999999999955,-15.599999999999909,-9.799999999999955,-4.5,8.599999999999909,15.5,22.40000000000009,29.200000000000045,34.40000000000009,-32.599999999999994,-36.69999999999999,-37.599999999999994,-36.69999999999999,-34.29999999999998,-34.099999999999994,-36.400000000000006,-36.79999999999998,-35.29999999999998,-31.099999999999994,1088.0,238.1
6,7,0,0.2,0.98,1,-25.5,-21.40000000000009,-15.700000000000045,-9.799999999999955,-4.400000000000091,8.700000000000045,15.700000000000045,22.59999999999991,29.40000000000009,34.700000000000045,-32.30000000000001,-36.599999999999994,-37.599999999999994,-36.69999999999999,-34.30000000000001,-34.099999999999994,-36.400000000000006,-36.69999999999999,-35.099999999999994,-30.80000000000001,1089.0,238.0
7,8,0,0.233,0.98,1,-25.5,-21.300000000000182,-15.600000000000136,-9.700000000000045,-4.300000000000182,8.599999999999909,15.5,22.59999999999991,29.399999999999864,34.69999999999982,-32.5,-36.80000000000001,-37.69999999999999,-36.69999999999999,-34.19999999999999,-34.0,-36.30000000000001,-36.599999999999994,-35.0,-30.69999999999999,1089.9,238.0
8,9,0,0.267,0.98,1,-25.199999999999818,-21.0,-15.299999999999955,-9.399999999999864,-4.099999999999909,8.800000000000182,15.800000000000182,22.800000000000182,29.700000000000045,34.90000000000009,-32.69999999999999,-36.900000000000006,-37.69999999999999,-36.69999999999999,-34.19999999999999,-34.0,-36.19999999999999,-36.599999999999994,-34.900000000000006,-30.599999999999994,1090.6,238.0
9,10,0,0.3,0.98,1,-25.299999999999955,-21.09999999999991,-15.299999999999955,-9.399999999999864,-4.099999999999909,8.900000000000091,15.900000000000091,23.0,29.90000000000009,35.100000000000136,-32.89999999999998,-37.099999999999994,-37.89999999999998,-36.89999999999998,-34.29999999999998,-34.0,-36.19999999999999,-36.5,-34.89999999999998,-30.5,1091.3,238.2
10,11,0,0.333,0.98,1,-25.0,-20.800000000000182,-15.0,-9.100000000000136,-3.800000000000182,9.199999999999818,16.199999999999818,23.299999999999955,30.09999999999991,35.19999999999982,-33.099999999999994,-37.19999999999999,-38.0,-36.89999999999998,-34.29999999999998,-33.89999999999998,-36.099999999999994,-36.39999999999998,-34.599999999999994,-30.19999999999999,1091.9,238.2
11,12,0,0.367,0.98,1,-24.90000000000009,-20.600000000000136,-14.800000000000182,-8.900000000000091,-3.7000000000000455,9.399999999999864,16.399999999999864,23.399999999999864,30.199999999999818,35.399999999999864,-33.30000000000001,-37.400000000000006,-38.10000000000002,-36.900000000000006,-34.30000000000001,-33.80000000000001,-36.0,-36.30000000000001,-34.5,-30.200000000000017,1092.4,238.3
12,13,0,0.4,0.98,1,-24.700000000000045,-20.299999999999955,-14.400000000000091,-8.600000000000136,-3.2999999999999545,9.599999999999909,16.59999999999991,23.59999999999991,30.399999999999864,35.5,-33.69999999999999,-37.69999999999999,-38.400000000000006,-37.19999999999999,-34.5,-33.900000000000006,-36.0,-36.19999999999999,-34.5,-30.0,1092.7,238.6
13,14,0,0.433,0.98,1,-24.200000000000045,-19.90000000000009,-14.0,-8.200000000000045,-2.900000000000091,9.700000000000045,16.700000000000045,23.799999999999955,30.59999999999991,35.700000000000045,-33.69999999999999,-37.79999999999998,-38.39999999999998,-37.099999999999994,-34.39999999999998,-33.79999999999998,-35.89999999999998,-36.0,-34.19999999999999,-29.599999999999994,1093.0,238.7
14,15,0,0.467,0.98,1,-24.199999999999818,-19.799999999999955,-13.899999999999864,-8.099999999999909,-2.8999999999998636,9.800000000000182,16.90000000000009,23.90000000000009,30.700000000000045,35.80000000000018,-33.900000000000006,-37.900000000000006,-38.5,-37.20000000000002,-34.400000000000006,-33.70000000000002,-35.80000000000001,-36.0,-34.10000000000002,-29.600000000000023,1093.1,238.8
