,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.600000000000023,-25.799999999999955,-18.700000000000045,-11.600000000000023,-5.2000000000000455,6.0,11.399999999999977,16.700000000000045,21.600000000000023,24.399999999999977,-30.700000000000045,-34.700000000000045,-35.80000000000001,-34.700000000000045,-32.0,-31.80000000000001,-33.700000000000045,-34.10000000000002,-32.700000000000045,-28.600000000000023,949.5,331.1
1,2,0,0.033,0.98,1,-31.200000000000045,-25.200000000000045,-18.299999999999955,-11.5,-5.399999999999977,6.7000000000000455,11.899999999999977,16.899999999999977,21.700000000000045,24.5,-31.099999999999966,-34.69999999999999,-35.69999999999999,-34.5,-32.099999999999966,-31.80000000000001,-33.5,-34.0,-32.69999999999999,-28.899999999999977,949.0,330.7
2,3,0,0.067,0.98,1,-31.100000000000023,-25.100000000000023,-18.200000000000045,-11.400000000000091,-5.300000000000068,6.7999999999999545,12.0,17.09999999999991,21.799999999999955,24.59999999999991,-31.099999999999966,-34.89999999999998,-35.89999999999998,-34.69999999999999,-32.19999999999999,-31.899999999999977,-33.5,-33.89999999999998,-32.69999999999999,-28.799999999999955,948.7,330.4
3,4,0,0.1,0.98,1,-31.399999999999977,-25.5,-18.5,-11.699999999999932,-5.599999999999909,6.600000000000023,11.900000000000091,17.0,21.800000000000068,24.600000000000023,-30.80000000000001,-34.69999999999999,-35.80000000000001,-34.69999999999999,-32.19999999999999,-31.900000000000034,-33.5,-33.900000000000034,-32.60000000000002,-28.600000000000023,948.3,329.8
4,5,0,0.133,0.98,1,-31.5,-25.600000000000023,-18.600000000000023,-11.800000000000068,-5.600000000000023,6.699999999999932,12.0,17.100000000000023,21.899999999999977,24.699999999999932,-30.799999999999955,-34.799999999999955,-35.89999999999998,-34.799999999999955,-32.299999999999955,-32.0,-33.69999999999999,-34.0,-32.69999999999999,-28.599999999999966,948.1,329.4
5,6,0,0.167,0.98,1,-31.399999999999977,-25.600000000000023,-18.600000000000023,-11.899999999999977,-5.699999999999932,6.800000000000068,12.0,17.100000000000023,22.0,24.800000000000068,-31.0,-34.89999999999998,-36.0,-34.89999999999998,-32.39999999999998,-32.099999999999966,-33.799999999999955,-34.19999999999999,-32.799999999999955,-28.799999999999955,947.9,328.9
6,7,0,0.2,0.98,1,-31.59999999999991,-25.699999999999932,-18.699999999999932,-11.899999999999977,-5.699999999999932,6.7000000000000455,12.0,17.200000000000045,22.0,24.800000000000068,-31.0,-34.89999999999998,-36.0,-34.89999999999998,-32.39999999999998,-32.099999999999966,-33.69999999999999,-34.099999999999966,-32.69999999999999,-28.69999999999999,947.8,328.7
7,8,0,0.233,0.98,1,-31.600000000000023,-25.700000000000045,-18.700000000000045,-11.899999999999977,-5.600000000000023,6.7999999999999545,12.100000000000023,17.299999999999955,22.100000000000023,24.899999999999977,-30.80000000000001,-34.69999999999999,-35.89999999999998,-34.80000000000001,-32.30000000000001,-32.0,-33.60000000000002,-34.0,-32.60000000000002,-28.5,947.6,328.5
8,9,0,0.267,0.98,1,-31.5,-25.600000000000023,-18.699999999999932,-11.899999999999977,-5.600000000000023,6.800000000000068,12.100000000000023,17.300000000000068,22.200000000000045,25.0,-30.69999999999999,-34.599999999999966,-35.799999999999955,-34.69999999999999,-32.19999999999999,-31.899999999999977,-33.5,-33.89999999999998,-32.5,-28.399999999999977,947.4,328.4
9,10,0,0.3,0.98,1,-31.59999999999991,-25.699999999999932,-18.799999999999955,-12.0,-5.699999999999932,6.7000000000000455,12.100000000000023,17.300000000000068,22.200000000000045,25.0,-30.599999999999966,-34.5,-35.69999999999999,-34.599999999999966,-32.19999999999999,-31.899999999999977,-33.5,-33.799999999999955,-32.5,-28.399999999999977,947.3,328.4
10,11,0,0.333,0.98,1,-31.5,-25.800000000000068,-18.800000000000068,-12.0,-5.7000000000000455,6.699999999999932,12.0,17.199999999999932,22.09999999999991,25.0,-30.5,-34.39999999999998,-35.69999999999999,-34.69999999999999,-32.19999999999999,-31.899999999999977,-33.5,-33.80000000000001,-32.39999999999998,-28.399999999999977,947.2,328.5
11,12,0,0.367,0.98,1,-31.5,-25.700000000000045,-18.800000000000068,-12.0,-5.7000000000000455,6.699999999999932,12.0,17.199999999999932,22.100000000000023,25.0,-30.399999999999977,-34.39999999999998,-35.60000000000002,-34.60000000000002,-32.10000000000002,-31.80000000000001,-33.30000000000001,-33.69999999999999,-32.30000000000001,-28.30000000000001,947.1,328.5
12,13,0,0.4,0.98,1,-31.600000000000023,-25.800000000000068,-18.899999999999977,-12.0,-5.7000000000000455,6.699999999999932,12.0,17.299999999999955,22.199999999999932,25.0,-30.399999999999977,-34.5,-35.80000000000001,-34.69999999999999,-32.30000000000001,-31.899999999999977,-33.39999999999998,-33.69999999999999,-32.30000000000001,-28.30000000000001,947.1,328.7
13,14,0,0.433,0.98,1,-31.100000000000023,-25.399999999999977,-18.5,-11.699999999999932,-5.5,7.0,12.399999999999977,17.600000000000023,22.5,25.399999999999977,-30.69999999999999,-34.599999999999966,-35.80000000000001,-34.69999999999999,-32.30000000000001,-31.80000000000001,-33.39999999999998,-33.69999999999999,-32.19999999999999,-28.099999999999966,946.9,328.7
14,15,0,0.467,0.98,1,-31.300000000000068,-25.5,-18.600000000000023,-11.800000000000068,-5.600000000000023,7.0,12.399999999999977,17.600000000000023,22.399999999999977,25.199999999999932,-30.600000000000023,-34.60000000000002,-35.80000000000001,-34.80000000000001,-32.30000000000001,-31.900000000000034,-33.5,-33.69999999999999,-32.30000000000001,-28.19999999999999,947.1,328.8
