,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.700000000000045,-28.40000000000009,-22.0,-15.100000000000136,-8.700000000000045,4.599999999999909,11.699999999999818,18.899999999999864,26.09999999999991,31.5,-29.0,-33.79999999999998,-35.5,-35.19999999999999,-33.099999999999994,-34.400000000000006,-37.5,-38.69999999999999,-37.5,-33.400000000000006,1093.9,226.1
1,2,0,0.033,0.98,1,-32.899999999999864,-28.59999999999991,-22.200000000000045,-15.5,-9.099999999999909,4.7999999999999545,11.700000000000045,18.90000000000009,26.0,31.299999999999955,-29.5,-34.20000000000002,-35.900000000000006,-35.5,-33.30000000000001,-34.599999999999994,-37.599999999999994,-38.900000000000006,-38.0,-34.099999999999994,1094.3,226.9
2,3,0,0.067,0.98,1,-33.09999999999991,-28.799999999999955,-22.5,-15.799999999999955,-9.5,5.100000000000136,12.0,19.0,26.0,31.300000000000182,-30.200000000000017,-34.80000000000001,-36.5,-35.900000000000006,-33.70000000000002,-34.900000000000006,-37.80000000000001,-39.099999999999994,-38.20000000000002,-34.400000000000006,1094.6,227.9
3,4,0,0.1,0.98,1,-32.90000000000009,-28.59999999999991,-22.40000000000009,-15.799999999999955,-9.599999999999909,5.400000000000091,12.299999999999955,19.299999999999955,26.200000000000045,31.299999999999955,-30.80000000000001,-35.30000000000001,-36.900000000000006,-36.30000000000001,-34.10000000000002,-35.20000000000002,-38.0,-39.20000000000002,-38.30000000000001,-34.5,1094.5,228.8
4,5,0,0.133,0.98,1,-32.700000000000045,-28.40000000000009,-22.200000000000045,-15.5,-9.200000000000045,5.5,12.5,19.5,26.5,31.59999999999991,-30.900000000000006,-35.30000000000001,-37.0,-36.30000000000001,-34.0,-35.0,-37.900000000000006,-39.0,-38.0,-34.19999999999999,1094.2,229.5
5,6,0,0.167,0.98,1,-32.5,-28.200000000000045,-22.0,-15.299999999999955,-9.0,5.600000000000136,12.700000000000045,19.799999999999955,26.799999999999955,31.90000000000009,-31.099999999999994,-35.599999999999994,-37.19999999999999,-36.5,-34.19999999999999,-35.099999999999994,-37.900000000000006,-39.099999999999994,-38.0,-34.19999999999999,1093.8,230.1
6,7,0,0.2,0.98,1,-32.600000000000136,-28.299999999999955,-22.0,-15.299999999999955,-9.0,5.5,12.599999999999909,19.700000000000045,26.700000000000045,31.899999999999864,-31.099999999999994,-35.599999999999994,-37.19999999999999,-36.5,-34.19999999999999,-35.19999999999999,-38.0,-39.099999999999994,-38.099999999999994,-34.29999999999998,1093.7,230.2
7,8,0,0.233,0.98,1,-32.600000000000136,-28.299999999999955,-22.0,-15.400000000000091,-9.100000000000136,5.5,12.599999999999909,19.700000000000045,26.700000000000045,31.799999999999955,-31.0,-35.5,-37.19999999999999,-36.599999999999994,-34.29999999999998,-35.29999999999998,-38.099999999999994,-39.19999999999999,-38.19999999999999,-34.29999999999998,1093.7,230.2
8,9,0,0.267,0.98,1,-32.5,-28.299999999999955,-22.0,-15.399999999999864,-9.099999999999909,5.600000000000136,12.600000000000136,19.700000000000045,26.700000000000045,31.799999999999955,-31.0,-35.599999999999994,-37.29999999999998,-36.69999999999999,-34.5,-35.5,-38.29999999999998,-39.400000000000006,-38.29999999999998,-34.400000000000006,1093.8,230.1
9,10,0,0.3,0.98,1,-32.5,-28.300000000000182,-22.100000000000136,-15.400000000000091,-9.100000000000136,5.599999999999909,12.599999999999909,19.699999999999818,26.699999999999818,31.799999999999955,-31.19999999999999,-35.80000000000001,-37.5,-36.900000000000006,-34.69999999999999,-35.80000000000001,-38.5,-39.599999999999994,-38.599999999999994,-34.69999999999999,1093.9,230.0
10,11,0,0.333,0.98,1,-32.5,-28.40000000000009,-22.100000000000136,-15.600000000000136,-9.300000000000182,5.599999999999909,12.599999999999909,19.699999999999818,26.59999999999991,31.699999999999818,-31.100000000000023,-35.70000000000002,-37.400000000000006,-36.80000000000001,-34.70000000000002,-35.80000000000001,-38.5,-39.60000000000002,-38.60000000000002,-34.80000000000001,1093.9,229.8
11,12,0,0.367,0.98,1,-32.200000000000045,-28.09999999999991,-21.799999999999955,-15.200000000000045,-8.899999999999864,5.900000000000091,13.0,20.0,27.0,32.100000000000136,-31.0,-35.80000000000001,-37.5,-36.900000000000006,-34.80000000000001,-35.80000000000001,-38.400000000000006,-39.5,-38.5,-34.5,1093.8,229.4
12,13,0,0.4,0.98,1,-32.200000000000045,-28.0,-21.700000000000045,-15.0,-8.700000000000045,5.699999999999818,12.699999999999818,19.899999999999864,26.899999999999864,32.19999999999982,-30.900000000000006,-35.69999999999999,-37.5,-36.79999999999998,-34.69999999999999,-35.69999999999999,-38.400000000000006,-39.599999999999994,-38.599999999999994,-34.599999999999994,1093.9,229.1
13,14,0,0.433,0.98,1,-32.100000000000136,-27.90000000000009,-21.5,-14.799999999999955,-8.5,5.5,12.5,19.700000000000045,26.799999999999955,32.09999999999991,-30.80000000000001,-35.5,-37.19999999999999,-36.599999999999994,-34.5,-35.5,-38.19999999999999,-39.400000000000006,-38.400000000000006,-34.400000000000006,1094.2,228.5
14,15,0,0.467,0.98,1,-32.100000000000136,-27.90000000000009,-21.5,-14.800000000000182,-8.400000000000091,5.399999999999864,12.5,19.699999999999818,26.799999999999955,32.09999999999991,-30.5,-35.29999999999998,-37.099999999999994,-36.5,-34.400000000000006,-35.400000000000006,-38.099999999999994,-39.29999999999998,-38.29999999999998,-34.19999999999999,1094.4,228.1
15,16,0,0.5,0.98,1,-32.09999999999991,-27.899999999999864,-21.5,-14.799999999999955,-8.5,5.400000000000091,12.5,19.600000000000136,26.700000000000045,32.0,-30.400000000000006,-35.30000000000001,-37.10000000000002,-36.5,-34.5,-35.5,-38.10000000000002,-39.20000000000002,-38.30000000000001,-34.20000000000002,1094.6,227.8
16,17,0,0.533,0.98,1,-32.0,-27.800000000000182,-21.300000000000182,-14.700000000000045,-8.300000000000182,5.5,12.599999999999909,19.699999999999818,26.799999999999955,32.0,-30.69999999999999,-35.5,-37.29999999999998,-36.69999999999999,-34.69999999999999,-35.599999999999994,-38.29999999999998,-39.400000000000006,-38.400000000000006,-34.29999999999998,1094.9,227.6
17,18,0,0.567,0.98,1,-32.200000000000045,-28.0,-21.5,-14.799999999999955,-8.400000000000091,5.5,12.5,19.700000000000045,26.799999999999955,32.09999999999991,-30.599999999999994,-35.5,-37.19999999999999,-36.69999999999999,-34.599999999999994,-35.599999999999994,-38.30000000000001,-39.400000000000006,-38.400000000000006,-34.30000000000001,1095.2,227.5
18,19,0,0.6,0.98,1,-31.899999999999864,-27.699999999999818,-21.199999999999818,-14.5,-8.199999999999818,5.7000000000000455,12.800000000000182,19.90000000000009,27.0,32.200000000000045,-31.0,-35.80000000000001,-37.599999999999994,-37.0,-34.80000000000001,-35.69999999999999,-38.30000000000001,-39.400000000000006,-38.30000000000001,-34.19999999999999,1095.6,227.5
19,20,0,0.633,0.98,1,-32.200000000000045,-27.90000000000009,-21.40000000000009,-14.700000000000045,-8.300000000000182,5.5,12.599999999999909,19.799999999999955,26.799999999999955,32.09999999999991,-31.200000000000017,-36.10000000000002,-37.80000000000001,-37.10000000000002,-35.0,-35.80000000000001,-38.5,-39.70000000000002,-38.70000000000002,-34.5,1095.9,227.8
20,21,0,0.667,0.98,1,-32.09999999999991,-27.899999999999864,-21.399999999999864,-14.599999999999909,-8.099999999999909,5.7000000000000455,12.799999999999955,20.100000000000136,27.200000000000045,32.299999999999955,-31.799999999999983,-36.69999999999999,-38.5,-37.69999999999999,-35.400000000000006,-36.19999999999999,-38.900000000000006,-40.0,-39.0,-34.79999999999998,1095.8,228.6
21,22,0,0.7,0.98,1,-31.700000000000045,-27.5,-21.0,-14.300000000000182,-7.800000000000182,6.0,13.099999999999909,20.299999999999955,27.299999999999955,32.5,-32.80000000000001,-37.400000000000006,-39.0,-38.20000000000002,-35.900000000000006,-36.5,-39.20000000000002,-40.30000000000001,-39.20000000000002,-35.20000000000002,1095.4,229.9
22,23,0,0.733,0.98,1,-31.59999999999991,-27.399999999999864,-21.0,-14.299999999999955,-7.899999999999864,6.100000000000136,13.200000000000045,20.5,27.40000000000009,32.5,-33.20000000000002,-37.70000000000002,-39.30000000000001,-38.400000000000006,-36.10000000000002,-36.70000000000002,-39.30000000000001,-40.400000000000006,-39.20000000000002,-35.20000000000002,1094.8,231.3
23,24,0,0.767,0.98,1,-31.200000000000045,-27.100000000000136,-20.700000000000045,-14.100000000000136,-7.7000000000000455,6.399999999999864,13.599999999999909,20.799999999999955,27.699999999999818,32.69999999999982,-33.5,-38.0,-39.5,-38.599999999999994,-36.19999999999999,-36.69999999999999,-39.30000000000001,-40.30000000000001,-39.099999999999994,-35.099999999999994,1093.9,233.0
24,25,0,0.8,0.98,1,-31.700000000000045,-27.59999999999991,-21.200000000000045,-14.399999999999864,-8.0,6.0,13.299999999999955,20.600000000000136,27.700000000000045,32.700000000000045,-33.69999999999999,-38.099999999999994,-39.5,-38.599999999999994,-36.19999999999999,-36.80000000000001,-39.400000000000006,-40.400000000000006,-39.19999999999999,-35.19999999999999,1093.3,234.5
25,26,0,0.833,0.98,1,-31.799999999999955,-27.700000000000045,-21.299999999999955,-14.5,-8.100000000000136,6.0,13.299999999999955,20.59999999999991,27.59999999999991,32.5,-33.60000000000002,-37.900000000000006,-39.30000000000001,-38.400000000000006,-36.0,-36.60000000000002,-39.20000000000002,-40.30000000000001,-39.10000000000002,-35.20000000000002,1092.7,235.3
26,27,0,0.867,0.98,1,-31.90000000000009,-27.799999999999955,-21.40000000000009,-14.700000000000045,-8.299999999999955,5.900000000000091,13.200000000000045,20.5,27.5,32.5,-34.099999999999994,-38.400000000000006,-39.70000000000002,-38.70000000000002,-36.30000000000001,-37.0,-39.599999999999994,-40.80000000000001,-39.599999999999994,-35.80000000000001,1092.0,235.9
27,28,0,0.9,0.98,1,-31.700000000000045,-27.600000000000136,-21.300000000000182,-14.600000000000136,-8.200000000000045,6.099999999999909,13.5,20.799999999999955,27.799999999999955,32.799999999999955,-33.80000000000001,-38.20000000000002,-39.60000000000002,-38.60000000000002,-36.10000000000002,-36.70000000000002,-39.400000000000006,-40.5,-39.30000000000001,-35.400000000000006,1091.4,235.8
28,29,0,0.933,0.98,1,-31.90000000000009,-27.700000000000045,-21.40000000000009,-14.700000000000045,-8.400000000000091,6.099999999999909,13.400000000000091,20.700000000000045,27.700000000000045,32.700000000000045,-33.89999999999998,-38.099999999999994,-39.39999999999998,-38.5,-36.0,-36.599999999999994,-39.29999999999998,-40.39999999999998,-39.19999999999999,-35.29999999999998,1091.5,235.7
29,30,0,0.967,0.98,1,-32.0,-27.799999999999955,-21.5,-14.899999999999864,-8.5,6.2000000000000455,13.5,20.700000000000045,27.700000000000045,32.700000000000045,-33.900000000000006,-38.099999999999994,-39.400000000000006,-38.5,-36.099999999999994,-36.69999999999999,-39.400000000000006,-40.5,-39.400000000000006,-35.599999999999994,1091.6,235.6
30,31,0,1.0,0.98,1,-32.100000000000136,-28.0,-21.700000000000045,-15.100000000000136,-8.799999999999955,6.2000000000000455,13.5,20.700000000000045,27.59999999999991,32.59999999999991,-33.70000000000002,-37.900000000000006,-39.20000000000002,-38.30000000000001,-36.0,-36.599999999999994,-39.400000000000006,-40.5,-39.400000000000006,-35.70000000000002,1091.7,235.4
31,32,0,1.033,0.98,1,-32.100000000000136,-28.0,-21.700000000000045,-15.0,-8.700000000000045,6.2000000000000455,13.5,20.700000000000045,27.700000000000045,32.700000000000045,-33.599999999999994,-37.89999999999998,-39.29999999999998,-38.39999999999998,-36.0,-36.69999999999999,-39.39999999999998,-40.5,-39.39999999999998,-35.599999999999994,1091.7,235.2
32,33,0,1.067,0.98,1,-31.799999999999955,-27.799999999999955,-21.5,-14.900000000000091,-8.600000000000136,6.399999999999864,13.599999999999909,20.899999999999864,27.899999999999864,32.899999999999864,-33.69999999999999,-38.099999999999994,-39.5,-38.5,-36.19999999999999,-36.79999999999998,-39.5,-40.599999999999994,-39.5,-35.599999999999994,1091.7,235.1
33,34,0,1.1,0.98,1,-31.799999999999955,-27.700000000000045,-21.5,-14.799999999999955,-8.5,6.400000000000091,13.700000000000045,20.90000000000009,28.0,33.0,-33.400000000000006,-37.900000000000006,-39.30000000000001,-38.400000000000006,-36.099999999999994,-36.70000000000002,-39.30000000000001,-40.400000000000006,-39.20000000000002,-35.30000000000001,1091.8,234.9
34,35,0,1.133,0.98,1,-31.700000000000045,-27.600000000000136,-21.40000000000009,-14.700000000000045,-8.400000000000091,6.399999999999864,13.699999999999818,20.899999999999864,28.0,33.0,-33.30000000000001,-37.70000000000002,-39.20000000000002,-38.30000000000001,-36.0,-36.60000000000002,-39.20000000000002,-40.20000000000002,-39.10000000000002,-35.10000000000002,1091.9,234.8
35,36,0,1.167,0.98,1,-31.399999999999864,-27.299999999999955,-21.09999999999991,-14.5,-8.299999999999955,6.600000000000136,13.900000000000091,21.100000000000136,28.100000000000136,33.100000000000136,-33.5,-37.900000000000006,-39.30000000000001,-38.400000000000006,-36.0,-36.60000000000002,-39.10000000000002,-40.20000000000002,-39.0,-35.10000000000002,1091.8,234.8
