,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.899999999999864,-30.399999999999864,-23.59999999999991,-16.5,-9.799999999999955,4.600000000000136,11.700000000000045,19.0,26.200000000000045,31.700000000000045,-32.29999999999998,-36.79999999999998,-38.400000000000006,-37.599999999999994,-35.400000000000006,-36.69999999999999,-39.900000000000006,-41.5,-40.900000000000006,-37.19999999999999,1073.3,235.1
1,2,0,0.033,0.98,1,-35.200000000000045,-30.600000000000136,-23.799999999999955,-16.700000000000045,-9.900000000000091,5.0,12.200000000000045,19.5,26.700000000000045,32.0,-32.900000000000006,-37.400000000000006,-38.80000000000001,-37.900000000000006,-35.5,-36.70000000000002,-39.80000000000001,-41.400000000000006,-40.80000000000001,-37.20000000000002,1074.2,235.3
2,3,0,0.067,0.98,1,-34.799999999999955,-30.200000000000045,-23.399999999999864,-16.299999999999955,-9.599999999999909,5.2999999999999545,12.600000000000136,19.90000000000009,27.0,32.299999999999955,-33.29999999999998,-37.69999999999999,-39.0,-38.0,-35.599999999999994,-36.69999999999999,-39.69999999999999,-41.29999999999998,-40.69999999999999,-37.099999999999994,1074.8,235.2
3,4,0,0.1,0.98,1,-34.59999999999991,-30.0,-23.09999999999991,-15.899999999999864,-9.099999999999909,5.2999999999999545,12.5,19.799999999999955,27.100000000000136,32.299999999999955,-33.29999999999998,-37.69999999999999,-39.099999999999994,-38.0,-35.5,-36.5,-39.5,-41.0,-40.400000000000006,-36.69999999999999,1075.3,235.1
4,5,0,0.133,0.98,1,-34.40000000000009,-29.700000000000045,-22.90000000000009,-15.700000000000045,-9.0,5.2999999999999545,12.599999999999909,19.899999999999864,27.09999999999991,32.399999999999864,-33.400000000000006,-37.79999999999998,-39.099999999999994,-38.0,-35.5,-36.5,-39.400000000000006,-41.0,-40.29999999999998,-36.599999999999994,1075.4,235.1
5,6,0,0.167,0.98,1,-34.299999999999955,-29.5,-22.59999999999991,-15.5,-8.799999999999955,5.5,12.799999999999955,20.100000000000136,27.299999999999955,32.5,-33.5,-37.79999999999998,-39.0,-37.900000000000006,-35.400000000000006,-36.19999999999999,-39.099999999999994,-40.5,-39.79999999999998,-36.099999999999994,1075.3,235.1
6,7,0,0.2,0.98,1,-34.200000000000045,-29.5,-22.600000000000136,-15.400000000000091,-8.799999999999955,5.7000000000000455,13.0,20.299999999999955,27.399999999999864,32.5,-33.80000000000001,-38.099999999999994,-39.30000000000001,-38.099999999999994,-35.599999999999994,-36.5,-39.400000000000006,-40.80000000000001,-40.099999999999994,-36.400000000000006,1074.7,235.5
7,8,0,0.233,0.98,1,-34.200000000000045,-29.5,-22.59999999999991,-15.5,-8.799999999999955,5.599999999999909,12.799999999999955,20.0,27.09999999999991,32.200000000000045,-33.70000000000002,-38.0,-39.20000000000002,-38.0,-35.5,-36.30000000000001,-39.10000000000002,-40.60000000000002,-39.900000000000006,-36.20000000000002,1074.0,235.8
8,9,0,0.267,0.98,1,-34.30000000000018,-29.40000000000009,-22.40000000000009,-15.200000000000045,-8.5,5.699999999999818,12.899999999999864,20.09999999999991,27.199999999999818,32.299999999999955,-33.79999999999998,-38.0,-39.099999999999994,-37.89999999999998,-35.29999999999998,-36.099999999999994,-39.0,-40.5,-39.79999999999998,-36.19999999999999,1072.9,236.7
9,10,0,0.3,0.98,1,-34.299999999999955,-29.299999999999955,-22.200000000000045,-15.099999999999909,-8.399999999999864,5.7999999999999545,12.900000000000091,20.100000000000136,27.100000000000136,32.200000000000045,-34.099999999999994,-38.099999999999994,-39.099999999999994,-37.79999999999998,-35.099999999999994,-35.900000000000006,-38.79999999999998,-40.29999999999998,-39.79999999999998,-36.29999999999998,1071.3,238.1
