,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-33.5,-29.699999999999932,-23.59999999999991,-17.09999999999991,-10.899999999999977,2.6000000000001364,9.5,16.5,23.700000000000045,29.40000000000009,-30.5,-35.10000000000002,-36.80000000000001,-36.400000000000006,-34.5,-36.400000000000006,-39.70000000000002,-41.5,-41.20000000000002,-37.80000000000001,1030.3,284.3
1,2,0,0.033,0.98,1,-34.30000000000007,-30.40000000000009,-24.300000000000068,-17.90000000000009,-11.700000000000045,2.599999999999909,9.5,16.399999999999864,23.299999999999955,29.09999999999991,-30.80000000000001,-35.19999999999999,-36.900000000000006,-36.400000000000006,-34.80000000000001,-36.80000000000001,-40.0,-41.80000000000001,-41.599999999999994,-38.599999999999994,1030.4,284.5
2,3,0,0.067,0.98,1,-34.299999999999955,-30.399999999999864,-24.299999999999955,-17.899999999999864,-11.599999999999909,2.5,9.300000000000182,16.300000000000182,23.40000000000009,29.100000000000136,-30.700000000000017,-35.20000000000002,-36.900000000000034,-36.400000000000034,-34.70000000000002,-36.70000000000002,-39.900000000000034,-41.80000000000001,-41.70000000000002,-38.60000000000002,1030.1,284.6
3,4,0,0.1,0.98,1,-34.09999999999991,-30.199999999999932,-24.09999999999991,-17.699999999999932,-11.5,2.400000000000091,9.299999999999955,16.299999999999955,23.40000000000009,29.100000000000136,-30.80000000000001,-35.20000000000002,-36.900000000000034,-36.400000000000034,-34.60000000000002,-36.60000000000002,-39.80000000000001,-41.80000000000001,-41.70000000000002,-38.60000000000002,1029.8,284.6
4,5,0,0.133,0.98,1,-34.200000000000045,-30.200000000000045,-24.200000000000045,-17.800000000000068,-11.600000000000023,2.3999999999998636,9.200000000000045,16.09999999999991,23.09999999999991,28.799999999999955,-30.899999999999977,-35.29999999999998,-36.89999999999998,-36.39999999999998,-34.69999999999999,-36.69999999999999,-40.0,-41.89999999999998,-41.79999999999998,-38.69999999999999,1029.7,284.7
5,6,0,0.167,0.98,1,-34.0,-30.0,-24.09999999999991,-17.799999999999955,-11.599999999999909,2.5,9.400000000000091,16.200000000000045,23.200000000000045,28.90000000000009,-30.899999999999977,-35.19999999999999,-36.89999999999998,-36.39999999999998,-34.599999999999994,-36.69999999999999,-39.89999999999998,-41.79999999999998,-41.69999999999999,-38.69999999999999,1029.3,284.7
6,7,0,0.2,0.98,1,-33.999999999999886,-30.09999999999991,-24.09999999999991,-17.799999999999955,-11.599999999999909,2.400000000000091,9.200000000000045,16.100000000000136,23.0,28.700000000000045,-30.600000000000023,-35.00000000000003,-36.70000000000002,-36.20000000000002,-34.50000000000003,-36.50000000000003,-39.80000000000001,-41.70000000000002,-41.60000000000002,-38.60000000000002,1029.1,284.6
7,8,0,0.233,0.98,1,-33.899999999999864,-30.09999999999991,-24.199999999999932,-17.799999999999955,-11.599999999999909,2.5,9.300000000000182,16.300000000000182,23.300000000000182,29.0,-30.400000000000006,-35.0,-36.80000000000001,-36.30000000000001,-34.599999999999994,-36.599999999999994,-39.900000000000006,-41.69999999999999,-41.599999999999994,-38.5,1028.6,284.5
8,9,0,0.267,0.98,1,-34.19999999999993,-30.399999999999977,-24.399999999999977,-18.0,-11.799999999999955,2.2999999999999545,9.200000000000045,16.200000000000045,23.299999999999955,29.0,-30.400000000000006,-35.0,-36.80000000000001,-36.400000000000006,-34.70000000000002,-36.70000000000002,-40.0,-41.80000000000001,-41.70000000000002,-38.60000000000002,1028.3,284.3
9,10,0,0.3,0.98,1,-33.89999999999998,-30.09999999999991,-24.09999999999991,-17.699999999999932,-11.5,2.5,9.400000000000091,16.40000000000009,23.600000000000136,29.299999999999955,-30.19999999999999,-34.80000000000001,-36.69999999999999,-36.19999999999999,-34.5,-36.599999999999994,-39.80000000000001,-41.69999999999999,-41.400000000000006,-38.19999999999999,1027.8,284.0
10,11,0,0.333,0.98,1,-32.299999999999955,-28.799999999999955,-23.0,-16.699999999999932,-10.799999999999955,2.6000000000001364,9.5,16.600000000000136,23.90000000000009,29.90000000000009,-29.80000000000001,-34.400000000000006,-36.10000000000002,-35.80000000000001,-34.20000000000002,-36.30000000000001,-39.70000000000002,-41.60000000000002,-41.30000000000001,-38.0,1026.8,283.8
