,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-15.600000000000023,-8.600000000000023,-2.1000000000000227,3.3999999999999773,7.399999999999977,16.399999999999977,20.899999999999977,24.700000000000045,27.399999999999977,27.600000000000023,-39.5,-40.0,-37.599999999999966,-33.5,-28.399999999999977,-22.399999999999977,-21.299999999999955,-18.899999999999977,-15.199999999999989,-10.199999999999989,955.4,351.9
1,2,0,0.033,0.98,1,-16.199999999999932,-9.199999999999932,-2.7999999999999545,2.6000000000000227,6.600000000000023,15.800000000000068,20.200000000000045,23.90000000000009,26.700000000000045,27.100000000000023,-39.89999999999998,-40.299999999999955,-38.0,-33.89999999999998,-28.799999999999955,-22.799999999999955,-21.899999999999977,-19.69999999999999,-16.299999999999955,-11.5,955.3,352.4
2,3,0,0.067,0.98,1,-16.899999999999977,-9.899999999999977,-3.3999999999999773,2.1000000000000227,6.300000000000068,15.399999999999977,19.800000000000068,23.5,26.300000000000068,26.600000000000023,-39.599999999999966,-40.30000000000001,-38.099999999999966,-34.0,-28.899999999999977,-23.099999999999966,-22.19999999999999,-20.0,-16.599999999999966,-11.800000000000011,954.9,352.2
3,4,0,0.1,0.98,1,-17.5,-10.600000000000023,-4.100000000000023,1.5,5.7999999999999545,15.0,19.399999999999977,23.0,25.799999999999955,26.09999999999991,-39.099999999999966,-39.89999999999998,-37.799999999999955,-33.89999999999998,-28.899999999999977,-23.299999999999955,-22.399999999999977,-20.399999999999977,-17.0,-12.199999999999989,954.2,351.4
4,5,0,0.133,0.98,1,-18.600000000000023,-11.700000000000045,-5.0,0.6999999999999318,5.100000000000023,14.399999999999977,18.799999999999955,22.5,25.399999999999977,25.799999999999955,-38.60000000000002,-39.60000000000002,-37.69999999999999,-33.89999999999998,-29.100000000000023,-23.69999999999999,-23.0,-21.100000000000023,-17.69999999999999,-12.800000000000011,953.1,350.0
5,6,0,0.167,0.98,1,-20.0,-13.100000000000023,-6.2999999999999545,-0.2999999999999545,4.2999999999999545,13.600000000000023,18.200000000000045,22.0,25.0,25.5,-38.0,-39.30000000000001,-37.60000000000002,-34.0,-29.200000000000045,-24.30000000000001,-23.700000000000045,-21.80000000000001,-18.5,-13.700000000000045,952.0,348.6
6,7,0,0.2,0.98,1,-21.199999999999932,-14.399999999999977,-7.5,-1.3999999999999773,3.400000000000091,13.200000000000045,17.700000000000045,21.600000000000023,24.600000000000023,25.300000000000068,-37.30000000000001,-38.89999999999998,-37.5,-34.099999999999966,-29.5,-24.80000000000001,-24.30000000000001,-22.599999999999966,-19.399999999999977,-14.5,950.8,347.2
7,8,0,0.233,0.98,1,-22.5,-15.699999999999932,-8.699999999999932,-2.5,2.6000000000000227,12.399999999999977,16.899999999999977,20.899999999999977,24.100000000000023,25.0,-36.5,-38.39999999999998,-37.19999999999999,-34.0,-29.600000000000023,-25.30000000000001,-25.0,-23.5,-20.5,-15.699999999999989,949.9,346.5
8,9,0,0.267,0.98,1,-23.399999999999977,-16.799999999999955,-9.899999999999977,-3.699999999999932,1.5,11.5,16.0,20.0,23.200000000000045,24.200000000000045,-35.900000000000034,-38.0,-37.10000000000002,-34.10000000000002,-29.80000000000001,-25.80000000000001,-25.700000000000045,-24.30000000000001,-21.400000000000034,-16.80000000000001,949.4,346.1
9,10,0,0.3,0.98,1,-24.200000000000045,-17.600000000000023,-10.700000000000045,-4.399999999999977,0.6999999999999318,10.699999999999932,15.299999999999955,19.299999999999955,22.600000000000023,23.699999999999932,-35.19999999999999,-37.5,-36.80000000000001,-34.0,-29.80000000000001,-26.099999999999966,-26.099999999999966,-24.80000000000001,-22.0,-17.399999999999977,949.1,345.2
10,11,0,0.333,0.98,1,-25.40000000000009,-18.800000000000068,-11.900000000000091,-5.5,-0.20000000000004547,10.0,14.5,18.59999999999991,22.09999999999991,23.299999999999955,-34.5,-37.0,-36.5,-33.89999999999998,-29.799999999999955,-26.399999999999977,-26.599999999999966,-25.399999999999977,-22.69999999999999,-18.0,948.7,344.4
11,12,0,0.367,0.98,1,-26.600000000000023,-20.100000000000023,-13.100000000000023,-6.600000000000023,-1.2000000000000455,9.200000000000045,13.799999999999955,18.0,21.600000000000023,23.100000000000023,-33.80000000000001,-36.39999999999998,-36.099999999999966,-33.69999999999999,-29.899999999999977,-26.80000000000001,-27.19999999999999,-26.099999999999966,-23.5,-18.899999999999977,948.0,343.7
12,13,0,0.4,0.98,1,-27.700000000000045,-21.200000000000045,-14.200000000000045,-7.600000000000023,-1.900000000000091,8.799999999999955,13.5,17.899999999999977,21.699999999999932,23.399999999999977,-33.0,-35.900000000000034,-35.900000000000034,-33.700000000000045,-30.0,-27.200000000000045,-27.700000000000045,-26.700000000000045,-24.200000000000045,-19.700000000000045,946.2,343.1
