,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.09999999999991,-30.299999999999955,-24.199999999999818,-17.699999999999818,-11.5,2.1000000000001364,9.0,16.200000000000045,23.5,29.5,-29.399999999999977,-34.19999999999999,-36.0,-35.79999999999998,-34.0,-36.19999999999999,-39.69999999999999,-41.69999999999999,-41.5,-38.099999999999994,1055.6,243.7
1,2,0,0.033,0.98,1,-35.0,-31.299999999999955,-25.200000000000045,-18.799999999999955,-12.600000000000136,2.099999999999909,9.0,16.09999999999991,23.299999999999955,29.09999999999991,-29.80000000000001,-34.400000000000006,-36.30000000000001,-36.0,-34.30000000000001,-36.70000000000002,-40.099999999999994,-42.20000000000002,-42.20000000000002,-39.099999999999994,1056.7,244.9
2,3,0,0.067,0.98,1,-35.90000000000009,-32.0,-26.0,-19.5,-13.100000000000136,1.7999999999999545,8.700000000000045,15.799999999999955,23.0,28.899999999999864,-29.599999999999994,-34.19999999999999,-36.19999999999999,-35.900000000000006,-34.19999999999999,-36.69999999999999,-40.19999999999999,-42.400000000000006,-42.5,-39.599999999999994,1057.7,245.5
3,4,0,0.1,0.98,1,-36.000000000000114,-32.200000000000045,-26.100000000000136,-19.600000000000136,-13.200000000000045,1.699999999999818,8.599999999999909,15.699999999999818,22.899999999999864,28.799999999999955,-29.400000000000006,-34.099999999999994,-36.099999999999994,-35.80000000000001,-34.099999999999994,-36.69999999999999,-40.19999999999999,-42.400000000000006,-42.599999999999994,-39.69999999999999,1058.9,245.5
4,5,0,0.133,0.98,1,-35.700000000000045,-31.899999999999864,-25.799999999999955,-19.299999999999955,-12.899999999999864,1.6000000000001364,8.5,15.600000000000136,22.90000000000009,28.799999999999955,-28.899999999999977,-33.599999999999994,-35.69999999999999,-35.5,-33.79999999999998,-36.29999999999998,-39.79999999999998,-42.0,-42.19999999999999,-39.19999999999999,1060.3,244.7
5,6,0,0.167,0.98,1,-35.80000000000018,-32.0,-25.90000000000009,-19.40000000000009,-13.0,1.5,8.399999999999864,15.5,22.899999999999864,28.799999999999955,-28.899999999999977,-33.599999999999994,-35.69999999999999,-35.39999999999998,-33.79999999999998,-36.39999999999998,-40.0,-42.19999999999999,-42.5,-39.599999999999994,1061.9,243.7
6,7,0,0.2,0.98,1,-35.5,-31.799999999999955,-25.700000000000045,-19.200000000000045,-12.900000000000091,1.599999999999909,8.5,15.700000000000045,23.0,29.0,-28.799999999999983,-33.599999999999994,-35.599999999999994,-35.39999999999998,-33.79999999999998,-36.39999999999998,-39.89999999999998,-42.19999999999999,-42.29999999999998,-39.39999999999998,1063.5,242.2
7,8,0,0.233,0.98,1,-35.0,-31.299999999999955,-25.299999999999955,-18.90000000000009,-12.700000000000045,1.7999999999999545,8.700000000000045,15.799999999999955,23.200000000000045,29.399999999999864,-28.799999999999983,-33.5,-35.400000000000006,-35.19999999999999,-33.599999999999994,-36.19999999999999,-39.79999999999998,-42.099999999999994,-42.19999999999999,-39.19999999999999,1065.2,240.6
8,9,0,0.267,0.98,1,-35.200000000000045,-31.399999999999864,-25.200000000000045,-18.700000000000045,-12.399999999999864,1.900000000000091,8.900000000000091,16.100000000000136,23.600000000000136,29.600000000000136,-29.299999999999983,-34.0,-35.900000000000006,-35.5,-33.79999999999998,-36.19999999999999,-39.79999999999998,-42.0,-42.099999999999994,-39.0,1067.3,239.6
9,10,0,0.3,0.98,1,-35.09999999999991,-31.200000000000045,-25.0,-18.40000000000009,-12.0,2.0,9.0,16.200000000000045,23.700000000000045,29.700000000000045,-29.5,-34.099999999999994,-35.900000000000006,-35.5,-33.599999999999994,-35.900000000000006,-39.400000000000006,-41.69999999999999,-41.80000000000001,-38.69999999999999,1069.5,239.0
