,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-35.89999999999998,-32.299999999999955,-26.199999999999932,-19.5,-13.099999999999909,0.5,7.100000000000136,14.200000000000045,21.5,27.600000000000136,-28.19999999999999,-33.0,-35.099999999999994,-35.099999999999994,-33.599999999999994,-36.29999999999998,-40.19999999999999,-42.599999999999994,-42.69999999999999,-39.79999999999998,1024.8,287.7
1,2,0,0.033,0.98,1,-36.500000000000114,-32.80000000000007,-26.800000000000068,-20.40000000000009,-14.100000000000136,0.1999999999998181,6.899999999999864,13.799999999999955,21.0,27.09999999999991,-27.899999999999977,-32.69999999999999,-34.89999999999998,-34.89999999999998,-33.49999999999997,-36.599999999999966,-40.39999999999998,-42.79999999999998,-43.19999999999999,-40.599999999999966,1024.4,287.4
2,3,0,0.067,0.98,1,-36.499999999999886,-32.999999999999886,-27.09999999999991,-20.59999999999991,-14.199999999999932,-0.1999999999999318,6.5,13.400000000000091,20.700000000000045,26.800000000000182,-27.5,-32.400000000000006,-34.69999999999999,-34.80000000000001,-33.400000000000006,-36.5,-40.30000000000001,-42.80000000000001,-43.19999999999999,-40.400000000000006,1024.1,287.0
3,4,0,0.1,0.98,1,-36.30000000000007,-32.700000000000045,-26.800000000000068,-20.300000000000068,-14.0,-0.10000000000002274,6.599999999999909,13.599999999999909,20.899999999999864,26.899999999999864,-27.69999999999999,-32.5,-34.80000000000001,-34.900000000000006,-33.5,-36.60000000000002,-40.400000000000006,-42.80000000000001,-43.20000000000002,-40.400000000000006,1023.7,286.8
4,5,0,0.133,0.98,1,-36.59999999999991,-33.0,-27.09999999999991,-20.59999999999991,-14.299999999999955,-0.39999999999997726,6.2000000000000455,13.200000000000045,20.5,26.5,-27.5,-32.400000000000034,-34.70000000000002,-34.80000000000001,-33.400000000000034,-36.50000000000003,-40.400000000000034,-42.900000000000034,-43.30000000000001,-40.60000000000002,1023.8,286.6
5,6,0,0.167,0.98,1,-36.799999999999955,-33.299999999999955,-27.299999999999955,-20.799999999999955,-14.299999999999955,-0.6999999999999318,6.000000000000114,13.000000000000114,20.300000000000068,26.399999999999977,-27.30000000000001,-32.19999999999999,-34.5,-34.599999999999994,-33.19999999999999,-36.30000000000001,-40.30000000000001,-42.80000000000001,-43.30000000000001,-40.69999999999999,1023.9,286.5
6,7,0,0.2,0.98,1,-36.69999999999993,-33.299999999999955,-27.299999999999955,-20.699999999999932,-14.199999999999932,-0.599999999999909,6.0,13.100000000000136,20.5,26.600000000000136,-27.099999999999966,-32.099999999999966,-34.39999999999998,-34.49999999999997,-33.099999999999966,-36.19999999999999,-40.19999999999999,-42.79999999999998,-43.29999999999998,-40.599999999999966,1023.8,286.4
7,8,0,0.233,0.98,1,-36.59999999999991,-33.19999999999993,-27.199999999999932,-20.699999999999932,-14.199999999999932,-0.6999999999999318,6.0,13.100000000000136,20.5,26.700000000000045,-27.099999999999966,-32.099999999999966,-34.49999999999997,-34.599999999999966,-33.099999999999966,-36.19999999999999,-40.19999999999999,-42.79999999999998,-43.29999999999998,-40.49999999999997,1023.8,286.4
8,9,0,0.267,0.98,1,-36.5,-33.10000000000002,-27.100000000000023,-20.5,-14.100000000000023,-0.6000000000000227,6.099999999999909,13.200000000000045,20.59999999999991,26.799999999999955,-27.099999999999966,-32.099999999999966,-34.39999999999998,-34.599999999999966,-33.099999999999966,-36.19999999999999,-40.19999999999999,-42.69999999999999,-43.19999999999999,-40.49999999999997,1023.7,286.4
9,10,0,0.3,0.98,1,-36.69999999999993,-33.19999999999993,-27.199999999999932,-20.59999999999991,-14.199999999999932,-0.6999999999999318,5.900000000000091,13.0,20.40000000000009,26.600000000000136,-27.0,-31.99999999999997,-34.39999999999998,-34.49999999999997,-32.99999999999997,-36.099999999999966,-40.099999999999966,-42.79999999999998,-43.29999999999998,-40.599999999999966,1023.8,286.4
10,11,0,0.333,0.98,1,-36.69999999999993,-33.19999999999993,-27.199999999999932,-20.699999999999932,-14.199999999999932,-0.6999999999999318,5.900000000000091,13.0,20.40000000000009,26.600000000000136,-27.0,-31.99999999999997,-34.39999999999998,-34.49999999999997,-33.099999999999966,-36.19999999999999,-40.19999999999999,-42.79999999999998,-43.29999999999998,-40.599999999999966,1023.8,286.4
11,12,0,0.367,0.98,1,-36.69999999999993,-33.19999999999993,-27.299999999999955,-20.699999999999932,-14.299999999999955,-0.6999999999999318,5.900000000000091,13.0,20.40000000000009,26.600000000000136,-27.30000000000001,-32.19999999999999,-34.599999999999994,-34.69999999999999,-33.19999999999999,-36.30000000000001,-40.30000000000001,-42.900000000000006,-43.5,-40.80000000000001,1023.8,286.5
12,13,0,0.4,0.98,1,-36.40000000000009,-33.0,-27.100000000000023,-20.600000000000023,-14.100000000000023,-0.6000000000000227,6.0,13.200000000000045,20.59999999999991,26.799999999999955,-27.100000000000023,-32.10000000000002,-34.5,-34.70000000000002,-33.20000000000002,-36.400000000000006,-40.400000000000006,-42.900000000000006,-43.400000000000006,-40.60000000000002,1023.7,286.3
13,14,0,0.433,0.98,1,-36.40000000000009,-33.0,-27.100000000000023,-20.600000000000023,-14.100000000000023,-0.7000000000000455,6.0,13.099999999999909,20.59999999999991,26.700000000000045,-27.0,-32.0,-34.5,-34.599999999999994,-33.19999999999999,-36.29999999999998,-40.29999999999998,-42.89999999999998,-43.29999999999998,-40.5,1023.7,286.2
14,15,0,0.467,0.98,1,-36.299999999999955,-33.0,-27.09999999999991,-20.5,-14.099999999999909,-0.599999999999909,6.100000000000136,13.200000000000045,20.700000000000045,26.799999999999955,-27.30000000000001,-32.30000000000001,-34.69999999999999,-34.900000000000006,-33.400000000000006,-36.5,-40.400000000000006,-42.900000000000006,-43.30000000000001,-40.400000000000006,1023.8,286.0
15,16,0,0.5,0.98,1,-36.299999999999955,-33.0,-27.09999999999991,-20.59999999999991,-14.199999999999932,-0.5,6.2000000000000455,13.299999999999955,20.799999999999955,26.90000000000009,-27.19999999999999,-32.29999999999998,-34.79999999999998,-34.99999999999997,-33.49999999999997,-36.599999999999966,-40.49999999999997,-42.99999999999997,-43.29999999999998,-40.39999999999998,1023.8,285.9
16,17,0,0.533,0.98,1,-34.80000000000007,-31.700000000000045,-26.0,-19.800000000000068,-13.700000000000045,-0.10000000000002274,6.600000000000023,13.699999999999932,21.199999999999932,27.600000000000023,-27.80000000000001,-32.50000000000003,-34.60000000000002,-34.80000000000001,-33.60000000000002,-36.70000000000002,-40.70000000000002,-43.10000000000002,-43.30000000000001,-40.60000000000002,1023.1,286.1
17,18,0,0.567,0.98,1,-34.5,-31.399999999999977,-25.800000000000068,-19.600000000000023,-13.600000000000023,0.10000000000002274,6.800000000000068,13.899999999999977,21.300000000000068,27.800000000000068,-27.80000000000001,-32.50000000000003,-34.50000000000003,-34.70000000000002,-33.50000000000003,-36.70000000000002,-40.60000000000002,-43.00000000000003,-43.20000000000002,-40.400000000000034,1023.1,286.1
18,19,0,0.6,0.98,1,-34.30000000000007,-31.300000000000068,-25.700000000000045,-19.5,-13.600000000000023,0.10000000000002274,6.800000000000068,13.899999999999977,21.399999999999977,27.899999999999977,-27.899999999999977,-32.5,-34.599999999999994,-34.69999999999999,-33.599999999999994,-36.69999999999999,-40.69999999999999,-43.099999999999994,-43.19999999999999,-40.39999999999998,1023.1,286.2
19,20,0,0.633,0.98,1,-34.30000000000007,-31.200000000000045,-25.600000000000023,-19.40000000000009,-13.5,0.0,6.7999999999999545,13.899999999999864,21.399999999999864,27.899999999999864,-27.69999999999999,-32.39999999999998,-34.39999999999998,-34.599999999999994,-33.39999999999998,-36.5,-40.5,-42.89999999999998,-43.099999999999994,-40.19999999999999,1023.2,286.2
20,21,0,0.667,0.98,1,-34.30000000000007,-31.200000000000045,-25.5,-19.300000000000068,-13.300000000000068,0.09999999999990905,6.899999999999864,14.099999999999909,21.59999999999991,28.09999999999991,-27.69999999999999,-32.400000000000006,-34.400000000000006,-34.60000000000002,-33.400000000000006,-36.5,-40.5,-42.900000000000006,-43.0,-40.20000000000002,1023.2,286.3
21,22,0,0.7,0.98,1,-34.200000000000045,-31.0,-25.399999999999977,-19.200000000000045,-13.200000000000045,0.2999999999999545,7.100000000000023,14.199999999999932,21.800000000000068,28.300000000000068,-28.0,-32.69999999999999,-34.599999999999966,-34.79999999999998,-33.599999999999966,-36.599999999999966,-40.599999999999966,-42.99999999999997,-43.099999999999966,-40.29999999999998,1023.1,286.4
22,23,0,0.733,0.98,1,-34.0,-30.90000000000009,-25.300000000000068,-19.100000000000023,-13.300000000000068,0.2999999999999545,7.099999999999909,14.200000000000045,21.700000000000045,28.200000000000045,-27.899999999999977,-32.69999999999999,-34.69999999999999,-34.80000000000001,-33.69999999999999,-36.69999999999999,-40.69999999999999,-43.099999999999994,-43.19999999999999,-40.30000000000001,1023.2,286.5
23,24,0,0.767,0.98,1,-34.200000000000045,-31.100000000000023,-25.5,-19.300000000000068,-13.399999999999977,0.10000000000002274,6.899999999999977,13.999999999999886,21.600000000000023,28.100000000000023,-28.100000000000023,-32.80000000000001,-34.80000000000001,-35.0,-33.80000000000001,-36.80000000000001,-40.900000000000006,-43.20000000000002,-43.30000000000001,-40.400000000000006,1023.6,286.8
24,25,0,0.8,0.98,1,-34.19999999999993,-31.100000000000023,-25.5,-19.299999999999955,-13.399999999999977,0.3000000000000682,7.100000000000023,14.199999999999932,21.699999999999932,28.100000000000023,-28.19999999999999,-32.89999999999998,-34.89999999999998,-35.099999999999994,-33.89999999999998,-36.89999999999998,-40.89999999999998,-43.19999999999999,-43.29999999999998,-40.39999999999998,1023.9,287.2
25,26,0,0.833,0.98,1,-34.299999999999955,-31.100000000000023,-25.399999999999977,-19.200000000000045,-13.200000000000045,0.5,7.2999999999999545,14.400000000000091,21.799999999999955,28.200000000000045,-28.600000000000023,-33.20000000000002,-35.10000000000002,-35.20000000000002,-34.00000000000003,-36.900000000000034,-40.900000000000034,-43.20000000000002,-43.20000000000002,-40.30000000000001,1024.5,287.6
