,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.03,1,22.200000000000045,16.5,11.700000000000045,7.300000000000068,4.399999999999977,7.899999999999977,13.100000000000023,20.399999999999977,28.0,35.39999999999998,24.799999999999955,12.599999999999909,0.0,-10.800000000000068,-19.0,-37.5,-49.0,-59.10000000000002,-67.10000000000002,-69.40000000000009,915.9,653.2
1,2,0,0.033,0.03,0,31.200000000000045,26.399999999999977,21.299999999999955,16.200000000000045,12.5,15.200000000000045,20.899999999999977,27.700000000000045,34.5,40.60000000000002,28.300000000000068,15.5,2.7000000000000455,-8.100000000000023,-16.399999999999977,-34.799999999999955,-46.10000000000002,-56.299999999999955,-64.60000000000002,-67.29999999999995,920.0,652.9
2,3,0,0.067,0.03,0,26.799999999999955,23.299999999999955,19.899999999999977,16.199999999999932,13.799999999999955,19.399999999999977,25.799999999999955,32.89999999999998,39.799999999999955,45.69999999999993,33.39999999999998,20.299999999999955,6.899999999999977,-4.2000000000000455,-12.899999999999977,-31.899999999999977,-42.5,-52.0,-60.0,-62.5,921.2,653.1
3,4,0,0.1,0.03,0,24.299999999999955,21.200000000000045,18.399999999999977,15.200000000000045,13.200000000000045,19.299999999999955,26.100000000000023,33.200000000000045,40.200000000000045,46.10000000000002,31.399999999999977,18.600000000000023,5.600000000000023,-5.2000000000000455,-13.600000000000023,-31.299999999999955,-41.200000000000045,-50.10000000000002,-57.200000000000045,-58.60000000000002,921.5,652.0
4,5,0,0.133,0.03,0,22.299999999999955,19.5,17.0,14.100000000000023,12.600000000000023,19.5,26.5,33.89999999999998,41.10000000000002,47.10000000000002,32.5,19.600000000000023,6.399999999999977,-4.399999999999977,-13.0,-31.199999999999932,-41.0,-49.69999999999993,-56.69999999999993,-58.0,920.6,652.4
5,6,0,0.167,0.98,1,-31.0,-25.0,-17.799999999999955,-10.799999999999955,-4.599999999999909,6.7000000000000455,12.100000000000023,17.40000000000009,22.200000000000045,24.90000000000009,-31.700000000000045,-35.60000000000002,-36.5,-35.10000000000002,-32.30000000000001,-31.900000000000034,-33.700000000000045,-34.10000000000002,-32.60000000000002,-28.400000000000034,953.3,332.6
6,7,0,0.2,0.98,1,-30.800000000000068,-24.700000000000045,-17.600000000000023,-10.800000000000068,-4.600000000000023,7.2999999999999545,12.599999999999909,17.59999999999991,22.299999999999955,24.899999999999977,-31.899999999999977,-35.5,-36.30000000000001,-34.89999999999998,-32.19999999999999,-31.69999999999999,-33.39999999999998,-33.80000000000001,-32.5,-28.5,953.7,332.7
7,8,0,0.233,0.98,1,-30.899999999999977,-24.700000000000045,-17.600000000000023,-10.800000000000068,-4.600000000000023,7.100000000000023,12.399999999999977,17.399999999999977,22.100000000000023,24.600000000000023,-32.0,-35.599999999999966,-36.39999999999998,-35.0,-32.299999999999955,-31.799999999999955,-33.5,-33.89999999999998,-32.599999999999966,-28.69999999999999,954.1,332.9
8,9,0,0.267,0.98,1,-30.799999999999955,-24.59999999999991,-17.5,-10.699999999999932,-4.5,7.300000000000068,12.5,17.5,22.200000000000045,24.700000000000045,-31.899999999999977,-35.5,-36.30000000000001,-34.89999999999998,-32.10000000000002,-31.600000000000023,-33.19999999999999,-33.60000000000002,-32.30000000000001,-28.399999999999977,954.3,333.0
9,10,0,0.3,0.98,1,-30.600000000000023,-24.399999999999977,-17.299999999999955,-10.5,-4.2999999999999545,7.5,12.700000000000045,17.799999999999955,22.399999999999977,25.0,-31.899999999999977,-35.5,-36.30000000000001,-34.89999999999998,-32.10000000000002,-31.600000000000023,-33.19999999999999,-33.5,-32.19999999999999,-28.30000000000001,954.5,333.0
10,11,0,0.333,0.98,1,-30.600000000000023,-24.5,-17.40000000000009,-10.600000000000023,-4.400000000000091,7.599999999999909,12.799999999999955,17.799999999999955,22.5,25.09999999999991,-32.0,-35.5,-36.30000000000001,-34.80000000000001,-32.10000000000002,-31.5,-33.10000000000002,-33.5,-32.19999999999999,-28.30000000000001,954.7,333.0
11,12,0,0.367,0.98,1,-30.699999999999932,-24.600000000000023,-17.5,-10.600000000000023,-4.399999999999977,7.600000000000023,12.899999999999977,17.899999999999977,22.600000000000023,25.100000000000023,-32.0,-35.5,-36.30000000000001,-34.80000000000001,-32.0,-31.399999999999977,-33.0,-33.39999999999998,-32.10000000000002,-28.19999999999999,954.9,333.0
12,13,0,0.4,0.98,1,-30.600000000000023,-24.5,-17.399999999999977,-10.5,-4.2999999999999545,7.7999999999999545,13.100000000000023,18.100000000000023,22.799999999999955,25.299999999999955,-32.0,-35.5,-36.30000000000001,-34.80000000000001,-32.0,-31.30000000000001,-33.0,-33.30000000000001,-32.0,-28.19999999999999,955.0,333.0
13,14,0,0.433,0.98,1,-30.700000000000045,-24.600000000000023,-17.5,-10.600000000000023,-4.300000000000068,7.7999999999999545,13.100000000000023,18.100000000000023,22.799999999999955,25.299999999999955,-32.0,-35.5,-36.30000000000001,-34.80000000000001,-31.899999999999977,-31.30000000000001,-32.89999999999998,-33.30000000000001,-32.10000000000002,-28.30000000000001,955.1,333.0
14,15,0,0.467,0.98,1,-30.59999999999991,-24.399999999999977,-17.299999999999955,-10.399999999999977,-4.199999999999932,7.900000000000091,13.200000000000045,18.300000000000068,22.90000000000009,25.300000000000068,-32.10000000000002,-35.60000000000002,-36.30000000000001,-34.80000000000001,-32.0,-31.30000000000001,-32.900000000000034,-33.200000000000045,-31.900000000000034,-28.100000000000023,955.3,333.1
15,16,0,0.5,0.98,1,-30.700000000000045,-24.600000000000023,-17.399999999999977,-10.5,-4.2000000000000455,7.899999999999977,13.299999999999955,18.399999999999977,23.0,25.399999999999977,-32.0,-35.5,-36.39999999999998,-34.89999999999998,-32.0,-31.30000000000001,-32.80000000000001,-33.099999999999966,-31.69999999999999,-27.80000000000001,955.5,333.2
16,17,0,0.533,0.98,1,-30.600000000000023,-24.5,-17.40000000000009,-10.5,-4.2000000000000455,7.899999999999977,13.199999999999932,18.299999999999955,23.0,25.399999999999977,-32.099999999999966,-35.69999999999999,-36.5,-35.0,-32.099999999999966,-31.399999999999977,-32.89999999999998,-33.19999999999999,-31.799999999999955,-27.799999999999955,955.7,333.4
17,18,0,0.567,0.98,1,-30.799999999999955,-24.600000000000023,-17.399999999999977,-10.5,-4.2000000000000455,7.899999999999977,13.200000000000045,18.299999999999955,23.0,25.399999999999977,-32.200000000000045,-35.700000000000045,-36.60000000000002,-35.10000000000002,-32.200000000000045,-31.400000000000034,-33.0,-33.30000000000001,-31.80000000000001,-27.80000000000001,956.0,333.6
18,19,0,0.6,0.98,1,-30.600000000000023,-24.5,-17.300000000000068,-10.399999999999977,-4.100000000000023,7.899999999999977,13.299999999999955,18.399999999999977,23.0,25.399999999999977,-32.19999999999999,-35.80000000000001,-36.5,-35.0,-32.19999999999999,-31.399999999999977,-32.89999999999998,-33.19999999999999,-31.69999999999999,-27.69999999999999,956.1,333.5
19,20,0,0.633,0.98,1,-30.5,-24.300000000000068,-17.100000000000023,-10.200000000000045,-4.0,8.099999999999909,13.399999999999977,18.5,23.199999999999932,25.59999999999991,-32.30000000000001,-35.80000000000001,-36.5,-35.0,-32.10000000000002,-31.30000000000001,-32.80000000000001,-33.10000000000002,-31.69999999999999,-27.69999999999999,956.2,333.5
20,21,0,0.667,0.98,1,-30.5,-24.299999999999955,-17.100000000000023,-10.299999999999955,-4.0,8.0,13.399999999999977,18.5,23.200000000000045,25.600000000000023,-32.30000000000001,-35.900000000000034,-36.700000000000045,-35.10000000000002,-32.30000000000001,-31.5,-33.0,-33.30000000000001,-31.80000000000001,-27.80000000000001,956.4,333.6
21,22,0,0.7,0.98,1,-30.100000000000023,-24.0,-16.899999999999977,-10.0,-3.7999999999999545,8.399999999999977,13.700000000000045,18.700000000000045,23.399999999999977,25.799999999999955,-32.400000000000034,-36.0,-36.700000000000045,-35.200000000000045,-32.400000000000034,-31.600000000000023,-33.0,-33.200000000000045,-31.80000000000001,-27.700000000000045,956.5,333.6
22,23,0,0.733,0.98,1,-30.299999999999955,-24.09999999999991,-16.899999999999977,-10.099999999999909,-3.8999999999999773,8.300000000000068,13.600000000000023,18.700000000000045,23.40000000000009,25.800000000000068,-32.5,-36.0,-36.80000000000001,-35.19999999999999,-32.39999999999998,-31.599999999999966,-33.099999999999966,-33.30000000000001,-31.80000000000001,-27.80000000000001,956.8,333.7
23,24,0,0.767,0.98,1,-30.200000000000045,-24.0,-16.800000000000068,-10.0,-3.800000000000068,8.199999999999932,13.5,18.600000000000023,23.299999999999955,25.699999999999932,-32.39999999999998,-36.0,-36.69999999999999,-35.19999999999999,-32.39999999999998,-31.5,-33.0,-33.30000000000001,-31.80000000000001,-27.69999999999999,957.1,333.7
24,25,0,0.8,0.98,1,-30.5,-24.200000000000045,-17.0,-10.100000000000023,-3.8999999999999773,8.100000000000023,13.5,18.600000000000023,23.299999999999955,25.700000000000045,-32.5,-36.10000000000002,-36.80000000000001,-35.19999999999999,-32.400000000000034,-31.600000000000023,-33.10000000000002,-33.400000000000034,-31.900000000000034,-27.80000000000001,957.5,333.8
