,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.600000000000023,-24.299999999999955,-17.0,-10.0,-3.7999999999999545,7.399999999999977,12.5,17.5,22.0,24.100000000000023,-32.599999999999966,-36.099999999999966,-36.69999999999999,-35.0,-31.69999999999999,-30.599999999999966,-32.099999999999966,-32.299999999999955,-30.599999999999966,-26.399999999999977,933.0,343.4
1,2,0,0.033,0.98,1,-30.100000000000023,-23.700000000000045,-16.5,-9.600000000000023,-3.5,8.0,13.0,17.799999999999955,22.100000000000023,24.100000000000023,-33.19999999999999,-36.5,-37.0,-35.19999999999999,-31.900000000000034,-30.69999999999999,-32.19999999999999,-32.400000000000034,-30.69999999999999,-26.600000000000023,932.0,343.8
2,3,0,0.067,0.98,1,-29.899999999999977,-23.600000000000023,-16.299999999999955,-9.399999999999977,-3.3999999999999773,7.600000000000023,12.600000000000023,17.399999999999977,21.700000000000045,23.800000000000068,-33.10000000000002,-36.400000000000034,-36.80000000000001,-35.0,-31.600000000000023,-30.400000000000034,-31.900000000000034,-32.10000000000002,-30.5,-26.400000000000034,930.9,343.8
3,4,0,0.1,0.98,1,-29.799999999999955,-23.5,-16.299999999999955,-9.399999999999977,-3.5,7.800000000000068,12.700000000000045,17.399999999999977,21.5,23.399999999999977,-33.30000000000001,-36.5,-37.0,-35.19999999999999,-31.80000000000001,-30.399999999999977,-31.899999999999977,-32.0,-30.399999999999977,-26.30000000000001,929.9,343.7
4,5,0,0.133,0.98,1,-29.600000000000023,-23.200000000000045,-16.100000000000023,-9.299999999999955,-3.2999999999999545,7.899999999999977,12.700000000000045,17.399999999999977,21.5,23.399999999999977,-33.60000000000002,-36.80000000000001,-37.19999999999999,-35.30000000000001,-31.899999999999977,-30.399999999999977,-31.80000000000001,-31.80000000000001,-30.19999999999999,-26.100000000000023,928.5,343.5
5,6,0,0.167,0.98,1,-29.600000000000023,-23.199999999999932,-16.0,-9.199999999999932,-3.2999999999999545,7.7000000000000455,12.5,17.100000000000023,21.100000000000023,23.0,-33.69999999999999,-36.89999999999998,-37.19999999999999,-35.19999999999999,-31.80000000000001,-30.099999999999966,-31.399999999999977,-31.399999999999977,-29.80000000000001,-25.80000000000001,927.4,343.2
6,7,0,0.2,0.98,1,-29.299999999999955,-22.799999999999955,-15.699999999999932,-8.899999999999977,-3.0,8.300000000000068,13.0,17.5,21.40000000000009,23.100000000000023,-34.10000000000002,-37.19999999999999,-37.5,-35.5,-31.900000000000034,-30.100000000000023,-31.19999999999999,-31.100000000000023,-29.400000000000034,-25.30000000000001,925.8,342.8
7,8,0,0.233,0.98,1,-28.700000000000045,-22.200000000000045,-15.100000000000023,-8.5,-2.7000000000000455,8.5,13.199999999999932,17.600000000000023,21.600000000000023,23.199999999999932,-34.39999999999998,-37.39999999999998,-37.69999999999999,-35.599999999999966,-32.0,-29.899999999999977,-31.0,-30.799999999999955,-29.0,-24.899999999999977,924.1,342.4
8,9,0,0.267,0.98,1,-28.299999999999955,-21.799999999999955,-14.600000000000023,-8.0,-2.2000000000000455,8.899999999999977,13.600000000000023,18.0,21.799999999999955,23.299999999999955,-34.89999999999998,-37.69999999999999,-37.89999999999998,-35.69999999999999,-32.0,-29.69999999999999,-30.600000000000023,-30.30000000000001,-28.5,-24.30000000000001,922.5,342.0
9,10,0,0.3,0.98,1,-28.100000000000023,-21.5,-14.399999999999977,-7.699999999999932,-2.0,9.100000000000023,13.700000000000045,18.0,21.899999999999977,23.300000000000068,-34.80000000000001,-37.69999999999999,-37.80000000000001,-35.5,-31.80000000000001,-29.30000000000001,-30.100000000000023,-29.69999999999999,-27.80000000000001,-23.600000000000023,920.9,341.5
10,11,0,0.333,0.98,1,-28.0,-21.399999999999977,-14.299999999999955,-7.600000000000023,-1.8999999999999773,8.899999999999977,13.5,17.800000000000068,21.600000000000023,23.0,-35.0,-37.89999999999998,-37.89999999999998,-35.5,-31.69999999999999,-29.0,-29.69999999999999,-29.19999999999999,-27.30000000000001,-23.0,919.4,341.2
11,12,0,0.367,0.98,1,-27.5,-20.90000000000009,-13.800000000000068,-7.2000000000000455,-1.6000000000000227,9.199999999999932,13.599999999999909,17.899999999999977,21.5,22.899999999999977,-35.10000000000002,-37.80000000000001,-37.80000000000001,-35.400000000000034,-31.5,-28.69999999999999,-29.19999999999999,-28.600000000000023,-26.5,-22.30000000000001,917.7,340.8
