,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.09999999999991,-30.199999999999932,-24.0,-17.299999999999955,-11.0,3.2000000000000455,10.100000000000136,17.200000000000045,24.40000000000009,30.100000000000136,-30.100000000000023,-34.900000000000034,-36.80000000000001,-36.50000000000003,-34.60000000000002,-36.50000000000003,-39.900000000000034,-41.60000000000002,-41.10000000000002,-37.50000000000003,1036.3,282.1
1,2,0,0.033,0.98,1,-34.10000000000002,-30.299999999999955,-24.200000000000045,-17.600000000000023,-11.299999999999955,3.099999999999909,10.0,17.09999999999991,24.299999999999955,30.0,-30.5,-35.099999999999994,-36.900000000000006,-36.5,-34.599999999999994,-36.5,-39.900000000000006,-41.599999999999994,-41.19999999999999,-37.900000000000006,1036.5,282.0
2,3,0,0.067,0.98,1,-34.40000000000009,-30.500000000000114,-24.40000000000009,-17.90000000000009,-11.600000000000136,3.099999999999909,10.0,17.0,24.09999999999991,29.799999999999955,-30.19999999999999,-34.80000000000001,-36.69999999999999,-36.30000000000001,-34.5,-36.5,-39.80000000000001,-41.5,-41.19999999999999,-37.900000000000006,1036.9,282.0
3,4,0,0.1,0.98,1,-34.299999999999955,-30.399999999999864,-24.299999999999955,-17.799999999999955,-11.5,3.2000000000000455,10.0,17.0,24.100000000000136,29.700000000000045,-30.19999999999999,-34.80000000000001,-36.599999999999994,-36.30000000000001,-34.599999999999994,-36.5,-39.69999999999999,-41.400000000000006,-41.099999999999994,-37.80000000000001,1037.1,282.0
4,5,0,0.133,0.98,1,-34.30000000000007,-30.40000000000009,-24.300000000000068,-17.700000000000045,-11.400000000000091,3.099999999999909,10.0,17.0,24.0,29.59999999999991,-30.19999999999999,-34.80000000000001,-36.599999999999994,-36.30000000000001,-34.5,-36.400000000000006,-39.69999999999999,-41.400000000000006,-41.0,-37.69999999999999,1037.2,282.0
5,6,0,0.167,0.98,1,-34.19999999999993,-30.299999999999955,-24.199999999999932,-17.59999999999991,-11.399999999999864,3.1000000000001364,10.0,17.0,24.100000000000136,29.700000000000045,-30.30000000000001,-34.900000000000034,-36.70000000000002,-36.400000000000034,-34.60000000000002,-36.50000000000003,-39.70000000000002,-41.50000000000003,-41.00000000000003,-37.70000000000002,1037.3,282.1
6,7,0,0.2,0.98,1,-34.299999999999955,-30.399999999999977,-24.299999999999955,-17.699999999999932,-11.5,3.0,9.900000000000091,16.90000000000009,24.0,29.5,-30.299999999999983,-34.89999999999998,-36.69999999999999,-36.39999999999998,-34.599999999999994,-36.599999999999994,-39.79999999999998,-41.5,-41.099999999999994,-37.79999999999998,1037.3,282.2
7,8,0,0.233,0.98,1,-34.30000000000007,-30.40000000000009,-24.200000000000045,-17.600000000000023,-11.299999999999955,2.8999999999998636,9.899999999999864,16.899999999999864,24.0,29.700000000000045,-30.200000000000017,-34.80000000000001,-36.70000000000002,-36.30000000000001,-34.5,-36.400000000000006,-39.60000000000002,-41.400000000000006,-41.0,-37.70000000000002,1037.2,282.3
8,9,0,0.267,0.98,1,-34.59999999999991,-30.699999999999932,-24.499999999999886,-17.899999999999864,-11.5,2.7000000000000455,9.600000000000136,16.700000000000045,23.90000000000009,29.600000000000136,-29.99999999999997,-34.69999999999999,-36.599999999999966,-36.29999999999998,-34.49999999999997,-36.39999999999998,-39.69999999999999,-41.49999999999997,-41.099999999999966,-37.79999999999998,1037.1,282.4
9,10,0,0.3,0.98,1,-34.700000000000045,-30.799999999999955,-24.600000000000023,-18.0,-11.599999999999909,2.599999999999909,9.599999999999909,16.700000000000045,23.90000000000009,29.5,-30.0,-34.69999999999999,-36.599999999999994,-36.30000000000001,-34.5,-36.400000000000006,-39.69999999999999,-41.5,-41.099999999999994,-37.80000000000001,1037.0,282.5
10,11,0,0.333,0.98,1,-34.59999999999991,-30.699999999999932,-24.59999999999991,-17.999999999999886,-11.599999999999909,2.7000000000000455,9.600000000000136,16.700000000000045,23.90000000000009,29.5,-29.900000000000006,-34.69999999999999,-36.599999999999994,-36.30000000000001,-34.5,-36.400000000000006,-39.69999999999999,-41.5,-41.099999999999994,-37.80000000000001,1036.6,282.5
11,12,0,0.367,0.98,1,-34.600000000000136,-30.700000000000045,-24.600000000000136,-18.000000000000114,-11.600000000000136,2.599999999999909,9.599999999999909,16.699999999999818,23.899999999999864,29.5,-30.00000000000003,-34.70000000000002,-36.70000000000002,-36.400000000000034,-34.50000000000003,-36.50000000000003,-39.80000000000001,-41.60000000000002,-41.20000000000002,-37.900000000000034,1036.4,282.6
12,13,0,0.4,0.98,1,-34.499999999999886,-30.699999999999932,-24.699999999999932,-17.999999999999886,-11.599999999999909,2.5,9.400000000000091,16.600000000000136,23.800000000000182,29.5,-29.900000000000034,-34.70000000000002,-36.60000000000002,-36.30000000000001,-34.400000000000034,-36.400000000000034,-39.70000000000002,-41.50000000000003,-41.20000000000002,-37.80000000000001,1036.1,282.6
13,14,0,0.433,0.98,1,-34.09999999999991,-30.399999999999864,-24.299999999999955,-17.699999999999932,-11.299999999999955,2.6000000000001364,9.600000000000136,16.800000000000182,24.100000000000136,29.700000000000045,-29.900000000000034,-34.70000000000002,-36.60000000000002,-36.30000000000001,-34.400000000000034,-36.30000000000001,-39.70000000000002,-41.50000000000003,-41.10000000000002,-37.60000000000002,1035.6,282.6
14,15,0,0.467,0.98,1,-34.10000000000002,-30.399999999999977,-24.399999999999977,-17.799999999999955,-11.5,2.7000000000000455,9.599999999999909,16.799999999999955,24.0,29.59999999999991,-30.099999999999994,-34.79999999999998,-36.79999999999998,-36.39999999999998,-34.599999999999994,-36.5,-39.79999999999998,-41.599999999999994,-41.19999999999999,-37.79999999999998,1035.5,282.7
15,16,0,0.5,0.98,1,-34.100000000000136,-30.300000000000068,-24.40000000000009,-17.90000000000009,-11.600000000000136,2.7999999999999545,9.799999999999955,16.899999999999864,24.0,29.59999999999991,-30.200000000000017,-34.900000000000006,-36.900000000000006,-36.5,-34.70000000000002,-36.60000000000002,-39.900000000000006,-41.70000000000002,-41.30000000000001,-37.900000000000006,1035.4,282.8
16,17,0,0.533,0.98,1,-34.09999999999991,-30.299999999999955,-24.299999999999955,-17.799999999999955,-11.5,2.900000000000091,9.799999999999955,16.90000000000009,24.100000000000136,29.600000000000136,-30.299999999999983,-34.99999999999997,-36.89999999999998,-36.599999999999966,-34.69999999999999,-36.599999999999966,-39.89999999999998,-41.69999999999999,-41.29999999999998,-37.89999999999998,1035.3,282.9
17,18,0,0.567,0.98,1,-34.09999999999991,-30.299999999999955,-24.199999999999932,-17.699999999999932,-11.5,2.7999999999999545,9.799999999999955,16.90000000000009,24.0,29.600000000000136,-30.399999999999977,-34.99999999999997,-36.89999999999998,-36.49999999999997,-34.69999999999999,-36.599999999999966,-39.79999999999998,-41.599999999999966,-41.19999999999999,-37.89999999999998,1035.3,282.9
18,19,0,0.6,0.98,1,-34.0,-30.100000000000023,-24.100000000000023,-17.600000000000023,-11.400000000000091,3.0,9.899999999999864,17.0,24.09999999999991,29.700000000000045,-30.49999999999997,-35.099999999999966,-36.89999999999998,-36.49999999999997,-34.69999999999999,-36.599999999999966,-39.79999999999998,-41.599999999999966,-41.19999999999999,-37.89999999999998,1035.2,282.9
19,20,0,0.633,0.98,1,-34.0,-30.200000000000045,-24.100000000000023,-17.600000000000023,-11.400000000000091,2.8999999999998636,9.799999999999955,16.899999999999864,24.09999999999991,29.700000000000045,-30.299999999999983,-34.99999999999997,-36.79999999999998,-36.39999999999998,-34.599999999999966,-36.49999999999997,-39.69999999999999,-41.49999999999997,-41.19999999999999,-37.89999999999998,1035.2,282.9
20,21,0,0.667,0.98,1,-34.0,-30.200000000000045,-24.100000000000023,-17.600000000000023,-11.300000000000068,2.8999999999998636,9.799999999999955,16.899999999999864,24.09999999999991,29.799999999999955,-30.399999999999977,-34.99999999999997,-36.79999999999998,-36.39999999999998,-34.599999999999966,-36.49999999999997,-39.69999999999999,-41.49999999999997,-41.19999999999999,-37.89999999999998,1035.2,282.9
