,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.399999999999864,-28.5,-22.399999999999864,-15.899999999999864,-9.700000000000045,3.400000000000091,10.299999999999955,17.40000000000009,24.700000000000045,30.5,-30.200000000000017,-34.80000000000001,-36.5,-36.10000000000002,-34.20000000000002,-35.900000000000006,-39.30000000000001,-41.0,-40.5,-36.900000000000006,1072.8,231.3
1,2,0,0.033,0.98,1,-32.80000000000018,-29.0,-23.0,-16.600000000000136,-10.600000000000136,3.699999999999818,10.599999999999909,17.59999999999991,24.699999999999818,30.5,-30.299999999999983,-34.79999999999998,-36.5,-36.099999999999994,-34.5,-36.39999999999998,-39.5,-41.19999999999999,-40.79999999999998,-37.5,1073.4,231.2
2,3,0,0.067,0.98,1,-33.100000000000136,-29.200000000000045,-23.200000000000045,-16.90000000000009,-10.800000000000182,3.599999999999909,10.5,17.59999999999991,24.699999999999818,30.399999999999864,-30.5,-35.0,-36.70000000000002,-36.30000000000001,-34.60000000000002,-36.5,-39.70000000000002,-41.400000000000006,-41.10000000000002,-37.70000000000002,1073.9,231.3
3,4,0,0.1,0.98,1,-33.40000000000009,-29.40000000000009,-23.40000000000009,-17.0,-10.900000000000091,3.5,10.400000000000091,17.5,24.59999999999991,30.299999999999955,-30.5,-35.10000000000002,-36.70000000000002,-36.30000000000001,-34.60000000000002,-36.60000000000002,-39.80000000000001,-41.5,-41.20000000000002,-38.0,1074.5,231.3
4,5,0,0.133,0.98,1,-33.399999999999864,-29.5,-23.399999999999864,-17.0,-10.799999999999955,3.5,10.5,17.5,24.600000000000136,30.300000000000182,-30.5,-35.0,-36.70000000000002,-36.30000000000001,-34.60000000000002,-36.60000000000002,-39.70000000000002,-41.5,-41.20000000000002,-37.900000000000006,1075.1,231.3
5,6,0,0.167,0.98,1,-33.299999999999955,-29.40000000000009,-23.40000000000009,-17.0,-10.799999999999955,3.5,10.5,17.5,24.700000000000045,30.399999999999864,-30.5,-35.0,-36.70000000000002,-36.30000000000001,-34.60000000000002,-36.5,-39.70000000000002,-41.400000000000006,-41.10000000000002,-37.80000000000001,1075.7,231.3
6,7,0,0.2,0.98,1,-33.09999999999991,-29.200000000000045,-23.200000000000045,-16.799999999999955,-10.799999999999955,3.6000000000001364,10.5,17.5,24.600000000000136,30.299999999999955,-30.5,-35.0,-36.80000000000001,-36.30000000000001,-34.70000000000002,-36.60000000000002,-39.70000000000002,-41.5,-41.10000000000002,-37.80000000000001,1076.3,231.3
7,8,0,0.233,0.98,1,-31.800000000000182,-28.0,-22.100000000000136,-16.0,-10.200000000000045,3.8999999999998636,10.799999999999955,17.799999999999955,25.0,31.0,-30.5,-34.79999999999998,-36.19999999999999,-35.79999999999998,-34.29999999999998,-36.29999999999998,-39.599999999999994,-41.29999999999998,-40.900000000000006,-37.69999999999999,1076.4,231.1
8,9,0,0.267,0.98,1,-31.299999999999955,-27.5,-21.59999999999991,-15.399999999999864,-9.799999999999955,4.0,10.900000000000091,18.0,25.200000000000045,31.300000000000182,-30.400000000000006,-34.69999999999999,-36.099999999999994,-35.69999999999999,-34.19999999999999,-36.19999999999999,-39.5,-41.19999999999999,-40.69999999999999,-37.29999999999998,1077.1,230.6
9,10,0,0.3,0.98,1,-31.200000000000045,-27.299999999999955,-21.399999999999864,-15.299999999999955,-9.700000000000045,4.2999999999999545,11.200000000000045,18.200000000000045,25.40000000000009,31.5,-30.5,-34.89999999999998,-36.19999999999999,-35.89999999999998,-34.5,-36.39999999999998,-39.599999999999994,-41.19999999999999,-40.69999999999999,-37.29999999999998,1077.8,230.2
10,11,0,0.333,0.98,1,-31.199999999999818,-27.299999999999955,-21.299999999999955,-15.199999999999818,-9.599999999999909,4.400000000000091,11.300000000000182,18.300000000000182,25.600000000000136,31.700000000000045,-30.599999999999994,-34.89999999999998,-36.19999999999999,-35.89999999999998,-34.39999999999998,-36.19999999999999,-39.5,-41.099999999999994,-40.5,-37.099999999999994,1078.6,229.7
11,12,0,0.367,0.98,1,-32.90000000000009,-28.90000000000009,-22.90000000000009,-16.5,-10.5,4.099999999999909,11.099999999999909,18.0,25.09999999999991,30.799999999999955,-30.5,-35.0,-36.599999999999994,-36.29999999999998,-34.69999999999999,-36.5,-39.599999999999994,-41.099999999999994,-40.599999999999994,-37.19999999999999,1079.9,229.2
12,13,0,0.4,0.98,1,-32.899999999999864,-29.0,-23.0,-16.59999999999991,-10.399999999999864,4.100000000000136,11.0,18.0,25.0,30.700000000000045,-30.400000000000006,-35.0,-36.69999999999999,-36.19999999999999,-34.5,-36.19999999999999,-39.29999999999998,-40.900000000000006,-40.400000000000006,-37.099999999999994,1080.6,229.1
13,14,0,0.433,0.98,1,-33.0,-29.0,-22.90000000000009,-16.5,-10.299999999999955,4.099999999999909,11.099999999999909,18.09999999999991,25.09999999999991,30.700000000000045,-30.599999999999994,-35.099999999999994,-36.79999999999998,-36.29999999999998,-34.599999999999994,-36.19999999999999,-39.19999999999999,-40.79999999999998,-40.29999999999998,-36.900000000000006,1081.2,229.1
14,15,0,0.467,0.98,1,-33.200000000000045,-29.200000000000045,-23.0,-16.5,-10.200000000000045,4.2000000000000455,11.200000000000045,18.299999999999955,25.40000000000009,31.09999999999991,-30.700000000000017,-35.30000000000001,-37.0,-36.400000000000006,-34.60000000000002,-36.10000000000002,-39.10000000000002,-40.70000000000002,-40.20000000000002,-36.80000000000001,1081.5,229.3
