,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-26.399999999999977,-21.799999999999955,-15.799999999999955,-9.799999999999955,-4.399999999999864,7.2999999999999545,13.299999999999955,19.40000000000009,25.200000000000045,28.90000000000009,-27.0,-31.200000000000045,-32.5,-31.80000000000001,-29.30000000000001,-29.0,-30.700000000000045,-30.700000000000045,-28.80000000000001,-24.600000000000023,1037.8,338.1
1,2,0,0.033,0.98,1,-24.700000000000045,-20.40000000000009,-14.700000000000045,-9.000000000000114,-3.800000000000182,7.7999999999999545,14.099999999999909,20.399999999999864,26.5,30.59999999999991,-26.30000000000001,-30.600000000000023,-32.19999999999999,-31.600000000000023,-29.30000000000001,-29.100000000000023,-30.600000000000023,-30.5,-28.5,-24.100000000000023,1032.9,336.0
2,3,0,0.067,0.93,1,-22.399999999999977,-18.299999999999955,-12.899999999999977,-7.600000000000023,-2.7999999999999545,8.099999999999909,14.5,21.200000000000045,27.59999999999991,32.09999999999991,-25.899999999999977,-30.19999999999999,-31.600000000000023,-31.0,-28.69999999999999,-28.80000000000001,-30.5,-30.399999999999977,-28.399999999999977,-24.0,1027.5,334.0
3,4,0,0.1,0.93,1,-20.09999999999991,-16.299999999999955,-11.399999999999977,-6.399999999999977,-2.0,8.700000000000045,15.299999999999955,22.0,28.5,33.200000000000045,-25.80000000000001,-29.900000000000034,-31.19999999999999,-30.69999999999999,-28.400000000000034,-28.5,-30.19999999999999,-30.0,-27.900000000000034,-23.5,1022.8,332.3
4,5,0,0.133,0.93,1,-17.700000000000045,-14.300000000000068,-9.800000000000068,-5.2000000000000455,-1.1000000000000227,9.199999999999932,15.800000000000068,22.699999999999932,29.300000000000068,34.10000000000002,-25.80000000000001,-29.80000000000001,-30.900000000000034,-30.400000000000034,-28.30000000000001,-28.30000000000001,-30.0,-29.80000000000001,-27.5,-23.100000000000023,1018.6,330.6
5,6,0,0.167,0.93,1,-15.600000000000023,-12.5,-8.300000000000068,-4.0,-0.20000000000004547,9.600000000000023,16.399999999999977,23.399999999999977,29.999999999999886,34.89999999999998,-25.30000000000001,-29.30000000000001,-30.399999999999977,-29.899999999999977,-27.899999999999977,-28.0,-29.69999999999999,-29.399999999999977,-26.899999999999977,-22.399999999999977,1015.1,329.0
6,7,0,0.2,0.93,1,-13.700000000000045,-10.900000000000091,-7.0,-2.900000000000091,0.599999999999909,10.0,16.799999999999955,23.799999999999955,30.399999999999864,35.299999999999955,-24.799999999999955,-28.799999999999955,-29.899999999999977,-29.399999999999977,-27.5,-27.799999999999955,-29.399999999999977,-29.099999999999966,-26.5,-21.899999999999977,1012.2,326.9
7,8,0,0.233,0.93,1,-12.200000000000045,-9.600000000000023,-5.7999999999999545,-2.0,1.2999999999999545,10.399999999999977,17.200000000000045,24.200000000000045,30.799999999999955,35.700000000000045,-24.400000000000034,-28.30000000000001,-29.400000000000034,-29.0,-27.19999999999999,-27.400000000000034,-29.0,-28.600000000000023,-25.900000000000034,-21.19999999999999,1010.0,325.3
8,9,0,0.267,0.93,1,-11.100000000000023,-8.600000000000023,-5.100000000000023,-1.2999999999999545,1.8000000000000682,10.600000000000023,17.399999999999977,24.399999999999977,30.899999999999977,35.80000000000007,-24.5,-28.399999999999977,-29.399999999999977,-28.899999999999977,-27.100000000000023,-27.19999999999999,-28.69999999999999,-28.30000000000001,-25.5,-20.69999999999999,1008.4,324.5
9,10,0,0.3,0.93,1,-10.300000000000068,-7.800000000000068,-4.399999999999977,-0.8000000000000682,2.1000000000000227,10.799999999999955,17.499999999999886,24.399999999999977,30.899999999999977,35.69999999999993,-24.900000000000034,-28.600000000000023,-29.400000000000034,-28.900000000000034,-27.100000000000023,-27.19999999999999,-28.69999999999999,-28.30000000000001,-25.5,-20.900000000000034,1007.1,324.3
