,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.800000000000068,-25.399999999999977,-18.600000000000023,-11.700000000000045,-5.600000000000023,6.199999999999932,12.0,17.600000000000023,22.899999999999977,26.399999999999977,-30.0,-34.10000000000002,-35.30000000000001,-34.400000000000034,-32.10000000000002,-32.10000000000002,-34.200000000000045,-34.60000000000002,-33.0,-28.80000000000001,941.1,330.6
1,2,0,0.033,0.98,1,-30.399999999999977,-25.100000000000023,-18.399999999999977,-11.700000000000045,-5.600000000000023,6.899999999999977,12.600000000000023,18.0,23.199999999999932,26.5,-30.200000000000045,-34.30000000000001,-35.400000000000034,-34.60000000000002,-32.400000000000034,-32.400000000000034,-34.30000000000001,-34.700000000000045,-33.200000000000045,-29.100000000000023,940.6,331.1
2,3,0,0.067,0.98,1,-30.299999999999955,-24.899999999999977,-18.199999999999932,-11.599999999999909,-5.599999999999909,7.0,12.700000000000045,18.100000000000023,23.200000000000045,26.600000000000023,-30.69999999999999,-34.599999999999966,-35.599999999999966,-34.69999999999999,-32.39999999999998,-32.39999999999998,-34.39999999999998,-34.799999999999955,-33.299999999999955,-29.299999999999955,940.3,331.4
3,4,0,0.1,0.98,1,-30.200000000000045,-24.800000000000068,-18.100000000000023,-11.399999999999977,-5.5,7.0,12.699999999999932,18.199999999999932,23.299999999999955,26.699999999999932,-30.69999999999999,-34.60000000000002,-35.60000000000002,-34.60000000000002,-32.39999999999998,-32.30000000000001,-34.30000000000001,-34.69999999999999,-33.19999999999999,-29.19999999999999,940.1,331.5
4,5,0,0.133,0.93,1,-30.200000000000045,-24.799999999999955,-18.200000000000045,-11.600000000000023,-5.600000000000023,7.100000000000023,12.700000000000045,18.200000000000045,23.299999999999955,26.700000000000045,-30.80000000000001,-34.60000000000002,-35.60000000000002,-34.60000000000002,-32.39999999999998,-32.39999999999998,-34.30000000000001,-34.80000000000001,-33.39999999999998,-29.399999999999977,940.0,331.5
5,6,0,0.167,0.98,1,-30.399999999999977,-25.0,-18.299999999999955,-11.599999999999909,-5.5,7.0,12.800000000000068,18.300000000000068,23.5,26.90000000000009,-30.69999999999999,-34.599999999999966,-35.599999999999966,-34.599999999999966,-32.39999999999998,-32.39999999999998,-34.39999999999998,-34.89999999999998,-33.39999999999998,-29.399999999999977,939.8,331.4
6,7,0,0.2,0.98,1,-30.5,-25.100000000000023,-18.5,-11.799999999999955,-5.7999999999999545,6.800000000000068,12.5,17.899999999999977,23.100000000000023,26.5,-30.599999999999966,-34.5,-35.5,-34.599999999999966,-32.39999999999998,-32.39999999999998,-34.39999999999998,-34.89999999999998,-33.5,-29.599999999999966,939.9,331.2
7,8,0,0.233,0.98,1,-30.5,-25.199999999999932,-18.5,-11.699999999999932,-5.600000000000023,6.7000000000000455,12.399999999999977,17.899999999999977,23.100000000000023,26.5,-30.5,-34.5,-35.60000000000002,-34.700000000000045,-32.30000000000001,-32.30000000000001,-34.400000000000034,-34.80000000000001,-33.30000000000001,-29.30000000000001,939.9,331.1
8,9,0,0.267,0.93,1,-30.59999999999991,-25.299999999999955,-18.59999999999991,-11.699999999999932,-5.599999999999909,7.0,12.700000000000045,18.100000000000023,23.300000000000068,26.800000000000068,-30.100000000000023,-34.19999999999999,-35.39999999999998,-34.39999999999998,-32.10000000000002,-32.10000000000002,-34.10000000000002,-34.5,-33.0,-29.0,939.8,331.0
9,10,0,0.3,0.98,1,-31.0,-25.700000000000045,-19.0,-12.100000000000023,-5.900000000000091,6.7999999999999545,12.299999999999955,17.59999999999991,22.5,25.699999999999932,-29.899999999999977,-34.0,-35.30000000000001,-34.39999999999998,-32.10000000000002,-32.10000000000002,-34.0,-34.30000000000001,-32.80000000000001,-28.69999999999999,940.2,331.0
