,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-27.100000000000023,-22.200000000000045,-15.800000000000068,-9.5,-3.800000000000068,8.0,14.5,21.09999999999991,27.299999999999955,31.5,-30.5,-34.39999999999998,-35.30000000000001,-34.10000000000002,-31.399999999999977,-30.899999999999977,-32.69999999999999,-32.89999999999998,-31.0,-26.600000000000023,944.2,335.0
1,2,0,0.033,0.98,1,-27.200000000000045,-22.300000000000068,-16.0,-9.800000000000068,-4.2000000000000455,8.299999999999955,14.799999999999955,21.09999999999991,27.199999999999932,31.299999999999955,-31.0,-34.69999999999999,-35.60000000000002,-34.400000000000034,-31.69999999999999,-31.100000000000023,-32.80000000000001,-33.0,-31.30000000000001,-27.0,944.2,335.3
2,3,0,0.067,0.98,1,-27.199999999999932,-22.299999999999955,-16.09999999999991,-9.899999999999977,-4.199999999999932,8.400000000000091,14.800000000000068,21.200000000000045,27.200000000000045,31.40000000000009,-31.399999999999977,-35.099999999999966,-35.89999999999998,-34.69999999999999,-32.0,-31.399999999999977,-33.099999999999966,-33.299999999999955,-31.599999999999966,-27.399999999999977,944.3,335.4
3,4,0,0.1,0.98,1,-27.200000000000045,-22.200000000000045,-15.899999999999977,-9.799999999999955,-4.2000000000000455,8.299999999999955,14.700000000000045,21.100000000000023,27.100000000000023,31.299999999999955,-31.400000000000034,-35.10000000000002,-35.900000000000034,-34.60000000000002,-32.0,-31.400000000000034,-33.10000000000002,-33.19999999999999,-31.5,-27.400000000000034,944.5,335.3
4,5,0,0.133,0.98,1,-27.399999999999977,-22.5,-16.199999999999932,-9.899999999999977,-4.2999999999999545,8.100000000000023,14.5,20.800000000000068,26.90000000000009,31.0,-31.19999999999999,-34.89999999999998,-35.80000000000001,-34.60000000000002,-32.0,-31.5,-33.19999999999999,-33.39999999999998,-31.69999999999999,-27.5,944.8,335.0
5,6,0,0.167,0.98,1,-27.299999999999955,-22.299999999999955,-16.0,-9.799999999999955,-4.199999999999932,8.200000000000045,14.600000000000023,21.0,27.0,31.200000000000045,-31.399999999999977,-35.099999999999966,-35.89999999999998,-34.599999999999966,-31.899999999999977,-31.399999999999977,-33.099999999999966,-33.299999999999955,-31.599999999999966,-27.399999999999977,944.8,334.9
6,7,0,0.2,0.98,1,-27.399999999999977,-22.5,-16.200000000000045,-10.0,-4.399999999999977,8.100000000000023,14.399999999999977,20.699999999999932,26.799999999999955,30.899999999999977,-31.19999999999999,-34.900000000000034,-35.69999999999999,-34.5,-31.80000000000001,-31.30000000000001,-33.0,-33.30000000000001,-31.600000000000023,-27.5,945.1,334.8
7,8,0,0.233,0.98,1,-27.40000000000009,-22.5,-16.200000000000045,-10.0,-4.400000000000091,8.099999999999909,14.399999999999977,20.699999999999932,26.699999999999932,30.899999999999977,-31.400000000000034,-35.0,-35.80000000000001,-34.5,-31.900000000000034,-31.400000000000034,-33.10000000000002,-33.400000000000034,-31.69999999999999,-27.600000000000023,945.2,334.8
8,9,0,0.267,0.98,1,-27.699999999999932,-22.699999999999932,-16.399999999999977,-10.199999999999932,-4.5,8.0,14.399999999999977,20.700000000000045,26.700000000000045,30.899999999999977,-31.400000000000034,-35.10000000000002,-35.900000000000034,-34.60000000000002,-32.0,-31.5,-33.19999999999999,-33.5,-31.900000000000034,-27.69999999999999,945.4,334.8
9,10,0,0.3,0.98,1,-27.800000000000068,-22.800000000000068,-16.5,-10.300000000000068,-4.600000000000023,8.100000000000023,14.5,20.699999999999932,26.699999999999932,30.899999999999977,-31.5,-35.099999999999966,-35.89999999999998,-34.599999999999966,-32.0,-31.399999999999977,-33.19999999999999,-33.39999999999998,-31.899999999999977,-27.80000000000001,945.6,334.7
10,11,0,0.333,0.98,1,-28.0,-23.0,-16.600000000000023,-10.399999999999977,-4.7000000000000455,8.0,14.299999999999955,20.600000000000023,26.600000000000023,30.700000000000045,-31.400000000000034,-35.0,-35.80000000000001,-34.5,-31.900000000000034,-31.400000000000034,-33.200000000000045,-33.400000000000034,-31.900000000000034,-27.80000000000001,946.0,334.6
11,12,0,0.367,0.98,1,-28.100000000000023,-23.100000000000023,-16.699999999999932,-10.5,-4.699999999999932,7.899999999999977,14.300000000000068,20.5,26.5,30.700000000000045,-31.30000000000001,-35.0,-35.80000000000001,-34.5,-32.0,-31.5,-33.200000000000045,-33.5,-32.0,-27.900000000000034,946.4,334.6
12,13,0,0.4,0.98,1,-27.899999999999977,-22.899999999999977,-16.5,-10.200000000000045,-4.5,7.899999999999977,14.199999999999932,20.399999999999977,26.299999999999955,30.299999999999955,-31.399999999999977,-35.19999999999999,-36.0,-34.69999999999999,-32.10000000000002,-31.600000000000023,-33.30000000000001,-33.60000000000002,-31.899999999999977,-27.80000000000001,947.1,334.5
13,14,0,0.433,0.98,1,-27.899999999999977,-22.799999999999955,-16.399999999999977,-10.0,-4.2999999999999545,8.100000000000023,14.299999999999955,20.5,26.399999999999977,30.399999999999977,-31.69999999999999,-35.39999999999998,-36.099999999999966,-34.799999999999955,-32.19999999999999,-31.69999999999999,-33.5,-33.799999999999955,-32.19999999999999,-28.0,948.0,334.4
14,15,0,0.467,0.98,1,-27.800000000000068,-22.700000000000045,-16.200000000000045,-9.900000000000091,-4.100000000000023,8.399999999999977,14.599999999999909,20.59999999999991,26.399999999999977,30.199999999999932,-31.80000000000001,-35.60000000000002,-36.30000000000001,-35.0,-32.30000000000001,-31.80000000000001,-33.60000000000002,-33.80000000000001,-32.10000000000002,-27.900000000000034,949.2,334.1
15,16,0,0.5,0.98,1,-28.399999999999977,-23.100000000000023,-16.600000000000023,-10.199999999999932,-4.399999999999977,8.300000000000068,14.399999999999977,20.300000000000068,25.899999999999977,29.600000000000023,-31.80000000000001,-35.5,-36.200000000000045,-34.900000000000034,-32.200000000000045,-31.700000000000045,-33.5,-33.80000000000001,-32.200000000000045,-28.100000000000023,950.9,333.6
16,17,0,0.533,0.98,1,-29.0,-23.699999999999932,-17.0,-10.399999999999977,-4.399999999999977,7.900000000000091,13.900000000000091,19.800000000000068,25.300000000000068,29.0,-31.30000000000001,-35.10000000000002,-35.900000000000034,-34.700000000000045,-32.0,-31.5,-33.400000000000034,-33.60000000000002,-32.0,-27.700000000000045,952.8,333.1
17,18,0,0.567,0.98,1,-29.199999999999932,-23.799999999999955,-16.899999999999977,-10.199999999999932,-4.2999999999999545,7.7000000000000455,13.700000000000045,19.5,25.0,28.5,-31.30000000000001,-35.099999999999966,-35.80000000000001,-34.5,-31.899999999999977,-31.5,-33.39999999999998,-33.599999999999966,-32.0,-27.69999999999999,954.3,332.7
18,19,0,0.6,0.98,1,-29.5,-23.899999999999977,-17.100000000000023,-10.399999999999977,-4.399999999999977,7.7999999999999545,13.799999999999955,19.5,24.899999999999977,28.399999999999977,-31.599999999999966,-35.299999999999955,-36.0,-34.69999999999999,-32.19999999999999,-31.69999999999999,-33.5,-33.799999999999955,-32.099999999999966,-27.899999999999977,955.5,332.4
19,20,0,0.633,0.98,1,-29.5,-23.700000000000045,-16.899999999999977,-10.100000000000023,-4.100000000000023,7.899999999999977,13.899999999999977,19.5,24.899999999999977,28.299999999999955,-31.69999999999999,-35.30000000000001,-36.0,-34.69999999999999,-32.19999999999999,-31.69999999999999,-33.5,-33.69999999999999,-31.899999999999977,-27.69999999999999,956.5,332.2
20,21,0,0.667,0.98,1,-29.600000000000023,-23.800000000000068,-16.90000000000009,-10.100000000000023,-4.100000000000023,8.0,13.899999999999977,19.5,24.699999999999932,28.199999999999932,-31.80000000000001,-35.30000000000001,-35.89999999999998,-34.69999999999999,-32.099999999999966,-31.599999999999966,-33.39999999999998,-33.599999999999966,-31.899999999999977,-27.69999999999999,957.2,332.2
21,22,0,0.7,0.98,1,-30.40000000000009,-24.600000000000023,-17.600000000000023,-10.700000000000045,-4.400000000000091,7.599999999999909,13.5,19.09999999999991,24.299999999999955,27.5,-31.399999999999977,-35.0,-35.799999999999955,-34.5,-31.899999999999977,-31.399999999999977,-33.099999999999966,-33.299999999999955,-31.599999999999966,-27.299999999999955,958.2,332.4
22,23,0,0.733,0.98,1,-31.40000000000009,-25.300000000000068,-18.200000000000045,-11.200000000000045,-4.800000000000068,7.5,13.199999999999932,18.699999999999932,23.899999999999977,26.899999999999977,-31.399999999999977,-35.10000000000002,-36.0,-34.69999999999999,-32.0,-31.399999999999977,-33.10000000000002,-33.39999999999998,-31.80000000000001,-27.600000000000023,958.7,332.5
23,24,0,0.767,0.98,1,-30.800000000000068,-24.899999999999977,-17.800000000000068,-10.899999999999977,-4.600000000000023,7.600000000000023,13.399999999999977,18.899999999999977,24.0,27.100000000000023,-31.399999999999977,-35.099999999999966,-35.799999999999955,-34.599999999999966,-31.899999999999977,-31.399999999999977,-33.0,-33.299999999999955,-31.599999999999966,-27.5,958.6,332.4
24,25,0,0.8,0.98,1,-31.5,-25.399999999999977,-18.299999999999955,-11.200000000000045,-4.7999999999999545,7.399999999999977,13.100000000000023,18.600000000000023,23.700000000000045,26.600000000000023,-31.200000000000045,-35.0,-36.0,-34.700000000000045,-31.900000000000034,-31.30000000000001,-33.0,-33.200000000000045,-31.600000000000023,-27.5,959.0,332.1
25,26,0,0.833,0.98,1,-30.59999999999991,-24.699999999999932,-17.59999999999991,-10.699999999999932,-4.5,7.7000000000000455,13.400000000000091,18.90000000000009,23.90000000000009,26.90000000000009,-31.399999999999977,-35.10000000000002,-35.89999999999998,-34.69999999999999,-32.0,-31.5,-33.10000000000002,-33.19999999999999,-31.5,-27.30000000000001,958.8,331.5
26,27,0,0.867,0.98,1,-30.600000000000023,-24.600000000000023,-17.699999999999932,-10.799999999999955,-4.600000000000023,7.800000000000068,13.399999999999977,18.700000000000045,23.600000000000023,26.399999999999977,-31.5,-35.19999999999999,-36.10000000000002,-34.89999999999998,-32.19999999999999,-31.600000000000023,-33.19999999999999,-33.30000000000001,-31.69999999999999,-27.600000000000023,958.9,331.0
27,28,0,0.9,0.88,1,-30.09999999999991,-24.299999999999955,-17.399999999999977,-10.5,-4.2999999999999545,8.0,13.700000000000045,19.0,24.0,27.0,-30.899999999999977,-34.60000000000002,-35.60000000000002,-34.39999999999998,-31.899999999999977,-31.30000000000001,-32.89999999999998,-32.89999999999998,-31.100000000000023,-26.80000000000001,958.8,330.5
28,29,0,0.933,0.93,1,-30.600000000000023,-24.800000000000068,-17.800000000000068,-10.899999999999977,-4.600000000000023,7.699999999999932,13.199999999999932,18.5,23.399999999999977,26.299999999999955,-30.400000000000034,-34.30000000000001,-35.5,-34.400000000000034,-31.69999999999999,-31.19999999999999,-32.69999999999999,-32.69999999999999,-31.0,-26.80000000000001,959.1,330.3
29,30,0,0.967,0.88,1,-30.100000000000023,-24.399999999999977,-17.5,-10.600000000000023,-4.399999999999977,8.0,13.5,18.799999999999955,23.799999999999955,26.700000000000045,-30.5,-34.30000000000001,-35.30000000000001,-34.19999999999999,-31.600000000000023,-31.0,-32.39999999999998,-32.39999999999998,-30.5,-26.100000000000023,959.0,330.0
30,31,0,1.0,0.93,1,-30.5,-24.700000000000045,-17.800000000000068,-10.900000000000091,-4.600000000000023,7.7999999999999545,13.299999999999955,18.59999999999991,23.5,26.299999999999955,-30.5,-34.30000000000001,-35.400000000000034,-34.30000000000001,-31.700000000000045,-31.100000000000023,-32.5,-32.60000000000002,-30.900000000000034,-26.80000000000001,959.2,330.1
31,32,0,1.033,0.93,1,-30.199999999999932,-24.299999999999955,-17.399999999999977,-10.599999999999909,-4.399999999999977,7.900000000000091,13.5,18.800000000000068,23.800000000000068,26.800000000000068,-31.099999999999966,-34.69999999999999,-35.5,-34.299999999999955,-31.799999999999955,-31.099999999999966,-32.599999999999966,-32.69999999999999,-31.0,-26.899999999999977,959.3,330.4
32,33,0,1.067,0.98,1,-30.399999999999977,-24.399999999999977,-17.5,-10.700000000000045,-4.5,7.7999999999999545,13.199999999999932,18.5,23.299999999999955,26.0,-31.100000000000023,-34.69999999999999,-35.69999999999999,-34.5,-31.80000000000001,-31.100000000000023,-32.60000000000002,-32.69999999999999,-31.0,-26.899999999999977,959.6,330.5
33,34,0,1.1,0.98,1,-30.299999999999955,-24.199999999999932,-17.199999999999932,-10.399999999999977,-4.199999999999932,8.0,13.399999999999977,18.600000000000023,23.399999999999977,25.899999999999977,-31.5,-35.0,-36.0,-34.60000000000002,-31.80000000000001,-31.100000000000023,-32.5,-32.60000000000002,-30.900000000000034,-26.80000000000001,959.9,330.6
34,35,0,1.133,0.98,1,-30.0,-23.899999999999977,-16.899999999999977,-10.100000000000023,-3.8999999999999773,8.200000000000045,13.600000000000023,18.899999999999977,23.600000000000023,26.100000000000023,-31.69999999999999,-35.30000000000001,-36.19999999999999,-34.80000000000001,-32.0,-31.19999999999999,-32.5,-32.60000000000002,-30.899999999999977,-26.69999999999999,959.9,330.5
35,36,0,1.167,0.98,1,-30.09999999999991,-23.899999999999977,-17.0,-10.199999999999932,-4.0,8.100000000000023,13.5,18.700000000000045,23.40000000000009,26.0,-31.900000000000034,-35.400000000000034,-36.30000000000001,-34.900000000000034,-32.10000000000002,-31.30000000000001,-32.69999999999999,-32.80000000000001,-31.19999999999999,-27.100000000000023,960.3,330.3
36,37,0,1.2,0.98,1,-30.0,-23.899999999999977,-16.899999999999977,-10.100000000000023,-3.8999999999999773,8.200000000000045,13.600000000000023,18.800000000000068,23.600000000000023,26.100000000000023,-31.900000000000034,-35.400000000000034,-36.200000000000045,-34.900000000000034,-32.10000000000002,-31.30000000000001,-32.80000000000001,-32.900000000000034,-31.200000000000045,-27.100000000000023,960.4,330.1
37,38,0,1.233,0.98,1,-30.0,-23.800000000000068,-16.90000000000009,-10.100000000000023,-4.0,8.099999999999909,13.399999999999977,18.5,23.199999999999932,25.799999999999955,-31.899999999999977,-35.39999999999998,-36.30000000000001,-34.89999999999998,-32.10000000000002,-31.30000000000001,-32.80000000000001,-32.80000000000001,-31.19999999999999,-27.100000000000023,960.7,330.0
38,39,0,1.267,0.98,1,-30.100000000000023,-24.0,-17.0,-10.299999999999955,-4.100000000000023,8.0,13.300000000000068,18.399999999999977,23.100000000000023,25.600000000000023,-31.799999999999955,-35.299999999999955,-36.19999999999999,-34.89999999999998,-32.099999999999966,-31.299999999999955,-32.69999999999999,-32.69999999999999,-31.099999999999966,-27.0,960.9,329.9
39,40,0,1.3,0.98,1,-30.100000000000023,-24.0,-17.0,-10.300000000000068,-4.100000000000023,8.0,13.299999999999955,18.299999999999955,23.0,25.5,-31.899999999999977,-35.39999999999998,-36.19999999999999,-34.89999999999998,-32.099999999999966,-31.299999999999955,-32.69999999999999,-32.69999999999999,-31.099999999999966,-26.899999999999977,961.1,329.9
40,41,0,1.333,0.98,1,-30.200000000000045,-24.0,-16.899999999999977,-10.100000000000023,-4.0,8.100000000000023,13.399999999999977,18.5,23.199999999999932,25.699999999999932,-32.099999999999966,-35.69999999999999,-36.5,-35.099999999999966,-32.19999999999999,-31.399999999999977,-32.799999999999955,-32.799999999999955,-31.19999999999999,-27.0,961.1,329.9
41,42,0,1.367,0.98,1,-30.100000000000023,-23.899999999999977,-16.899999999999977,-10.100000000000023,-4.0,8.299999999999955,13.600000000000023,18.700000000000045,23.399999999999977,25.899999999999977,-32.19999999999999,-35.69999999999999,-36.5,-35.099999999999966,-32.19999999999999,-31.299999999999955,-32.69999999999999,-32.799999999999955,-31.19999999999999,-27.099999999999966,961.0,329.9
42,43,0,1.4,0.98,1,-30.100000000000023,-24.0,-16.899999999999977,-10.100000000000023,-4.0,8.299999999999955,13.600000000000023,18.700000000000045,23.399999999999977,25.899999999999977,-32.19999999999999,-35.69999999999999,-36.60000000000002,-35.19999999999999,-32.30000000000001,-31.399999999999977,-32.80000000000001,-32.89999999999998,-31.19999999999999,-27.100000000000023,961.0,330.0
43,44,0,1.433,0.98,1,-30.0,-23.799999999999955,-16.799999999999955,-10.100000000000023,-3.8999999999999773,8.299999999999955,13.600000000000023,18.700000000000045,23.399999999999977,25.899999999999977,-32.19999999999999,-35.69999999999999,-36.5,-35.10000000000002,-32.30000000000001,-31.399999999999977,-32.80000000000001,-32.80000000000001,-31.19999999999999,-27.100000000000023,961.0,330.0
44,45,0,1.467,0.98,1,-30.0,-23.899999999999977,-16.899999999999977,-10.100000000000023,-3.8999999999999773,8.300000000000068,13.600000000000023,18.700000000000045,23.399999999999977,25.899999999999977,-32.19999999999999,-35.69999999999999,-36.60000000000002,-35.19999999999999,-32.30000000000001,-31.399999999999977,-32.80000000000001,-32.89999999999998,-31.19999999999999,-27.100000000000023,960.9,330.0
45,46,0,1.5,0.98,1,-30.0,-23.799999999999955,-16.799999999999955,-10.0,-3.8999999999999773,8.300000000000068,13.600000000000023,18.700000000000045,23.40000000000009,25.90000000000009,-32.19999999999999,-35.69999999999999,-36.60000000000002,-35.19999999999999,-32.30000000000001,-31.399999999999977,-32.80000000000001,-32.89999999999998,-31.19999999999999,-27.0,960.8,330.0
