,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.600000000000023,-24.600000000000023,-17.5,-10.5,-4.400000000000091,7.0,12.299999999999955,17.5,22.199999999999932,24.799999999999955,-31.600000000000023,-35.400000000000034,-36.400000000000034,-35.10000000000002,-32.30000000000001,-31.700000000000045,-33.30000000000001,-33.5,-31.900000000000034,-27.600000000000023,959.7,327.1
1,2,0,0.033,0.98,1,-30.600000000000023,-24.5,-17.5,-10.700000000000045,-4.5,7.600000000000023,12.899999999999977,17.899999999999977,22.5,25.100000000000023,-32.10000000000002,-35.80000000000001,-36.69999999999999,-35.30000000000001,-32.60000000000002,-32.0,-33.5,-33.80000000000001,-32.30000000000001,-28.30000000000001,959.5,327.5
2,3,0,0.067,0.98,1,-30.600000000000023,-24.5,-17.5,-10.700000000000045,-4.600000000000023,7.7999999999999545,13.0,18.0,22.699999999999932,25.299999999999955,-32.099999999999966,-35.80000000000001,-36.69999999999999,-35.39999999999998,-32.69999999999999,-32.099999999999966,-33.599999999999966,-33.89999999999998,-32.39999999999998,-28.5,959.2,328.2
3,4,0,0.1,0.98,1,-30.799999999999955,-24.700000000000045,-17.600000000000023,-10.700000000000045,-4.5,7.600000000000023,12.799999999999955,17.899999999999977,22.600000000000023,25.200000000000045,-31.899999999999977,-35.69999999999999,-36.60000000000002,-35.30000000000001,-32.5,-31.899999999999977,-33.5,-33.80000000000001,-32.30000000000001,-28.30000000000001,959.0,328.5
4,5,0,0.133,0.98,1,-30.800000000000068,-24.600000000000023,-17.600000000000023,-10.700000000000045,-4.5,7.5,12.699999999999932,17.699999999999932,22.399999999999977,24.899999999999977,-32.200000000000045,-35.80000000000001,-36.700000000000045,-35.30000000000001,-32.5,-31.80000000000001,-33.5,-33.80000000000001,-32.400000000000034,-28.400000000000034,959.1,329.1
5,6,0,0.167,0.98,1,-30.899999999999977,-24.799999999999955,-17.699999999999932,-10.799999999999955,-4.600000000000023,7.600000000000023,12.899999999999977,17.899999999999977,22.5,25.100000000000023,-32.10000000000002,-35.69999999999999,-36.60000000000002,-35.30000000000001,-32.5,-31.900000000000034,-33.5,-33.80000000000001,-32.5,-28.5,958.9,329.3
6,7,0,0.2,0.98,1,-30.600000000000023,-24.5,-17.5,-10.600000000000023,-4.400000000000091,7.699999999999932,12.899999999999977,17.899999999999977,22.59999999999991,25.09999999999991,-32.10000000000002,-35.700000000000045,-36.5,-35.200000000000045,-32.400000000000034,-31.80000000000001,-33.400000000000034,-33.60000000000002,-32.200000000000045,-28.30000000000001,958.7,329.6
7,8,0,0.233,0.98,1,-30.800000000000068,-24.700000000000045,-17.600000000000023,-10.700000000000045,-4.5,7.599999999999909,12.799999999999955,17.799999999999955,22.5,25.0,-32.0,-35.69999999999999,-36.599999999999966,-35.30000000000001,-32.5,-31.80000000000001,-33.39999999999998,-33.69999999999999,-32.19999999999999,-28.19999999999999,958.7,329.7
8,9,0,0.267,0.98,1,-31.0,-24.799999999999955,-17.700000000000045,-10.799999999999955,-4.600000000000023,7.5,12.799999999999955,17.799999999999955,22.399999999999977,24.799999999999955,-32.0,-35.69999999999999,-36.599999999999966,-35.30000000000001,-32.5,-31.899999999999977,-33.5,-33.69999999999999,-32.099999999999966,-28.0,958.5,329.7
9,10,0,0.3,0.98,1,-30.799999999999955,-24.699999999999932,-17.59999999999991,-10.799999999999955,-4.599999999999909,7.5,12.700000000000045,17.700000000000045,22.200000000000045,24.600000000000023,-32.0,-35.60000000000002,-36.60000000000002,-35.30000000000001,-32.5,-31.900000000000034,-33.5,-33.700000000000045,-32.10000000000002,-28.100000000000023,958.3,329.6
10,11,0,0.333,0.98,1,-30.699999999999932,-24.699999999999932,-17.699999999999932,-10.899999999999977,-4.699999999999932,7.5,12.600000000000023,17.399999999999977,22.0,24.5,-31.599999999999966,-35.299999999999955,-36.299999999999955,-35.0,-32.299999999999955,-31.69999999999999,-33.299999999999955,-33.5,-32.099999999999966,-28.099999999999966,957.9,329.4
11,12,0,0.367,0.98,1,-30.5,-24.600000000000023,-17.700000000000045,-10.900000000000091,-4.7000000000000455,7.5,12.599999999999909,17.399999999999977,21.899999999999977,24.5,-31.0,-34.80000000000001,-35.900000000000034,-34.69999999999999,-32.19999999999999,-31.600000000000023,-33.10000000000002,-33.19999999999999,-31.600000000000023,-27.600000000000023,957.7,328.8
12,13,0,0.4,0.98,1,-30.399999999999977,-24.5,-17.600000000000023,-10.700000000000045,-4.5,7.600000000000023,12.600000000000023,17.5,22.0,24.5,-31.0,-34.80000000000001,-35.900000000000034,-34.69999999999999,-32.0,-31.400000000000034,-32.900000000000034,-33.0,-31.400000000000034,-27.30000000000001,957.6,328.3
13,14,0,0.433,0.98,1,-30.800000000000068,-24.899999999999977,-17.899999999999977,-11.0,-4.7000000000000455,7.399999999999977,12.5,17.299999999999955,21.799999999999955,24.399999999999977,-30.900000000000034,-34.69999999999999,-35.80000000000001,-34.69999999999999,-32.0,-31.400000000000034,-32.900000000000034,-33.0,-31.400000000000034,-27.30000000000001,957.6,327.8
14,15,0,0.467,0.93,1,-30.200000000000045,-24.399999999999977,-17.5,-10.700000000000045,-4.600000000000023,7.5,12.5,17.299999999999955,21.699999999999932,24.199999999999932,-31.299999999999955,-35.0,-36.0,-34.89999999999998,-32.19999999999999,-31.599999999999966,-33.0,-33.19999999999999,-31.599999999999966,-27.599999999999966,957.6,327.4
15,16,0,0.5,0.98,1,-30.299999999999955,-24.399999999999977,-17.59999999999991,-10.899999999999977,-4.899999999999977,7.400000000000091,12.400000000000091,17.100000000000023,21.40000000000009,23.90000000000009,-31.599999999999966,-35.19999999999999,-36.19999999999999,-34.89999999999998,-32.30000000000001,-31.599999999999966,-33.19999999999999,-33.30000000000001,-31.899999999999977,-28.0,957.8,327.2
