,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.38,1,-28.600000000000136,-25.200000000000045,-19.90000000000009,-14.400000000000091,-9.100000000000136,1.2999999999999545,7.099999999999909,13.199999999999818,19.5,24.799999999999955,-24.69999999999999,-27.799999999999983,-28.599999999999994,-27.899999999999977,-26.19999999999999,-27.69999999999999,-30.799999999999983,-32.79999999999998,-33.0,-30.899999999999977,1037.4,278.2
1,2,0,0.033,0.88,1,-28.800000000000068,-25.40000000000009,-20.40000000000009,-15.100000000000136,-10.0,1.2999999999999545,6.7999999999999545,12.399999999999864,18.199999999999818,23.399999999999864,-24.899999999999977,-27.399999999999977,-27.99999999999997,-27.099999999999966,-25.399999999999977,-26.99999999999997,-29.99999999999997,-31.99999999999997,-32.599999999999966,-30.99999999999997,1038.9,279.4
2,3,0,0.067,0.82,1,-29.0,-25.600000000000023,-20.5,-15.200000000000045,-10.099999999999909,1.099999999999909,6.5,12.0,17.90000000000009,23.0,-25.100000000000023,-27.400000000000006,-27.700000000000017,-26.700000000000017,-24.900000000000006,-26.5,-29.600000000000023,-31.80000000000001,-32.60000000000002,-31.200000000000017,1040.5,279.8
3,4,0,0.1,0.77,1,-28.90000000000009,-25.500000000000114,-20.300000000000068,-14.800000000000182,-9.600000000000136,1.199999999999818,6.699999999999818,12.5,18.5,23.5,-26.5,-28.600000000000023,-28.80000000000001,-27.600000000000023,-25.5,-26.900000000000006,-30.200000000000017,-32.5,-33.20000000000002,-31.900000000000006,1041.9,279.3
4,5,0,0.133,0.77,1,-28.700000000000045,-25.300000000000068,-20.000000000000114,-14.300000000000182,-9.0,1.599999999999909,7.199999999999818,13.099999999999909,19.199999999999818,24.0,-27.80000000000001,-29.900000000000006,-30.0,-28.5,-26.19999999999999,-27.5,-30.900000000000006,-33.19999999999999,-33.900000000000006,-32.30000000000001,1043.4,278.0
5,6,0,0.167,0.03,0,-28.199999999999932,-24.799999999999955,-19.399999999999864,-13.699999999999818,-8.399999999999864,1.900000000000091,7.7000000000000455,13.700000000000045,19.90000000000009,24.700000000000045,-28.799999999999983,-30.99999999999997,-30.899999999999977,-29.399999999999977,-26.899999999999977,-27.99999999999997,-31.299999999999983,-33.49999999999997,-33.99999999999997,-32.29999999999998,1044.6,276.4
6,7,0,0.2,0.68,0,-27.90000000000009,-24.40000000000009,-18.90000000000009,-13.100000000000136,-7.7999999999999545,2.2999999999999545,8.0,14.200000000000045,20.399999999999864,25.200000000000045,-29.30000000000001,-31.30000000000001,-31.100000000000023,-29.5,-26.900000000000006,-27.900000000000006,-31.200000000000017,-33.400000000000006,-33.900000000000006,-32.20000000000002,1046.2,274.8
7,8,0,0.233,0.88,1,-30.199999999999932,-26.399999999999864,-20.799999999999955,-14.899999999999864,-9.399999999999864,1.5,6.800000000000182,12.100000000000136,17.600000000000136,22.0,-25.099999999999994,-27.69999999999999,-28.299999999999983,-27.399999999999977,-25.5,-27.19999999999999,-30.5,-32.69999999999999,-33.39999999999998,-31.899999999999977,1053.1,270.2
8,9,0,0.267,0.88,1,-30.200000000000045,-26.40000000000009,-20.799999999999955,-15.0,-9.5,2.099999999999909,7.2000000000000455,12.399999999999864,17.700000000000045,21.799999999999955,-25.30000000000001,-28.100000000000023,-28.80000000000001,-27.900000000000034,-26.00000000000003,-27.700000000000017,-30.900000000000034,-33.00000000000003,-33.70000000000002,-32.10000000000002,1054.2,269.1
9,10,0,0.3,0.88,1,-30.5,-26.699999999999818,-21.09999999999991,-15.199999999999818,-9.799999999999955,1.6000000000001364,6.7000000000000455,11.900000000000091,17.200000000000045,21.300000000000182,-25.099999999999966,-27.99999999999997,-28.899999999999977,-28.19999999999999,-26.49999999999997,-28.49999999999997,-31.599999999999966,-33.79999999999998,-34.29999999999998,-32.599999999999966,1054.6,267.4
10,11,0,0.333,0.88,1,-31.5,-27.59999999999991,-22.0,-16.09999999999991,-10.599999999999909,1.5,6.7999999999999545,12.200000000000045,17.799999999999955,22.299999999999955,-25.799999999999983,-28.899999999999977,-29.799999999999983,-29.099999999999966,-27.399999999999977,-29.49999999999997,-32.79999999999998,-34.89999999999998,-35.49999999999997,-33.69999999999999,1054.0,265.9
11,12,0,0.367,0.88,1,-32.200000000000045,-28.09999999999991,-22.299999999999955,-16.40000000000009,-10.700000000000045,2.0,7.599999999999909,13.400000000000091,19.40000000000009,24.5,-26.5,-29.600000000000023,-30.5,-29.80000000000001,-28.100000000000023,-30.200000000000017,-33.60000000000002,-35.80000000000001,-36.400000000000006,-34.5,1052.5,264.3
12,13,0,0.4,0.88,1,-33.5,-29.299999999999955,-23.200000000000045,-17.0,-11.0,1.6000000000001364,7.7000000000000455,14.100000000000136,20.799999999999955,26.5,-27.099999999999994,-30.400000000000006,-31.400000000000006,-30.69999999999999,-29.0,-31.30000000000001,-34.80000000000001,-37.19999999999999,-37.900000000000006,-36.0,1050.8,263.0
13,14,0,0.433,0.88,1,-34.200000000000045,-30.100000000000023,-23.90000000000009,-17.40000000000009,-11.299999999999955,1.599999999999909,8.0,14.799999999999955,21.700000000000045,27.5,-27.700000000000017,-31.200000000000017,-32.400000000000034,-31.80000000000001,-29.900000000000034,-32.10000000000002,-35.60000000000002,-38.00000000000003,-38.60000000000002,-36.400000000000034,1048.5,262.1
14,15,0,0.467,0.88,1,-35.09999999999991,-30.899999999999864,-24.499999999999886,-17.799999999999955,-11.399999999999864,1.800000000000182,8.600000000000136,15.700000000000045,23.0,28.600000000000136,-29.80000000000001,-33.60000000000002,-35.0,-34.10000000000002,-31.80000000000001,-33.70000000000002,-37.20000000000002,-39.5,-39.900000000000006,-37.20000000000002,1045.6,262.3
15,16,0,0.5,0.88,1,-35.69999999999993,-31.399999999999977,-24.899999999999977,-18.200000000000045,-11.599999999999909,2.2999999999999545,9.299999999999955,16.5,23.799999999999955,29.40000000000009,-30.700000000000017,-34.60000000000002,-35.900000000000034,-34.900000000000034,-32.50000000000003,-34.30000000000001,-37.70000000000002,-40.00000000000003,-40.30000000000001,-37.60000000000002,1042.8,262.6
16,17,0,0.533,0.98,1,-36.10000000000002,-31.700000000000045,-25.100000000000023,-18.299999999999955,-11.700000000000045,2.2999999999999545,9.299999999999955,16.5,23.799999999999955,29.5,-31.30000000000001,-35.00000000000003,-36.30000000000001,-35.20000000000002,-32.70000000000002,-34.50000000000003,-38.00000000000003,-40.30000000000001,-40.70000000000002,-38.10000000000002,1040.0,263.6
17,18,0,0.567,0.98,1,-36.0,-31.699999999999932,-25.199999999999932,-18.399999999999977,-11.799999999999955,2.6000000000001364,9.600000000000136,16.799999999999955,24.0,29.600000000000136,-31.700000000000017,-35.400000000000034,-36.70000000000002,-35.60000000000002,-33.20000000000002,-35.00000000000003,-38.400000000000034,-40.70000000000002,-41.00000000000003,-38.50000000000003,1037.3,264.1
18,19,0,0.6,0.98,1,-36.30000000000007,-32.200000000000045,-25.700000000000045,-18.90000000000009,-12.200000000000045,2.199999999999818,9.299999999999955,16.399999999999864,23.699999999999818,29.399999999999864,-31.600000000000023,-35.400000000000034,-36.70000000000002,-35.70000000000002,-33.400000000000034,-35.30000000000001,-38.80000000000001,-41.10000000000002,-41.400000000000034,-38.900000000000034,1034.9,264.6
19,20,0,0.633,0.98,1,-36.399999999999864,-32.399999999999864,-25.899999999999864,-18.999999999999886,-12.399999999999864,1.900000000000091,9.0,16.300000000000182,23.700000000000045,29.40000000000009,-31.50000000000003,-35.400000000000034,-36.80000000000001,-35.80000000000001,-33.50000000000003,-35.50000000000003,-39.10000000000002,-41.50000000000003,-41.80000000000001,-39.20000000000002,1032.6,265.1
