,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-33.5,-28.299999999999955,-21.200000000000045,-14.0,-7.2999999999999545,5.7999999999999545,12.5,19.299999999999955,26.0,30.600000000000136,-31.299999999999983,-36.099999999999966,-37.599999999999966,-36.89999999999998,-34.599999999999966,-35.19999999999999,-37.89999999999998,-38.79999999999998,-37.49999999999997,-33.099999999999966,1052.8,273.9
1,2,0,0.033,0.98,1,-33.700000000000045,-28.600000000000136,-21.600000000000136,-14.400000000000091,-7.800000000000182,5.599999999999909,12.299999999999955,19.0,25.59999999999991,30.299999999999955,-30.80000000000001,-35.70000000000002,-37.400000000000006,-36.80000000000001,-34.70000000000002,-35.60000000000002,-38.30000000000001,-39.30000000000001,-38.10000000000002,-33.80000000000001,1051.9,273.8
2,3,0,0.067,0.98,1,-33.90000000000009,-29.0,-22.0,-14.700000000000045,-8.100000000000136,5.099999999999909,11.799999999999955,18.59999999999991,25.200000000000045,30.09999999999991,-30.299999999999983,-35.29999999999998,-36.99999999999997,-36.599999999999966,-34.49999999999997,-35.599999999999966,-38.39999999999998,-39.39999999999998,-38.19999999999999,-33.99999999999997,1051.2,273.4
3,4,0,0.1,0.98,1,-34.200000000000045,-29.299999999999955,-22.299999999999955,-15.099999999999909,-8.5,4.7999999999999545,11.400000000000091,18.200000000000045,24.799999999999955,29.700000000000045,-30.00000000000003,-35.00000000000003,-36.900000000000034,-36.50000000000003,-34.50000000000003,-35.70000000000002,-38.60000000000002,-39.70000000000002,-38.60000000000002,-34.400000000000034,1050.5,273.1
4,5,0,0.133,0.98,1,-34.200000000000045,-29.300000000000068,-22.40000000000009,-15.200000000000045,-8.600000000000136,4.599999999999909,11.199999999999818,17.899999999999864,24.59999999999991,29.5,-30.0,-35.0,-36.80000000000001,-36.400000000000006,-34.5,-35.69999999999999,-38.599999999999994,-39.80000000000001,-38.69999999999999,-34.599999999999994,1049.9,273.0
5,6,0,0.167,0.98,1,-34.19999999999993,-29.299999999999955,-22.399999999999864,-15.299999999999955,-8.700000000000045,4.5,11.100000000000136,17.799999999999955,24.5,29.5,-29.899999999999977,-34.89999999999998,-36.79999999999998,-36.39999999999998,-34.49999999999997,-35.79999999999998,-38.69999999999999,-39.79999999999998,-38.79999999999998,-34.69999999999999,1049.3,272.9
6,7,0,0.2,0.98,1,-34.09999999999991,-29.399999999999977,-22.5,-15.399999999999864,-8.799999999999955,4.400000000000091,11.0,17.799999999999955,24.5,29.5,-29.5,-34.599999999999994,-36.599999999999994,-36.29999999999998,-34.29999999999998,-35.599999999999994,-38.599999999999994,-39.79999999999998,-38.69999999999999,-34.599999999999994,1048.8,272.7
7,8,0,0.233,0.98,1,-34.5,-29.799999999999955,-22.899999999999864,-15.700000000000045,-9.0,4.2000000000000455,10.799999999999955,17.600000000000136,24.40000000000009,29.40000000000009,-29.19999999999999,-34.39999999999998,-36.39999999999998,-36.19999999999999,-34.29999999999998,-35.69999999999999,-38.599999999999994,-39.79999999999998,-38.79999999999998,-34.599999999999994,1048.3,272.7
8,9,0,0.267,0.98,1,-34.60000000000002,-30.0,-23.100000000000136,-15.900000000000091,-9.200000000000045,3.7999999999999545,10.399999999999864,17.299999999999955,24.09999999999991,29.200000000000045,-28.799999999999983,-34.0,-36.19999999999999,-36.0,-34.19999999999999,-35.599999999999994,-38.599999999999994,-39.79999999999998,-38.79999999999998,-34.599999999999994,1047.7,272.7
9,10,0,0.3,0.98,1,-34.299999999999955,-29.799999999999955,-23.09999999999991,-16.09999999999991,-9.5,3.900000000000091,10.5,17.300000000000182,24.100000000000136,29.200000000000045,-28.899999999999977,-33.99999999999997,-36.19999999999999,-35.99999999999997,-34.29999999999998,-35.79999999999998,-38.69999999999999,-39.89999999999998,-38.89999999999998,-34.89999999999998,1046.6,272.9
10,11,0,0.333,0.98,1,-34.0,-29.5,-22.90000000000009,-16.0,-9.5,4.099999999999909,10.799999999999955,17.59999999999991,24.399999999999864,29.59999999999991,-29.299999999999983,-34.29999999999998,-36.29999999999998,-36.099999999999966,-34.29999999999998,-35.69999999999999,-38.599999999999966,-39.89999999999998,-38.99999999999997,-35.099999999999966,1045.2,273.4
11,12,0,0.367,0.98,1,-33.39999999999998,-28.899999999999977,-22.399999999999977,-15.599999999999909,-9.200000000000045,4.2999999999999545,11.100000000000136,18.0,24.90000000000009,30.100000000000136,-29.69999999999999,-34.599999999999994,-36.599999999999994,-36.29999999999998,-34.39999999999998,-35.79999999999998,-38.69999999999999,-39.89999999999998,-39.0,-35.099999999999994,1043.8,274.2
