,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-21.800000000000068,-16.800000000000068,-10.900000000000091,-5.300000000000068,-0.5,10.599999999999909,16.5,22.299999999999955,27.5,30.59999999999991,-30.69999999999999,-33.80000000000001,-34.10000000000002,-32.39999999999998,-29.30000000000001,-27.5,-28.399999999999977,-27.80000000000001,-25.600000000000023,-21.19999999999999,1023.7,340.5
1,2,0,0.033,0.98,1,-21.5,-16.40000000000009,-10.5,-5.0,-0.2999999999999545,11.099999999999909,16.899999999999864,22.59999999999991,27.700000000000045,30.700000000000045,-31.19999999999999,-34.099999999999966,-34.19999999999999,-32.599999999999966,-29.599999999999966,-27.5,-28.399999999999977,-27.69999999999999,-25.30000000000001,-20.899999999999977,1024.7,340.2
2,3,0,0.067,0.98,1,-21.5,-16.399999999999977,-10.5,-5.0,-0.2999999999999545,11.099999999999909,16.90000000000009,22.5,27.59999999999991,30.59999999999991,-31.0,-34.0,-34.099999999999966,-32.39999999999998,-29.399999999999977,-27.299999999999955,-28.099999999999966,-27.399999999999977,-25.0,-20.599999999999966,1025.5,339.4
3,4,0,0.1,0.98,1,-21.200000000000045,-16.100000000000136,-10.200000000000045,-4.600000000000136,0.0,11.299999999999955,17.199999999999818,22.799999999999955,27.899999999999864,30.699999999999818,-30.69999999999999,-33.80000000000001,-33.89999999999998,-32.30000000000001,-29.19999999999999,-27.0,-27.69999999999999,-26.899999999999977,-24.399999999999977,-19.80000000000001,1025.9,338.5
4,5,0,0.133,0.98,1,-21.0,-15.899999999999977,-10.0,-4.5,0.10000000000013642,11.5,17.299999999999955,22.90000000000009,27.90000000000009,30.799999999999955,-30.899999999999977,-33.89999999999998,-34.0,-32.39999999999998,-29.30000000000001,-27.0,-27.599999999999966,-26.69999999999999,-24.19999999999999,-19.599999999999966,1026.3,337.7
5,6,0,0.167,0.98,1,-21.200000000000045,-16.0,-10.100000000000023,-4.5,0.20000000000004547,11.5,17.200000000000045,22.799999999999955,27.700000000000045,30.5,-30.600000000000023,-33.69999999999999,-33.80000000000001,-32.10000000000002,-29.100000000000023,-26.69999999999999,-27.30000000000001,-26.30000000000001,-23.69999999999999,-19.100000000000023,1027.0,336.5
6,7,0,0.2,0.98,1,-20.700000000000045,-15.5,-9.600000000000023,-4.0,0.599999999999909,11.700000000000045,17.40000000000009,22.799999999999955,27.700000000000045,30.299999999999955,-30.5,-33.60000000000002,-33.69999999999999,-32.0,-28.80000000000001,-26.399999999999977,-26.899999999999977,-25.80000000000001,-23.0,-18.30000000000001,1027.5,335.5
7,8,0,0.233,0.98,1,-20.499999999999886,-15.199999999999932,-9.199999999999932,-3.699999999999818,0.900000000000091,12.0,17.700000000000045,23.0,27.700000000000045,30.200000000000045,-30.100000000000023,-33.200000000000045,-33.30000000000001,-31.600000000000023,-28.400000000000034,-25.700000000000045,-26.100000000000023,-24.80000000000001,-21.900000000000034,-17.100000000000023,1028.1,334.1
8,9,0,0.267,0.98,1,-19.700000000000045,-14.5,-8.600000000000023,-3.0,1.5,12.5,18.09999999999991,23.200000000000045,27.799999999999955,30.09999999999991,-30.100000000000023,-33.19999999999999,-33.30000000000001,-31.5,-28.30000000000001,-25.399999999999977,-25.600000000000023,-24.100000000000023,-21.0,-16.19999999999999,1028.7,333.0
9,10,0,0.3,0.98,1,-19.40000000000009,-14.100000000000136,-8.100000000000136,-2.5,2.0,12.699999999999818,18.299999999999955,23.5,27.899999999999864,30.09999999999991,-30.399999999999977,-33.30000000000001,-33.39999999999998,-31.5,-28.19999999999999,-25.19999999999999,-25.19999999999999,-23.69999999999999,-20.399999999999977,-15.5,1028.9,332.2
10,11,0,0.333,0.98,1,-19.0,-13.600000000000023,-7.600000000000023,-2.1000000000001364,2.2999999999999545,13.200000000000045,18.700000000000045,23.799999999999955,28.200000000000045,30.299999999999955,-30.899999999999977,-33.69999999999999,-33.599999999999966,-31.599999999999966,-28.299999999999955,-25.0,-25.0,-23.299999999999955,-20.099999999999966,-15.199999999999989,1028.7,331.9
11,12,0,0.367,0.98,1,-19.100000000000023,-13.600000000000023,-7.5,-1.900000000000091,2.599999999999909,13.299999999999955,18.799999999999955,23.90000000000009,28.299999999999955,30.40000000000009,-31.0,-33.900000000000034,-33.700000000000045,-31.600000000000023,-28.100000000000023,-24.80000000000001,-24.700000000000045,-23.0,-19.600000000000023,-14.5,1028.5,332.1
12,13,0,0.4,0.98,1,-18.600000000000023,-13.0,-7.0,-1.400000000000091,3.0,13.799999999999955,19.40000000000009,24.5,28.799999999999955,30.799999999999955,-31.400000000000034,-34.10000000000002,-33.80000000000001,-31.700000000000045,-28.200000000000045,-24.600000000000023,-24.400000000000034,-22.600000000000023,-19.200000000000045,-14.100000000000023,1027.5,332.6
