,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.100000000000136,-26.40000000000009,-21.5,-16.200000000000045,-11.0,1.2999999999999545,7.7999999999999545,14.799999999999955,22.0,28.299999999999955,-29.0,-33.39999999999998,-35.0,-34.89999999999998,-33.30000000000001,-35.60000000000002,-39.30000000000001,-41.30000000000001,-41.19999999999999,-38.30000000000001,1100.2,297.5
1,2,0,0.033,0.98,1,-28.300000000000182,-25.600000000000136,-20.90000000000009,-15.900000000000091,-10.900000000000091,1.5,7.899999999999864,14.799999999999955,21.899999999999864,28.199999999999818,-30.0,-34.10000000000002,-35.5,-35.30000000000001,-33.69999999999999,-36.0,-39.69999999999999,-41.69999999999999,-41.69999999999999,-38.80000000000001,1100.4,298.0
2,3,0,0.067,0.98,1,-28.399999999999864,-25.699999999999818,-21.0,-16.0,-11.0,1.300000000000182,7.7000000000000455,14.600000000000136,21.700000000000045,27.90000000000009,-30.19999999999999,-34.299999999999955,-35.69999999999999,-35.39999999999998,-33.89999999999998,-36.099999999999966,-39.799999999999955,-41.799999999999955,-41.799999999999955,-39.0,1101.1,298.4
3,4,0,0.1,0.98,1,-28.59999999999991,-25.899999999999864,-21.200000000000045,-16.0,-11.0,1.2000000000000455,7.5,14.400000000000091,21.5,27.799999999999955,-30.19999999999999,-34.39999999999998,-35.80000000000001,-35.5,-33.89999999999998,-36.099999999999966,-39.89999999999998,-41.89999999999998,-41.89999999999998,-39.099999999999966,1101.8,298.7
4,5,0,0.133,0.98,1,-28.5,-25.800000000000182,-21.0,-15.900000000000091,-10.800000000000182,1.0,7.2999999999999545,14.199999999999818,21.399999999999864,27.699999999999818,-30.5,-34.700000000000045,-36.0,-35.700000000000045,-34.0,-36.200000000000045,-39.900000000000034,-42.0,-42.0,-39.200000000000045,1102.4,299.1
5,6,0,0.167,0.98,1,-28.399999999999864,-25.700000000000045,-21.0,-15.899999999999864,-10.899999999999864,1.1000000000001364,7.2999999999999545,14.299999999999955,21.5,27.700000000000045,-30.80000000000001,-35.0,-36.39999999999998,-36.0,-34.39999999999998,-36.5,-40.30000000000001,-42.30000000000001,-42.30000000000001,-39.39999999999998,1102.8,299.5
6,7,0,0.2,0.98,1,-28.5,-25.799999999999955,-21.200000000000045,-16.09999999999991,-11.099999999999909,1.0,7.2999999999999545,14.200000000000045,21.299999999999955,27.600000000000136,-31.099999999999966,-35.19999999999999,-36.5,-36.099999999999966,-34.5,-36.599999999999966,-40.39999999999998,-42.39999999999998,-42.39999999999998,-39.599999999999966,1103.3,299.9
7,8,0,0.233,0.98,1,-28.59999999999991,-26.0,-21.299999999999955,-16.200000000000045,-11.200000000000045,1.0,7.2999999999999545,14.200000000000045,21.299999999999955,27.600000000000136,-31.19999999999999,-35.30000000000001,-36.5,-36.10000000000002,-34.400000000000034,-36.60000000000002,-40.400000000000034,-42.400000000000034,-42.400000000000034,-39.60000000000002,1103.8,300.3
8,9,0,0.267,0.98,1,-28.799999999999955,-26.09999999999991,-21.399999999999864,-16.299999999999955,-11.199999999999818,1.0,7.300000000000182,14.200000000000045,21.40000000000009,27.600000000000136,-31.200000000000045,-35.30000000000001,-36.60000000000002,-36.200000000000045,-34.5,-36.60000000000002,-40.400000000000034,-42.5,-42.5,-39.60000000000002,1104.1,300.6
9,10,0,0.3,0.98,1,-29.0,-26.40000000000009,-21.700000000000045,-16.5,-11.299999999999955,0.7999999999999545,7.2000000000000455,14.200000000000045,21.40000000000009,27.700000000000045,-31.099999999999966,-35.299999999999955,-36.599999999999966,-36.19999999999999,-34.5,-36.599999999999966,-40.5,-42.5,-42.5,-39.599999999999966,1104.5,300.9
10,11,0,0.333,0.98,1,-29.09999999999991,-26.399999999999864,-21.5,-16.299999999999955,-11.199999999999818,0.7000000000000455,7.100000000000136,14.0,21.300000000000182,27.700000000000045,-31.100000000000023,-35.19999999999999,-36.39999999999998,-35.89999999999998,-34.19999999999999,-36.30000000000001,-40.10000000000002,-42.30000000000001,-42.39999999999998,-39.60000000000002,1104.6,301.0
11,12,0,0.367,0.98,1,-28.799999999999955,-26.09999999999991,-21.09999999999991,-15.900000000000091,-10.900000000000091,0.7999999999999545,7.2000000000000455,14.200000000000045,21.40000000000009,27.90000000000009,-30.900000000000034,-35.0,-36.200000000000045,-35.80000000000001,-34.0,-36.10000000000002,-39.900000000000034,-42.0,-42.200000000000045,-39.400000000000034,1104.5,301.1
12,13,0,0.4,0.98,1,-28.700000000000045,-26.0,-21.09999999999991,-15.899999999999864,-10.799999999999955,1.0,7.2999999999999545,14.299999999999955,21.600000000000136,28.0,-31.0,-35.0,-36.19999999999999,-35.60000000000002,-33.80000000000001,-35.89999999999998,-39.60000000000002,-41.69999999999999,-41.80000000000001,-39.0,1104.3,301.0
13,14,0,0.433,0.98,1,-28.799999999999955,-26.0,-21.09999999999991,-15.899999999999864,-10.799999999999955,1.0,7.2999999999999545,14.299999999999955,21.600000000000136,28.0,-30.899999999999977,-34.89999999999998,-36.099999999999966,-35.5,-33.69999999999999,-35.799999999999955,-39.5,-41.599999999999966,-41.69999999999999,-38.799999999999955,1104.3,300.9
14,15,0,0.467,0.98,1,-28.90000000000009,-26.200000000000045,-21.40000000000009,-16.09999999999991,-11.0,0.7999999999999545,7.099999999999909,14.200000000000045,21.40000000000009,27.59999999999991,-31.30000000000001,-35.30000000000001,-36.5,-36.0,-34.10000000000002,-36.10000000000002,-39.900000000000034,-42.0,-42.0,-39.200000000000045,1104.0,301.1
15,16,0,0.5,0.98,1,-28.699999999999818,-26.09999999999991,-21.199999999999818,-16.0,-10.899999999999864,1.0,7.2000000000000455,14.200000000000045,21.40000000000009,27.600000000000136,-31.099999999999966,-35.099999999999966,-36.39999999999998,-35.89999999999998,-34.0,-36.099999999999966,-39.799999999999955,-41.89999999999998,-41.89999999999998,-39.099999999999966,1103.6,300.9
16,17,0,0.533,0.98,1,-28.799999999999955,-26.200000000000045,-21.299999999999955,-16.09999999999991,-11.0,0.900000000000091,7.2000000000000455,14.200000000000045,21.5,27.799999999999955,-30.900000000000034,-35.0,-36.19999999999999,-35.80000000000001,-33.900000000000034,-36.0,-39.80000000000001,-42.0,-42.0,-39.10000000000002,1103.3,300.8
17,18,0,0.567,0.98,1,-28.90000000000009,-26.200000000000045,-21.299999999999955,-16.09999999999991,-11.0,0.7999999999999545,7.099999999999909,14.200000000000045,21.40000000000009,27.700000000000045,-30.80000000000001,-34.89999999999998,-36.099999999999966,-35.69999999999999,-33.80000000000001,-36.0,-39.80000000000001,-41.89999999999998,-41.89999999999998,-39.099999999999966,1103.0,300.7
18,19,0,0.6,0.98,1,-28.5,-25.899999999999864,-21.0,-15.799999999999955,-10.699999999999818,1.1000000000001364,7.400000000000091,14.5,21.700000000000045,28.0,-30.80000000000001,-34.89999999999998,-36.19999999999999,-35.69999999999999,-33.89999999999998,-36.0,-39.80000000000001,-41.89999999999998,-41.89999999999998,-39.0,1102.1,300.7
19,20,0,0.633,0.98,1,-28.59999999999991,-25.90000000000009,-21.0,-15.700000000000045,-10.599999999999909,1.099999999999909,7.400000000000091,14.5,21.799999999999955,28.09999999999991,-30.700000000000045,-34.80000000000001,-36.10000000000002,-35.700000000000045,-33.80000000000001,-35.80000000000001,-39.60000000000002,-41.700000000000045,-41.700000000000045,-38.80000000000001,1101.5,300.6
20,21,0,0.667,0.98,1,-28.200000000000045,-25.5,-20.59999999999991,-15.5,-10.399999999999864,1.5,7.900000000000091,14.900000000000091,22.200000000000045,28.5,-30.600000000000023,-34.80000000000001,-36.19999999999999,-35.69999999999999,-33.900000000000034,-35.900000000000034,-39.60000000000002,-41.60000000000002,-41.60000000000002,-38.69999999999999,1100.3,300.3
21,22,0,0.7,0.98,1,-28.200000000000045,-25.5,-20.700000000000045,-15.5,-10.400000000000091,1.5,7.900000000000091,14.900000000000091,22.200000000000045,28.40000000000009,-30.30000000000001,-34.5,-36.0,-35.60000000000002,-33.80000000000001,-35.89999999999998,-39.60000000000002,-41.60000000000002,-41.60000000000002,-38.60000000000002,1099.5,300.0
22,23,0,0.733,0.98,1,-28.299999999999955,-25.59999999999991,-20.699999999999818,-15.5,-10.399999999999864,1.7000000000000455,8.0,15.0,22.200000000000045,28.40000000000009,-30.399999999999977,-34.599999999999966,-36.0,-35.599999999999966,-33.80000000000001,-35.89999999999998,-39.599999999999966,-41.599999999999966,-41.5,-38.599999999999966,1098.6,299.7
23,24,0,0.767,0.98,1,-28.399999999999864,-25.700000000000045,-20.700000000000045,-15.5,-10.399999999999864,1.7000000000000455,8.100000000000136,15.100000000000136,22.299999999999955,28.600000000000136,-30.19999999999999,-34.5,-35.89999999999998,-35.5,-33.69999999999999,-35.80000000000001,-39.5,-41.5,-41.39999999999998,-38.39999999999998,1097.8,299.5
24,25,0,0.8,0.98,1,-28.300000000000182,-25.700000000000045,-20.700000000000045,-15.400000000000091,-10.200000000000045,1.699999999999818,8.199999999999818,15.299999999999955,22.59999999999991,28.799999999999955,-30.30000000000001,-34.60000000000002,-36.0,-35.60000000000002,-33.80000000000001,-35.80000000000001,-39.5,-41.5,-41.19999999999999,-38.10000000000002,1096.9,299.3
25,26,0,0.833,0.98,1,-28.299999999999955,-25.600000000000136,-20.600000000000136,-15.299999999999955,-10.100000000000136,1.8999999999998636,8.299999999999955,15.399999999999864,22.700000000000045,28.899999999999864,-30.19999999999999,-34.5,-35.89999999999998,-35.5,-33.799999999999955,-35.799999999999955,-39.5,-41.39999999999998,-41.19999999999999,-38.099999999999966,1096.2,298.9
26,27,0,0.867,0.98,1,-28.40000000000009,-25.700000000000045,-20.800000000000182,-15.5,-10.400000000000091,1.7999999999999545,8.199999999999818,15.199999999999818,22.399999999999864,28.59999999999991,-29.899999999999977,-34.10000000000002,-35.5,-35.19999999999999,-33.5,-35.60000000000002,-39.30000000000001,-41.19999999999999,-41.10000000000002,-38.0,1095.4,298.5
27,28,0,0.9,0.98,1,-28.5,-25.700000000000045,-20.700000000000045,-15.399999999999864,-10.299999999999955,1.900000000000091,8.200000000000045,15.200000000000045,22.200000000000045,28.40000000000009,-29.5,-33.80000000000001,-35.200000000000045,-35.0,-33.30000000000001,-35.400000000000034,-39.0,-40.900000000000034,-40.80000000000001,-37.80000000000001,1094.8,298.1
28,29,0,0.933,0.98,1,-28.40000000000009,-25.59999999999991,-20.700000000000045,-15.400000000000091,-10.299999999999955,1.900000000000091,8.200000000000045,15.099999999999909,22.09999999999991,28.299999999999955,-29.399999999999977,-33.69999999999999,-35.19999999999999,-34.89999999999998,-33.299999999999955,-35.39999999999998,-39.0,-40.89999999999998,-40.799999999999955,-37.89999999999998,1094.0,297.9
29,30,0,0.967,0.98,1,-28.600000000000136,-25.90000000000009,-20.90000000000009,-15.600000000000136,-10.5,2.0,8.199999999999818,15.0,22.0,28.09999999999991,-29.099999999999966,-33.5,-35.0,-34.89999999999998,-33.30000000000001,-35.599999999999966,-39.099999999999966,-41.0,-40.89999999999998,-37.89999999999998,1093.4,297.7
30,31,0,1.0,0.98,1,-28.40000000000009,-25.5,-20.5,-15.200000000000045,-10.100000000000136,2.2000000000000455,8.5,15.299999999999955,22.399999999999864,28.5,-29.200000000000045,-33.60000000000002,-35.10000000000002,-34.900000000000034,-33.30000000000001,-35.5,-39.0,-40.900000000000034,-40.80000000000001,-37.80000000000001,1092.7,297.6
31,32,0,1.033,0.98,1,-28.59999999999991,-25.700000000000045,-20.59999999999991,-15.299999999999955,-10.099999999999909,2.1000000000001364,8.400000000000091,15.299999999999955,22.40000000000009,28.600000000000136,-29.100000000000023,-33.5,-35.10000000000002,-34.89999999999998,-33.30000000000001,-35.5,-39.0,-40.89999999999998,-40.80000000000001,-37.69999999999999,1092.3,297.5
