,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.100000000000023,-25.799999999999955,-19.100000000000023,-12.399999999999977,-6.399999999999977,5.399999999999977,10.600000000000023,15.600000000000023,20.5,23.399999999999977,-29.400000000000034,-33.5,-34.80000000000001,-34.0,-31.80000000000001,-31.80000000000001,-33.700000000000045,-34.10000000000002,-32.700000000000045,-28.600000000000023,943.4,317.6
1,2,0,0.033,0.98,1,-31.200000000000045,-25.700000000000045,-19.100000000000023,-12.700000000000045,-6.7000000000000455,5.7999999999999545,10.899999999999977,15.699999999999932,20.299999999999955,23.199999999999932,-29.599999999999966,-33.599999999999966,-34.799999999999955,-33.89999999999998,-31.799999999999955,-31.899999999999977,-33.69999999999999,-34.19999999999999,-33.0,-29.19999999999999,944.1,318.4
2,3,0,0.067,0.98,1,-31.5,-26.0,-19.300000000000068,-12.700000000000045,-6.7000000000000455,5.699999999999932,10.799999999999955,15.699999999999932,20.399999999999977,23.299999999999955,-29.5,-33.5,-34.799999999999955,-33.89999999999998,-31.899999999999977,-32.0,-33.799999999999955,-34.299999999999955,-33.099999999999966,-29.299999999999955,944.6,318.9
3,4,0,0.1,0.98,1,-31.5,-26.0,-19.300000000000068,-12.700000000000045,-6.7000000000000455,5.599999999999909,10.699999999999932,15.599999999999909,20.299999999999955,23.199999999999932,-29.400000000000034,-33.400000000000034,-34.69999999999999,-33.80000000000001,-31.69999999999999,-31.80000000000001,-33.60000000000002,-34.10000000000002,-32.900000000000034,-29.100000000000023,945.2,319.3
4,5,0,0.133,0.98,1,-31.399999999999977,-25.899999999999977,-19.200000000000045,-12.600000000000023,-6.5,5.7999999999999545,11.0,15.899999999999977,20.600000000000023,23.5,-29.5,-33.5,-34.69999999999999,-33.80000000000001,-31.69999999999999,-31.80000000000001,-33.60000000000002,-34.10000000000002,-32.900000000000034,-29.0,945.5,319.8
5,6,0,0.167,0.98,1,-31.399999999999977,-25.799999999999955,-19.09999999999991,-12.399999999999977,-6.2999999999999545,5.7000000000000455,10.900000000000091,15.900000000000091,20.700000000000045,23.600000000000023,-29.30000000000001,-33.30000000000001,-34.60000000000002,-33.69999999999999,-31.5,-31.69999999999999,-33.5,-34.0,-32.60000000000002,-28.600000000000023,945.8,320.3
6,7,0,0.2,0.98,1,-31.600000000000023,-26.100000000000023,-19.299999999999955,-12.600000000000023,-6.5,5.600000000000023,10.899999999999977,15.899999999999977,20.799999999999955,23.700000000000045,-29.19999999999999,-33.299999999999955,-34.599999999999966,-33.799999999999955,-31.599999999999966,-31.69999999999999,-33.5,-34.0,-32.69999999999999,-28.69999999999999,946.0,320.9
7,8,0,0.233,0.98,1,-31.399999999999977,-25.800000000000068,-19.100000000000023,-12.5,-6.399999999999977,5.600000000000023,10.799999999999955,15.899999999999977,20.699999999999932,23.699999999999932,-29.100000000000023,-33.19999999999999,-34.5,-33.69999999999999,-31.600000000000023,-31.69999999999999,-33.5,-34.0,-32.80000000000001,-28.899999999999977,946.1,321.5
8,9,0,0.267,0.98,1,-31.399999999999977,-25.899999999999977,-19.199999999999932,-12.600000000000023,-6.5,5.7000000000000455,10.899999999999977,15.899999999999977,20.700000000000045,23.600000000000023,-29.30000000000001,-33.30000000000001,-34.700000000000045,-33.80000000000001,-31.700000000000045,-31.900000000000034,-33.700000000000045,-34.10000000000002,-32.900000000000034,-29.0,946.4,322.1
9,10,0,0.3,0.98,1,-31.700000000000045,-26.200000000000045,-19.5,-12.800000000000068,-6.7000000000000455,5.699999999999932,10.899999999999977,15.899999999999977,20.699999999999932,23.59999999999991,-29.399999999999977,-33.5,-34.80000000000001,-34.0,-31.80000000000001,-31.899999999999977,-33.69999999999999,-34.19999999999999,-33.0,-29.0,946.7,322.7
