,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-22.5,-18.800000000000068,-13.5,-8.200000000000045,-3.2999999999999545,9.200000000000045,16.09999999999991,23.299999999999955,30.09999999999991,35.200000000000045,-33.5,-37.39999999999998,-38.099999999999966,-36.80000000000001,-34.0,-33.39999999999998,-35.5,-35.80000000000001,-34.0,-29.599999999999966,1029.7,307.7
1,2,0,0.033,0.98,1,-22.500000000000114,-18.700000000000045,-13.500000000000114,-8.200000000000045,-3.400000000000091,9.299999999999955,16.399999999999864,23.5,30.399999999999864,35.5,-33.900000000000034,-37.69999999999999,-38.10000000000002,-36.80000000000001,-34.0,-33.30000000000001,-35.30000000000001,-35.5,-33.69999999999999,-29.400000000000034,1028.9,308.3
2,3,0,0.067,0.98,1,-22.300000000000068,-18.600000000000136,-13.400000000000091,-8.200000000000045,-3.400000000000091,9.299999999999955,16.299999999999955,23.399999999999864,30.199999999999818,35.299999999999955,-34.10000000000002,-37.80000000000001,-38.19999999999999,-36.80000000000001,-34.10000000000002,-33.30000000000001,-35.30000000000001,-35.60000000000002,-33.69999999999999,-29.400000000000034,1028.4,308.8
3,4,0,0.1,0.98,1,-22.299999999999955,-18.5,-13.299999999999955,-8.0,-3.2999999999999545,9.099999999999909,16.200000000000045,23.299999999999955,30.200000000000045,35.5,-34.19999999999999,-37.799999999999955,-38.099999999999966,-36.69999999999999,-33.89999999999998,-33.19999999999999,-35.299999999999955,-35.69999999999999,-33.89999999999998,-29.599999999999966,1028.0,309.4
4,5,0,0.133,0.98,1,-22.5,-18.800000000000068,-13.600000000000023,-8.300000000000068,-3.6000000000001364,9.0,16.09999999999991,23.299999999999955,30.299999999999955,35.59999999999991,-34.19999999999999,-37.69999999999999,-38.10000000000002,-36.69999999999999,-34.0,-33.30000000000001,-35.400000000000034,-35.80000000000001,-34.0,-29.600000000000023,1027.7,309.8
5,6,0,0.167,0.98,1,-22.500000000000114,-18.800000000000068,-13.600000000000136,-8.400000000000091,-3.7000000000000455,8.699999999999818,15.699999999999818,22.799999999999955,29.699999999999818,35.0,-34.099999999999966,-37.599999999999966,-37.89999999999998,-36.5,-33.80000000000001,-33.30000000000001,-35.5,-35.89999999999998,-34.19999999999999,-30.0,1027.4,310.2
6,7,0,0.2,0.98,1,-22.800000000000068,-19.100000000000023,-13.900000000000091,-8.700000000000045,-3.900000000000091,8.5,15.5,22.700000000000045,29.59999999999991,35.0,-34.0,-37.39999999999998,-37.80000000000001,-36.39999999999998,-33.69999999999999,-33.19999999999999,-35.5,-35.89999999999998,-34.19999999999999,-30.0,1027.2,310.5
7,8,0,0.233,0.98,1,-22.799999999999955,-19.09999999999991,-13.899999999999977,-8.599999999999909,-3.8999999999999773,8.400000000000091,15.400000000000091,22.700000000000045,29.799999999999955,35.200000000000045,-33.89999999999998,-37.30000000000001,-37.599999999999966,-36.19999999999999,-33.5,-33.099999999999966,-35.39999999999998,-35.80000000000001,-34.099999999999966,-29.899999999999977,1026.8,310.7
8,9,0,0.267,0.98,1,-23.09999999999991,-19.399999999999864,-14.199999999999932,-8.899999999999864,-4.099999999999909,8.200000000000045,15.300000000000182,22.5,29.600000000000136,35.100000000000136,-34.0,-37.400000000000034,-37.700000000000045,-36.30000000000001,-33.5,-33.10000000000002,-35.400000000000034,-36.0,-34.400000000000034,-30.200000000000045,1026.6,311.1
9,10,0,0.3,0.98,1,-23.100000000000136,-19.40000000000009,-14.200000000000045,-9.000000000000114,-4.2000000000000455,8.199999999999818,15.099999999999909,22.299999999999955,29.299999999999955,34.799999999999955,-34.19999999999999,-37.5,-37.69999999999999,-36.30000000000001,-33.5,-33.0,-35.30000000000001,-35.80000000000001,-34.19999999999999,-30.19999999999999,1026.4,311.2
