,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.700000000000045,-30.800000000000068,-24.600000000000023,-17.800000000000068,-11.400000000000091,2.099999999999909,8.899999999999864,16.09999999999991,23.399999999999864,29.299999999999955,-28.899999999999977,-33.79999999999998,-35.89999999999998,-35.79999999999998,-34.099999999999966,-36.29999999999998,-39.79999999999998,-41.69999999999999,-41.39999999999998,-37.89999999999998,1032.7,287.4
1,2,0,0.033,0.98,1,-34.799999999999955,-30.899999999999977,-24.799999999999955,-18.299999999999955,-12.099999999999909,2.0,8.799999999999955,15.799999999999955,22.90000000000009,28.700000000000045,-28.899999999999977,-33.69999999999999,-35.69999999999999,-35.69999999999999,-34.19999999999999,-36.599999999999966,-39.99999999999997,-41.79999999999998,-41.599999999999966,-38.39999999999998,1032.8,287.4
2,3,0,0.067,0.98,1,-35.0,-31.09999999999991,-25.0,-18.5,-12.299999999999955,2.0,8.799999999999955,15.799999999999955,22.90000000000009,28.700000000000045,-28.899999999999977,-33.599999999999966,-35.69999999999999,-35.69999999999999,-34.19999999999999,-36.599999999999966,-39.99999999999997,-41.89999999999998,-41.69999999999999,-38.49999999999997,1032.8,287.4
3,4,0,0.1,0.98,1,-35.0,-31.199999999999932,-25.199999999999932,-18.59999999999991,-12.299999999999955,1.900000000000091,8.700000000000045,15.799999999999955,23.0,28.700000000000045,-28.799999999999955,-33.599999999999966,-35.79999999999998,-35.69999999999999,-34.19999999999999,-36.599999999999966,-40.099999999999966,-41.99999999999997,-41.69999999999999,-38.49999999999997,1032.8,287.4
4,5,0,0.133,0.98,1,-35.09999999999991,-31.199999999999932,-25.199999999999932,-18.699999999999932,-12.399999999999977,1.900000000000091,8.700000000000045,15.799999999999955,22.90000000000009,28.700000000000045,-28.69999999999999,-33.49999999999997,-35.69999999999999,-35.599999999999966,-34.099999999999966,-36.49999999999997,-39.99999999999997,-41.89999999999998,-41.69999999999999,-38.49999999999997,1032.8,287.4
5,6,0,0.167,0.98,1,-35.19999999999993,-31.299999999999955,-25.299999999999955,-18.799999999999955,-12.399999999999977,2.0,8.799999999999955,15.900000000000091,23.0,28.700000000000045,-28.899999999999977,-33.69999999999999,-35.80000000000001,-35.69999999999999,-34.19999999999999,-36.599999999999994,-40.0,-41.900000000000006,-41.69999999999999,-38.599999999999994,1032.8,287.5
6,7,0,0.2,0.98,1,-35.19999999999993,-31.299999999999955,-25.299999999999955,-18.699999999999932,-12.399999999999977,1.900000000000091,8.700000000000045,15.799999999999955,22.90000000000009,28.700000000000045,-28.899999999999977,-33.69999999999999,-35.79999999999998,-35.69999999999999,-34.19999999999999,-36.599999999999966,-39.99999999999997,-41.89999999999998,-41.79999999999998,-38.599999999999966,1032.8,287.9
7,8,0,0.233,0.98,1,-35.09999999999991,-31.299999999999955,-25.199999999999932,-18.59999999999991,-12.299999999999955,1.900000000000091,8.799999999999955,15.900000000000091,23.0,28.799999999999955,-29.0,-33.80000000000001,-35.900000000000006,-35.80000000000001,-34.19999999999999,-36.5,-39.900000000000006,-41.80000000000001,-41.599999999999994,-38.400000000000006,1032.8,288.0
8,9,0,0.267,0.98,1,-34.700000000000045,-30.800000000000068,-24.800000000000068,-18.40000000000009,-12.100000000000136,2.0,8.899999999999864,15.899999999999864,23.0,28.699999999999818,-29.100000000000023,-33.80000000000001,-35.80000000000001,-35.70000000000002,-34.10000000000002,-36.50000000000003,-39.900000000000034,-41.80000000000001,-41.50000000000003,-38.30000000000001,1032.9,288.1
9,10,0,0.3,0.98,1,-34.600000000000136,-30.700000000000045,-24.700000000000045,-18.200000000000045,-12.000000000000114,2.099999999999909,8.899999999999864,15.899999999999864,23.0,28.799999999999955,-29.0,-33.70000000000002,-35.70000000000002,-35.70000000000002,-34.10000000000002,-36.50000000000003,-39.900000000000034,-41.70000000000002,-41.50000000000003,-38.30000000000001,1032.9,288.1
