,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-26.299999999999955,-21.799999999999955,-15.899999999999977,-9.899999999999977,-4.5,7.300000000000068,13.5,19.899999999999977,25.899999999999977,30.000000000000114,-29.100000000000023,-33.0,-34.0,-33.0,-30.400000000000034,-30.100000000000023,-32.10000000000002,-32.400000000000034,-30.69999999999999,-26.69999999999999,995.4,339.3
1,2,0,0.033,0.98,1,-26.5,-21.899999999999977,-15.899999999999977,-10.0,-4.699999999999932,7.2000000000000455,13.5,19.800000000000068,25.800000000000068,29.899999999999977,-29.700000000000045,-33.400000000000034,-34.30000000000001,-33.30000000000001,-30.700000000000045,-30.400000000000034,-32.30000000000001,-32.60000000000002,-31.0,-27.100000000000023,994.9,340.1
2,3,0,0.067,0.98,1,-26.299999999999955,-21.699999999999932,-15.799999999999955,-9.799999999999955,-4.600000000000023,7.399999999999977,13.600000000000023,19.800000000000068,25.800000000000068,29.899999999999977,-29.80000000000001,-33.5,-34.30000000000001,-33.30000000000001,-30.69999999999999,-30.30000000000001,-32.19999999999999,-32.60000000000002,-31.0,-27.100000000000023,994.4,340.3
3,4,0,0.1,0.98,1,-26.299999999999955,-21.799999999999955,-15.899999999999977,-9.899999999999977,-4.599999999999909,7.400000000000091,13.600000000000023,19.90000000000009,25.800000000000068,29.90000000000009,-29.5,-33.30000000000001,-34.30000000000001,-33.30000000000001,-30.600000000000023,-30.30000000000001,-32.19999999999999,-32.39999999999998,-30.80000000000001,-26.80000000000001,994.3,340.5
4,5,0,0.133,0.98,1,-26.299999999999955,-21.799999999999955,-15.899999999999977,-9.899999999999977,-4.600000000000023,7.5,13.700000000000045,19.899999999999977,25.800000000000068,29.800000000000068,-29.399999999999977,-33.19999999999999,-34.19999999999999,-33.099999999999966,-30.5,-30.099999999999966,-31.899999999999977,-32.099999999999966,-30.5,-26.599999999999966,994.4,340.4
5,6,0,0.167,0.98,1,-26.0,-21.5,-15.599999999999909,-9.699999999999932,-4.399999999999977,7.800000000000068,14.0,20.100000000000023,26.0,29.90000000000009,-29.30000000000001,-33.10000000000002,-34.10000000000002,-33.10000000000002,-30.5,-30.0,-31.80000000000001,-32.0,-30.30000000000001,-26.30000000000001,994.3,340.1
6,7,0,0.2,0.98,1,-25.899999999999977,-21.399999999999977,-15.5,-9.699999999999932,-4.399999999999977,8.0,14.200000000000045,20.200000000000045,26.0,29.899999999999977,-29.399999999999977,-33.19999999999999,-34.19999999999999,-33.19999999999999,-30.69999999999999,-30.099999999999966,-31.799999999999955,-31.899999999999977,-30.19999999999999,-26.19999999999999,994.4,339.4
7,8,0,0.233,0.98,1,-26.100000000000023,-21.5,-15.600000000000023,-9.800000000000068,-4.5,8.099999999999909,14.199999999999932,20.199999999999932,25.899999999999977,29.700000000000045,-29.19999999999999,-33.0,-34.099999999999966,-33.19999999999999,-30.69999999999999,-30.099999999999966,-31.799999999999955,-31.799999999999955,-30.099999999999966,-26.099999999999966,994.7,338.4
8,9,0,0.267,0.98,1,-26.100000000000023,-21.5,-15.699999999999932,-9.799999999999955,-4.5,8.100000000000023,14.200000000000045,20.200000000000045,25.899999999999977,29.699999999999932,-29.099999999999966,-33.0,-34.099999999999966,-33.19999999999999,-30.69999999999999,-30.19999999999999,-31.80000000000001,-31.80000000000001,-30.0,-25.899999999999977,994.9,337.7
9,10,0,0.3,0.98,1,-26.100000000000023,-21.5,-15.600000000000023,-9.700000000000045,-4.399999999999977,8.200000000000045,14.299999999999955,20.299999999999955,26.0,29.700000000000045,-28.80000000000001,-32.80000000000001,-34.0,-33.10000000000002,-30.600000000000023,-30.0,-31.600000000000023,-31.5,-29.700000000000045,-25.5,995.0,337.1
10,11,0,0.333,0.98,1,-26.200000000000045,-21.5,-15.600000000000023,-9.600000000000023,-4.2999999999999545,8.399999999999977,14.5,20.399999999999977,26.100000000000023,29.799999999999955,-28.700000000000045,-32.700000000000045,-33.900000000000034,-33.10000000000002,-30.5,-29.900000000000034,-31.400000000000034,-31.30000000000001,-29.400000000000034,-25.200000000000045,995.0,336.6
11,12,0,0.367,0.98,1,-26.399999999999977,-21.600000000000023,-15.600000000000023,-9.600000000000023,-4.2000000000000455,8.399999999999977,14.399999999999977,20.399999999999977,26.100000000000023,29.799999999999955,-28.80000000000001,-32.69999999999999,-33.89999999999998,-33.0,-30.5,-29.80000000000001,-31.30000000000001,-31.19999999999999,-29.30000000000001,-25.100000000000023,995.0,336.0
12,13,0,0.4,0.98,1,-26.300000000000068,-21.5,-15.400000000000091,-9.400000000000091,-4.100000000000023,8.5,14.599999999999909,20.59999999999991,26.299999999999955,30.09999999999991,-29.0,-32.89999999999998,-34.0,-33.0,-30.5,-29.80000000000001,-31.19999999999999,-31.100000000000023,-29.100000000000023,-24.899999999999977,994.7,335.0
13,14,0,0.433,0.98,1,-26.100000000000023,-21.200000000000045,-15.100000000000023,-9.100000000000023,-3.800000000000068,8.699999999999932,14.899999999999977,20.899999999999977,26.699999999999932,30.5,-29.099999999999966,-33.0,-34.0,-33.099999999999966,-30.599999999999966,-29.799999999999955,-31.19999999999999,-31.099999999999966,-29.099999999999966,-24.899999999999977,994.2,333.9
14,15,0,0.467,0.98,1,-25.90000000000009,-21.0,-15.0,-9.0,-3.7000000000000455,8.699999999999932,14.899999999999977,21.0,26.699999999999932,30.59999999999991,-29.099999999999966,-33.0,-34.0,-33.099999999999966,-30.5,-29.69999999999999,-31.099999999999966,-30.899999999999977,-29.0,-24.799999999999955,993.7,332.9
15,16,0,0.5,0.98,1,-25.600000000000023,-20.700000000000045,-14.600000000000023,-8.600000000000023,-3.300000000000068,8.699999999999932,15.0,21.199999999999932,27.0,30.899999999999977,-29.19999999999999,-33.099999999999966,-34.099999999999966,-33.099999999999966,-30.5,-29.599999999999966,-31.0,-30.799999999999955,-28.799999999999955,-24.399999999999977,993.1,332.4
16,17,0,0.533,0.98,1,-24.800000000000068,-19.899999999999977,-13.899999999999977,-8.0,-2.800000000000068,9.399999999999977,15.600000000000023,21.799999999999955,27.699999999999932,31.5,-29.30000000000001,-33.30000000000001,-34.30000000000001,-33.30000000000001,-30.600000000000023,-29.600000000000023,-30.80000000000001,-30.5,-28.400000000000034,-24.0,992.1,331.8
17,18,0,0.567,0.98,1,-24.300000000000068,-19.40000000000009,-13.300000000000068,-7.400000000000091,-2.2000000000000455,9.699999999999932,16.09999999999991,22.399999999999977,28.299999999999955,32.09999999999991,-29.600000000000023,-33.5,-34.400000000000034,-33.30000000000001,-30.5,-29.30000000000001,-30.5,-30.100000000000023,-27.900000000000034,-23.5,991.2,331.1
18,19,0,0.6,0.98,1,-23.700000000000045,-18.700000000000045,-12.700000000000045,-6.899999999999977,-1.7000000000000455,10.199999999999932,16.5,22.799999999999955,28.699999999999932,32.5,-29.80000000000001,-33.69999999999999,-34.60000000000002,-33.39999999999998,-30.5,-29.19999999999999,-30.30000000000001,-29.80000000000001,-27.600000000000023,-23.100000000000023,990.6,330.5
