,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.700000000000045,-26.100000000000023,-19.0,-12.0,-5.7000000000000455,6.199999999999932,11.799999999999955,17.199999999999932,22.299999999999955,25.299999999999955,-30.100000000000023,-34.0,-35.10000000000002,-34.0,-31.30000000000001,-31.19999999999999,-33.30000000000001,-33.89999999999998,-32.60000000000002,-28.600000000000023,943.1,325.0
1,2,0,0.033,0.98,1,-32.10000000000002,-26.5,-19.600000000000023,-12.800000000000068,-6.399999999999977,6.600000000000023,11.899999999999977,17.199999999999932,22.0,24.899999999999977,-30.0,-34.0,-35.30000000000001,-34.30000000000001,-31.80000000000001,-31.80000000000001,-33.599999999999966,-34.099999999999966,-32.80000000000001,-28.899999999999977,943.6,324.7
2,3,0,0.067,0.98,1,-32.299999999999955,-26.59999999999991,-19.799999999999955,-13.099999999999909,-6.699999999999932,6.5,11.700000000000045,16.800000000000068,21.600000000000023,24.600000000000023,-29.899999999999977,-33.80000000000001,-35.0,-34.0,-31.600000000000023,-31.600000000000023,-33.5,-34.0,-32.89999999999998,-29.100000000000023,943.8,324.5
3,4,0,0.1,0.98,1,-32.0,-26.299999999999955,-19.399999999999977,-12.700000000000045,-6.399999999999977,6.600000000000023,11.899999999999977,17.0,21.899999999999977,24.899999999999977,-30.400000000000034,-34.30000000000001,-35.5,-34.400000000000034,-31.900000000000034,-31.80000000000001,-33.700000000000045,-34.200000000000045,-33.0,-29.200000000000045,943.5,324.6
4,5,0,0.133,0.98,1,-31.300000000000068,-25.700000000000045,-19.0,-12.200000000000045,-6.100000000000023,6.7999999999999545,12.199999999999932,17.399999999999977,22.299999999999955,25.399999999999977,-30.5,-34.19999999999999,-35.30000000000001,-34.19999999999999,-31.80000000000001,-31.69999999999999,-33.60000000000002,-34.10000000000002,-32.69999999999999,-28.900000000000034,943.1,324.8
5,6,0,0.167,0.98,1,-32.0,-26.299999999999955,-19.399999999999977,-12.599999999999909,-6.399999999999977,6.600000000000023,11.900000000000091,17.100000000000023,22.0,25.0,-30.30000000000001,-34.099999999999966,-35.19999999999999,-34.19999999999999,-31.599999999999966,-31.69999999999999,-33.69999999999999,-34.19999999999999,-33.0,-29.19999999999999,943.3,325.2
6,7,0,0.2,0.98,1,-32.700000000000045,-26.899999999999977,-20.0,-13.100000000000023,-6.7000000000000455,6.2000000000000455,11.5,16.799999999999955,21.700000000000045,24.600000000000023,-29.80000000000001,-33.80000000000001,-35.10000000000002,-34.10000000000002,-31.600000000000023,-31.69999999999999,-33.69999999999999,-34.30000000000001,-33.10000000000002,-29.19999999999999,943.5,325.3
7,8,0,0.233,0.98,1,-32.69999999999993,-27.0,-20.100000000000023,-13.199999999999932,-6.899999999999977,6.2000000000000455,11.5,16.700000000000045,21.600000000000023,24.5,-29.899999999999977,-33.80000000000001,-35.10000000000002,-34.10000000000002,-31.600000000000023,-31.80000000000001,-33.80000000000001,-34.39999999999998,-33.30000000000001,-29.5,943.4,325.5
8,9,0,0.267,0.98,1,-32.39999999999998,-26.700000000000045,-19.899999999999977,-13.200000000000045,-6.899999999999977,6.2999999999999545,11.5,16.600000000000023,21.399999999999977,24.399999999999977,-30.100000000000023,-33.89999999999998,-35.10000000000002,-34.10000000000002,-31.600000000000023,-31.69999999999999,-33.69999999999999,-34.30000000000001,-33.30000000000001,-29.600000000000023,943.5,325.5
9,10,0,0.3,0.98,1,-32.299999999999955,-26.600000000000023,-19.799999999999955,-13.100000000000023,-6.7999999999999545,6.399999999999977,11.5,16.600000000000023,21.5,24.5,-30.100000000000023,-33.89999999999998,-35.10000000000002,-34.10000000000002,-31.5,-31.600000000000023,-33.60000000000002,-34.30000000000001,-33.30000000000001,-29.69999999999999,943.5,325.5
