,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-26.90000000000009,-23.40000000000009,-18.09999999999991,-12.599999999999909,-7.5,4.900000000000091,11.599999999999909,18.700000000000045,25.799999999999955,31.40000000000009,-32.10000000000002,-35.60000000000002,-36.30000000000001,-35.10000000000002,-32.60000000000002,-33.19999999999999,-36.10000000000002,-37.39999999999998,-36.69999999999999,-33.30000000000001,1091.0,300.5
1,2,0,0.033,0.98,1,-26.800000000000182,-23.300000000000182,-18.0,-12.600000000000136,-7.600000000000136,5.0,11.699999999999818,18.799999999999955,25.799999999999955,31.59999999999991,-32.900000000000034,-36.10000000000002,-36.5,-35.19999999999999,-32.69999999999999,-33.19999999999999,-36.10000000000002,-37.400000000000034,-36.69999999999999,-33.5,1090.4,300.8
2,3,0,0.067,0.98,1,-26.700000000000045,-23.100000000000136,-17.700000000000045,-12.200000000000045,-7.2000000000000455,5.2999999999999545,12.0,19.09999999999991,26.199999999999818,31.899999999999864,-32.900000000000034,-36.10000000000002,-36.400000000000034,-35.10000000000002,-32.5,-33.0,-35.80000000000001,-37.10000000000002,-36.400000000000034,-33.10000000000002,1089.9,300.6
3,4,0,0.1,0.98,1,-26.5,-22.90000000000009,-17.5,-12.100000000000136,-7.0,5.399999999999864,12.0,19.09999999999991,26.09999999999991,31.799999999999955,-33.0,-36.19999999999999,-36.5,-35.099999999999966,-32.5,-33.0,-35.89999999999998,-37.19999999999999,-36.5,-33.19999999999999,1089.4,300.4
4,5,0,0.133,0.98,1,-26.5,-22.799999999999955,-17.5,-12.099999999999909,-7.0,5.2000000000000455,11.800000000000182,18.90000000000009,25.90000000000009,31.600000000000136,-32.900000000000034,-36.10000000000002,-36.400000000000034,-35.10000000000002,-32.60000000000002,-33.10000000000002,-36.0,-37.30000000000001,-36.60000000000002,-33.30000000000001,1089.1,300.1
5,6,0,0.167,0.98,1,-26.40000000000009,-22.799999999999955,-17.5,-12.0,-7.0,5.5,12.200000000000045,19.200000000000045,26.200000000000045,31.899999999999864,-32.69999999999999,-35.89999999999998,-36.30000000000001,-35.099999999999966,-32.599999999999966,-33.19999999999999,-36.0,-37.19999999999999,-36.5,-33.099999999999966,1088.7,299.7
6,7,0,0.2,0.98,1,-26.40000000000009,-22.799999999999955,-17.5,-12.0,-6.900000000000091,5.2999999999999545,12.099999999999909,19.200000000000045,26.299999999999955,32.09999999999991,-32.60000000000002,-35.900000000000034,-36.30000000000001,-35.10000000000002,-32.5,-33.10000000000002,-36.0,-37.30000000000001,-36.5,-33.10000000000002,1088.2,299.3
7,8,0,0.233,0.98,1,-26.5,-22.90000000000009,-17.5,-12.100000000000136,-7.0,5.199999999999818,11.899999999999864,19.0,26.199999999999818,31.899999999999864,-32.30000000000001,-35.60000000000002,-36.0,-34.80000000000001,-32.30000000000001,-32.80000000000001,-35.69999999999999,-37.0,-36.30000000000001,-32.89999999999998,1087.9,298.5
8,9,0,0.267,0.98,1,-26.299999999999955,-22.699999999999818,-17.399999999999864,-11.899999999999864,-6.899999999999864,5.5,12.200000000000045,19.300000000000182,26.40000000000009,32.100000000000136,-32.60000000000002,-35.900000000000034,-36.400000000000034,-35.200000000000045,-32.60000000000002,-33.10000000000002,-35.900000000000034,-37.10000000000002,-36.200000000000045,-32.80000000000001,1087.6,298.1
9,10,0,0.3,0.98,1,-26.40000000000009,-22.799999999999955,-17.40000000000009,-11.900000000000091,-6.900000000000091,5.400000000000091,12.200000000000045,19.299999999999955,26.5,32.200000000000045,-32.599999999999966,-35.89999999999998,-36.299999999999955,-35.099999999999966,-32.5,-33.0,-35.89999999999998,-37.099999999999966,-36.299999999999955,-32.89999999999998,1087.5,297.9
10,11,0,0.333,0.98,1,-26.200000000000045,-22.59999999999991,-17.200000000000045,-11.799999999999955,-6.7000000000000455,5.5,12.200000000000045,19.40000000000009,26.5,32.200000000000045,-32.69999999999999,-36.0,-36.39999999999998,-35.19999999999999,-32.599999999999966,-33.0,-35.89999999999998,-37.099999999999966,-36.19999999999999,-32.69999999999999,1087.5,297.9
11,12,0,0.367,0.98,1,-25.799999999999955,-22.200000000000045,-16.799999999999955,-11.400000000000091,-6.400000000000091,5.7999999999999545,12.599999999999909,19.799999999999955,27.0,32.700000000000045,-32.799999999999955,-36.099999999999966,-36.5,-35.19999999999999,-32.599999999999966,-32.89999999999998,-35.69999999999999,-36.799999999999955,-35.89999999999998,-32.39999999999998,1087.2,297.9
12,13,0,0.4,0.98,1,-25.799999999999955,-22.09999999999991,-16.799999999999955,-11.299999999999955,-6.2999999999999545,5.900000000000091,12.800000000000182,20.0,27.200000000000045,32.90000000000009,-32.69999999999999,-36.10000000000002,-36.5,-35.19999999999999,-32.60000000000002,-32.89999999999998,-35.69999999999999,-36.80000000000001,-35.80000000000001,-32.30000000000001,1087.1,298.0
13,14,0,0.433,0.98,1,-25.5,-21.800000000000182,-16.40000000000009,-11.0,-6.0,6.199999999999818,13.0,20.299999999999955,27.5,33.19999999999982,-32.80000000000001,-36.10000000000002,-36.5,-35.30000000000001,-32.60000000000002,-32.89999999999998,-35.60000000000002,-36.69999999999999,-35.69999999999999,-32.0,1086.9,298.0
14,15,0,0.467,0.98,1,-25.5,-21.799999999999955,-16.40000000000009,-11.0,-6.0,6.399999999999864,13.299999999999955,20.5,27.59999999999991,33.299999999999955,-33.0,-36.299999999999955,-36.69999999999999,-35.5,-32.799999999999955,-33.0,-35.69999999999999,-36.69999999999999,-35.599999999999966,-31.899999999999977,1086.7,297.9
15,16,0,0.5,0.98,1,-25.5,-21.799999999999955,-16.40000000000009,-11.0,-6.099999999999909,6.400000000000091,13.200000000000045,20.299999999999955,27.40000000000009,33.0,-33.0,-36.299999999999955,-36.69999999999999,-35.5,-32.89999999999998,-33.099999999999966,-35.69999999999999,-36.599999999999966,-35.599999999999966,-31.899999999999977,1086.5,297.4
16,17,0,0.533,0.98,1,-25.40000000000009,-21.700000000000045,-16.40000000000009,-11.0,-6.100000000000136,6.2999999999999545,13.099999999999909,20.200000000000045,27.200000000000045,32.899999999999864,-33.0,-36.299999999999955,-36.69999999999999,-35.39999999999998,-32.89999999999998,-33.099999999999966,-35.69999999999999,-36.69999999999999,-35.69999999999999,-32.0,1086.2,296.9
17,18,0,0.567,0.98,1,-25.59999999999991,-21.799999999999955,-16.399999999999864,-11.0,-6.0,6.2000000000000455,13.0,20.200000000000045,27.40000000000009,33.0,-32.799999999999955,-36.099999999999966,-36.5,-35.299999999999955,-32.69999999999999,-33.0,-35.69999999999999,-36.69999999999999,-35.69999999999999,-32.099999999999966,1085.8,296.4
18,19,0,0.6,0.98,1,-25.799999999999955,-22.09999999999991,-16.700000000000045,-11.200000000000045,-6.2000000000000455,6.0,12.900000000000091,20.0,27.200000000000045,32.799999999999955,-32.89999999999998,-36.19999999999999,-36.60000000000002,-35.39999999999998,-32.80000000000001,-33.10000000000002,-35.80000000000001,-36.89999999999998,-35.89999999999998,-32.30000000000001,1085.5,296.5
19,20,0,0.633,0.98,1,-26.09999999999991,-22.5,-17.09999999999991,-11.599999999999909,-6.5,5.800000000000182,12.700000000000045,19.90000000000009,27.100000000000136,32.80000000000018,-32.89999999999998,-36.299999999999955,-36.799999999999955,-35.599999999999966,-33.0,-33.39999999999998,-36.099999999999966,-37.19999999999999,-36.299999999999955,-32.599999999999966,1085.1,296.9
20,21,0,0.667,0.98,1,-26.5,-22.799999999999955,-17.299999999999955,-11.799999999999955,-6.7000000000000455,5.7999999999999545,12.700000000000045,19.799999999999955,26.90000000000009,32.5,-33.0,-36.39999999999998,-36.80000000000001,-35.60000000000002,-33.10000000000002,-33.39999999999998,-36.19999999999999,-37.30000000000001,-36.30000000000001,-32.80000000000001,1085.0,297.5
21,22,0,0.7,0.98,1,-26.40000000000009,-22.700000000000045,-17.200000000000045,-11.700000000000045,-6.600000000000136,5.7000000000000455,12.5,19.5,26.5,32.09999999999991,-32.89999999999998,-36.30000000000001,-36.69999999999999,-35.5,-33.10000000000002,-33.5,-36.30000000000001,-37.39999999999998,-36.5,-33.0,1084.7,298.0
22,23,0,0.733,0.98,1,-26.90000000000009,-23.200000000000045,-17.700000000000045,-12.200000000000045,-7.100000000000136,5.399999999999864,12.099999999999909,19.09999999999991,26.200000000000045,31.799999999999955,-32.5,-36.0,-36.60000000000002,-35.5,-33.10000000000002,-33.60000000000002,-36.5,-37.60000000000002,-36.80000000000001,-33.30000000000001,1084.7,298.1
23,24,0,0.767,0.98,1,-26.699999999999818,-23.09999999999991,-17.699999999999818,-12.199999999999818,-7.199999999999818,5.400000000000091,12.0,19.0,26.0,31.600000000000136,-31.900000000000034,-35.400000000000034,-36.0,-35.0,-32.700000000000045,-33.400000000000034,-36.200000000000045,-37.400000000000034,-36.5,-33.10000000000002,1084.6,297.6
24,25,0,0.8,0.98,1,-26.200000000000045,-22.59999999999991,-17.200000000000045,-11.900000000000091,-6.900000000000091,5.400000000000091,12.0,19.0,26.0,31.700000000000045,-31.900000000000034,-35.400000000000034,-36.10000000000002,-35.10000000000002,-32.700000000000045,-33.400000000000034,-36.30000000000001,-37.5,-36.700000000000045,-33.200000000000045,1084.5,297.1
25,26,0,0.833,0.98,1,-26.600000000000136,-22.90000000000009,-17.600000000000136,-12.200000000000045,-7.2000000000000455,5.399999999999864,12.099999999999909,19.09999999999991,26.09999999999991,31.799999999999955,-32.0,-35.5,-36.19999999999999,-35.19999999999999,-32.900000000000034,-33.60000000000002,-36.400000000000034,-37.69999999999999,-36.900000000000034,-33.400000000000034,1084.4,296.8
26,27,0,0.867,0.98,1,-26.600000000000136,-23.0,-17.700000000000045,-12.300000000000182,-7.300000000000182,5.2999999999999545,12.0,18.899999999999864,25.899999999999864,31.59999999999991,-32.0,-35.5,-36.19999999999999,-35.19999999999999,-32.900000000000034,-33.60000000000002,-36.5,-37.69999999999999,-36.900000000000034,-33.5,1084.4,296.8
27,28,0,0.9,0.98,1,-26.5,-23.0,-17.700000000000045,-12.299999999999955,-7.2999999999999545,5.2000000000000455,11.899999999999864,19.0,26.0,31.700000000000045,-32.0,-35.60000000000002,-36.30000000000001,-35.39999999999998,-33.10000000000002,-33.69999999999999,-36.69999999999999,-37.80000000000001,-36.89999999999998,-33.39999999999998,1084.2,297.0
