,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-25.699999999999818,-22.0,-16.59999999999991,-11.099999999999909,-5.899999999999864,6.400000000000091,13.200000000000045,20.300000000000182,27.200000000000045,32.5,-31.5,-35.69999999999999,-36.80000000000001,-35.900000000000006,-33.5,-33.89999999999998,-36.5,-37.400000000000006,-36.19999999999999,-32.19999999999999,1096.6,290.5
1,2,0,0.033,0.98,1,-25.59999999999991,-22.0,-16.59999999999991,-11.0,-5.899999999999864,6.600000000000136,13.400000000000091,20.5,27.40000000000009,32.90000000000009,-31.69999999999999,-35.79999999999998,-36.69999999999999,-35.69999999999999,-33.39999999999998,-33.69999999999999,-36.29999999999998,-37.19999999999999,-36.099999999999966,-32.19999999999999,1095.3,291.4
2,3,0,0.067,0.98,1,-25.5,-21.799999999999955,-16.5,-11.0,-5.7999999999999545,6.600000000000136,13.400000000000091,20.5,27.40000000000009,32.80000000000018,-31.80000000000001,-35.80000000000001,-36.69999999999999,-35.80000000000001,-33.39999999999998,-33.69999999999999,-36.29999999999998,-37.19999999999999,-36.0,-32.099999999999966,1094.1,292.2
3,4,0,0.1,0.98,1,-25.40000000000009,-21.59999999999991,-16.200000000000045,-10.700000000000045,-5.599999999999909,6.599999999999909,13.400000000000091,20.5,27.40000000000009,32.799999999999955,-32.0,-35.80000000000001,-36.599999999999966,-35.599999999999966,-33.19999999999999,-33.599999999999966,-36.19999999999999,-37.099999999999994,-35.89999999999998,-32.0,1093.0,292.7
4,5,0,0.133,0.98,1,-25.5,-21.800000000000182,-16.40000000000009,-10.800000000000182,-5.7000000000000455,6.399999999999864,13.199999999999818,20.299999999999955,27.299999999999955,32.69999999999982,-31.80000000000001,-35.69999999999999,-36.5,-35.5,-33.099999999999966,-33.5,-36.19999999999999,-37.099999999999994,-36.0,-32.099999999999966,1091.9,292.7
5,6,0,0.167,0.98,1,-25.299999999999955,-21.600000000000136,-16.299999999999955,-10.799999999999955,-5.7000000000000455,6.5,13.299999999999955,20.399999999999864,27.399999999999864,32.700000000000045,-31.900000000000034,-35.80000000000001,-36.60000000000002,-35.60000000000002,-33.10000000000002,-33.5,-36.10000000000002,-36.900000000000034,-35.700000000000045,-31.80000000000001,1090.7,292.1
6,7,0,0.2,0.98,1,-25.199999999999818,-21.59999999999991,-16.199999999999818,-10.699999999999818,-5.699999999999818,6.5,13.300000000000182,20.40000000000009,27.40000000000009,32.80000000000018,-31.5,-35.400000000000034,-36.20000000000002,-35.30000000000001,-32.80000000000001,-33.200000000000045,-35.80000000000001,-36.60000000000002,-35.30000000000001,-31.400000000000034,1089.6,291.1
7,8,0,0.233,0.98,1,-24.90000000000009,-21.200000000000045,-15.900000000000091,-10.5,-5.5,6.699999999999818,13.599999999999909,20.699999999999818,27.699999999999818,33.09999999999991,-31.80000000000001,-35.5,-36.30000000000001,-35.30000000000001,-32.89999999999998,-33.19999999999999,-35.69999999999999,-36.5,-35.30000000000001,-31.399999999999977,1088.4,290.5
8,9,0,0.267,0.98,1,-24.899999999999864,-21.200000000000045,-15.899999999999864,-10.399999999999864,-5.399999999999864,6.900000000000091,13.799999999999955,21.0,28.0,33.40000000000009,-31.899999999999977,-35.69999999999999,-36.5,-35.5,-33.0,-33.30000000000001,-35.79999999999998,-36.5,-35.099999999999994,-31.099999999999966,1087.3,290.2
9,10,0,0.3,0.98,1,-24.800000000000182,-21.100000000000136,-15.800000000000182,-10.300000000000182,-5.300000000000182,7.099999999999909,14.0,21.199999999999818,28.199999999999818,33.5,-32.099999999999966,-35.89999999999998,-36.69999999999999,-35.599999999999994,-33.19999999999999,-33.30000000000001,-35.79999999999998,-36.5,-35.099999999999994,-31.099999999999966,1086.4,290.2
10,11,0,0.333,0.98,1,-24.59999999999991,-21.0,-15.700000000000045,-10.299999999999955,-5.2999999999999545,7.2999999999999545,14.200000000000045,21.200000000000045,28.09999999999991,33.40000000000009,-32.400000000000034,-36.10000000000002,-36.900000000000034,-35.80000000000001,-33.30000000000001,-33.400000000000034,-35.900000000000034,-36.50000000000003,-35.20000000000002,-31.200000000000045,1085.5,290.6
11,12,0,0.367,0.98,1,-24.600000000000136,-20.90000000000009,-15.600000000000136,-10.200000000000045,-5.2000000000000455,7.2000000000000455,14.0,21.09999999999991,28.0,33.299999999999955,-32.39999999999998,-36.099999999999994,-36.80000000000001,-35.80000000000001,-33.30000000000001,-33.39999999999998,-35.80000000000001,-36.5,-35.099999999999994,-31.19999999999999,1084.7,291.0
12,13,0,0.4,0.98,1,-24.800000000000182,-21.200000000000045,-15.800000000000182,-10.400000000000091,-5.400000000000091,7.199999999999818,14.0,21.09999999999991,28.09999999999991,33.399999999999864,-32.69999999999999,-36.39999999999998,-37.099999999999994,-36.0,-33.5,-33.599999999999966,-36.099999999999994,-36.79999999999998,-35.5,-31.599999999999966,1083.9,291.7
13,14,0,0.433,0.98,1,-25.0,-21.399999999999864,-16.09999999999991,-10.599999999999909,-5.5,7.0,13.799999999999955,20.90000000000009,27.799999999999955,33.200000000000045,-32.5,-36.30000000000001,-37.0,-35.900000000000034,-33.400000000000034,-33.400000000000034,-35.900000000000034,-36.70000000000002,-35.400000000000034,-31.5,1083.3,292.3
14,15,0,0.467,0.98,1,-25.299999999999955,-21.700000000000045,-16.299999999999955,-10.799999999999955,-5.7000000000000455,7.0,13.799999999999955,20.899999999999864,27.799999999999955,33.200000000000045,-32.5,-36.30000000000001,-37.0,-35.89999999999998,-33.39999999999998,-33.599999999999966,-36.099999999999966,-37.0,-35.69999999999999,-31.899999999999977,1082.7,293.2
15,16,0,0.5,0.98,1,-25.0,-21.40000000000009,-16.100000000000136,-10.700000000000045,-5.7000000000000455,7.0,13.799999999999955,20.799999999999955,27.699999999999818,33.0,-32.5,-36.19999999999999,-37.0,-35.89999999999998,-33.39999999999998,-33.60000000000002,-36.0,-36.80000000000001,-35.5,-31.69999999999999,1081.9,293.5
16,17,0,0.533,0.98,1,-25.0,-21.200000000000045,-15.899999999999864,-10.399999999999864,-5.399999999999864,7.100000000000136,13.900000000000091,20.90000000000009,27.799999999999955,33.100000000000136,-32.400000000000034,-36.10000000000002,-36.80000000000001,-35.700000000000045,-33.200000000000045,-33.30000000000001,-35.80000000000001,-36.60000000000002,-35.400000000000034,-31.5,1081.3,293.1
17,18,0,0.567,0.98,1,-25.09999999999991,-21.299999999999955,-15.899999999999864,-10.399999999999864,-5.399999999999864,7.0,13.799999999999955,20.799999999999955,27.799999999999955,33.200000000000045,-32.10000000000002,-35.900000000000034,-36.60000000000002,-35.5,-33.10000000000002,-33.30000000000001,-35.80000000000001,-36.50000000000003,-35.30000000000001,-31.400000000000034,1080.8,292.1
