,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.799999999999955,-27.100000000000023,-19.899999999999977,-12.799999999999955,-6.2999999999999545,5.7000000000000455,11.100000000000023,16.5,21.5,24.399999999999977,-30.30000000000001,-34.5,-35.80000000000001,-34.80000000000001,-32.39999999999998,-32.39999999999998,-34.39999999999998,-34.89999999999998,-33.5,-29.399999999999977,958.4,323.2
1,2,0,0.033,0.98,1,-32.30000000000007,-26.5,-19.600000000000023,-12.800000000000068,-6.600000000000023,6.2999999999999545,11.599999999999909,16.59999999999991,21.399999999999977,24.299999999999955,-30.600000000000023,-34.60000000000002,-35.80000000000001,-34.80000000000001,-32.5,-32.5,-34.30000000000001,-34.900000000000034,-33.60000000000002,-29.700000000000045,958.2,323.6
2,3,0,0.067,0.98,1,-32.30000000000007,-26.5,-19.600000000000023,-12.800000000000068,-6.5,6.199999999999932,11.5,16.59999999999991,21.399999999999977,24.199999999999932,-30.400000000000034,-34.400000000000034,-35.69999999999999,-34.69999999999999,-32.400000000000034,-32.400000000000034,-34.19999999999999,-34.69999999999999,-33.5,-29.5,958.2,323.8
3,4,0,0.1,0.98,1,-32.200000000000045,-26.40000000000009,-19.40000000000009,-12.600000000000023,-6.400000000000091,6.2999999999999545,11.5,16.59999999999991,21.299999999999955,24.09999999999991,-30.600000000000023,-34.60000000000002,-35.900000000000034,-34.900000000000034,-32.5,-32.5,-34.30000000000001,-34.80000000000001,-33.5,-29.5,958.2,324.1
4,5,0,0.133,0.98,1,-32.40000000000009,-26.700000000000045,-19.600000000000023,-12.700000000000045,-6.400000000000091,6.099999999999909,11.399999999999977,16.59999999999991,21.399999999999977,24.199999999999932,-30.19999999999999,-34.400000000000034,-35.69999999999999,-34.80000000000001,-32.400000000000034,-32.400000000000034,-34.19999999999999,-34.69999999999999,-33.400000000000034,-29.400000000000034,958.2,324.3
5,6,0,0.167,0.98,1,-32.39999999999998,-26.699999999999932,-19.59999999999991,-12.699999999999932,-6.2999999999999545,6.100000000000023,11.5,16.600000000000023,21.5,24.200000000000045,-30.099999999999966,-34.299999999999955,-35.69999999999999,-34.69999999999999,-32.299999999999955,-32.19999999999999,-34.0,-34.39999999999998,-33.0,-28.799999999999955,958.3,324.4
6,7,0,0.2,0.98,1,-32.5,-26.700000000000045,-19.700000000000045,-12.799999999999955,-6.399999999999977,6.2000000000000455,11.399999999999977,16.600000000000023,21.399999999999977,24.100000000000023,-30.100000000000023,-34.30000000000001,-35.69999999999999,-34.69999999999999,-32.39999999999998,-32.30000000000001,-34.10000000000002,-34.5,-33.10000000000002,-29.0,958.5,324.5
7,8,0,0.233,0.98,1,-32.39999999999998,-26.600000000000023,-19.600000000000023,-12.700000000000045,-6.399999999999977,6.199999999999932,11.5,16.600000000000023,21.399999999999977,24.199999999999932,-30.200000000000045,-34.400000000000034,-35.700000000000045,-34.80000000000001,-32.400000000000034,-32.400000000000034,-34.10000000000002,-34.5,-33.200000000000045,-29.100000000000023,958.6,324.6
8,9,0,0.267,0.98,1,-32.39999999999998,-26.600000000000023,-19.600000000000023,-12.700000000000045,-6.300000000000068,6.2999999999999545,11.600000000000023,16.799999999999955,21.600000000000023,24.299999999999955,-30.299999999999955,-34.5,-35.89999999999998,-35.0,-32.599999999999966,-32.5,-34.19999999999999,-34.5,-33.099999999999966,-28.899999999999977,958.6,324.4
9,10,0,0.3,0.98,1,-32.299999999999955,-26.59999999999991,-19.59999999999991,-12.699999999999932,-6.2999999999999545,6.300000000000068,11.600000000000023,16.700000000000045,21.5,24.200000000000045,-30.19999999999999,-34.5,-35.89999999999998,-35.0,-32.60000000000002,-32.39999999999998,-34.0,-34.30000000000001,-32.89999999999998,-28.600000000000023,958.8,324.0
10,11,0,0.333,0.98,1,-32.09999999999991,-26.399999999999977,-19.399999999999977,-12.599999999999909,-6.2999999999999545,6.300000000000068,11.600000000000023,16.700000000000045,21.5,24.200000000000045,-30.299999999999955,-34.5,-35.89999999999998,-35.0,-32.599999999999966,-32.39999999999998,-34.0,-34.299999999999955,-32.89999999999998,-28.69999999999999,958.8,323.9
11,12,0,0.367,0.98,1,-32.10000000000002,-26.299999999999955,-19.299999999999955,-12.5,-6.2999999999999545,6.5,11.700000000000045,16.899999999999977,21.700000000000045,24.399999999999977,-30.599999999999966,-34.69999999999999,-36.0,-35.099999999999966,-32.599999999999966,-32.5,-34.099999999999966,-34.5,-33.099999999999966,-29.0,958.9,323.9
12,13,0,0.4,0.98,1,-32.299999999999955,-26.5,-19.5,-12.600000000000023,-6.2999999999999545,6.399999999999977,11.799999999999955,16.899999999999977,21.799999999999955,24.600000000000023,-30.5,-34.60000000000002,-36.0,-35.0,-32.60000000000002,-32.39999999999998,-34.10000000000002,-34.39999999999998,-33.0,-28.80000000000001,959.0,324.0
13,14,0,0.433,0.98,1,-31.899999999999977,-26.100000000000023,-19.100000000000023,-12.200000000000045,-5.899999999999977,6.7999999999999545,12.100000000000023,17.299999999999955,22.100000000000023,24.799999999999955,-30.69999999999999,-34.799999999999955,-36.099999999999966,-35.0,-32.599999999999966,-32.299999999999955,-34.0,-34.299999999999955,-32.89999999999998,-28.69999999999999,959.1,324.4
14,15,0,0.467,0.98,1,-31.700000000000045,-25.899999999999977,-18.899999999999977,-12.100000000000023,-5.800000000000068,6.7999999999999545,12.199999999999932,17.399999999999977,22.199999999999932,25.0,-30.69999999999999,-34.69999999999999,-36.0,-34.89999999999998,-32.5,-32.19999999999999,-33.80000000000001,-34.19999999999999,-32.69999999999999,-28.599999999999966,959.1,324.7
15,16,0,0.5,0.98,1,-31.700000000000045,-25.90000000000009,-18.800000000000068,-12.0,-5.7000000000000455,6.7999999999999545,12.199999999999932,17.399999999999977,22.299999999999955,25.0,-30.80000000000001,-34.89999999999998,-36.10000000000002,-35.0,-32.5,-32.19999999999999,-33.80000000000001,-34.10000000000002,-32.60000000000002,-28.399999999999977,959.2,325.0
16,17,0,0.533,0.98,1,-31.699999999999932,-25.799999999999955,-18.699999999999932,-11.899999999999977,-5.600000000000023,6.899999999999977,12.200000000000045,17.399999999999977,22.200000000000045,24.899999999999977,-31.0,-35.0,-36.19999999999999,-35.099999999999966,-32.599999999999966,-32.19999999999999,-33.80000000000001,-34.0,-32.599999999999966,-28.399999999999977,959.4,325.2
17,18,0,0.567,0.98,1,-31.600000000000023,-25.5,-18.5,-11.700000000000045,-5.5,7.0,12.299999999999955,17.5,22.299999999999955,25.100000000000023,-31.19999999999999,-35.099999999999966,-36.19999999999999,-35.0,-32.5,-32.19999999999999,-33.69999999999999,-34.099999999999966,-32.69999999999999,-28.599999999999966,959.5,325.4
18,19,0,0.6,0.98,1,-31.600000000000023,-25.600000000000023,-18.5,-11.700000000000045,-5.300000000000068,7.100000000000023,12.399999999999977,17.600000000000023,22.399999999999977,25.199999999999932,-31.30000000000001,-35.30000000000001,-36.400000000000034,-35.200000000000045,-32.60000000000002,-32.30000000000001,-33.900000000000034,-34.200000000000045,-32.80000000000001,-28.700000000000045,959.6,325.6
19,20,0,0.633,0.98,1,-31.700000000000045,-25.700000000000045,-18.600000000000023,-11.600000000000023,-5.300000000000068,7.099999999999909,12.399999999999977,17.59999999999991,22.5,25.199999999999932,-31.30000000000001,-35.30000000000001,-36.39999999999998,-35.19999999999999,-32.599999999999966,-32.099999999999966,-33.80000000000001,-34.099999999999966,-32.69999999999999,-28.599999999999966,959.7,325.7
20,21,0,0.667,0.98,1,-31.600000000000023,-25.600000000000023,-18.5,-11.600000000000023,-5.300000000000068,7.099999999999909,12.399999999999977,17.59999999999991,22.399999999999977,25.09999999999991,-31.400000000000034,-35.30000000000001,-36.400000000000034,-35.19999999999999,-32.5,-32.10000000000002,-33.80000000000001,-34.10000000000002,-32.80000000000001,-28.80000000000001,959.7,325.8
21,22,0,0.7,0.98,1,-31.600000000000023,-25.600000000000023,-18.5,-11.600000000000023,-5.300000000000068,7.0,12.299999999999955,17.5,22.299999999999955,25.09999999999991,-31.30000000000001,-35.19999999999999,-36.19999999999999,-35.0,-32.400000000000034,-32.10000000000002,-33.80000000000001,-34.10000000000002,-32.80000000000001,-28.80000000000001,959.7,325.8
22,23,0,0.733,0.98,1,-31.600000000000023,-25.600000000000023,-18.5,-11.600000000000023,-5.300000000000068,6.899999999999977,12.299999999999955,17.399999999999977,22.199999999999932,24.899999999999977,-31.19999999999999,-35.10000000000002,-36.19999999999999,-35.0,-32.400000000000034,-32.10000000000002,-33.80000000000001,-34.10000000000002,-32.80000000000001,-28.80000000000001,959.7,325.8
23,24,0,0.767,0.98,1,-31.799999999999955,-25.799999999999955,-18.700000000000045,-11.799999999999955,-5.5,6.7000000000000455,12.100000000000023,17.200000000000045,22.100000000000023,24.799999999999955,-31.0,-35.0,-36.10000000000002,-34.900000000000034,-32.400000000000034,-32.10000000000002,-33.80000000000001,-34.19999999999999,-32.80000000000001,-28.69999999999999,959.5,325.8
24,25,0,0.8,0.98,1,-31.699999999999932,-25.699999999999932,-18.699999999999932,-11.799999999999955,-5.599999999999909,6.900000000000091,12.200000000000045,17.300000000000068,22.200000000000045,24.90000000000009,-31.100000000000023,-35.0,-36.10000000000002,-34.900000000000034,-32.400000000000034,-32.10000000000002,-33.80000000000001,-34.19999999999999,-32.900000000000034,-28.900000000000034,959.3,325.8
25,26,0,0.833,0.98,1,-32.0,-26.0,-19.0,-12.100000000000023,-5.800000000000068,6.699999999999932,12.0,17.199999999999932,22.0,24.799999999999955,-30.899999999999977,-34.89999999999998,-36.0,-34.89999999999998,-32.39999999999998,-32.099999999999966,-33.80000000000001,-34.19999999999999,-32.89999999999998,-28.80000000000001,959.2,325.7
26,27,0,0.867,0.98,1,-31.899999999999977,-26.0,-18.899999999999977,-12.0,-5.7000000000000455,6.7000000000000455,12.100000000000023,17.200000000000045,22.100000000000023,24.799999999999955,-31.0,-34.89999999999998,-36.099999999999966,-34.89999999999998,-32.5,-32.19999999999999,-33.89999999999998,-34.30000000000001,-33.0,-28.899999999999977,959.0,325.7
