,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.799999999999955,-24.199999999999932,-17.299999999999955,-10.399999999999977,-4.399999999999977,7.5,13.0,18.300000000000068,23.100000000000023,25.800000000000068,-31.399999999999977,-35.39999999999998,-36.39999999999998,-35.30000000000001,-32.599999999999966,-32.0,-33.69999999999999,-33.80000000000001,-31.899999999999977,-27.5,941.8,326.2
1,2,0,0.033,0.98,1,-29.40000000000009,-23.600000000000023,-17.0,-10.5,-4.600000000000023,8.299999999999955,13.5,18.5,23.0,25.5,-32.200000000000045,-35.80000000000001,-36.700000000000045,-35.5,-32.900000000000034,-32.200000000000045,-33.700000000000045,-33.900000000000034,-32.30000000000001,-28.30000000000001,941.7,326.6
2,3,0,0.067,0.98,1,-29.399999999999977,-23.600000000000023,-16.899999999999977,-10.399999999999977,-4.5,8.200000000000045,13.399999999999977,18.399999999999977,23.0,25.399999999999977,-32.19999999999999,-35.799999999999955,-36.69999999999999,-35.5,-32.799999999999955,-32.099999999999966,-33.599999999999966,-33.799999999999955,-32.19999999999999,-28.19999999999999,941.5,326.9
3,4,0,0.1,0.98,1,-29.299999999999955,-23.59999999999991,-16.799999999999955,-10.199999999999932,-4.399999999999977,8.200000000000045,13.400000000000091,18.40000000000009,23.0,25.40000000000009,-32.19999999999999,-35.89999999999998,-36.799999999999955,-35.5,-32.799999999999955,-32.0,-33.5,-33.69999999999999,-32.19999999999999,-28.19999999999999,941.3,327.4
4,5,0,0.133,0.98,1,-29.299999999999955,-23.5,-16.799999999999955,-10.299999999999955,-4.399999999999977,8.200000000000045,13.5,18.40000000000009,23.0,25.300000000000068,-32.30000000000001,-35.89999999999998,-36.80000000000001,-35.5,-32.69999999999999,-32.0,-33.5,-33.80000000000001,-32.30000000000001,-28.30000000000001,941.3,327.7
5,6,0,0.167,0.98,1,-29.300000000000068,-23.5,-16.800000000000068,-10.300000000000068,-4.5,8.299999999999955,13.5,18.5,23.0,25.399999999999977,-32.19999999999999,-35.80000000000001,-36.69999999999999,-35.39999999999998,-32.69999999999999,-31.899999999999977,-33.39999999999998,-33.599999999999966,-32.19999999999999,-28.30000000000001,941.2,327.7
6,7,0,0.2,0.98,1,-29.300000000000068,-23.5,-16.800000000000068,-10.300000000000068,-4.5,8.399999999999977,13.5,18.5,23.0,25.5,-32.19999999999999,-35.80000000000001,-36.69999999999999,-35.39999999999998,-32.69999999999999,-31.899999999999977,-33.30000000000001,-33.5,-32.099999999999966,-28.19999999999999,941.1,327.7
7,8,0,0.233,0.98,1,-29.399999999999977,-23.600000000000023,-16.899999999999977,-10.399999999999977,-4.600000000000023,8.299999999999955,13.5,18.5,23.0,25.5,-32.30000000000001,-35.900000000000034,-36.80000000000001,-35.400000000000034,-32.69999999999999,-31.900000000000034,-33.400000000000034,-33.60000000000002,-32.19999999999999,-28.30000000000001,941.1,327.8
8,9,0,0.267,0.98,1,-29.5,-23.700000000000045,-17.0,-10.5,-4.600000000000023,8.199999999999932,13.399999999999977,18.399999999999977,22.899999999999977,25.399999999999977,-32.30000000000001,-35.900000000000034,-36.80000000000001,-35.5,-32.80000000000001,-32.0,-33.5,-33.69999999999999,-32.19999999999999,-28.19999999999999,941.2,327.8
9,10,0,0.3,0.98,1,-29.600000000000023,-23.800000000000068,-17.0,-10.400000000000091,-4.5,8.099999999999909,13.399999999999977,18.399999999999977,23.0,25.399999999999977,-32.0,-35.69999999999999,-36.599999999999966,-35.30000000000001,-32.69999999999999,-31.899999999999977,-33.39999999999998,-33.599999999999966,-32.0,-28.0,941.2,327.7
