,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.5,-28.5,-22.199999999999932,-15.5,-9.200000000000045,4.100000000000136,11.200000000000045,18.600000000000136,25.90000000000009,31.5,-31.100000000000023,-35.5,-37.0,-36.19999999999999,-33.89999999999998,-35.0,-38.099999999999994,-39.599999999999994,-39.0,-35.400000000000006,1034.8,291.0
1,2,0,0.033,0.98,1,-33.200000000000045,-29.100000000000023,-22.800000000000068,-16.200000000000045,-9.799999999999955,3.7999999999999545,10.899999999999864,18.299999999999955,25.700000000000045,31.399999999999864,-31.5,-35.79999999999998,-37.29999999999998,-36.39999999999998,-34.0,-35.29999999999998,-38.29999999999998,-40.0,-39.599999999999994,-36.19999999999999,1034.7,291.2
2,3,0,0.067,0.98,1,-33.299999999999955,-29.299999999999955,-22.999999999999886,-16.399999999999864,-9.899999999999864,3.7000000000000455,10.800000000000182,18.200000000000045,25.600000000000136,31.200000000000045,-31.600000000000023,-36.0,-37.599999999999994,-36.80000000000001,-34.30000000000001,-35.599999999999994,-38.69999999999999,-40.30000000000001,-39.900000000000006,-36.400000000000006,1034.6,291.0
3,4,0,0.1,0.98,1,-33.39999999999998,-29.299999999999955,-23.0,-16.399999999999977,-9.900000000000091,3.7000000000000455,10.799999999999955,18.200000000000045,25.59999999999991,31.299999999999955,-31.19999999999999,-35.69999999999999,-37.29999999999998,-36.39999999999998,-34.0,-35.29999999999998,-38.39999999999998,-40.099999999999994,-39.69999999999999,-36.19999999999999,1034.5,290.7
4,5,0,0.133,0.98,1,-31.799999999999955,-28.09999999999991,-22.09999999999991,-15.699999999999932,-9.700000000000045,3.5,10.600000000000136,18.0,25.600000000000136,31.700000000000045,-31.100000000000023,-35.30000000000001,-36.60000000000002,-35.80000000000001,-33.700000000000045,-35.20000000000002,-38.400000000000034,-40.20000000000002,-39.70000000000002,-36.30000000000001,1033.8,290.6
5,6,0,0.167,0.98,1,-32.39999999999998,-28.600000000000023,-22.399999999999977,-16.0,-9.799999999999955,3.5,10.599999999999909,18.0,25.40000000000009,31.40000000000009,-30.900000000000034,-35.20000000000002,-36.60000000000002,-36.00000000000003,-33.900000000000034,-35.30000000000001,-38.50000000000003,-40.20000000000002,-39.70000000000002,-36.30000000000001,1034.0,290.6
6,7,0,0.2,0.98,1,-33.19999999999993,-29.299999999999955,-23.0,-16.399999999999977,-10.0,3.6000000000001364,10.700000000000045,18.100000000000136,25.5,31.200000000000045,-30.80000000000001,-35.30000000000001,-36.900000000000006,-36.19999999999999,-33.80000000000001,-35.19999999999999,-38.30000000000001,-40.0,-39.5,-36.0,1034.3,290.5
7,8,0,0.233,0.98,1,-33.40000000000009,-29.300000000000068,-23.0,-16.40000000000009,-10.0,3.5,10.700000000000045,18.09999999999991,25.59999999999991,31.200000000000045,-30.900000000000034,-35.50000000000003,-37.10000000000002,-36.30000000000001,-33.900000000000034,-35.20000000000002,-38.30000000000001,-40.10000000000002,-39.60000000000002,-36.10000000000002,1034.2,290.6
8,9,0,0.267,0.98,1,-31.999999999999886,-28.399999999999864,-22.299999999999955,-15.899999999999864,-9.799999999999955,3.2000000000000455,10.300000000000182,17.800000000000182,25.40000000000009,31.600000000000136,-31.0,-35.30000000000001,-36.60000000000002,-35.900000000000034,-33.80000000000001,-35.20000000000002,-38.60000000000002,-40.400000000000034,-39.900000000000034,-36.50000000000003,1033.6,290.6
9,10,0,0.3,0.98,1,-31.600000000000136,-28.000000000000114,-21.90000000000009,-15.500000000000114,-9.500000000000114,3.2999999999999545,10.399999999999864,17.899999999999864,25.59999999999991,31.799999999999955,-30.899999999999977,-35.19999999999999,-36.400000000000006,-35.80000000000001,-33.69999999999999,-35.19999999999999,-38.599999999999994,-40.30000000000001,-39.80000000000001,-36.30000000000001,1033.4,290.5
10,11,0,0.333,0.98,1,-31.5,-27.899999999999977,-21.899999999999977,-15.5,-9.5,3.400000000000091,10.600000000000136,18.0,25.700000000000045,31.90000000000009,-30.899999999999977,-35.19999999999999,-36.39999999999998,-35.79999999999998,-33.69999999999999,-35.19999999999999,-38.599999999999966,-40.29999999999998,-39.69999999999999,-36.19999999999999,1033.3,290.4
11,12,0,0.367,0.98,1,-31.299999999999955,-27.799999999999955,-21.799999999999955,-15.499999999999886,-9.499999999999886,3.6000000000001364,10.700000000000045,18.200000000000045,25.700000000000045,31.90000000000009,-30.900000000000034,-35.20000000000002,-36.400000000000006,-35.80000000000001,-33.80000000000001,-35.30000000000001,-38.60000000000002,-40.30000000000001,-39.70000000000002,-36.10000000000002,1033.1,290.3
12,13,0,0.4,0.98,1,-31.300000000000068,-27.800000000000068,-21.800000000000068,-15.500000000000114,-9.600000000000136,3.599999999999909,10.799999999999955,18.199999999999818,25.699999999999818,31.899999999999864,-30.900000000000034,-35.10000000000002,-36.400000000000006,-35.70000000000002,-33.69999999999999,-35.20000000000002,-38.60000000000002,-40.30000000000001,-39.80000000000001,-36.30000000000001,1032.9,290.3
13,14,0,0.433,0.98,1,-31.299999999999955,-27.699999999999932,-21.699999999999932,-15.399999999999864,-9.499999999999886,3.7000000000000455,10.800000000000182,18.300000000000182,25.90000000000009,32.100000000000136,-31.099999999999966,-35.29999999999998,-36.39999999999998,-35.69999999999999,-33.599999999999966,-35.099999999999966,-38.49999999999997,-40.39999999999998,-39.89999999999998,-36.39999999999998,1032.6,290.4
14,15,0,0.467,0.98,1,-31.5,-27.90000000000009,-21.90000000000009,-15.600000000000023,-9.700000000000045,3.7000000000000455,10.799999999999955,18.200000000000045,25.799999999999955,32.0,-31.099999999999966,-35.19999999999999,-36.29999999999998,-35.599999999999966,-33.599999999999966,-35.099999999999966,-38.49999999999997,-40.29999999999998,-39.79999999999998,-36.39999999999998,1032.7,290.4
15,16,0,0.5,0.98,1,-31.299999999999955,-27.700000000000045,-21.700000000000045,-15.399999999999977,-9.600000000000023,3.7000000000000455,10.799999999999955,18.200000000000045,25.799999999999955,32.0,-31.30000000000001,-35.30000000000001,-36.400000000000006,-35.599999999999994,-33.60000000000002,-35.099999999999994,-38.5,-40.30000000000001,-39.80000000000001,-36.400000000000006,1032.5,290.5
16,17,0,0.533,0.98,1,-31.399999999999977,-27.799999999999955,-21.799999999999955,-15.5,-9.600000000000023,3.7000000000000455,10.799999999999955,18.200000000000045,25.799999999999955,32.09999999999991,-31.30000000000001,-35.30000000000001,-36.400000000000006,-35.599999999999994,-33.60000000000002,-35.099999999999994,-38.5,-40.30000000000001,-39.80000000000001,-36.5,1032.5,290.5
17,18,0,0.567,0.98,1,-31.399999999999977,-27.799999999999955,-21.899999999999977,-15.600000000000023,-9.700000000000045,3.7000000000000455,10.900000000000091,18.299999999999955,25.799999999999955,32.0,-31.30000000000001,-35.400000000000006,-36.5,-35.69999999999999,-33.69999999999999,-35.19999999999999,-38.599999999999994,-40.400000000000006,-39.900000000000006,-36.5,1032.5,290.5
