,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-28.200000000000045,-24.600000000000023,-19.399999999999977,-13.800000000000068,-8.600000000000023,2.0,7.199999999999932,12.699999999999932,18.199999999999932,22.600000000000023,-23.099999999999966,-27.0,-28.5,-28.399999999999977,-26.899999999999977,-28.5,-31.299999999999955,-32.69999999999999,-32.39999999999998,-29.599999999999966,972.6,369.9
1,2,0,0.033,0.98,1,-28.600000000000023,-25.0,-19.799999999999955,-14.199999999999932,-8.899999999999977,1.8999999999999773,7.100000000000023,12.5,18.0,22.399999999999977,-23.0,-26.900000000000034,-28.5,-28.5,-27.100000000000023,-28.80000000000001,-31.600000000000023,-33.0,-32.80000000000001,-30.0,972.9,370.1
2,3,0,0.067,0.98,1,-28.800000000000068,-25.200000000000045,-19.899999999999977,-14.300000000000068,-9.100000000000023,1.6999999999999318,6.899999999999977,12.399999999999977,17.899999999999977,22.299999999999955,-22.80000000000001,-26.80000000000001,-28.5,-28.400000000000034,-27.100000000000023,-28.80000000000001,-31.600000000000023,-33.0,-32.80000000000001,-30.0,973.1,370.1
3,4,0,0.1,0.98,1,-28.799999999999955,-25.299999999999955,-20.0,-14.399999999999977,-9.099999999999909,1.6000000000000227,6.800000000000068,12.200000000000045,17.800000000000068,22.200000000000045,-22.700000000000045,-26.700000000000045,-28.400000000000034,-28.400000000000034,-27.0,-28.80000000000001,-31.5,-33.0,-32.80000000000001,-30.0,973.3,370.1
4,5,0,0.133,0.98,1,-28.800000000000068,-25.300000000000068,-20.100000000000023,-14.5,-9.100000000000023,1.599999999999909,6.7999999999999545,12.199999999999932,17.799999999999955,22.199999999999932,-22.5,-26.600000000000023,-28.30000000000001,-28.30000000000001,-27.0,-28.700000000000045,-31.5,-32.900000000000034,-32.700000000000045,-30.0,973.2,370.1
5,6,0,0.167,0.93,1,-28.90000000000009,-25.40000000000009,-20.200000000000045,-14.5,-9.200000000000045,1.5,6.699999999999932,12.099999999999909,17.699999999999932,22.09999999999991,-22.30000000000001,-26.400000000000034,-28.200000000000045,-28.200000000000045,-26.900000000000034,-28.700000000000045,-31.400000000000034,-32.900000000000034,-32.700000000000045,-29.900000000000034,973.2,370.1
6,7,0,0.2,0.93,1,-29.0,-25.5,-20.299999999999955,-14.600000000000023,-9.299999999999955,1.5,6.7000000000000455,12.100000000000023,17.600000000000023,22.0,-22.400000000000034,-26.5,-28.200000000000045,-28.200000000000045,-26.900000000000034,-28.700000000000045,-31.400000000000034,-32.900000000000034,-32.700000000000045,-29.900000000000034,973.4,370.1
7,8,0,0.233,0.98,1,-29.100000000000023,-25.600000000000023,-20.300000000000068,-14.600000000000023,-9.200000000000045,1.3999999999999773,6.600000000000023,12.100000000000023,17.699999999999932,22.0,-22.399999999999977,-26.5,-28.30000000000001,-28.30000000000001,-26.899999999999977,-28.600000000000023,-31.399999999999977,-32.89999999999998,-32.60000000000002,-29.899999999999977,973.6,370.0
8,9,0,0.267,0.98,1,-29.100000000000023,-25.600000000000023,-20.299999999999955,-14.600000000000023,-9.100000000000023,1.5,6.7999999999999545,12.299999999999955,17.899999999999977,22.299999999999955,-22.69999999999999,-26.80000000000001,-28.5,-28.399999999999977,-27.100000000000023,-28.80000000000001,-31.600000000000023,-33.10000000000002,-32.80000000000001,-30.0,973.5,370.0
9,10,0,0.3,0.98,1,-29.200000000000045,-25.700000000000045,-20.300000000000068,-14.600000000000023,-9.200000000000045,1.3999999999999773,6.699999999999932,12.199999999999932,17.799999999999955,22.100000000000023,-22.80000000000001,-26.80000000000001,-28.5,-28.399999999999977,-27.100000000000023,-28.80000000000001,-31.600000000000023,-33.10000000000002,-32.89999999999998,-30.100000000000023,973.6,370.0
